ID;Sex;Age31December;Periods;Deaths_1
204;Total male and female;Total;1974 week 43;2107
205;Total male and female;Total;1974 week 44;2073
206;Total male and female;Total;1974 week 45;2204
207;Total male and female;Total;1974 week 46;2147
208;Total male and female;Total;1974 week 47;2102
209;Total male and female;Total;1974 week 48;2145
210;Total male and female;Total;1974 week 49;2140
211;Total male and female;Total;1974 week 50;2071
212;Total male and female;Total;1974 week 51;2167
213;Total male and female;Total;1974 week 52;2215
214;Total male and female;Total;1974 week 53 (2 days);649
215;Total male and female;Total;1974;109250
216;Total male and female;Total;1975 week 1 (5 days);1645
217;Total male and female;Total;1975 week 2;2319
218;Total male and female;Total;1975 week 3;2489
219;Total male and female;Total;1975 week 4;2468
220;Total male and female;Total;1975 week 5;2500
221;Total male and female;Total;1975 week 6;2484
222;Total male and female;Total;1975 week 7;2499
223;Total male and female;Total;1975 week 8;2341
224;Total male and female;Total;1975 week 9;2318
225;Total male and female;Total;1975 week 10;2179
226;Total male and female;Total;1975 week 11;2182
227;Total male and female;Total;1975 week 12;2168
228;Total male and female;Total;1975 week 13;2211
229;Total male and female;Total;1975 week 14;2134
230;Total male and female;Total;1975 week 15;2205
231;Total male and female;Total;1975 week 16;2144
232;Total male and female;Total;1975 week 17;2133
233;Total male and female;Total;1975 week 18;2072
234;Total male and female;Total;1975 week 19;2100
235;Total male and female;Total;1975 week 20;2052
236;Total male and female;Total;1975 week 21;2087
237;Total male and female;Total;1975 week 22;2119
238;Total male and female;Total;1975 week 23;2188
239;Total male and female;Total;1975 week 24;2260
240;Total male and female;Total;1975 week 25;2094
241;Total male and female;Total;1975 week 26;2035
242;Total male and female;Total;1975 week 27;1997
243;Total male and female;Total;1975 week 28;2100
244;Total male and female;Total;1975 week 29;2037
245;Total male and female;Total;1975 week 30;1891
246;Total male and female;Total;1975 week 31;2064
247;Total male and female;Total;1975 week 32;2876
248;Total male and female;Total;1975 week 33;2292
249;Total male and female;Total;1975 week 34;2027
250;Total male and female;Total;1975 week 35;2067
251;Total male and female;Total;1975 week 36;1986
252;Total male and female;Total;1975 week 37;2015
253;Total male and female;Total;1975 week 38;2061
254;Total male and female;Total;1975 week 39;2070
255;Total male and female;Total;1975 week 40;2057
256;Total male and female;Total;1975 week 41;2042
257;Total male and female;Total;1975 week 42;2111
258;Total male and female;Total;1975 week 43;2102
259;Total male and female;Total;1975 week 44;2210
260;Total male and female;Total;1975 week 45;2098
261;Total male and female;Total;1975 week 46;2117
262;Total male and female;Total;1975 week 47;2167
263;Total male and female;Total;1975 week 48;2192
264;Total male and female;Total;1975 week 49;2179
265;Total male and female;Total;1975 week 50;2145
266;Total male and female;Total;1975 week 51;2256
267;Total male and female;Total;1975 week 52;2186
268;Total male and female;Total;1975 week 53 (3 days);966
269;Total male and female;Total;1975;113737
270;Total male and female;Total;1976 week 1 (4 days);1220
271;Total male and female;Total;1976 week 2;2198
272;Total male and female;Total;1976 week 3;2198
273;Total male and female;Total;1976 week 4;2054
274;Total male and female;Total;1976 week 5;2260
275;Total male and female;Total;1976 week 6;2404
276;Total male and female;Total;1976 week 7;2282
277;Total male and female;Total;1976 week 8;2461
278;Total male and female;Total;1976 week 9;2246
279;Total male and female;Total;1976 week 10;2314
280;Total male and female;Total;1976 week 11;2495
281;Total male and female;Total;1976 week 12;2740
282;Total male and female;Total;1976 week 13;3006
283;Total male and female;Total;1976 week 14;2848
284;Total male and female;Total;1976 week 15;2592
285;Total male and female;Total;1976 week 16;2339
286;Total male and female;Total;1976 week 17;2247
287;Total male and female;Total;1976 week 18;2058
288;Total male and female;Total;1976 week 19;2248
289;Total male and female;Total;1976 week 20;2118
290;Total male and female;Total;1976 week 21;2014
291;Total male and female;Total;1976 week 22;2008
292;Total male and female;Total;1976 week 23;2007
293;Total male and female;Total;1976 week 24;2222
294;Total male and female;Total;1976 week 25;2064
295;Total male and female;Total;1976 week 26;2415
296;Total male and female;Total;1976 week 27;2672
297;Total male and female;Total;1976 week 28;2361
298;Total male and female;Total;1976 week 29;1987
299;Total male and female;Total;1976 week 30;1833
300;Total male and female;Total;1976 week 31;1912
301;Total male and female;Total;1976 week 32;1913
302;Total male and female;Total;1976 week 33;2098
303;Total male and female;Total;1976 week 34;1923
304;Total male and female;Total;1976 week 35;2007
305;Total male and female;Total;1976 week 36;1816
306;Total male and female;Total;1976 week 37;1900
307;Total male and female;Total;1976 week 38;1973
308;Total male and female;Total;1976 week 39;1997
309;Total male and female;Total;1976 week 40;2058
310;Total male and female;Total;1976 week 41;1970
311;Total male and female;Total;1976 week 42;2010
312;Total male and female;Total;1976 week 43;2095
313;Total male and female;Total;1976 week 44;2061
314;Total male and female;Total;1976 week 45;2114
315;Total male and female;Total;1976 week 46;2161
316;Total male and female;Total;1976 week 47;2121
317;Total male and female;Total;1976 week 48;2040
318;Total male and female;Total;1976 week 49;2184
319;Total male and female;Total;1976 week 50;2214
320;Total male and female;Total;1976 week 51;2140
321;Total male and female;Total;1976 week 52 ;2192
322;Total male and female;Total;1976 week 53 (5 days);1644
323;Total male and female;Total;1976;114454
324;Total male and female;Total;1977 week 0 (2 days);659
325;Total male and female;Total;1977 week 1;2198
326;Total male and female;Total;1977 week 2;2222
327;Total male and female;Total;1977 week 3;2236
328;Total male and female;Total;1977 week 4;2145
329;Total male and female;Total;1977 week 5;2207
330;Total male and female;Total;1977 week 6;2162
331;Total male and female;Total;1977 week 7;2127
332;Total male and female;Total;1977 week 8;2193
333;Total male and female;Total;1977 week 9;2219
334;Total male and female;Total;1977 week 10;2214
335;Total male and female;Total;1977 week 11;2197
336;Total male and female;Total;1977 week12;2363
337;Total male and female;Total;1977 week 13;2285
338;Total male and female;Total;1977 week 14;2184
339;Total male and female;Total;1977 week 15;2191
340;Total male and female;Total;1977 week 16;2257
341;Total male and female;Total;1977 week 17;2153
342;Total male and female;Total;1977 week 18;2085
343;Total male and female;Total;1977 week 19;2109
344;Total male and female;Total;1977 week 20;2052
345;Total male and female;Total;1977 week 21;2083
346;Total male and female;Total;1977 week 22;1988
347;Total male and female;Total;1977 week 23;2046
348;Total male and female;Total;1977 week 24;2106
349;Total male and female;Total;1977 week 25;1989
350;Total male and female;Total;1977 week 26;2026
351;Total male and female;Total;1977 week 27;2113
352;Total male and female;Total;1977 week 28;1891
353;Total male and female;Total;1977 week 29;1936
354;Total male and female;Total;1977 week 30;1875
355;Total male and female;Total;1977 week 31;1953
356;Total male and female;Total;1977 week 32;1898
357;Total male and female;Total;1977 week 33;1981
358;Total male and female;Total;1977 week 34;1978
359;Total male and female;Total;1977 week 35;1972
360;Total male and female;Total;1977 week 36;1951
361;Total male and female;Total;1977 week 37;1971
362;Total male and female;Total;1977 week 38;2112
363;Total male and female;Total;1977 week 39;2066
364;Total male and female;Total;1977 week 40;2190
365;Total male and female;Total;1977 week 41;2055
366;Total male and female;Total;1977 week 42;2043
367;Total male and female;Total;1977 week 43;1981
368;Total male and female;Total;1977 week 44;2082
369;Total male and female;Total;1977 week 45;2084
370;Total male and female;Total;1977 week 46;2163
371;Total male and female;Total;1977 week 47;2280
372;Total male and female;Total;1977 week 48;2297
373;Total male and female;Total;1977 week 49;2248
374;Total male and female;Total;1977 week 50;2152
375;Total male and female;Total;1977 week 51;2186
376;Total male and female;Total;1977 week 52 (6 days);1939
377;Total male and female;Total;1977;110093
378;Total male and female;Total;1978 week 0 (1 dag);323
379;Total male and female;Total;1978 week 1;2299
380;Total male and female;Total;1978 week 2;2344
381;Total male and female;Total;1978 week 3;2292
382;Total male and female;Total;1978 week 4;2429
383;Total male and female;Total;1978 week 5;2535
384;Total male and female;Total;1978 week 6;2766
385;Total male and female;Total;1978 week 7;2953
386;Total male and female;Total;1978 week 8;3022
387;Total male and female;Total;1978 week 9;2378
388;Total male and female;Total;1978 week 10;2260
389;Total male and female;Total;1978 week 11;2190
390;Total male and female;Total;1978 week 12;2126
391;Total male and female;Total;1978 week 13;2205
392;Total male and female;Total;1978 week 14;2152
393;Total male and female;Total;1978 week 15;2100
394;Total male and female;Total;1978 week 16;2221
395;Total male and female;Total;1978 week 17;2107
396;Total male and female;Total;1978 week 18;2164
397;Total male and female;Total;1978 week 19;2028
398;Total male and female;Total;1978 week 20;2101
399;Total male and female;Total;1978 week 21;2039
400;Total male and female;Total;1978 week 22;2334
401;Total male and female;Total;1978 week 23;2057
402;Total male and female;Total;1978 week 24;2087
403;Total male and female;Total;1978 week 25;2073
404;Total male and female;Total;1978 week 26;2015
405;Total male and female;Total;1978 week 27;1971
406;Total male and female;Total;1978 week 28;2033
407;Total male and female;Total;1978 week 29;1983
408;Total male and female;Total;1978 week 30;2230
409;Total male and female;Total;1978 week 31;2070
410;Total male and female;Total;1978 week 32;1940
411;Total male and female;Total;1978 week 33;2001
412;Total male and female;Total;1978 week 34;1960
413;Total male and female;Total;1978 week 35;1931
414;Total male and female;Total;1978 week 36;2078
415;Total male and female;Total;1978 week 37;2026
416;Total male and female;Total;1978 week 38;2108
417;Total male and female;Total;1978 week 39;2036
418;Total male and female;Total;1978 week 40;2100
419;Total male and female;Total;1978 week 41;2164
420;Total male and female;Total;1978 week 42;2104
421;Total male and female;Total;1978 week 43;2081
422;Total male and female;Total;1978 week 44;2059
423;Total male and female;Total;1978 week 45;2135
424;Total male and female;Total;1978 week 46;2145
425;Total male and female;Total;1978 week 47;2133
426;Total male and female;Total;1978 week 48;2195
427;Total male and female;Total;1978 week 49;2337
428;Total male and female;Total;1978 week 50;2272
429;Total male and female;Total;1978 week 51;2363
430;Total male and female;Total;1978 week 52;2360
431;Total male and female;Total;1978;114415
432;Total male and female;Total;1979 week 1;2481
433;Total male and female;Total;1979 week 2;2352
434;Total male and female;Total;1979 week 3;2174
435;Total male and female;Total;1979 week 4;2238
436;Total male and female;Total;1979 week 5;2324
437;Total male and female;Total;1979 week 6;2194
438;Total male and female;Total;1979 week 7;2246
439;Total male and female;Total;1979 week 8;2216
440;Total male and female;Total;1979 week 9;2266
441;Total male and female;Total;1979 week 10;2335
442;Total male and female;Total;1979 week 11;2202
443;Total male and female;Total;1979 week 12;2164
444;Total male and female;Total;1979 week 13;2179
445;Total male and female;Total;1979 week 14;2258
446;Total male and female;Total;1979 week 15;2243
447;Total male and female;Total;1979 week 16;2183
448;Total male and female;Total;1979 week 17;2063
449;Total male and female;Total;1979 week 18;2145
450;Total male and female;Total;1979 week 19;2119
451;Total male and female;Total;1979 week 20;2259
452;Total male and female;Total;1979 week 21;2122
453;Total male and female;Total;1979 week 22;2142
454;Total male and female;Total;1979 week 23;2077
455;Total male and female;Total;1979 week 24;1997
456;Total male and female;Total;1979 week 25;2203
457;Total male and female;Total;1979 week 26;2063
458;Total male and female;Total;1979 week 27;2041
459;Total male and female;Total;1979 week 28;2080
460;Total male and female;Total;1979 week 29;1980
461;Total male and female;Total;1979 week 30;2071
462;Total male and female;Total;1979 week 31;1989
463;Total male and female;Total;1979 week 32;1901
464;Total male and female;Total;1979 week 33;1956
465;Total male and female;Total;1979 week 34;1988
466;Total male and female;Total;1979 week 35;2122
467;Total male and female;Total;1979 week 36;2102
468;Total male and female;Total;1979 week 37;2057
469;Total male and female;Total;1979 week 38;2107
470;Total male and female;Total;1979 week 39;2079
471;Total male and female;Total;1979 week 40;2103
472;Total male and female;Total;1979 week 41;2122
473;Total male and female;Total;1979 week 42;2069
474;Total male and female;Total;1979 week 43;2059
475;Total male and female;Total;1979 week 44;2205
476;Total male and female;Total;1979 week 45;2221
477;Total male and female;Total;1979 week 46;2273
478;Total male and female;Total;1979 week 47;2273
479;Total male and female;Total;1979 week 48;2257
480;Total male and female;Total;1979 week 49;2110
481;Total male and female;Total;1979 week 50;2250
482;Total male and female;Total;1979 week 51;2303
483;Total male and female;Total;1979 week 52;2247
484;Total male and female;Total;1979 week 53 (1 day);355
485;Total male and female;Total;1979;112565
486;Total male and female;Total;1980 week 1 (6 days);2061
487;Total male and female;Total;1980 week 2;2175
488;Total male and female;Total;1980 week 3;2450
489;Total male and female;Total;1080 week 4;2501
490;Total male and female;Total;1980 week 5;2325
491;Total male and female;Total;1980 week 6;2173
492;Total male and female;Total;1980 week 7;2274
493;Total male and female;Total;1980 week 8;2223
494;Total male and female;Total;1980 week 9;2238
495;Total male and female;Total;1980 week 10;2290
496;Total male and female;Total;1980 week 11;2248
497;Total male and female;Total;1980 week 12;2274
498;Total male and female;Total;1980 week 13;2200
499;Total male and female;Total;1980 week 14;2144
500;Total male and female;Total;1980 week 15;2138
501;Total male and female;Total;1980 week 16;2234
502;Total male and female;Total;1980 week 17;2197
503;Total male and female;Total;1980 week 18;2063
504;Total male and female;Total;1980 week 19;2217
505;Total male and female;Total;1980 week 20;2218
506;Total male and female;Total;1980 week 21;2255
507;Total male and female;Total;1980 week 22;2155
508;Total male and female;Total;1980 week 23;2197
509;Total male and female;Total;1980 week 24;2230
510;Total male and female;Total;1980 week 25;1964
511;Total male and female;Total;1980 week 26;2017
512;Total male and female;Total;1980 week 27;2146
513;Total male and female;Total;1980 week 28;2034
514;Total male and female;Total;1980 week 29;2110
515;Total male and female;Total;1980 week 30;2304
516;Total male and female;Total;1980 week 31;2246
517;Total male and female;Total;1980 week 32;2034
518;Total male and female;Total;1980 week 33;2039
519;Total male and female;Total;1980 week 34;1944
520;Total male and female;Total;1980 week 35;2010
521;Total male and female;Total;1980 week 36;2008
522;Total male and female;Total;1980 week 37;2007
523;Total male and female;Total;1980 week 38;2117
524;Total male and female;Total;1980 week 39;1901
525;Total male and female;Total;1980 week 40;2105
526;Total male and female;Total;1980 week 41;2130
527;Total male and female;Total;1980 week 42;2216
528;Total male and female;Total;1980 week 43;2221
529;Total male and female;Total;1980 week 44;2179
530;Total male and female;Total;1980 week 45;2311
531;Total male and female;Total;1980 week 46;2238
532;Total male and female;Total;1980 week 47;2275
533;Total male and female;Total;1980 week 48;2124
534;Total male and female;Total;1980 week 49;2245
535;Total male and female;Total;1980 week 50;2265
536;Total male and female;Total;1980 week 51;2379
537;Total male and female;Total;1980 week 52;2334
538;Total male and female;Total;1980 week 53 (3 days);896
539;Total male and female;Total;1980;114279
540;Total male and female;Total;1981 week 1 (4 days);1372
541;Total male and female;Total;1981 week 2;2339
542;Total male and female;Total;1981 week 3;2338
543;Total male and female;Total;1981 week 4;2321
544;Total male and female;Total;1981 week 5;2234
545;Total male and female;Total;1981 week 6;2321
546;Total male and female;Total;1981 week 7;2309
547;Total male and female;Total;1981 week 8;2280
548;Total male and female;Total;1981 week 9;2378
549;Total male and female;Total;1981 week 10;2418
550;Total male and female;Total;1981 week 11;2342
551;Total male and female;Total;1981 week 12;2277
552;Total male and female;Total;1981 week 13;2279
553;Total male and female;Total;1981 week 14;2173
554;Total male and female;Total;1981 week 15;2214
555;Total male and female;Total;1981 week 16;2112
556;Total male and female;Total;1981 week 17;2224
557;Total male and female;Total;1981 week 18;2129
558;Total male and female;Total;1981 week 19;2351
559;Total male and female;Total;1981 week 20;2214
560;Total male and female;Total;1981 week 21;2195
561;Total male and female;Total;1981 week 22;2092
562;Total male and female;Total;1981 week 23;2170
563;Total male and female;Total;1981 week 24;2154
564;Total male and female;Total;1981 week 25;2085
565;Total male and female;Total;1981 week 26;2177
566;Total male and female;Total;1981 week 27;2066
567;Total male and female;Total;1981 week 28;2281
568;Total male and female;Total;1981 week 29;2009
569;Total male and female;Total;1981 week 30;1954
570;Total male and female;Total;1981 week 31;2081
571;Total male and female;Total;1981 week 32;2299
572;Total male and female;Total;1981 week 33;2033
573;Total male and female;Total;1981 week 34;1903
574;Total male and female;Total;1981 week 35;2008
575;Total male and female;Total;1981 week 36;2055
576;Total male and female;Total;1981 week 37;2150
577;Total male and female;Total;1981 week 38;2109
578;Total male and female;Total;1981 week 39;2070
579;Total male and female;Total;1981 week 40;2147
580;Total male and female;Total;1981 week 41;2101
581;Total male and female;Total;1981 week 42;2212
582;Total male and female;Total;1981 week 43;2267
583;Total male and female;Total;1981 week 44;2367
584;Total male and female;Total;1981 week 45;2172
585;Total male and female;Total;1981 week 46;2204
586;Total male and female;Total;1981 week 47;2243
587;Total male and female;Total;1981 week 48;2268
588;Total male and female;Total;1981 week 49;2255
589;Total male and female;Total;1981 week 50;2350
590;Total male and female;Total;1981 week 51;2439
591;Total male and female;Total;1981 week 52;2480
592;Total male and female;Total;1981 week 53 (4 days);1494
593;Total male and female;Total;1981;115515
594;Total male and female;Total;1982 week 0  (3 days);1031
595;Total male and female;Total;1982 week 1;2429
596;Total male and female;Total;1982 week 2;2462
597;Total male and female;Total;1982 week 3;2418
598;Total male and female;Total;1982 week 4;2308
599;Total male and female;Total;1982 week 5;2271
600;Total male and female;Total;1982 week 6;2380
601;Total male and female;Total;1982 week 7;2206
602;Total male and female;Total;1982 week 8;2399
603;Total male and female;Total;1982 week 9;2481
604;Total male and female;Total;1982 week 10;2300
605;Total male and female;Total;1982 week 11;2310
606;Total male and female;Total;1982 week 12;2392
607;Total male and female;Total;1982 week 13;2384
608;Total male and female;Total;1982 week 14;2229
609;Total male and female;Total;1982 week 15;2251
610;Total male and female;Total;1982 week 16;2308
611;Total male and female;Total;1982 week 17;2357
612;Total male and female;Total;1982 week 18;2099
613;Total male and female;Total;1982 week 19;2254
614;Total male and female;Total;1982 week 20;2225
615;Total male and female;Total;1982 week 21;2042
616;Total male and female;Total;1982 week 22;2589
617;Total male and female;Total;1982 week 23;2221
618;Total male and female;Total;1982 week 24;2053
619;Total male and female;Total;1982 week 25;2156
620;Total male and female;Total;1982 week 26;2205
621;Total male and female;Total;1982 week 27;2257
622;Total male and female;Total;1982 week 28;2374
623;Total male and female;Total;1982 week 29;2105
624;Total male and female;Total;1982 week 30;2094
625;Total male and female;Total;1982 week 31;2305
626;Total male and female;Total;1982 week 32;2032
627;Total male and female;Total;1982 week 33;1997
628;Total male and female;Total;1982 week 34;2034
629;Total male and female;Total;1982 week 35;2091
630;Total male and female;Total;1982 week 36;2079
631;Total male and female;Total;1982 week 37;2091
632;Total male and female;Total;1982 week 38;2041
633;Total male and female;Total;1982 week 39;1989
634;Total male and female;Total;1982 week 40;2007
635;Total male and female;Total;1982 week 41;2050
636;Total male and female;Total;1982 week 42;2157
637;Total male and female;Total;1982 week 43;2073
638;Total male and female;Total;1982 week 44;2131
639;Total male and female;Total;1982 week 45;2218
640;Total male and female;Total;1982 week 46;2194
641;Total male and female;Total;1982 week 47;2289
642;Total male and female;Total;1982 week 48;2312
643;Total male and female;Total;1982 week 49;2444
644;Total male and female;Total;1982 week 50;2515
645;Total male and female;Total;1982 week 51;2734
646;Total male and female;Total;1982 week 52  (5 days);1891
647;Total male and female;Total;1982;117264
648;Total male and female;Total;1983 week 0 (2 days);771
649;Total male and female;Total;1983 week 1;2684
650;Total male and female;Total;1983 week 2;2607
651;Total male and female;Total;1983 week 3;2349
652;Total male and female;Total;1983 week 4;2317
653;Total male and female;Total;1983 week 5;2352
654;Total male and female;Total;1983 week 6;2389
655;Total male and female;Total;1983 week 7;2411
656;Total male and female;Total;1983 week 8;2436
657;Total male and female;Total;1983 week 9;2324
658;Total male and female;Total;1983 week 10;2376
659;Total male and female;Total;1983 week 11;2222
660;Total male and female;Total;1982 week 12;2229
661;Total male and female;Total;1983 week 13;2206
