ID;Perioden;Jachtpassagiers_1;Jachten_2;GemiddeldAantalLigdagen_3
105;2020 1e kwartaal;700;200;8.2
106;2020 april;0;0;0.0
107;2020 mei;10;0;0.0
108;2020 juni;70;30;1.7
109;2020 2e kwartaal;90;30;0.6
110;2020 juli;230;60;7.1
111;2020 augustus;150;40;7.5
112;2020 september;10;0;11.0
113;2020 3e kwartaal;390;110;8.5
114;2020 oktober;20;10;26.5
115;2020 november;90;30;17.0
116;2020 december;40;20;7.2
117;2020 4e kwartaal;150;60;16.9
118;2020;1320;400;8.5
119;2021 januari;40;10;17.7
120;2021 februari;60;20;12.0
121;2021 maart;90;20;21.1
122;2021 1e kwartaal;190;50;16.9
123;2021 april;40;20;29.0
124;2021 mei;70;30;18.6
125;2021 juni;170;60;12.9
126;2021 2e kwartaal;280;100;20.2
127;2021  juli ;170;40;17.4
128;2021 augustus;100;30;12.9
129;2021 september;140;30;7.2
130;2021 3e kwartaal;410;110;12.5
131;2021 oktober;100;30;9.3
132;2021 november;90;40;22.4
133;2021 december;90;40;15.1
134;2021 4e kwartaal;280;100;15.6
135;2021;1170;360;16.3
136;2022 januari;160;50;8.2
137;2022 februari;160;40;7.8
138;2022 maart;190;60;8.4
139;2022 1e kwartaal;510;150;8.1
140;2022 april;450;100;6.5
141;2022 mei;180;60;15.0
142;2022 juni;240;60;13.3
143;2022 2e kwartaal;870;230;11.6
144;2022 juli;180;50;8.5
145;2022 augustus;210;50;9.5
146;2022 september;200;60;11.3
147;2022 3e kwartaal;580;160;9.7
148;2022 oktober;600;120;11.3
149;2022 november;250;80;8.3
150;2022 december;220;60;9.9
151;2022 4e kwartaal;1070;260;9.8
152;2022;3030;790;9.8
153;2023 januari;360;90;7.8
154;2023 februari;260;60;9.2
155;2023 maart;170;50;11.8
156;2023 1e kwartaal;790;200;9.6
157;2023 april;560;90;3.7
158;2023 mei;320;80;7.9
159;2023 juni;110;40;9.6
160;2023 2e kwartaal;980;210;7.0
161;2023 juli;110;40;12.6
162;2023 augustus;200;50;7.4
163;2023 september;70;30;5.0
164;2023 3e kwartaal;380;110;8.3
165;2023 oktober;480;100;5.2
166;2023 november;180;60;13.4
167;2023 december;230;60;9.4
168;2023 4e kwartaal;890;220;9.3
169;2023;3050;740;8.6
170;2024 januari;330;80;6.9
171;2024 februari;160;40;8.1
172;2024 maart;160;40;9.2
173;2024 1e kwartaal;650;150;8.1
174;2024 april;500;100;7.8
175;2024 mei;190;60;11.4
176;2024 juni;110;40;14.8
177;2024 2e kwartaal;800;200;11.3
178;2024 juli;200;50;15.5
179;2024 augustus;160;50;8.5
180;2024 september;110;40;5.8
181;2024 3e kwartaal;470;140;9.9
182;2024 oktober;560;120;8.4
183;2024 november;190;70;11.0
184;2024 december;220;60;6.8
185;2024 4e kwartaal;970;250;8.8
186;2024;2900;740;9.5
