ID;Consignment;Countries;CPA2008;Periods;ImportOfGoodsAccordingToOwnership_1
64;"Imports of goods; ownership prin.; total";Total;03 Fish and other fishing products..;2015;536.0
65;"Imports of goods; ownership prin.; total";Total;03 Fish and other fishing products..;2016;669.0
66;"Imports of goods; ownership prin.; total";Total;03 Fish and other fishing products..;2017;685.0
67;"Imports of goods; ownership prin.; total";Total;03 Fish and other fishing products..;2018;749.0
68;"Imports of goods; ownership prin.; total";Total;03 Fish and other fishing products..;2019;737.0
69;"Imports of goods; ownership prin.; total";Total;03 Fish and other fishing products..;2020;679.0
70;"Imports of goods; ownership prin.; total";Total;03 Fish and other fishing products..;2021;824.0
71;"Imports of goods; ownership prin.; total";Total;03 Fish and other fishing products..;2022;1004.0
72;"Imports of goods; ownership prin.; total";Total;030 Fish and other fishing products..;2015;536.0
73;"Imports of goods; ownership prin.; total";Total;030 Fish and other fishing products..;2016;669.0
74;"Imports of goods; ownership prin.; total";Total;030 Fish and other fishing products..;2017;685.0
75;"Imports of goods; ownership prin.; total";Total;030 Fish and other fishing products..;2018;869.0
76;"Imports of goods; ownership prin.; total";Total;030 Fish and other fishing products..;2019;737.0
77;"Imports of goods; ownership prin.; total";Total;030 Fish and other fishing products..;2020;681.0
78;"Imports of goods; ownership prin.; total";Total;030 Fish and other fishing products..;2021;825.0
79;"Imports of goods; ownership prin.; total";Total;030 Fish and other fishing products..;2022;1004.0
80;"Imports of goods; ownership prin.; total";Total;B Mining and quarrying;2015;34296.0
81;"Imports of goods; ownership prin.; total";Total;B Mining and quarrying;2016;27159.0
82;"Imports of goods; ownership prin.; total";Total;B Mining and quarrying;2017;33423.0
83;"Imports of goods; ownership prin.; total";Total;B Mining and quarrying;2018;41392.0
84;"Imports of goods; ownership prin.; total";Total;B Mining and quarrying;2019;40244.0
85;"Imports of goods; ownership prin.; total";Total;B Mining and quarrying;2020;27411.0
86;"Imports of goods; ownership prin.; total";Total;B Mining and quarrying;2021;49580.0
87;"Imports of goods; ownership prin.; total";Total;B Mining and quarrying;2022;106990.0
88;"Imports of goods; ownership prin.; total";Total;05 Coal and lignite;2015;1868.0
89;"Imports of goods; ownership prin.; total";Total;05 Coal and lignite;2016;1813.0
90;"Imports of goods; ownership prin.; total";Total;05 Coal and lignite;2017;2307.0
91;"Imports of goods; ownership prin.; total";Total;05 Coal and lignite;2018;2042.0
92;"Imports of goods; ownership prin.; total";Total;05 Coal and lignite;2019;1606.0
93;"Imports of goods; ownership prin.; total";Total;05 Coal and lignite;2020;864.0
94;"Imports of goods; ownership prin.; total";Total;05 Coal and lignite;2021;1783.0
95;"Imports of goods; ownership prin.; total";Total;05 Coal and lignite;2022;5095.0
96;"Imports of goods; ownership prin.; total";Total;06 Crude petroleum and natural gas;2015;30231.0
97;"Imports of goods; ownership prin.; total";Total;06 Crude petroleum and natural gas;2016;23268.0
98;"Imports of goods; ownership prin.; total";Total;06 Crude petroleum and natural gas;2017;28686.0
99;"Imports of goods; ownership prin.; total";Total;06 Crude petroleum and natural gas;2018;36581.0
100;"Imports of goods; ownership prin.; total";Total;06 Crude petroleum and natural gas;2019;35642.0
101;"Imports of goods; ownership prin.; total";Total;06 Crude petroleum and natural gas;2020;23533.0
102;"Imports of goods; ownership prin.; total";Total;06 Crude petroleum and natural gas;2021;44152.0
103;"Imports of goods; ownership prin.; total";Total;06 Crude petroleum and natural gas;2022;98058.0
104;"Imports of goods; ownership prin.; total";Total;061 Crude petroleum;2015;22836.0
105;"Imports of goods; ownership prin.; total";Total;061 Crude petroleum;2016;18526.0
106;"Imports of goods; ownership prin.; total";Total;061 Crude petroleum;2017;21811.0
107;"Imports of goods; ownership prin.; total";Total;061 Crude petroleum;2018;27253.0
108;"Imports of goods; ownership prin.; total";Total;061 Crude petroleum;2019;27417.0
109;"Imports of goods; ownership prin.; total";Total;061 Crude petroleum;2020;17732.0
110;"Imports of goods; ownership prin.; total";Total;061 Crude petroleum;2021;31258.0
111;"Imports of goods; ownership prin.; total";Total;061 Crude petroleum;2022;56416.0
112;"Imports of goods; ownership prin.; total";Total;062 Natural gas, liquefied or in..;2015;14442.0
113;"Imports of goods; ownership prin.; total";Total;062 Natural gas, liquefied or in..;2016;10615.0
114;"Imports of goods; ownership prin.; total";Total;062 Natural gas, liquefied or in..;2017;13702.0
115;"Imports of goods; ownership prin.; total";Total;062 Natural gas, liquefied or in..;2018;18673.0
116;"Imports of goods; ownership prin.; total";Total;062 Natural gas, liquefied or in..;2019;16617.0
117;"Imports of goods; ownership prin.; total";Total;062 Natural gas, liquefied or in..;2020;11322.0
118;"Imports of goods; ownership prin.; total";Total;062 Natural gas, liquefied or in..;2021;22610.0
119;"Imports of goods; ownership prin.; total";Total;062 Natural gas, liquefied or in..;2022;73994.0
120;"Imports of goods; ownership prin.; total";Total;07 Metal ores;2015;1245.0
121;"Imports of goods; ownership prin.; total";Total;07 Metal ores;2016;1099.0
122;"Imports of goods; ownership prin.; total";Total;07 Metal ores;2017;1412.0
123;"Imports of goods; ownership prin.; total";Total;07 Metal ores;2018;1665.0
124;"Imports of goods; ownership prin.; total";Total;07 Metal ores;2019;1800.0
125;"Imports of goods; ownership prin.; total";Total;07 Metal ores;2020;1825.0
126;"Imports of goods; ownership prin.; total";Total;07 Metal ores;2021;2380.0
127;"Imports of goods; ownership prin.; total";Total;07 Metal ores;2022;2169.0
128;"Imports of goods; ownership prin.; total";Total;08 Other mining and quarrying products;2015;952.0
129;"Imports of goods; ownership prin.; total";Total;08 Other mining and quarrying products;2016;979.0
130;"Imports of goods; ownership prin.; total";Total;08 Other mining and quarrying products;2017;1018.0
131;"Imports of goods; ownership prin.; total";Total;08 Other mining and quarrying products;2018;1104.0
132;"Imports of goods; ownership prin.; total";Total;08 Other mining and quarrying products;2019;1196.0
133;"Imports of goods; ownership prin.; total";Total;08 Other mining and quarrying products;2020;1189.0
134;"Imports of goods; ownership prin.; total";Total;08 Other mining and quarrying products;2021;1265.0
135;"Imports of goods; ownership prin.; total";Total;08 Other mining and quarrying products;2022;1668.0
136;"Imports of goods; ownership prin.; total";Total;C Manufacturing;2015;299347.0
137;"Imports of goods; ownership prin.; total";Total;C Manufacturing;2016;307456.0
138;"Imports of goods; ownership prin.; total";Total;C Manufacturing;2017;333808.0
139;"Imports of goods; ownership prin.; total";Total;C Manufacturing;2018;349825.0
140;"Imports of goods; ownership prin.; total";Total;C Manufacturing;2019;366522.0
141;"Imports of goods; ownership prin.; total";Total;C Manufacturing;2020;345496.0
142;"Imports of goods; ownership prin.; total";Total;C Manufacturing;2021;411424.0
143;"Imports of goods; ownership prin.; total";Total;C Manufacturing;2022;490333.0
144;"Imports of goods; ownership prin.; total";Total;10 Food products;2015;29050.0
145;"Imports of goods; ownership prin.; total";Total;10 Food products;2016;30049.0
146;"Imports of goods; ownership prin.; total";Total;10 Food products;2017;32130.0
147;"Imports of goods; ownership prin.; total";Total;10 Food products;2018;32685.0
148;"Imports of goods; ownership prin.; total";Total;10 Food products;2019;33668.0
149;"Imports of goods; ownership prin.; total";Total;10 Food products;2020;33366.0
150;"Imports of goods; ownership prin.; total";Total;10 Food products;2021;36900.0
151;"Imports of goods; ownership prin.; total";Total;10 Food products;2022;45533.0
152;"Imports of goods; ownership prin.; total";Total;101 Preserved meat and meat products;2015;4904.0
153;"Imports of goods; ownership prin.; total";Total;101 Preserved meat and meat products;2016;5482.0
154;"Imports of goods; ownership prin.; total";Total;101 Preserved meat and meat products;2017;5676.0
155;"Imports of goods; ownership prin.; total";Total;101 Preserved meat and meat products;2018;6645.0
156;"Imports of goods; ownership prin.; total";Total;101 Preserved meat and meat products;2019;5634.0
157;"Imports of goods; ownership prin.; total";Total;101 Preserved meat and meat products;2020;5289.0
158;"Imports of goods; ownership prin.; total";Total;101 Preserved meat and meat products;2021;5806.0
159;"Imports of goods; ownership prin.; total";Total;101 Preserved meat and meat products;2022;7614.0
160;"Imports of goods; ownership prin.; total";Total;102 Processed and preserved fish..;2015;1868.0
161;"Imports of goods; ownership prin.; total";Total;102 Processed and preserved fish..;2016;2057.0
162;"Imports of goods; ownership prin.; total";Total;102 Processed and preserved fish..;2017;2431.0
163;"Imports of goods; ownership prin.; total";Total;102 Processed and preserved fish..;2018;2682.0
164;"Imports of goods; ownership prin.; total";Total;102 Processed and preserved fish..;2019;2440.0
165;"Imports of goods; ownership prin.; total";Total;102 Processed and preserved fish..;2020;2650.0
166;"Imports of goods; ownership prin.; total";Total;102 Processed and preserved fish..;2021;2878.0
167;"Imports of goods; ownership prin.; total";Total;102 Processed and preserved fish..;2022;3206.0
168;"Imports of goods; ownership prin.; total";Total;103 Processed and preserved fruit..;2015;3823.0
169;"Imports of goods; ownership prin.; total";Total;103 Processed and preserved fruit..;2016;3778.0
170;"Imports of goods; ownership prin.; total";Total;103 Processed and preserved fruit..;2017;3638.0
171;"Imports of goods; ownership prin.; total";Total;103 Processed and preserved fruit..;2018;4571.0
172;"Imports of goods; ownership prin.; total";Total;103 Processed and preserved fruit..;2019;3864.0
173;"Imports of goods; ownership prin.; total";Total;103 Processed and preserved fruit..;2020;4269.0
174;"Imports of goods; ownership prin.; total";Total;103 Processed and preserved fruit..;2021;3927.0
175;"Imports of goods; ownership prin.; total";Total;103 Processed and preserved fruit..;2022;4569.0
176;"Imports of goods; ownership prin.; total";Total;104 Vegetable and animal oils and fats;2015;8084.0
177;"Imports of goods; ownership prin.; total";Total;104 Vegetable and animal oils and fats;2016;5827.0
178;"Imports of goods; ownership prin.; total";Total;104 Vegetable and animal oils and fats;2017;5344.0
179;"Imports of goods; ownership prin.; total";Total;104 Vegetable and animal oils and fats;2018;5814.0
180;"Imports of goods; ownership prin.; total";Total;104 Vegetable and animal oils and fats;2019;7482.0
181;"Imports of goods; ownership prin.; total";Total;104 Vegetable and animal oils and fats;2020;6389.0
182;"Imports of goods; ownership prin.; total";Total;104 Vegetable and animal oils and fats;2021;7902.0
183;"Imports of goods; ownership prin.; total";Total;104 Vegetable and animal oils and fats;2022;11315.0
184;"Imports of goods; ownership prin.; total";Total;105 Dairy products;2015;3338.0
185;"Imports of goods; ownership prin.; total";Total;105 Dairy products;2016;3582.0
186;"Imports of goods; ownership prin.; total";Total;105 Dairy products;2017;4212.0
187;"Imports of goods; ownership prin.; total";Total;105 Dairy products;2018;4617.0
188;"Imports of goods; ownership prin.; total";Total;105 Dairy products;2019;4290.0
189;"Imports of goods; ownership prin.; total";Total;105 Dairy products;2020;4140.0
190;"Imports of goods; ownership prin.; total";Total;105 Dairy products;2021;4685.0
191;"Imports of goods; ownership prin.; total";Total;105 Dairy products;2022;5853.0
192;"Imports of goods; ownership prin.; total";Total;106 Grain mill products, starches..;2015;1654.0
193;"Imports of goods; ownership prin.; total";Total;106 Grain mill products, starches..;2016;1721.0
194;"Imports of goods; ownership prin.; total";Total;106 Grain mill products, starches..;2017;1808.0
195;"Imports of goods; ownership prin.; total";Total;106 Grain mill products, starches..;2018;1850.0
196;"Imports of goods; ownership prin.; total";Total;106 Grain mill products, starches..;2019;1839.0
197;"Imports of goods; ownership prin.; total";Total;106 Grain mill products, starches..;2020;1972.0
198;"Imports of goods; ownership prin.; total";Total;106 Grain mill products, starches..;2021;2067.0
199;"Imports of goods; ownership prin.; total";Total;106 Grain mill products, starches..;2022;2554.0
200;"Imports of goods; ownership prin.; total";Total;107 Bakery and farinaceous products;2015;1041.0
201;"Imports of goods; ownership prin.; total";Total;107 Bakery and farinaceous products;2016;1152.0
202;"Imports of goods; ownership prin.; total";Total;107 Bakery and farinaceous products;2017;1166.0
203;"Imports of goods; ownership prin.; total";Total;107 Bakery and farinaceous products;2018;1262.0
204;"Imports of goods; ownership prin.; total";Total;107 Bakery and farinaceous products;2019;1338.0
205;"Imports of goods; ownership prin.; total";Total;107 Bakery and farinaceous products;2020;1323.0
206;"Imports of goods; ownership prin.; total";Total;107 Bakery and farinaceous products;2021;1508.0
207;"Imports of goods; ownership prin.; total";Total;107 Bakery and farinaceous products;2022;1817.0
208;"Imports of goods; ownership prin.; total";Total;108 Other food products;2015;9767.0
209;"Imports of goods; ownership prin.; total";Total;108 Other food products;2016;10326.0
210;"Imports of goods; ownership prin.; total";Total;108 Other food products;2017;11028.0
211;"Imports of goods; ownership prin.; total";Total;108 Other food products;2018;11469.0
212;"Imports of goods; ownership prin.; total";Total;108 Other food products;2019;12069.0
213;"Imports of goods; ownership prin.; total";Total;108 Other food products;2020;11206.0
214;"Imports of goods; ownership prin.; total";Total;108 Other food products;2021;11516.0
215;"Imports of goods; ownership prin.; total";Total;108 Other food products;2022;13484.0
216;"Imports of goods; ownership prin.; total";Total;109 Prepared animal feeds;2015;909.0
217;"Imports of goods; ownership prin.; total";Total;109 Prepared animal feeds;2016;911.0
218;"Imports of goods; ownership prin.; total";Total;109 Prepared animal feeds;2017;1000.0
219;"Imports of goods; ownership prin.; total";Total;109 Prepared animal feeds;2018;1158.0
220;"Imports of goods; ownership prin.; total";Total;109 Prepared animal feeds;2019;1170.0
221;"Imports of goods; ownership prin.; total";Total;109 Prepared animal feeds;2020;1255.0
222;"Imports of goods; ownership prin.; total";Total;109 Prepared animal feeds;2021;1427.0
223;"Imports of goods; ownership prin.; total";Total;109 Prepared animal feeds;2022;1850.0
224;"Imports of goods; ownership prin.; total";Total;11 Beverages;2015;3007.0
225;"Imports of goods; ownership prin.; total";Total;11 Beverages;2016;3151.0
226;"Imports of goods; ownership prin.; total";Total;11 Beverages;2017;3297.0
227;"Imports of goods; ownership prin.; total";Total;11 Beverages;2018;3559.0
228;"Imports of goods; ownership prin.; total";Total;11 Beverages;2019;3772.0
229;"Imports of goods; ownership prin.; total";Total;11 Beverages;2020;3757.0
230;"Imports of goods; ownership prin.; total";Total;11 Beverages;2021;4247.0
231;"Imports of goods; ownership prin.; total";Total;11 Beverages;2022;4903.0
232;"Imports of goods; ownership prin.; total";Total;110 Beverages;2015;3011.0
233;"Imports of goods; ownership prin.; total";Total;110 Beverages;2016;3155.0
234;"Imports of goods; ownership prin.; total";Total;110 Beverages;2017;3297.0
235;"Imports of goods; ownership prin.; total";Total;110 Beverages;2018;3559.0
236;"Imports of goods; ownership prin.; total";Total;110 Beverages;2019;3886.0
237;"Imports of goods; ownership prin.; total";Total;110 Beverages;2020;3828.0
238;"Imports of goods; ownership prin.; total";Total;110 Beverages;2021;4329.0
239;"Imports of goods; ownership prin.; total";Total;110 Beverages;2022;4903.0
240;"Imports of goods; ownership prin.; total";Total;12 Tobacco products;2015;1011.0
241;"Imports of goods; ownership prin.; total";Total;12 Tobacco products;2016;1091.0
242;"Imports of goods; ownership prin.; total";Total;12 Tobacco products;2017;1155.0
243;"Imports of goods; ownership prin.; total";Total;12 Tobacco products;2018;1050.0
244;"Imports of goods; ownership prin.; total";Total;12 Tobacco products;2019;951.0
245;"Imports of goods; ownership prin.; total";Total;12 Tobacco products;2020;938.0
246;"Imports of goods; ownership prin.; total";Total;12 Tobacco products;2021;894.0
247;"Imports of goods; ownership prin.; total";Total;12 Tobacco products;2022;879.0
248;"Imports of goods; ownership prin.; total";Total;120 Tobacco products;2015;1011.0
249;"Imports of goods; ownership prin.; total";Total;120 Tobacco products;2016;1092.0
250;"Imports of goods; ownership prin.; total";Total;120 Tobacco products;2017;1155.0
251;"Imports of goods; ownership prin.; total";Total;120 Tobacco products;2018;1050.0
252;"Imports of goods; ownership prin.; total";Total;120 Tobacco products;2019;951.0
253;"Imports of goods; ownership prin.; total";Total;120 Tobacco products;2020;938.0
254;"Imports of goods; ownership prin.; total";Total;120 Tobacco products;2021;894.0
255;"Imports of goods; ownership prin.; total";Total;120 Tobacco products;2022;879.0
256;"Imports of goods; ownership prin.; total";Total;13 Textiles;2015;3026.0
257;"Imports of goods; ownership prin.; total";Total;13 Textiles;2016;3282.0
258;"Imports of goods; ownership prin.; total";Total;13 Textiles;2017;3604.0
259;"Imports of goods; ownership prin.; total";Total;13 Textiles;2018;3711.0
260;"Imports of goods; ownership prin.; total";Total;13 Textiles;2019;3887.0
261;"Imports of goods; ownership prin.; total";Total;13 Textiles;2020;4580.0
262;"Imports of goods; ownership prin.; total";Total;13 Textiles;2021;4815.0
263;"Imports of goods; ownership prin.; total";Total;13 Textiles;2022;4759.0
264;"Imports of goods; ownership prin.; total";Total;14 Wearing apparel;2015;9638.0
265;"Imports of goods; ownership prin.; total";Total;14 Wearing apparel;2016;10176.0
266;"Imports of goods; ownership prin.; total";Total;14 Wearing apparel;2017;10688.0
267;"Imports of goods; ownership prin.; total";Total;14 Wearing apparel;2018;11485.0
268;"Imports of goods; ownership prin.; total";Total;14 Wearing apparel;2019;12464.0
269;"Imports of goods; ownership prin.; total";Total;14 Wearing apparel;2020;11372.0
270;"Imports of goods; ownership prin.; total";Total;14 Wearing apparel;2021;13387.0
271;"Imports of goods; ownership prin.; total";Total;14 Wearing apparel;2022;16080.0
272;"Imports of goods; ownership prin.; total";Total;15 Leather and related products;2015;4377.0
273;"Imports of goods; ownership prin.; total";Total;15 Leather and related products;2016;4746.0
274;"Imports of goods; ownership prin.; total";Total;15 Leather and related products;2017;5082.0
275;"Imports of goods; ownership prin.; total";Total;15 Leather and related products;2018;5272.0
276;"Imports of goods; ownership prin.; total";Total;15 Leather and related products;2019;5533.0
277;"Imports of goods; ownership prin.; total";Total;15 Leather and related products;2020;4684.0
278;"Imports of goods; ownership prin.; total";Total;15 Leather and related products;2021;5399.0
279;"Imports of goods; ownership prin.; total";Total;15 Leather and related products;2022;6752.0
280;"Imports of goods; ownership prin.; total";Total;16 Wood, wood and cork products ..;2015;2647.0
281;"Imports of goods; ownership prin.; total";Total;16 Wood, wood and cork products ..;2016;2957.0
282;"Imports of goods; ownership prin.; total";Total;16 Wood, wood and cork products ..;2017;3147.0
283;"Imports of goods; ownership prin.; total";Total;16 Wood, wood and cork products ..;2018;3567.0
284;"Imports of goods; ownership prin.; total";Total;16 Wood, wood and cork products ..;2019;3765.0
285;"Imports of goods; ownership prin.; total";Total;16 Wood, wood and cork products ..;2020;3820.0
286;"Imports of goods; ownership prin.; total";Total;16 Wood, wood and cork products ..;2021;5135.0
287;"Imports of goods; ownership prin.; total";Total;16 Wood, wood and cork products ..;2022;5830.0
288;"Imports of goods; ownership prin.; total";Total;161 Wood, sawn and planed;2015;1779.0
289;"Imports of goods; ownership prin.; total";Total;161 Wood, sawn and planed;2016;1974.0
290;"Imports of goods; ownership prin.; total";Total;161 Wood, sawn and planed;2017;2086.0
291;"Imports of goods; ownership prin.; total";Total;161 Wood, sawn and planed;2018;2406.0
292;"Imports of goods; ownership prin.; total";Total;161 Wood, sawn and planed;2019;2501.0
293;"Imports of goods; ownership prin.; total";Total;161 Wood, sawn and planed;2020;2552.0
294;"Imports of goods; ownership prin.; total";Total;161 Wood, sawn and planed;2021;3515.0
295;"Imports of goods; ownership prin.; total";Total;161 Wood, sawn and planed;2022;3889.0
296;"Imports of goods; ownership prin.; total";Total;162 Products of wood, cork, straw..;2015;896.0
297;"Imports of goods; ownership prin.; total";Total;162 Products of wood, cork, straw..;2016;992.0
298;"Imports of goods; ownership prin.; total";Total;162 Products of wood, cork, straw..;2017;1061.0
299;"Imports of goods; ownership prin.; total";Total;162 Products of wood, cork, straw..;2018;1161.0
300;"Imports of goods; ownership prin.; total";Total;162 Products of wood, cork, straw..;2019;1272.0
301;"Imports of goods; ownership prin.; total";Total;162 Products of wood, cork, straw..;2020;1268.0
302;"Imports of goods; ownership prin.; total";Total;162 Products of wood, cork, straw..;2021;1620.0
303;"Imports of goods; ownership prin.; total";Total;162 Products of wood, cork, straw..;2022;1948.0
304;"Imports of goods; ownership prin.; total";Total;17 Paper and paper products;2015;5310.0
305;"Imports of goods; ownership prin.; total";Total;17 Paper and paper products;2016;5642.0
306;"Imports of goods; ownership prin.; total";Total;17 Paper and paper products;2017;5756.0
307;"Imports of goods; ownership prin.; total";Total;17 Paper and paper products;2018;6023.0
308;"Imports of goods; ownership prin.; total";Total;17 Paper and paper products;2019;6251.0
309;"Imports of goods; ownership prin.; total";Total;17 Paper and paper products;2020;5805.0
310;"Imports of goods; ownership prin.; total";Total;17 Paper and paper products;2021;6923.0
311;"Imports of goods; ownership prin.; total";Total;17 Paper and paper products;2022;8694.0
312;"Imports of goods; ownership prin.; total";Total;171 Pulp, paper and paperboard;2015;4002.0
313;"Imports of goods; ownership prin.; total";Total;171 Pulp, paper and paperboard;2016;4746.0
314;"Imports of goods; ownership prin.; total";Total;171 Pulp, paper and paperboard;2017;4158.0
315;"Imports of goods; ownership prin.; total";Total;171 Pulp, paper and paperboard;2018;4122.0
316;"Imports of goods; ownership prin.; total";Total;171 Pulp, paper and paperboard;2019;4610.0
317;"Imports of goods; ownership prin.; total";Total;171 Pulp, paper and paperboard;2020;3624.0
318;"Imports of goods; ownership prin.; total";Total;171 Pulp, paper and paperboard;2021;4053.0
319;"Imports of goods; ownership prin.; total";Total;171 Pulp, paper and paperboard;2022;6392.0
320;"Imports of goods; ownership prin.; total";Total;172 Articles of paper and paperboard;2015;2426.0
321;"Imports of goods; ownership prin.; total";Total;172 Articles of paper and paperboard;2016;2610.0
322;"Imports of goods; ownership prin.; total";Total;172 Articles of paper and paperboard;2017;2669.0
323;"Imports of goods; ownership prin.; total";Total;172 Articles of paper and paperboard;2018;2739.0
324;"Imports of goods; ownership prin.; total";Total;172 Articles of paper and paperboard;2019;2995.0
325;"Imports of goods; ownership prin.; total";Total;172 Articles of paper and paperboard;2020;2968.0
326;"Imports of goods; ownership prin.; total";Total;172 Articles of paper and paperboard;2021;3506.0
327;"Imports of goods; ownership prin.; total";Total;172 Articles of paper and paperboard;2022;4186.0
328;"Imports of goods; ownership prin.; total";Total;18 Printing and recording services;2015;32.0
329;"Imports of goods; ownership prin.; total";Total;18 Printing and recording services;2016;25.0
330;"Imports of goods; ownership prin.; total";Total;18 Printing and recording services;2017;28.0
331;"Imports of goods; ownership prin.; total";Total;18 Printing and recording services;2018;24.0
332;"Imports of goods; ownership prin.; total";Total;18 Printing and recording services;2019;23.0
333;"Imports of goods; ownership prin.; total";Total;18 Printing and recording services;2020;25.0
334;"Imports of goods; ownership prin.; total";Total;18 Printing and recording services;2021;31.0
335;"Imports of goods; ownership prin.; total";Total;18 Printing and recording services;2022;30.0
336;"Imports of goods; ownership prin.; total";Total;181 Printing services and services..;2015;32.0
337;"Imports of goods; ownership prin.; total";Total;181 Printing services and services..;2016;25.0
