ID;FinancialCorporations;Periods;TotalAssets_1;MonetaryGold_2;AssetsOnTheInternMonetaryFund_3;CurrencyAndTransferableDeposits_4;Deposits_5;Bonds_6;FinancialDerivatives_7;Shares_8;ShortTermSecuritiesOtherThanShares_9;OtherEquity_10;ShortTermLoans_11;LongTermLoans_12;MortgageLoans_13;Property_14;InsuranceTechnicalReserves_15;PrepaymentsOfInsurancePremiums_16;OtherAccountsReceivablePayable_17;OtherAssets_18;TotalLiabilities_19;Currency_20;TransferableDeposits_21;Deposits_22;SavingsAccounts_23;Bonds_24;SharesAndOtherEquity_25;ShortTermSecuritiesOtherThanShares_26;ShortTermLoans_27;LongTermLoans_28;InsuranceTechnicalReserves_29;PrepaymentsOfInsurancePremiums_30;OtherAccountsReceivablePayable_31;OtherLiabilities_32
20;Monetary financial institutions;2003;1411815;8258.0;2413.0;45438;251008;174405;-14089;20298;11397;23002;182642;342813;293833;5982;;;64021;394;1411815;20333.0;232742.0;466621.0;183367.0;211488;81447;32263;16916;87962;;;88276;-9600
21;Monetary financial institutions;2004;1533796;8038.0;1924.0;56043;259316;177488;-18183;16536;18271;36830;222041;373529;322518;5637;;;53357;451;1533796;22465.0;226579.0;542508.0;197838.0;257717;88644;36736;23753;86075;;;76383;-24902
22;Monetary financial institutions;2005;1746703;9716.0;973.0;79997;289589;192092;-14945;26043;19536;44603;250479;405632;357737;5181;;;79616;454;1746703;23263.0;253228.0;610661.0;210922.0;313283;104843;31371;26039;92185;;;98417;-17509
23;Monetary financial institutions;2006;1911905;9947.0;514.0;150962;312903;209524;-10080;25517;16841;55805;275480;429933;377399;5167;;;51502;491;1911905;23799.0;299208.0;710850.0;221974.0;333797;112282;32438;11539;91127;;;94334;-19443
24;Monetary financial institutions;2007;2238988;11353.0;465.0;176176;394676;308269;-2355;33940;17390;87003;317643;457198;376838;5572;;;54786;34;2238988;23596.0;315878.0;839832.0;239671.0;350555;162654;39771;68353;126102;;;105286;-32710
25;Monetary financial institutions;2008;2148403;12239.0;925.0;145757;367481;371668;-39408;22918;12553;50609;308340;487036;352422;5510;;;50316;37;2148403;23886.0;280240.0;823152.0;259302.0;339331;96776;52975;88089;117793;;;106927;-40068
26;Monetary financial institutions;2009;2215473;15090.0;6264.0;133821;314824;423215;-28886;21902;13743;56261;329393;496550;355196;5042;;;73016;42;2215473;22523.0;330086.0;759355.0;277030.0;384595;111764;83260;38251;114277;;;114889;-20557
27;Monetary financial institutions;2010;2285864;20782.0;6807.0;130018;303611;428435;-25740;24817;9785;56953;335016;540851;374737;5686;;;74067;39;2285864;21208.0;382706.0;758939.0;288088.0;430832;120761;91518;3019;145977;;;82601;-39785
28;Monetary financial institutions;2011;2506189;23961.0;7465.0;129977;383645;406083;-44914;23983;4885;63116;487282;561453;386533;5362;;;67311;47;2506189;19322.0;430403.0;899064.0;302450.0;447709;126958;115290;3830;135547;;;82514;-56898
29;Monetary financial institutions;2012;2450846;24834.0;7261.0;194451;279875;387588;-74322;25519;10065;53913;480060;579487;401800;4958;;;75302;55;2450846;17288.0;520710.0;723130.0;319322.0;469251;135805;111256;24961;141004;;;104815;-116696
30;Other non-monetary fin. institutions;1998;205445;;;316;3542;3056;0;22987;0;85634;13952;44658;23000;2048;;;5517;734;205445;;;;;11031;166872;1403;28671;45473;;;5652;-53657
31;Other non-monetary fin. institutions;1999;241502;;;388;5083;2372;0;22450;0;106629;16748;47771;31771;2425;;;4291;1575;241502;;;;;19991;186171;959;27796;52562;;;5858;-51835
32;Other non-monetary fin. institutions;2000;254711;;;323;13699;11404;0;23847;0;103891;16356;52720;24382;1249;;;5198;1643;254711;;;;;40459;204586;2247;34535;45193;;;6382;-78691
33;Other non-monetary fin. institutions;2001;288145;;;2981;28043;22993;0;17183;0;89033;14210;70150;35556;1284;;;5083;1629;288145;;;;;75008;161525;1152;41166;65431;;;4926;-61063
34;Other non-monetary fin. institutions;2002;297704;;;2301;33332;27098;0;2820;0;86165;15065;71548;49847;1118;;;7467;943;297704;;;;;92920;98281;898;52253;65612;;;6137;-18397
35;Other non-monetary fin. institutions;2003;327986;;;3362;32095;31129;0;2729;0;92793;15417;69350;73870;1004;;;5143;1095;327986;;;;;119035;111042;1170;44375;68982;;;7152;-23769
36;Other non-monetary fin. institutions;2004;359965;;;3299;28862;27917;0;1834;0;112930;17894;77449;83198;1102;;;4610;869;359965;;;;;122896;127982;264;53587;72100;;;7295;-24160
37;Other non-monetary fin. institutions;2005;469822;;;5301;58626;35741;0;3134;0;140870;18548;91741;102147;1454;;;9253;3008;469822;;;;;166145;166460;594;80266;82525;;;10150;-36318
38;Other non-monetary fin. institutions;2006;547212;;;4493;65546;37316;0;3723;0;156823;23377;106650;131486;6089;;;9577;2132;547212;;;;;206654;191015;4826;74776;97694;;;13444;-41197
39;Other non-monetary fin. institutions;2007;702574;;;5091;75532;22662;0;73211;0;165925;23486;144406;172175;7231;;;9925;2930;702574;;;;;308231;235972;6016;82035;71716;;;13054;-14450
40;Other non-monetary fin. institutions;2008;675845;;;6064;77507;10534;292;2455;0;151393;28549;147383;230847;5874;;;12384;2563;675845;;;;;371340;110397;2383;100119;57923;;;10036;23647
41;Other non-monetary fin. institutions;2009;703253;;;16137;67515;10402;-148;5053;0;169732;25608;141783;252119;5778;;;6411;2863;703253;;;;;388094;126506;1207;68261;79793;;;16012;23380
42;Other non-monetary fin. institutions;2010;723018;;;30369;51719;7566;-1316;6941;0;179298;21189;165020;245539;5350;;;5184;2813;723018;;;;;374472;111124;1099;93096;94806;;;17743;30678
43;Other non-monetary fin. institutions;2011;752212;;;31030;68449;3987;9511;12680;2547;193408;22650;154291;243120;5044;;;3206;2289;752212;;;;;357755;101676;2365;117817;88978;;;30354;53267
44;Other non-monetary fin. institutions;2012;754149;;;36478;60434;7321;26646;12702;4294;201253;22763;139789;228020;4695;;;7449;2305;754149;;;;;323736;107892;2367;116471;110894;;;22050;70739
