ID;Perioden;TotaalAlleOverledenen_1;TotaalNieuwvormingen_2;KwaadaardigeNvVanLuchtpijpEnLong_3;KwaadaardigeNieuwvormingVanBorst_4;OverigeNieuwvormingen_5;PsychischeStoornisEnZktnZenuwstel_6;TotaalZiektenVanHartEnVaatstelsel_7;AcuutHartinfarct_8;Hersenvaatletsels_9;OverigeZiektenVanHartEnVaatstelsel_10;ZiektenVanDeAdemhalingsorganen_11;Wegverkeersongevallen_12;OverigeDoodsoorzaken_13
44;1998 juni;10459;3043;675;293;2075;559;3805;1069;954;1782;845;77;2130
45;1998 juli;10953;3235;711;324;2200;603;3834;1057;938;1839;949;82;2250
46;1998 augustus;10703;3140;735;314;2091;581;3708;1047;950;1711;930;75;2269
47;1998 september;10703;3213;705;299;2209;562;3835;1059;968;1808;879;90;2124
48;1998 oktober;11101;3175;711;303;2161;622;4086;1122;986;1978;1018;72;2128
49;1998 november;11334;3120;723;270;2127;614;4263;1196;1037;2030;1061;90;2186
50;1998 december;13268;3345;741;316;2288;792;4806;1311;1172;2323;1647;98;2580
51;1998;137482;38361;8646;3568;26147;7363;49826;14101;12104;23621;14013;1044;26875
52;1999 januari;13145;3387;725;337;2325;777;4668;1305;1161;2202;1689;77;2547
53;1999 februari;12334;3085;705;301;2079;688;4448;1207;1114;2127;1646;89;2378
54;1999 maart;13153;3348;711;294;2343;736;4763;1339;1159;2265;1708;81;2517
55;1999 april;11289;3118;688;281;2149;637;4072;1075;1054;1943;1099;78;2285
56;1999 mei;11374;3224;721;309;2194;648;3970;1063;946;1961;1078;79;2375
57;1999 juni;10914;3251;792;282;2177;680;3731;1034;916;1781;950;98;2204
58;1999 juli;11299;3304;708;344;2252;704;3812;1022;1023;1767;1041;98;2340
59;1999 augustus;11284;3216;708;312;2196;715;3860;1045;1002;1813;979;103;2411
60;1999 september;10694;3305;714;296;2295;639;3617;905;949;1763;852;87;2194
61;1999 oktober;11077;3220;700;299;2221;608;4077;1113;1008;1956;884;110;2178
62;1999 november;11104;3301;772;331;2198;604;3945;1105;949;1891;984;102;2168
63;1999 december;12820;3370;781;318;2271;714;4631;1244;1128;2259;1459;103;2543
64;1999;140487;39129;8725;3704;26700;8150;49594;13457;12409;23728;14369;1105;28140
65;2000 januari;14915;3440;763;274;2403;813;5126;1405;1173;2548;2563;93;2880
66;2000 februari;11773;3054;693;303;2058;647;4127;1126;1020;1981;1505;64;2376
67;2000 maart;11608;3203;679;262;2262;630;4232;1102;1012;2118;1145;71;2327
68;2000 april;11468;3148;699;270;2179;662;4167;1081;995;2091;1082;96;2313
69;2000 mei;11511;3181;694;288;2199;653;4058;1075;1014;1969;1135;100;2384
70;2000 juni;11200;3211;681;267;2263;660;3802;1022;1000;1780;1109;105;2313
71;2000 juli;11164;3306;719;312;2275;632;3907;1024;1004;1879;932;84;2303
72;2000 augustus;10960;3252;729;290;2233;673;3708;929;977;1802;957;86;2284
73;2000 september;10667;3218;704;303;2211;627;3724;974;955;1795;806;114;2178
74;2000 oktober;11556;3418;803;294;2321;641;4025;1047;994;1984;1107;95;2270
75;2000 november;11372;3188;703;301;2184;660;4051;1030;997;2024;1081;87;2305
76;2000 december;12333;3186;692;288;2206;723;4264;1144;1043;2077;1255;90;2815
77;2000;140527;38805;8559;3452;26794;8021;49191;12959;12184;24048;14677;1085;28748
78;2001 januari;13102;3360;778;319;2263;797;4533;1154;1119;2260;1507;86;2819
79;2001 februari;11115;2944;679;271;1994;680;3827;950;982;1895;1205;54;2405
80;2001 maart;12572;3522;760;301;2461;752;4316;1045;1049;2222;1305;66;2611
81;2001 april;11557;3121;703;284;2134;724;4091;1009;1032;2050;1089;71;2461
82;2001 mei;12059;3305;771;285;2249;799;4175;1062;956;2157;1164;95;2521
83;2001 juni;11420;3283;704;307;2272;778;3822;874;1036;1912;988;101;2448
84;2001 juli;11185;3139;696;259;2184;789;3610;901;924;1785;1000;74;2573
85;2001 augustus;11113;3315;707;287;2321;688;3478;812;916;1750;1023;90;2519
86;2001 september;10706;3163;707;282;2174;623;3526;903;888;1735;878;99;2417
87;2001 oktober;11523;3318;751;320;2247;683;3887;998;954;1935;1032;93;2510
88;2001 november;11391;3208;722;292;2194;694;3912;1033;971;1908;994;89;2494
89;2001 december;12634;3335;770;268;2297;742;4466;1156;1063;2247;1193;78;2820
90;2001;140377;39013;8748;3475;26790;8749;47643;11897;11890;23856;13378;996;30598
91;2002 januari;13469;3393;722;322;2349;966;4553;1049;1227;2277;1503;73;2981
92;2002 februari;11735;3118;683;261;2174;779;3992;944;972;2076;1251;79;2516
93;2002 maart;13281;3379;741;297;2341;854;4535;1113;1143;2279;1694;82;2737
94;2002 april;11968;3245;719;291;2235;808;4113;1003;1078;2032;1273;91;2438
95;2002 mei;11623;3326;782;277;2267;783;3982;985;970;2027;984;72;2476
96;2002 juni;11084;3318;759;288;2271;815;3587;850;899;1838;943;89;2332
97;2002 juli;11509;3380;753;281;2346;811;3792;828;1007;1957;936;93;2497
98;2002 augustus;11134;3283;758;297;2228;912;3546;821;937;1788;962;83;2348
99;2002 september;10438;3174;703;277;2194;717;3444;824;879;1741;717;90;2296
100;2002 oktober;11530;3348;759;305;2284;787;4001;1026;981;1994;898;85;2411
101;2002 november;11491;3306;788;311;2207;775;3928;960;967;2001;963;90;2429
102;2002 december;13093;3407;753;298;2356;961;4519;1078;1162;2279;1387;74;2745
103;2002;142355;39677;8920;3505;27252;9968;47992;11481;12222;24289;13511;1001;30206
104;2003 januari;13106;3373;720;285;2368;952;4502;1109;1111;2282;1442;97;2740
105;2003 februari;11305;3055;688;265;2102;778;3891;952;909;2030;1197;69;2315
106;2003 maart;13113;3382;782;278;2322;928;4522;1099;1067;2356;1536;90;2655
107;2003 april;12203;3344;730;295;2319;811;4113;981;1004;2128;1308;75;2552
108;2003 mei;11309;3315;687;297;2331;811;3769;918;931;1920;1047;77;2290
109;2003 juni;11088;3276;724;292;2260;844;3538;853;921;1764;975;109;2346
110;2003 juli;11234;3386;770;293;2323;829;3504;798;926;1780;975;92;2448
111;2003 augustus;11619;3304;755;270;2279;972;3599;787;933;1879;1092;101;2551
112;2003 september;10942;3301;784;267;2250;791;3572;875;891;1806;887;87;2304
113;2003 oktober;11445;3357;746;283;2328;782;3816;938;896;1982;972;78;2440
114;2003 november;11291;3289;752;274;2263;828;3716;879;908;1929;1066;88;2304
115;2003 december;13281;3485;724;292;2469;912;4400;1108;972;2320;1745;70;2669
116;2003;141936;39867;8862;3391;27614;10238;46942;11297;11469;24176;14242;1033;29614
117;2004 januari;13726;3489;822;315;2352;990;4498;1066;1048;2384;1930;52;2767
118;2004 februari;11300;3189;737;253;2199;755;3859;908;900;2051;1108;67;2322
119;2004 maart;11983;3455;829;256;2370;840;4006;905;983;2118;1167;46;2469
120;2004 april;11092;3295;770;269;2256;781;3648;837;895;1916;1024;72;2272
121;2004 mei;11093;3335;743;291;2301;828;3691;847;914;1930;918;88;2233
122;2004 juni;10692;3329;730;291;2308;795;3481;809;828;1844;894;59;2134
123;2004 juli;10786;3382;777;271;2334;838;3326;733;850;1743;899;73;2268
124;2004 augustus;11166;3395;769;283;2343;944;3376;705;867;1804;1013;58;2380
125;2004 september;10553;3345;787;278;2280;739;3436;729;891;1816;770;72;2191
126;2004 oktober;11103;3374;762;263;2349;789;3651;765;931;1955;902;90;2297
127;2004 november;10969;3270;763;264;2243;803;3629;799;897;1933;937;79;2251
128;2004 december;12090;3442;834;299;2309;859;4037;909;986;2142;1193;80;2479
129;2004;136553;40300;9323;3333;27644;9961;44638;10012;10990;23636;12755;836;28063
130;2005 januari;12544;3448;813;276;2359;927;4095;940;984;2171;1493;57;2524
131;2005 februari;12264;3216;747;271;2198;860;3891;868;906;2117;1827;63;2407
132;2005 maart;13783;3542;842;315;2385;1052;4476;994;1036;2446;2034;52;2627
133;2005 april;11214;3361;774;293;2294;744;3568;802;856;1910;1273;59;2209
134;2005 mei;11453;3425;810;265;2350;778;3681;804;856;2021;1153;60;2356
135;2005 juni;10883;3383;756;286;2341;843;3299;671;806;1822;1083;68;2207
136;2005 juli;10381;3285;730;279;2276;779;3156;621;786;1749;907;68;2186
137;2005 augustus;10348;3435;805;270;2360;760;3186;701;808;1677;694;57;2216
138;2005 september;10024;3254;772;262;2220;743;3012;629;772;1611;803;75;2137
139;2005 oktober;10805;3337;795;278;2264;838;3436;766;791;1879;876;57;2261
140;2005 november;10796;3296;799;257;2240;749;3587;823;850;1914;975;75;2114
141;2005 december;11907;3391;771;270;2350;918;3963;883;875;2205;1197;69;2369
142;2005;136402;40373;9414;3322;27637;9991;43350;9502;10326;23522;14315;760;27613
143;2006 januari;12261;3508;795;267;2446;907;3906;844;890;2172;1356;50;2534
144;2006 februari;11377;3091;734;264;2093;873;3700;735;847;2118;1366;54;2293
145;2006 maart;12689;3451;780;285;2386;968;4115;876;941;2298;1532;51;2572
146;2006 april;11474;3315;769;289;2257;957;3590;754;862;1974;1262;46;2304
147;2006 mei;10992;3368;771;284;2313;866;3341;669;851;1821;1073;76;2268
148;2006 juni;10764;3412;784;267;2361;887;3199;672;782;1745;1029;80;2157
149;2006 juli;12164;3521;836;293;2392;1255;3407;694;840;1873;1294;64;2623
150;2006 augustus;10409;3302;778;259;2265;832;3081;655;742;1684;824;65;2305
151;2006 september;10398;3278;786;300;2192;887;3050;636;724;1690;919;72;2192
152;2006 oktober;10349;3425;823;288;2314;776;3155;683;760;1712;899;63;2031
153;2006 november;10865;3384;782;263;2339;784;3445;770;797;1878;987;74;2191
154;2006 december;11630;3508;788;291;2429;834;3731;779;846;2106;1190;59;2308
155;2006;135372;40563;9426;3350;27787;10826;41720;8767;9882;23071;13731;754;27778
156;2007 januari;12221;3609;886;293;2430;902;3803;777;892;2134;1445;77;2385
157;2007 februari;10884;3211;760;258;2193;759;3471;724;772;1975;1277;48;2118
158;2007 maart;12019;3418;814;266;2338;877;3840;785;876;2179;1393;61;2430
159;2007 april;11021;3306;830;251;2225;901;3396;674;762;1960;1179;72;2167
160;2007 mei;10799;3313;742;263;2308;851;3270;629;782;1859;1117;67;2181
161;2007 juni;10423;3362;774;249;2339;829;3106;606;756;1744;997;47;2082
162;2007 juli;10484;3413;832;262;2319;825;3050;622;723;1705;950;61;2185
163;2007 augustus;10450;3479;823;250;2406;887;3035;630;738;1667;817;55;2177
164;2007 september;9906;3213;742;260;2211;787;2992;599;673;1720;811;80;2023
165;2007 oktober;11049;3465;842;278;2345;832;3430;677;752;2001;1003;69;2250
166;2007 november;11281;3476;829;284;2363;838;3541;666;814;2061;1124;62;2240
167;2007 december;12485;3629;899;285;2445;996;3915;775;879;2261;1423;71;2451
168;2007;133022;40894;9773;3199;27922;10284;40849;8164;9419;23266;13536;770;26689
169;2008 januari;12849;3665;882;289;2494;1080;3873;777;843;2253;1562;63;2606
170;2008 februari;11380;3420;833;262;2325;931;3490;702;801;1987;1246;48;2245
171;2008 maart;12079;3611;845;289;2477;987;3677;731;825;2121;1317;56;2431
172;2008 april;11366;3341;778;239;2324;953;3491;669;831;1991;1257;45;2279
173;2008 mei;11328;3511;817;267;2427;989;3308;598;789;1921;1139;70;2311
174;2008 juni;10444;3407;815;287;2305;907;3031;583;743;1705;922;55;2122
175;2008 juli;10854;3523;816;306;2401;898;3044;592;729;1723;1044;57;2288
176;2008 augustus;10434;3472;809;304;2359;877;2933;578;683;1672;903;51;2198
177;2008 september;10137;3385;747;271;2367;893;2941;537;693;1711;820;50;2048
178;2008 oktober;10992;3546;863;264;2419;851;3355;664;742;1949;1010;61;2169
179;2008 november;10906;3443;829;283;2331;912;3259;650;712;1897;1069;81;2142
180;2008 december;12367;3550;884;296;2370;1062;3727;711;794;2222;1500;62;2466
181;2008;135136;41874;9918;3357;28599;11340;40129;7792;9185;23152;13789;699;27305
182;2009 januari;14371;3795;912;306;2577;1252;4201;777;905;2519;2293;40;2790
183;2009 februari;11695;3268;745;253;2270;1013;3406;641;800;1965;1616;53;2339
184;2009 maart;11546;3560;847;250;2463;912;3519;677;804;2038;1229;51;2275
185;2009 april;10922;3488;812;240;2436;877;3243;594;746;1903;1127;56;2131
186;2009 mei;10670;3436;825;254;2357;926;3095;579;692;1824;1031;72;2110
187;2009 juni;10254;3440;793;269;2378;925;2822;460;676;1686;916;60;2091
188;2009 juli;10573;3502;784;278;2440;950;2997;534;765;1698;900;60;2164
189;2009 augustus;10239;3509;799;279;2431;990;2758;501;638;1619;826;58;2098
190;2009 september;10253;3494;863;285;2346;861;2932;570;688;1674;797;61;2108
191;2009 oktober;11176;3782;883;274;2625;937;3181;545;752;1884;1054;67;2155
192;2009 november;10719;3430;817;253;2360;906;3128;532;726;1870;1050;57;2148
193;2009 december;11817;3692;880;262;2550;1017;3615;694;791;2130;1123;48;2322
194;2009;134235;42396;9960;3203;29233;11566;38897;7104;8983;22810;13962;683;26731
195;2010 januari;12487;3760;886;282;2592;1107;3700;678;859;2163;1398;41;2481
196;2010 februari;11519;3370;771;284;2315;1000;3477;588;769;2120;1356;31;2285
197;2010 maart;12025;3755;850;282;2623;1068;3512;631;853;2028;1208;35;2447
198;2010 april;10976;3515;828;231;2456;885;3231;538;726;1967;983;51;2311
199;2010 mei;11276;3560;830;274;2456;1042;3143;521;698;1924;1062;55;2414
200;2010 juni;10657;3607;876;257;2474;974;2954;497;650;1807;925;68;2129
201;2010 juli;11141;3635;870;276;2489;1136;2954;466;696;1792;1029;52;2335
202;2010 augustus;10423;3628;826;258;2544;968;2834;499;675;1660;808;50;2135
203;2010 september;10640;3552;868;261;2423;957;2941;531;650;1760;936;63;2191
204;2010 oktober;11426;3742;927;289;2526;1019;3281;607;709;1965;1097;68;2219
205;2010 november;10948;3551;820;263;2468;954;3196;590;730;1876;1007;43;2197
206;2010 december;12540;3841;862;288;2691;1211;3786;677;824;2285;1207;40;2455
207;2010;136058;43516;10214;3245;30057;12321;39009;6823;8839;23347;13016;597;27599
208;2011 januari;12200;3675;883;297;2495;1133;3602;645;742;2215;1339;38;2413
209;2011 februari;10644;3367;784;254;2329;954;3066;517;669;1880;1101;35;2121
210;2011 maart;12044;3736;879;292;2565;1050;3484;615;769;2100;1275;39;2460
211;2011 april;11338;3632;882;255;2495;1024;3194;519;697;1978;1243;63;2182
212;2011 mei;11292;3668;858;261;2549;1025;3162;510;727;1925;1147;49;2241
213;2011 juni;10612;3543;885;271;2387;985;2865;490;667;1708;1032;63;2124
214;2011 juli;10995;3773;860;284;2629;1076;2960;487;695;1778;936;51;2199
215;2011 augustus;10686;3653;863;272;2518;1051;2909;487;621;1801;915;56;2102
216;2011 september;10635;3662;893;270;2499;1041;2864;509;653;1702;864;72;2132
217;2011 oktober;11285;3745;879;293;2573;1041;3204;512;706;1986;995;60;2240
218;2011 november;11475;3761;972;245;2544;1084;3188;549;722;1917;1109;50;2283
219;2011 december;12535;3823;906;289;2628;1204;3634;627;772;2235;1361;78;2435
220;2011;135741;44038;10544;3283;30211;12668;38132;6467;8440;23225;13317;654;26932
221;2012 januari;12490;3754;911;276;2567;1199;3475;575;779;2121;1402;52;2608
222;2012 februari;12511;3563;852;258;2453;1272;3638;591;788;2259;1536;43;2459
223;2012 maart;12799;3827;945;251;2631;1299;3523;569;779;2175;1646;58;2446
224;2012 april;11876;3772;821;277;2674;1095;3360;537;747;2076;1265;64;2320
225;2012 mei;11602;3644;861;280;2503;1145;3181;491;704;1986;1240;54;2338
226;2012 juni;11062;3719;873;232;2614;1052;2932;479;645;1808;1072;56;2231
227;2012 juli;11055;3708;820;269;2619;1202;2828;419;654;1755;901;53;2363
228;2012 augustus;10855;3673;819;276;2578;1166;2716;422;611;1683;893;63;2344
229;2012 september;10704;3542;831;253;2458;1098;2924;492;666;1766;859;44;2237
230;2012 oktober;11510;3805;819;291;2695;1145;3150;517;648;1985;1058;51;2301
231;2012 november;11663;3779;892;286;2601;1202;3235;563;699;1973;1117;47;2283
232;2012 december;12686;3875;878;281;2716;1296;3409;540;752;2117;1488;65;2553
233;2012;140813;44661;10322;3230;31109;14171;38371;6195;8472;23704;14477;650;28483
