ID;Geslacht;Leeftijd;Regio;AantalBewoners_1
55;Totaal mannen en vrouwen;Totaal alle leeftijden;Andijk;4181
56;Totaal mannen en vrouwen;Totaal alle leeftijden;Angerlo;2617
57;Totaal mannen en vrouwen;Totaal alle leeftijden;Ankeveen;628
58;Totaal mannen en vrouwen;Totaal alle leeftijden;Anlo;5198
59;Totaal mannen en vrouwen;Totaal alle leeftijden;Anna Paulowna;5501
60;Totaal mannen en vrouwen;Totaal alle leeftijden;Annaland (St.);2613
61;Totaal mannen en vrouwen;Totaal alle leeftijden;Apeldoorn;60452
62;Totaal mannen en vrouwen;Totaal alle leeftijden;Appeltern;3079
63;Totaal mannen en vrouwen;Totaal alle leeftijden;Appingedam;6488
64;Totaal mannen en vrouwen;Totaal alle leeftijden;Arcen en Velden;3352
65;Totaal mannen en vrouwen;Totaal alle leeftijden;Arkel;1149
66;Totaal mannen en vrouwen;Totaal alle leeftijden;Arnemuiden;2285
67;Totaal mannen en vrouwen;Totaal alle leeftijden;Arnhem;78234
68;Totaal mannen en vrouwen;Totaal alle leeftijden;Asperen;1678
69;Totaal mannen en vrouwen;Totaal alle leeftijden;Assen;17656
70;Totaal mannen en vrouwen;Totaal alle leeftijden;Assendelft;4960
71;Totaal mannen en vrouwen;Totaal alle leeftijden;Asten;5677
72;Totaal mannen en vrouwen;Totaal alle leeftijden;Avenhorn;1410
73;Totaal mannen en vrouwen;Totaal alle leeftijden;Avereest;9582
74;Totaal mannen en vrouwen;Totaal alle leeftijden;Axel;6060
75;Totaal mannen en vrouwen;Totaal alle leeftijden;Baarderadeel;5161
76;Totaal mannen en vrouwen;Totaal alle leeftijden;Baarland;771
77;Totaal mannen en vrouwen;Totaal alle leeftijden;Baarle-Nassau;3267
78;Totaal mannen en vrouwen;Totaal alle leeftijden;Baarn;12141
79;Totaal mannen en vrouwen;Totaal alle leeftijden;Baexem;926
80;Totaal mannen en vrouwen;Totaal alle leeftijden;Baflo;2712
81;Totaal mannen en vrouwen;Totaal alle leeftijden;Bakel en Milheeze;3109
82;Totaal mannen en vrouwen;Totaal alle leeftijden;Barendrecht;4999
83;Totaal mannen en vrouwen;Totaal alle leeftijden;Barneveld;13747
84;Totaal mannen en vrouwen;Totaal alle leeftijden;Barradeel;7988
85;Totaal mannen en vrouwen;Totaal alle leeftijden;Barsingerhorn;2154
86;Totaal mannen en vrouwen;Totaal alle leeftijden;Barwoutswaarder;881
87;Totaal mannen en vrouwen;Totaal alle leeftijden;Batenburg;503
88;Totaal mannen en vrouwen;Totaal alle leeftijden;Bathmen;1900
89;Totaal mannen en vrouwen;Totaal alle leeftijden;Bedum;5890
90;Totaal mannen en vrouwen;Totaal alle leeftijden;Beegden;760
91;Totaal mannen en vrouwen;Totaal alle leeftijden;Beek (L.);5090
92;Totaal mannen en vrouwen;Totaal alle leeftijden;Beek en Donk;3188
93;Totaal mannen en vrouwen;Totaal alle leeftijden;Beemster;5165
94;Totaal mannen en vrouwen;Totaal alle leeftijden;Beers;887
95;Totaal mannen en vrouwen;Totaal alle leeftijden;Beerta;3979
96;Totaal mannen en vrouwen;Totaal alle leeftijden;Beesd;2624
97;Totaal mannen en vrouwen;Totaal alle leeftijden;Beesel;4232
98;Totaal mannen en vrouwen;Totaal alle leeftijden;Beets;457
99;Totaal mannen en vrouwen;Totaal alle leeftijden;Beijerland (Nieuw-);1757
100;Totaal mannen en vrouwen;Totaal alle leeftijden;Beijerland (Oud-);6027
101;Totaal mannen en vrouwen;Totaal alle leeftijden;Beijerland (Zuid-);2507
102;Totaal mannen en vrouwen;Totaal alle leeftijden;Beilen;8119
103;Totaal mannen en vrouwen;Totaal alle leeftijden;Belfeld;1897
104;Totaal mannen en vrouwen;Totaal alle leeftijden;Bellingwolde;6142
105;Totaal mannen en vrouwen;Totaal alle leeftijden;Bemelen;246
106;Totaal mannen en vrouwen;Totaal alle leeftijden;Bemmel;7115
107;Totaal mannen en vrouwen;Totaal alle leeftijden;Bennebroek;2157
108;Totaal mannen en vrouwen;Totaal alle leeftijden;Benschop;1882
109;Totaal mannen en vrouwen;Totaal alle leeftijden;Benthuizen;1031
110;Totaal mannen en vrouwen;Totaal alle leeftijden;Berg en Terblijt;2045
111;Totaal mannen en vrouwen;Totaal alle leeftijden;Bergambacht;3662
112;Totaal mannen en vrouwen;Totaal alle leeftijden;Bergeijk;3020
113;Totaal mannen en vrouwen;Totaal alle leeftijden;Bergen (L.);6603
114;Totaal mannen en vrouwen;Totaal alle leeftijden;Bergen (NH.);5715
115;Totaal mannen en vrouwen;Totaal alle leeftijden;Bergen op Zoom;21652
116;Totaal mannen en vrouwen;Totaal alle leeftijden;Bergh;10697
117;Totaal mannen en vrouwen;Totaal alle leeftijden;Bergharen;1656
118;Totaal mannen en vrouwen;Totaal alle leeftijden;Berghem;2575
119;Totaal mannen en vrouwen;Totaal alle leeftijden;Bergschenhoek;2121
120;Totaal mannen en vrouwen;Totaal alle leeftijden;Berkel en Rodenrijs;4329
121;Totaal mannen en vrouwen;Totaal alle leeftijden;Berkel-Enschot;2064
122;Totaal mannen en vrouwen;Totaal alle leeftijden;Berkenwoude;872
123;Totaal mannen en vrouwen;Totaal alle leeftijden;Berkhout;2841
124;Totaal mannen en vrouwen;Totaal alle leeftijden;Berlicum;3487
125;Totaal mannen en vrouwen;Totaal alle leeftijden;Best;4253
126;Totaal mannen en vrouwen;Totaal alle leeftijden;Beugen en Rijkevoort;2284
127;Totaal mannen en vrouwen;Totaal alle leeftijden;Beuningen;3306
128;Totaal mannen en vrouwen;Totaal alle leeftijden;Beusichem;1521
129;Totaal mannen en vrouwen;Totaal alle leeftijden;Beverwijk;9961
130;Totaal mannen en vrouwen;Totaal alle leeftijden;Bierum;4516
131;Totaal mannen en vrouwen;Totaal alle leeftijden;Biervliet;2336
132;Totaal mannen en vrouwen;Totaal alle leeftijden;Biggekerke;878
133;Totaal mannen en vrouwen;Totaal alle leeftijden;Bildt ('t);8311
134;Totaal mannen en vrouwen;Totaal alle leeftijden;Bilt (de);11151
135;Totaal mannen en vrouwen;Totaal alle leeftijden;Bingelrade;555
136;Totaal mannen en vrouwen;Totaal alle leeftijden;Bladel en Netersel;2439
137;Totaal mannen en vrouwen;Totaal alle leeftijden;Blankenham;527
138;Totaal mannen en vrouwen;Totaal alle leeftijden;Blaricum;2831
139;Totaal mannen en vrouwen;Totaal alle leeftijden;Bleiswijk;2211
140;Totaal mannen en vrouwen;Totaal alle leeftijden;Bleskensgraaf en Hofwege;1101
141;Totaal mannen en vrouwen;Totaal alle leeftijden;Bloemendaal;14086
142;Totaal mannen en vrouwen;Totaal alle leeftijden;Blokker;2327
143;Totaal mannen en vrouwen;Totaal alle leeftijden;Blokzijl;961
144;Totaal mannen en vrouwen;Totaal alle leeftijden;Bocholtz;3096
145;Totaal mannen en vrouwen;Totaal alle leeftijden;Bodegraven;6288
146;Totaal mannen en vrouwen;Totaal alle leeftijden;Boekel;3279
147;Totaal mannen en vrouwen;Totaal alle leeftijden;Bolsward;6866
148;Totaal mannen en vrouwen;Totaal alle leeftijden;Bommel (den);1884
149;Totaal mannen en vrouwen;Totaal alle leeftijden;Borculo;5288
150;Totaal mannen en vrouwen;Totaal alle leeftijden;Borger;9924
151;Totaal mannen en vrouwen;Totaal alle leeftijden;Borgharen;1121
152;Totaal mannen en vrouwen;Totaal alle leeftijden;Borkel en Schaft;766
153;Totaal mannen en vrouwen;Totaal alle leeftijden;Born;2553
154;Totaal mannen en vrouwen;Totaal alle leeftijden;Borne;9357
155;Totaal mannen en vrouwen;Totaal alle leeftijden;Borsselen;1419
156;Totaal mannen en vrouwen;Totaal alle leeftijden;Boschkapelle;1240
157;Totaal mannen en vrouwen;Totaal alle leeftijden;Boskoop;7704
158;Totaal mannen en vrouwen;Totaal alle leeftijden;Bovenkarspel;2929
159;Totaal mannen en vrouwen;Totaal alle leeftijden;Boxmeer;3591
160;Totaal mannen en vrouwen;Totaal alle leeftijden;Boxtel;10944
161;Totaal mannen en vrouwen;Totaal alle leeftijden;Brakel;1754
162;Totaal mannen en vrouwen;Totaal alle leeftijden;Brandwijk;918
163;Totaal mannen en vrouwen;Totaal alle leeftijden;Breda;44649
164;Totaal mannen en vrouwen;Totaal alle leeftijden;Breskens;3003
165;Totaal mannen en vrouwen;Totaal alle leeftijden;Breukelen-Nijenrode;2900
166;Totaal mannen en vrouwen;Totaal alle leeftijden;Breukelen-Sint Pieters;888
167;Totaal mannen en vrouwen;Totaal alle leeftijden;Brielle;3546
168;Totaal mannen en vrouwen;Totaal alle leeftijden;Broek in Waterland;1650
169;Totaal mannen en vrouwen;Totaal alle leeftijden;Broek op Langedijk;2408
170;Totaal mannen en vrouwen;Totaal alle leeftijden;Broekhuizen;964
171;Totaal mannen en vrouwen;Totaal alle leeftijden;Broeksittard;899
172;Totaal mannen en vrouwen;Totaal alle leeftijden;Brouwershaven;1234
173;Totaal mannen en vrouwen;Totaal alle leeftijden;Bruinisse;2415
174;Totaal mannen en vrouwen;Totaal alle leeftijden;Brummen;9203
175;Totaal mannen en vrouwen;Totaal alle leeftijden;Brunssum;16036
176;Totaal mannen en vrouwen;Totaal alle leeftijden;Budel;4857
177;Totaal mannen en vrouwen;Totaal alle leeftijden;Buggenum;755
178;Totaal mannen en vrouwen;Totaal alle leeftijden;Bunde;1528
179;Totaal mannen en vrouwen;Totaal alle leeftijden;Bunnik;1684
180;Totaal mannen en vrouwen;Totaal alle leeftijden;Bunschoten;4911
181;Totaal mannen en vrouwen;Totaal alle leeftijden;Buren;1847
182;Totaal mannen en vrouwen;Totaal alle leeftijden;Burgh;625
183;Totaal mannen en vrouwen;Totaal alle leeftijden;Bussum;25105
184;Totaal mannen en vrouwen;Totaal alle leeftijden;Buurmalsen;1955
185;Totaal mannen en vrouwen;Totaal alle leeftijden;Cadier en Keer;1102
186;Totaal mannen en vrouwen;Totaal alle leeftijden;Cadzand;933
187;Totaal mannen en vrouwen;Totaal alle leeftijden;Callantsoog;1036
188;Totaal mannen en vrouwen;Totaal alle leeftijden;Capelle aan den IJssel;7972
189;Totaal mannen en vrouwen;Totaal alle leeftijden;Castricum;5512
190;Totaal mannen en vrouwen;Totaal alle leeftijden;Chaam;1983
191;Totaal mannen en vrouwen;Totaal alle leeftijden;Clinge;3685
192;Totaal mannen en vrouwen;Totaal alle leeftijden;Coevorden;6816
193;Totaal mannen en vrouwen;Totaal alle leeftijden;Colijnsplaat;1928
194;Totaal mannen en vrouwen;Totaal alle leeftijden;Cothen;914
195;Totaal mannen en vrouwen;Totaal alle leeftijden;Cromvoirt;680
196;Totaal mannen en vrouwen;Totaal alle leeftijden;Cuijk en Sint Agatha;4015
197;Totaal mannen en vrouwen;Totaal alle leeftijden;Culemborg;9377
198;Totaal mannen en vrouwen;Totaal alle leeftijden;Dalen;4001
199;Totaal mannen en vrouwen;Totaal alle leeftijden;Dalfsen;7318
200;Totaal mannen en vrouwen;Totaal alle leeftijden;Dantumadeel;13209
201;Totaal mannen en vrouwen;Totaal alle leeftijden;Deil;2152
202;Totaal mannen en vrouwen;Totaal alle leeftijden;Delden (Ambt-);3761
203;Totaal mannen en vrouwen;Totaal alle leeftijden;Delden (Stad-);2857
204;Totaal mannen en vrouwen;Totaal alle leeftijden;Delft;50827
205;Totaal mannen en vrouwen;Totaal alle leeftijden;Delfzijl;9666
206;Totaal mannen en vrouwen;Totaal alle leeftijden;Denekamp;6355
207;Totaal mannen en vrouwen;Totaal alle leeftijden;Deurne;10806
208;Totaal mannen en vrouwen;Totaal alle leeftijden;Deventer;36221
209;Totaal mannen en vrouwen;Totaal alle leeftijden;Didam;6140
210;Totaal mannen en vrouwen;Totaal alle leeftijden;Diemen;4001
211;Totaal mannen en vrouwen;Totaal alle leeftijden;Diepenheim;1777
212;Totaal mannen en vrouwen;Totaal alle leeftijden;Diepenveen;6774
213;Totaal mannen en vrouwen;Totaal alle leeftijden;Diessen;1416
214;Totaal mannen en vrouwen;Totaal alle leeftijden;Diever;2716
215;Totaal mannen en vrouwen;Totaal alle leeftijden;Dinteloord en Prinsenland;4091
216;Totaal mannen en vrouwen;Totaal alle leeftijden;Dinther;1959
217;Totaal mannen en vrouwen;Totaal alle leeftijden;Dinxperlo;3525
218;Totaal mannen en vrouwen;Totaal alle leeftijden;Dirksland;2621
219;Totaal mannen en vrouwen;Totaal alle leeftijden;Dodewaard;2110
220;Totaal mannen en vrouwen;Totaal alle leeftijden;Doesburg;4921
221;Totaal mannen en vrouwen;Totaal alle leeftijden;Doetinchem;14329
222;Totaal mannen en vrouwen;Totaal alle leeftijden;Dokkum;4895
223;Totaal mannen en vrouwen;Totaal alle leeftijden;Domburg;1289
224;Totaal mannen en vrouwen;Totaal alle leeftijden;Dommelen;640
225;Totaal mannen en vrouwen;Totaal alle leeftijden;Dongen;8853
226;Totaal mannen en vrouwen;Totaal alle leeftijden;Doniawerstal;5622
227;Totaal mannen en vrouwen;Totaal alle leeftijden;Doorn;4134
228;Totaal mannen en vrouwen;Totaal alle leeftijden;Doornspijk;4319
229;Totaal mannen en vrouwen;Totaal alle leeftijden;Dordrecht;56156
230;Totaal mannen en vrouwen;Totaal alle leeftijden;Dreischor;1160
231;Totaal mannen en vrouwen;Totaal alle leeftijden;Dreumel;2506
232;Totaal mannen en vrouwen;Totaal alle leeftijden;Driebergen;6208
233;Totaal mannen en vrouwen;Totaal alle leeftijden;Driel;3862
234;Totaal mannen en vrouwen;Totaal alle leeftijden;Driewegen;609
235;Totaal mannen en vrouwen;Totaal alle leeftijden;Drunen;3387
236;Totaal mannen en vrouwen;Totaal alle leeftijden;Druten;5890
237;Totaal mannen en vrouwen;Totaal alle leeftijden;Dubbeldam;4681
238;Totaal mannen en vrouwen;Totaal alle leeftijden;Duiven;3795
239;Totaal mannen en vrouwen;Totaal alle leeftijden;Duivendijke;543
240;Totaal mannen en vrouwen;Totaal alle leeftijden;Dungen (den);1897
241;Totaal mannen en vrouwen;Totaal alle leeftijden;Dussen;3746
242;Totaal mannen en vrouwen;Totaal alle leeftijden;Dwingeloo;3016
243;Totaal mannen en vrouwen;Totaal alle leeftijden;Echt;9425
244;Totaal mannen en vrouwen;Totaal alle leeftijden;Echteld;3529
245;Totaal mannen en vrouwen;Totaal alle leeftijden;Edam;8295
246;Totaal mannen en vrouwen;Totaal alle leeftijden;Ede;30688
247;Totaal mannen en vrouwen;Totaal alle leeftijden;Eede;1100
248;Totaal mannen en vrouwen;Totaal alle leeftijden;Eelde;3341
249;Totaal mannen en vrouwen;Totaal alle leeftijden;Eemnes;1875
250;Totaal mannen en vrouwen;Totaal alle leeftijden;Eenrum;2546
251;Totaal mannen en vrouwen;Totaal alle leeftijden;Eersel;2810
252;Totaal mannen en vrouwen;Totaal alle leeftijden;Eethen;2315
253;Totaal mannen en vrouwen;Totaal alle leeftijden;Egmond aan Zee;2891
254;Totaal mannen en vrouwen;Totaal alle leeftijden;Egmond-Binnen;2387
255;Totaal mannen en vrouwen;Totaal alle leeftijden;Eibergen;9135
256;Totaal mannen en vrouwen;Totaal alle leeftijden;Eijgelshoven;3919
257;Totaal mannen en vrouwen;Totaal alle leeftijden;Eijsden;3695
258;Totaal mannen en vrouwen;Totaal alle leeftijden;Eindhoven;94948
259;Totaal mannen en vrouwen;Totaal alle leeftijden;Elburg;2634
260;Totaal mannen en vrouwen;Totaal alle leeftijden;Elkerzee;583
261;Totaal mannen en vrouwen;Totaal alle leeftijden;Ellemeet;514
262;Totaal mannen en vrouwen;Totaal alle leeftijden;Ellewoutsdijk;578
263;Totaal mannen en vrouwen;Totaal alle leeftijden;Elsloo;2650
264;Totaal mannen en vrouwen;Totaal alle leeftijden;Elst;8701
265;Totaal mannen en vrouwen;Totaal alle leeftijden;Emmen;40961
266;Totaal mannen en vrouwen;Totaal alle leeftijden;Empel en Meerwijk;730
267;Totaal mannen en vrouwen;Totaal alle leeftijden;Engelen;1617
268;Totaal mannen en vrouwen;Totaal alle leeftijden;Enkhuizen;9347
269;Totaal mannen en vrouwen;Totaal alle leeftijden;Enschede;51805
270;Totaal mannen en vrouwen;Totaal alle leeftijden;Epe;13410
271;Totaal mannen en vrouwen;Totaal alle leeftijden;Ermelo;14718
272;Totaal mannen en vrouwen;Totaal alle leeftijden;Erp;2883
273;Totaal mannen en vrouwen;Totaal alle leeftijden;Esch;680
274;Totaal mannen en vrouwen;Totaal alle leeftijden;Escharen;1450
275;Totaal mannen en vrouwen;Totaal alle leeftijden;Est en Opijnen;1007
276;Totaal mannen en vrouwen;Totaal alle leeftijden;Etten en Leur;9583
277;Totaal mannen en vrouwen;Totaal alle leeftijden;Everdingen;1038
278;Totaal mannen en vrouwen;Totaal alle leeftijden;Ewijk;2742
279;Totaal mannen en vrouwen;Totaal alle leeftijden;Ezinge;1854
280;Totaal mannen en vrouwen;Totaal alle leeftijden;Ferwerderadeel;8371
281;Totaal mannen en vrouwen;Totaal alle leeftijden;Fijnaart en Heijningen;4646
282;Totaal mannen en vrouwen;Totaal alle leeftijden;Finsterwolde;3196
283;Totaal mannen en vrouwen;Totaal alle leeftijden;Franeker;8103
284;Totaal mannen en vrouwen;Totaal alle leeftijden;Franekeradeel;4922
285;Totaal mannen en vrouwen;Totaal alle leeftijden;Gaasterland;5853
286;Totaal mannen en vrouwen;Totaal alle leeftijden;Gameren;1918
287;Totaal mannen en vrouwen;Totaal alle leeftijden;Gassel;653
288;Totaal mannen en vrouwen;Totaal alle leeftijden;Gasselte;3594
289;Totaal mannen en vrouwen;Totaal alle leeftijden;Geertruid (St.);878
290;Totaal mannen en vrouwen;Totaal alle leeftijden;Geertruidenberg;2816
291;Totaal mannen en vrouwen;Totaal alle leeftijden;Geervliet;1018
292;Totaal mannen en vrouwen;Totaal alle leeftijden;Geffen;1931
293;Totaal mannen en vrouwen;Totaal alle leeftijden;Geldermalsen;4565
294;Totaal mannen en vrouwen;Totaal alle leeftijden;Geldrop;8953
295;Totaal mannen en vrouwen;Totaal alle leeftijden;Geleen;12411
296;Totaal mannen en vrouwen;Totaal alle leeftijden;Gemert;6107
297;Totaal mannen en vrouwen;Totaal alle leeftijden;Gendringen;10184
298;Totaal mannen en vrouwen;Totaal alle leeftijden;Genemuiden;3311
299;Totaal mannen en vrouwen;Totaal alle leeftijden;Gennep;3244
300;Totaal mannen en vrouwen;Totaal alle leeftijden;Gent;3222
301;Totaal mannen en vrouwen;Totaal alle leeftijden;Geulle;1528
302;Totaal mannen en vrouwen;Totaal alle leeftijden;Giessen;504
303;Totaal mannen en vrouwen;Totaal alle leeftijden;Giessendam;4210
304;Totaal mannen en vrouwen;Totaal alle leeftijden;Giessen-Nieuwkerk;1070
305;Totaal mannen en vrouwen;Totaal alle leeftijden;Gieten;3384
306;Totaal mannen en vrouwen;Totaal alle leeftijden;Giethoorn;2119
307;Totaal mannen en vrouwen;Totaal alle leeftijden;Gilze en Rijen;7741
308;Totaal mannen en vrouwen;Totaal alle leeftijden;Ginneken en Bavel;13111
309;Totaal mannen en vrouwen;Totaal alle leeftijden;Goedereede;1281
310;Totaal mannen en vrouwen;Totaal alle leeftijden;Goes;9124
311;Totaal mannen en vrouwen;Totaal alle leeftijden;Goirle;5235
312;Totaal mannen en vrouwen;Totaal alle leeftijden;Goor;3828
313;Totaal mannen en vrouwen;Totaal alle leeftijden;Gorinchem;14033
314;Totaal mannen en vrouwen;Totaal alle leeftijden;Gorssel;8214
315;Totaal mannen en vrouwen;Totaal alle leeftijden;Gouda;29163
316;Totaal mannen en vrouwen;Totaal alle leeftijden;Gouderak;2074
317;Totaal mannen en vrouwen;Totaal alle leeftijden;Goudriaan;602
318;Totaal mannen en vrouwen;Totaal alle leeftijden;Goudswaard;1499
319;Totaal mannen en vrouwen;Totaal alle leeftijden;Graauw en Langendam;1979
320;Totaal mannen en vrouwen;Totaal alle leeftijden;Grafhorst;739
321;Totaal mannen en vrouwen;Totaal alle leeftijden;Graft;1174
322;Totaal mannen en vrouwen;Totaal alle leeftijden;Gramsbergen;4312
323;Totaal mannen en vrouwen;Totaal alle leeftijden;Grathem;1501
324;Totaal mannen en vrouwen;Totaal alle leeftijden;Grave;2253
325;Totaal mannen en vrouwen;Totaal alle leeftijden;'s-Graveland;1696
326;Totaal mannen en vrouwen;Totaal alle leeftijden;'s-Gravendeel;4866
327;Totaal mannen en vrouwen;Totaal alle leeftijden;'s-Gravenhage;437675
328;Totaal mannen en vrouwen;Totaal alle leeftijden;'s-Gravenpolder;1124
329;Totaal mannen en vrouwen;Totaal alle leeftijden;'s-Gravenzande;7073
330;Totaal mannen en vrouwen;Totaal alle leeftijden;Grevenbicht;1496
331;Totaal mannen en vrouwen;Totaal alle leeftijden;Grijpskerk;3442
332;Totaal mannen en vrouwen;Totaal alle leeftijden;Grijpskerke;920
333;Totaal mannen en vrouwen;Totaal alle leeftijden;Groede;2308
334;Totaal mannen en vrouwen;Totaal alle leeftijden;Groenlo;4176
335;Totaal mannen en vrouwen;Totaal alle leeftijden;Groesbeek;7819
336;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen;105146
337;Totaal mannen en vrouwen;Totaal alle leeftijden;Gronsveld;1681
338;Totaal mannen en vrouwen;Totaal alle leeftijden;Groot-Ammers;1492
339;Totaal mannen en vrouwen;Totaal alle leeftijden;Grootebroek;4187
340;Totaal mannen en vrouwen;Totaal alle leeftijden;Grootegast;7429
341;Totaal mannen en vrouwen;Totaal alle leeftijden;Grubbenvorst;2667
342;Totaal mannen en vrouwen;Totaal alle leeftijden;Gulpen;2971
343;Totaal mannen en vrouwen;Totaal alle leeftijden;Haaften;2482
344;Totaal mannen en vrouwen;Totaal alle leeftijden;Haaksbergen;8435
345;Totaal mannen en vrouwen;Totaal alle leeftijden;Haamstede;1327
346;Totaal mannen en vrouwen;Totaal alle leeftijden;Haaren;2132
347;Totaal mannen en vrouwen;Totaal alle leeftijden;Haarlem;119700
348;Totaal mannen en vrouwen;Totaal alle leeftijden;Haarlemmerliede en Spaarnwoude;3062
349;Totaal mannen en vrouwen;Totaal alle leeftijden;Haarlemmermeer;26829
350;Totaal mannen en vrouwen;Totaal alle leeftijden;Haarzuilens;439
351;Totaal mannen en vrouwen;Totaal alle leeftijden;Haastrecht;2273
352;Totaal mannen en vrouwen;Totaal alle leeftijden;Haelen;1253
353;Totaal mannen en vrouwen;Totaal alle leeftijden;Hagestein;822
354;Totaal mannen en vrouwen;Totaal alle leeftijden;Halsteren;5754
355;Totaal mannen en vrouwen;Totaal alle leeftijden;Ham (den);6478
356;Totaal mannen en vrouwen;Totaal alle leeftijden;Haps;1513
357;Totaal mannen en vrouwen;Totaal alle leeftijden;Hardenberg (Ambt-);13123
358;Totaal mannen en vrouwen;Totaal alle leeftijden;Hardenberg (Stad-);2639
359;Totaal mannen en vrouwen;Totaal alle leeftijden;Harderwijk;8661
360;Totaal mannen en vrouwen;Totaal alle leeftijden;Hardinxveld;6846
361;Totaal mannen en vrouwen;Totaal alle leeftijden;Haren;7073
362;Totaal mannen en vrouwen;Totaal alle leeftijden;Harenkarspel;3274
363;Totaal mannen en vrouwen;Totaal alle leeftijden;Harlingen;10443
364;Totaal mannen en vrouwen;Totaal alle leeftijden;Harmelen;2215
