ID;BedrijfstakkenBranches;Seizoencorrectie;Perioden;ProductieBedrAfgelopen3Mnd_1;ProductieBedrKomende3Mnd_2;OmzetAfgelopen3Mnd_3;OmzetKomende3Mnd_4;BuitenlandseOmzetAfgelopen3Mnd_5;BuitenlandseOmzetKomende3Mnd_6;VerkoopprijzenTarievenKomende3Mnd_7;PersoneelssterkteAfgelopen3Mnd_8;PersoneelssterkteKomende3Mnd_9;EconomischKlimaatAfgelopen3Mnd_10;WinstgevendheidAfgelopen3Mnd_11
405;16+23 Hout- en bouwmaterialenindustrie;Seizoengecorrigeerde cijfers;2023 1e kwartaal;-4.3;0.2;1.0;12.7;0.3;4.7;48.2;-1.6;0.0;-17.2;-8.9
406;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2016 1e kwartaal;31.1;5.6;29.1;1.2;22.4;2.3;8.3;3.9;-2.3;9.0;22.3
407;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2016 2e kwartaal;3.4;4.5;-0.3;8.6;-4.7;5.7;-12.2;5.5;-5.2;1.2;-6.3
408;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2016 3e kwartaal;9.5;-6.4;10.8;-10.7;-2.5;-1.9;-9.5;-1.0;-12.0;0.2;5.3
409;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2016 4e kwartaal;1.2;22.8;-2.3;24.6;7.7;9.0;1.7;-6.7;-2.6;-4.6;0.2
410;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2017 1e kwartaal;22.8;1.5;26.1;2.7;10.3;2.4;7.2;6.9;-8.1;6.3;12.2
411;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2017 2e kwartaal;5.9;13.7;0.6;13.3;0.2;7.6;4.9;1.6;2.0;0.0;-2.2
412;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2017 3e kwartaal;15.1;-3.7;14.8;3.0;10.1;4.7;8.1;14.0;0.1;4.5;-5.8
413;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2017 4e kwartaal;0.4;26.2;2.4;31.3;1.3;12.3;7.1;-0.2;-2.3;4.4;-4.7
414;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2018 1e kwartaal;21.5;10.0;23.4;10.0;5.3;8.4;28.9;-0.8;3.1;12.2;2.4
415;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2018 2e kwartaal;-10.1;15.7;2.4;20.5;0.4;6.5;16.1;-7.2;12.5;5.8;-11.1
416;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2018 3e kwartaal;7.0;-3.2;13.4;2.6;9.1;2.3;13.8;8.1;2.8;7.6;-2.2
417;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2018 4e kwartaal;-2.0;10.9;-3.9;10.3;-0.6;-2.3;20.4;1.2;3.1;-2.5;-9.7
418;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2019 1e kwartaal;22.9;-8.7;21.8;2.1;8.4;5.8;20.5;-1.4;-0.8;-0.3;-1.2
419;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2019 2e kwartaal;-7.9;5.7;-4.8;8.1;-2.3;6.6;0.5;0.3;-5.0;2.5;6.9
420;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2019 3e kwartaal;-4.4;-7.1;-1.4;-5.9;-2.3;-1.0;-6.9;-9.1;0.5;-2.2;3.7
421;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2019 4e kwartaal;-3.6;21.1;0.6;22.3;0.8;12.3;-4.4;3.8;2.5;4.4;0.8
422;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2020 1e kwartaal;12.2;10.6;15.6;3.8;6.3;3.7;-6.7;2.5;-2.6;-5.2;9.6
423;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2020 2e kwartaal;-12.2;-42.1;-14.2;-49.2;-14.6;-42.0;-12.7;-10.7;-18.9;-34.9;-21.7
424;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2020 3e kwartaal;-46.3;11.0;-47.6;3.5;-32.0;1.0;-14.1;-17.5;-7.0;-50.6;-52.7
425;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2020 4e kwartaal;5.3;16.6;1.0;24.8;3.0;12.0;-5.2;-20.1;-9.7;-18.3;-33.1
426;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2021 1e kwartaal;30.8;-14.6;31.6;-14.1;11.6;-9.2;7.2;3.0;-8.2;6.1;9.2
427;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2021 2e kwartaal;3.9;16.6;5.2;21.5;7.6;12.0;34.3;4.5;7.9;-0.6;-21.3
428;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2021 3e kwartaal;25.6;4.0;32.5;9.8;14.1;7.5;43.5;3.8;12.9;7.7;7.2
429;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2021 4e kwartaal;18.9;18.0;24.2;26.5;6.3;4.0;54.3;6.9;22.1;3.2;8.2
430;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2022 1e kwartaal;30.6;2.5;50.1;6.1;23.2;3.4;64.7;19.9;23.0;4.6;22.2
431;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2022 2e kwartaal;11.7;20.9;26.4;35.0;16.1;16.6;72.2;8.7;20.6;-10.3;1.6
432;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2022 3e kwartaal;20.7;-9.1;39.7;-1.0;22.5;-13.8;48.2;5.1;16.3;-10.8;-3.3
433;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2022 4e kwartaal;-14.5;9.5;0.5;16.6;-0.8;-0.1;49.9;9.2;19.7;-34.3;-13.4
434;17-18 Papier- en grafische industrie;Oorspronkelijke, ongecorrigeerde cijfers;2023 1e kwartaal;-3.4;-0.3;13.2;-2.3;-6.1;-0.4;20.9;6.8;5.3;-23.6;-5.9
435;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2016 1e kwartaal;18.1;14.0;8.1;12.4;12.5;5.7;7.5;3.2;-0.2;6.7;4.0
436;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2016 2e kwartaal;8.2;3.1;15.4;6.3;4.3;3.4;-10.4;8.1;-6.4;1.0;6.7
437;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2016 3e kwartaal;14.0;9.7;11.9;6.2;-0.7;3.1;-7.4;-0.8;-9.9;0.0;6.6
438;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2016 4e kwartaal;4.8;-0.3;1.9;-1.1;6.9;2.8;-1.3;-9.0;-5.6;-1.9;4.1
439;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2017 1e kwartaal;9.8;14.0;14.1;13.9;5.7;5.9;6.3;6.3;-6.0;4.0;7.8
440;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2017 2e kwartaal;10.8;8.3;7.3;11.0;3.9;5.3;6.7;4.3;0.9;-0.2;-3.1
441;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2017 3e kwartaal;19.6;12.4;15.9;19.9;11.9;9.7;10.2;14.3;2.1;4.3;-4.4
442;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2017 4e kwartaal;3.9;3.1;6.6;5.5;0.5;6.1;4.2;-2.4;-5.3;7.1;-0.8
443;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2018 1e kwartaal;8.5;18.3;2.4;21.2;-4.6;11.9;28.0;-1.5;5.2;9.9;-16.0
444;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2018 2e kwartaal;-5.3;14.3;18.1;18.2;9.4;4.2;17.9;-4.6;11.3;5.6;2.0
445;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2018 3e kwartaal;11.5;12.9;14.5;19.5;10.9;7.3;15.9;8.3;4.9;7.5;-0.9
446;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2018 4e kwartaal;1.6;-12.2;0.3;-15.5;-1.4;-8.5;17.4;-1.1;0.1;0.2;-5.7
447;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2019 1e kwartaal;10.0;3.8;9.8;13.3;3.8;9.3;19.6;-2.0;1.4;-2.6;-5.6
448;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2019 2e kwartaal;-3.0;0.2;1.9;5.8;1.4;4.3;2.3;2.9;-6.2;2.3;6.1
449;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2019 3e kwartaal;0.1;9.0;-0.3;11.0;-0.5;4.0;-4.8;-8.8;2.6;-2.4;5.1
450;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2019 4e kwartaal;0.0;-2.0;4.8;-3.5;0.0;6.0;-7.4;1.5;-0.5;7.1;4.7
451;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2020 1e kwartaal;-2.7;21.9;1.5;13.9;2.5;7.5;-8.2;2.0;-1.3;-7.7;4.5
452;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2020 2e kwartaal;-5.6;-47.5;-6.8;-52.3;-12.1;-45.4;-10.5;-8.7;-19.7;-35.4;-24.3
453;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2020 3e kwartaal;-41.7;25.9;-46.3;19.7;-30.6;6.9;-11.5;-16.9;-5.2;-50.4;-50.8
454;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2020 4e kwartaal;9.0;-4.2;6.4;1.4;2.9;5.8;-8.4;-22.2;-12.0;-15.5;-27.3
455;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2021 1e kwartaal;16.0;-3.4;12.7;-3.9;7.8;-5.5;5.7;2.5;-7.0;3.6;-4.6
456;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2021 2e kwartaal;10.5;11.2;17.4;18.4;10.2;8.6;36.5;6.5;7.1;-1.1;-15.1
457;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2021 3e kwartaal;30.2;18.9;33.8;26.0;15.5;13.4;46.0;4.3;14.6;7.9;9.1
458;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2021 4e kwartaal;22.6;-2.8;29.6;3.2;6.2;-2.2;51.1;4.8;19.8;6.0;14.0
459;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2022 1e kwartaal;16.1;13.6;33.5;18.5;19.3;7.5;64.5;;25.2;-0.3;21.1
460;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2022 2e kwartaal;20.2;13.9;39.2;28.2;20.3;14.4;71.8;;20.3;-8.5;-1.9
461;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2022 3e kwartaal;22.7;-3.8;40.9;6.3;22.8;-9.9;51.4;;19.0;-9.0;-1.8
462;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2022 4e kwartaal;-10.6;-0.3;3.1;3.5;-1.4;-6.0;47.4;;15.2;-33.0;-10.2
463;17-18 Papier- en grafische industrie;Seizoengecorrigeerde cijfers;2023 1e kwartaal;-15.8;8.9;-1.4;10.4;-10.5;2.0;18.7;;6.1;-28.4;-19.7
464;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2016 1e kwartaal;4.3;12.7;1.9;11.3;4.4;13.2;;-0.4;0.4;0.6;3.6
465;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2016 2e kwartaal;9.7;16.9;9.1;14.0;6.9;8.7;;4.5;3.4;7.2;11.7
466;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2016 3e kwartaal;16.5;7.4;22.7;8.9;10.9;6.8;;9.0;6.5;-1.4;12.6
467;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2016 4e kwartaal;11.2;3.6;8.5;2.1;0.8;3.5;;7.9;0.5;3.8;2.6
468;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2017 1e kwartaal;10.0;21.5;4.4;21.7;1.5;21.3;;13.7;6.7;11.3;10.9
469;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2017 2e kwartaal;18.8;16.3;25.5;14.5;21.6;10.0;;10.9;8.8;12.7;13.3
470;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2017 3e kwartaal;15.4;1.4;14.4;4.9;13.0;4.8;;10.7;7.3;8.4;5.9
471;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2017 4e kwartaal;2.0;6.0;3.2;11.6;8.6;7.2;;14.7;4.6;9.4;3.3
472;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2018 1e kwartaal;10.2;22.9;10.1;19.1;14.2;17.0;;12.4;12.3;9.4;3.1
473;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2018 2e kwartaal;10.4;17.5;13.0;14.6;11.4;9.8;;16.2;13.3;6.1;-0.1
474;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2018 3e kwartaal;16.1;10.7;22.5;6.5;14.9;2.3;;5.6;11.9;6.5;4.7
475;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2018 4e kwartaal;5.1;-0.3;2.6;3.9;-0.8;5.0;;4.6;8.8;1.4;-1.5
476;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2019 1e kwartaal;-4.4;15.4;-9.4;24.5;-8.2;20.7;;9.5;18.9;-2.8;-7.0
477;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2019 2e kwartaal;15.1;11.2;20.1;13.7;17.8;11.1;;11.5;6.1;0.6;3.4
478;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2019 3e kwartaal;6.9;-3.9;6.8;-0.1;3.5;0.4;;8.9;-0.5;-1.4;0.7
479;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2019 4e kwartaal;-2.2;1.5;-4.6;6.1;-1.4;5.6;;3.9;1.6;-9.9;-5.1
480;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2020 1e kwartaal;-5.7;9.6;-3.9;16.5;-7.2;15.8;;8.9;9.7;-4.1;-0.1
481;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2020 2e kwartaal;-7.4;-47.4;-3.4;-49.2;-7.1;-48.3;;-10.0;-19.1;-20.7;-9.0
482;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2020 3e kwartaal;-22.5;3.4;-27.9;2.1;-34.7;3.8;;-10.5;-5.5;-36.5;-30.8
483;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2020 4e kwartaal;3.4;-2.8;6.2;-2.9;0.6;-4.1;;-6.0;-2.8;1.2;-1.1
484;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2021 1e kwartaal;6.1;11.2;15.6;6.8;11.0;6.3;;-4.5;1.0;3.1;7.9
485;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2021 2e kwartaal;14.0;13.4;19.8;21.1;17.3;15.8;;-0.2;7.7;8.5;6.8
486;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2021 3e kwartaal;18.7;7.8;25.3;15.2;20.5;12.5;;9.4;11.8;11.3;11.9
487;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2021 4e kwartaal;10.7;8.4;16.7;10.0;16.6;13.1;;9.4;13.5;4.5;1.5
488;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2022 1e kwartaal;0.3;14.0;13.6;13.7;11.8;10.8;;6.1;16.1;-2.7;-3.0
489;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2022 2e kwartaal;8.0;6.4;21.5;20.8;14.6;14.2;;3.7;10.9;-9.2;-11.0
490;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2022 3e kwartaal;5.4;-0.1;14.4;-0.6;5.2;-2.4;;0.7;8.8;-10.3;-6.8
491;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2022 4e kwartaal;-17.0;-15.7;-2.4;-10.1;-8.2;-6.7;;1.3;2.5;-26.4;-17.5
492;19-22 Raffinaderijen en chemie;Oorspronkelijke, ongecorrigeerde cijfers;2023 1e kwartaal;-22.5;9.8;-15.4;11.0;-20.6;9.9;;-4.1;7.7;-22.0;-16.9
493;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2016 1e kwartaal;13.7;6.2;5.8;6.3;9.0;6.9;;1.3;-0.4;3.1;7.6
494;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2016 2e kwartaal;6.8;11.7;8.1;8.0;7.2;7.7;;4.8;3.3;4.6;8.8
495;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2016 3e kwartaal;9.4;13.5;17.7;13.7;5.9;11.1;;9.5;7.7;-2.7;11.5
496;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2016 4e kwartaal;11.9;9.2;10.5;8.3;0.9;6.6;;5.5;0.1;5.3;2.6
497;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2017 1e kwartaal;22.7;15.0;20.8;16.7;14.0;15.1;;15.4;6.0;13.7;15.0
498;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2017 2e kwartaal;12.6;11.1;12.1;8.5;14.1;8.9;;11.1;8.8;10.0;10.4
499;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2017 3e kwartaal;8.2;7.6;9.4;9.8;8.0;9.1;;11.2;8.5;7.1;4.8
500;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2017 4e kwartaal;2.7;11.6;5.2;17.7;8.7;10.2;;12.3;4.2;10.9;3.3
501;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2018 1e kwartaal;19.7;16.4;14.0;14.1;18.8;10.8;;14.1;11.6;11.9;7.1
502;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2018 2e kwartaal;7.4;12.2;12.0;8.6;11.7;8.7;;16.4;13.3;3.5;-3.0
503;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2018 3e kwartaal;9.0;16.9;17.6;11.3;9.9;6.6;;6.1;13.1;5.2;3.6
504;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2018 4e kwartaal;5.7;5.2;4.6;10.0;-0.7;8.0;;2.1;8.4;2.9;-1.5
505;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2019 1e kwartaal;8.4;8.9;7.0;19.5;4.3;14.5;;11.2;18.2;-0.4;-3.0
506;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2019 2e kwartaal;8.9;5.9;6.7;7.7;10.2;10.0;;11.8;6.1;-2.0;0.5
507;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2019 3e kwartaal;-0.2;2.3;1.8;4.8;-1.6;4.6;;9.3;0.7;-2.7;-0.4
508;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2019 4e kwartaal;-1.6;7.0;-2.6;12.2;-1.3;8.7;;1.4;1.1;-8.4;-5.2
509;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2020 1e kwartaal;5.9;2.6;11.6;10.1;4.0;8.8;;9.4;8.4;-0.3;3.6
510;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2020 2e kwartaal;-14.9;-52.5;-16.9;-54.9;-15.6;-49.4;;-10.2;-19.2;-23.0;-12.6
511;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2020 3e kwartaal;-27.8;9.4;-32.6;7.6;-39.6;8.7;;-9.7;-3.9;-39.0;-31.3
512;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2020 4e kwartaal;4.6;3.3;9.0;3.6;2.8;-0.8;;-7.2;-2.9;2.3;-0.7
513;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2021 1e kwartaal;15.6;4.2;23.3;0.5;22.2;-0.7;;-4.0;-0.3;6.8;11.6
514;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2021 2e kwartaal;8.5;8.3;14.0;15.4;8.8;14.7;;-0.4;7.6;6.2;3.2
515;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2021 3e kwartaal;13.5;13.9;20.6;20.8;15.7;17.4;;10.2;13.4;8.8;11.4
516;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2021 4e kwartaal;11.9;14.5;19.5;16.5;18.7;16.4;;8.3;13.4;5.6;1.9
517;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2022 1e kwartaal;10.3;8.8;27.3;8.2;21.6;4.1;;6.5;14.8;-0.5;-2.5
518;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2022 2e kwartaal;2.3;1.1;10.4;14.8;7.4;13.0;;4.0;10.6;-9.2;-12.3
519;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2022 3e kwartaal;1.1;4.8;10.9;4.2;1.1;2.2;;1.4;9.9;-12.6;-6.3
520;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2022 4e kwartaal;-17.0;-10.0;-1.5;-3.6;-6.6;-3.5;;-0.2;3.1;-26.3;-17.1
521;19-22 Raffinaderijen en chemie;Seizoengecorrigeerde cijfers;2023 1e kwartaal;-14.7;4.4;-5.6;5.5;-13.7;4.2;;-3.7;6.0;-19.6;-16.8
522;24-25 Basismetaal, metaalprod.-industrie;Oorspronkelijke, ongecorrigeerde cijfers;2016 1e kwartaal;11.8;11.7;5.2;;-7.2;-7.9;;-3.8;-9.7;-9.3;-6.9
523;24-25 Basismetaal, metaalprod.-industrie;Oorspronkelijke, ongecorrigeerde cijfers;2016 2e kwartaal;9.2;13.4;13.4;;5.9;10.9;;-3.0;-5.9;-6.0;-10.7
524;24-25 Basismetaal, metaalprod.-industrie;Oorspronkelijke, ongecorrigeerde cijfers;2016 3e kwartaal;19.9;5.9;10.5;;2.1;12.9;;14.7;-1.6;14.5;8.9
525;24-25 Basismetaal, metaalprod.-industrie;Oorspronkelijke, ongecorrigeerde cijfers;2016 4e kwartaal;6.6;14.8;16.2;;14.7;-5.1;;11.2;-9.0;5.0;9.5
526;24-25 Basismetaal, metaalprod.-industrie;Oorspronkelijke, ongecorrigeerde cijfers;2017 1e kwartaal;6.4;16.9;23.7;;12.3;14.5;;3.1;-8.1;8.2;-3.4
527;24-25 Basismetaal, metaalprod.-industrie;Oorspronkelijke, ongecorrigeerde cijfers;2017 2e kwartaal;21.3;19.8;29.2;;22.5;18.9;;6.4;10.3;25.7;19.3
528;24-25 Basismetaal, metaalprod.-industrie;Oorspronkelijke, ongecorrigeerde cijfers;2017 3e kwartaal;19.9;4.7;5.0;;-1.4;-13.8;;14.1;14.3;12.5;2.7
529;24-25 Basismetaal, metaalprod.-industrie;Oorspronkelijke, ongecorrigeerde cijfers;2017 4e kwartaal;12.1;16.2;17.2;;12.7;17.7;;14.5;10.5;13.5;-7.9
530;24-25 Basismetaal, metaalprod.-industrie;Oorspronkelijke, ongecorrigeerde cijfers;2018 1e kwartaal;10.3;15.9;24.4;;15.2;17.4;;2.8;13.5;16.6;12.0
531;24-25 Basismetaal, metaalprod.-industrie;Oorspronkelijke, ongecorrigeerde cijfers;2018 2e kwartaal;23.8;18.7;33.7;;19.9;-1.8;;23.0;10.7;17.9;13.2
532;24-25 Basismetaal, metaalprod.-industrie;Oorspronkelijke, ongecorrigeerde cijfers;2018 3e kwartaal;20.9;4.0;36.9;;20.5;-11.3;;27.4;11.8;12.1;25.2
533;24-25 Basismetaal, metaalprod.-industrie;Oorspronkelijke, ongecorrigeerde cijfers;2018 4e kwartaal;2.0;11.8;-9.1;;-9.1;3.7;;20.4;13.0;6.2;-5.6
534;24-25 Basismetaal, metaalprod.-industrie;Oorspronkelijke, ongecorrigeerde cijfers;2019 1e kwartaal;1.2;6.3;5.4;;-3.4;3.0;;7.7;17.5;-0.8;3.4
535;24-25 Basismetaal, metaalprod.-industrie;Oorspronkelijke, ongecorrigeerde cijfers;2019 2e kwartaal;5.6;13.0;5.0;;1.3;1.0;;4.3;8.1;-9.1;-12.0
536;24-25 Basismetaal, metaalprod.-industrie;Oorspronkelijke, ongecorrigeerde cijfers;2019 3e kwartaal;5.2;-1.3;1.1;;-2.7;-5.4;;1.5;4.0;-11.9;-8.3
537;24-25 Basismetaal, metaalprod.-industrie;Oorspronkelijke, ongecorrigeerde cijfers;2019 4e kwartaal;-8.6;8.5;-10.6;;-10.3;-1.0;;5.0;-2.3;-17.3;-15.8
538;24-25 Basismetaal, metaalprod.-industrie;Oorspronkelijke, ongecorrigeerde cijfers;2020 1e kwartaal;-1.1;10.5;-5.7;;-8.1;5.7;;-3.9;4.7;-6.8;-12.3
539;24-25 Basismetaal, metaalprod.-industrie;Oorspronkelijke, ongecorrigeerde cijfers;2020 2e kwartaal;-15.8;-56.6;-8.4;;-9.4;-43.9;;-6.6;-27.3;-35.7;-12.1
540;24-25 Basismetaal, metaalprod.-industrie;Oorspronkelijke, ongecorrigeerde cijfers;2020 3e kwartaal;-53.1;-14.6;-51.9;;-43.8;-15.0;;-22.2;-14.6;-61.1;-62.2
541;24-25 Basismetaal, metaalprod.-industrie;Oorspronkelijke, ongecorrigeerde cijfers;2020 4e kwartaal;-1.7;-3.6;-7.8;;-7.0;-6.4;;-15.1;-9.1;-11.5;-8.6
542;24-25 Basismetaal, metaalprod.-industrie;Oorspronkelijke, ongecorrigeerde cijfers;2021 1e kwartaal;12.5;18.4;12.9;;4.5;5.5;;-4.5;-0.9;8.4;9.8
543;24-25 Basismetaal, metaalprod.-industrie;Oorspronkelijke, ongecorrigeerde cijfers;2021 2e kwartaal;18.6;17.5;22.2;;23.3;9.1;;5.6;11.4;12.6;10.2
544;24-25 Basismetaal, metaalprod.-industrie;Oorspronkelijke, ongecorrigeerde cijfers;2021 3e kwartaal;23.3;7.8;27.1;;11.9;0.1;;8.0;12.3;23.3;19.0
545;24-25 Basismetaal, metaalprod.-industrie;Oorspronkelijke, ongecorrigeerde cijfers;2021 4e kwartaal;10.2;18.9;24.1;;13.3;7.9;;14.0;17.6;19.6;17.8
546;24-25 Basismetaal, metaalprod.-industrie;Oorspronkelijke, ongecorrigeerde cijfers;2022 1e kwartaal;17.8;14.1;29.0;;8.6;7.4;;15.0;22.8;7.4;21.8
