ID;Beleggers;Perioden;Balanstotaal_1;TotaalOnroerendeZaken_2;EigenGebruik_3;NietInEigenGebruik_4;Obligaties_5;Aandelen_6;NietGeconsolideerdeDeelnemingen_7;TotaalLeningen_8;HypothecaireLeningen_9;NietHypothecaireLeningen_10;KortKredietUG_11;OverigeWaardepapieren_12;TermijndepositoSInEuroS_13;TermijndepositoSInAndereValuta_14;Kasmiddelen_15;LangKredietOG_16;Obligaties_17;KortKredietOG_18;GestortAandelenkapitaal_19;Agioreserve_20
30;2;1995 3e kwartaal;238.0;19.5;0.2;19.3;65.0;56.5;2.1;91.4;11.6;77.3;2.5;0.0;1.8;0.3;1.4;0.2;0.0;1.7;0.0;0.0
31;2;1995 4e kwartaal;244.2;19.8;0.2;19.6;66.6;62.5;2.1;89.9;11.6;76.7;1.6;0.0;1.6;0.5;1.2;0.2;0.0;1.7;0.0;0.0
32;2;1996 1e kwartaal;253.4;20.4;0.2;20.2;69.2;68.8;2.0;88.7;11.6;74.9;2.2;0.0;1.7;0.6;2.0;0.2;0.0;1.5;0.0;0.0
33;2;1996 2e kwartaal;260.4;20.5;0.2;20.3;72.8;73.9;2.0;86.6;11.8;72.8;2.0;0.0;1.8;0.5;2.3;0.2;0.0;1.0;0.0;0.0
34;2;1996 3e kwartaal;264.8;20.5;0.2;20.3;77.2;75.2;1.9;85.0;11.7;71.1;2.2;0.0;1.9;0.6;2.5;0.1;0.0;1.0;0.0;0.0
35;2;1996 4e kwartaal;274.3;20.8;0.1;20.7;82.3;82.0;1.8;82.9;11.9;69.2;1.8;0.0;1.8;0.6;2.1;0.1;0.0;0.5;0.0;0.0
36;2;1997 1e kwartaal;284.4;21.1;0.1;21.0;86.4;89.1;1.9;80.4;11.9;66.2;2.3;0.0;2.7;0.7;2.1;0.1;0.0;0.7;0.0;0.0
37;2;1997 2e kwartaal;299.9;20.8;0.1;20.7;90.8;102.7;1.8;78.7;11.8;64.9;2.0;0.0;2.3;0.5;2.3;0.1;0.0;1.1;0.0;0.0
38;2;1997 3e kwartaal;307.7;20.8;0.2;20.6;95.7;106.0;1.8;78.2;11.8;63.7;2.7;0.0;2.2;0.5;2.5;0.1;0.0;1.4;0.0;0.0
39;2;1997 4e kwartaal;309.1;20.6;0.1;20.5;99.0;107.6;1.5;75.5;11.8;61.9;1.8;0.0;1.8;0.5;2.6;0.1;0.0;1.8;0.0;0.0
40;2;1998 1e kwartaal;335.6;21.1;0.1;21.0;106.6;125.5;2.0;75.7;11.6;60.2;3.9;0.0;1.7;0.3;2.7;0.1;0.0;1.6;0.0;0.0
41;2;1998 2e kwartaal;340.7;21.2;0.1;21.1;111.9;129.2;1.9;72.0;11.9;57.0;3.1;0.0;1.4;0.3;2.8;0.1;0.0;1.7;0.0;0.0
42;2;1998 3e kwartaal;317.3;20.4;0.2;20.2;113.5;107.6;2.0;70.1;12.2;55.4;2.5;0.0;1.1;0.4;2.2;0.1;0.0;2.1;0.0;0.0
43;2;1998 4e kwartaal;365.6;23.6;0.2;23.4;116.8;149.7;2.4;67.9;11.5;54.5;1.9;0.1;1.7;0.2;3.2;0.1;0.0;1.9;0.0;0.0
44;2;1999 1e kwartaal;381.6;23.8;0.2;23.6;123.4;159.3;2.4;67.5;11.6;53.1;2.8;0.0;3.2;0.2;1.8;0.1;0.0;2.7;0.0;0.0
45;2;1999 2e kwartaal;398.7;23.9;0.2;23.7;125.9;179.5;2.7;63.3;11.7;49.1;2.5;0.0;0.7;0.2;2.5;0.1;0.0;6.4;0.0;0.0
46;2;1999 3e kwartaal;391.7;24.0;0.2;23.8;128.1;176.7;3.0;56.2;11.6;42.5;2.1;0.0;1.3;0.3;2.1;0.1;0.0;3.8;0.0;0.0
47;2;1999 4e kwartaal;436.2;25.6;0.2;25.4;128.1;221.3;3.7;54.8;11.4;41.1;2.3;0.0;1.4;0.1;1.2;1.5;0.0;2.9;0.0;0.0
48;3;1994 1e kwartaal;;;;;;;;;;;;;;;;;;;;
49;3;1994 2e kwartaal;;;;;;;;;;;;;;;;;;;;
50;3;1994 3e kwartaal;;;;;;;;;;;;;;;;;;;;
51;3;1994 4e kwartaal;9.5;0.6;0.6;0.0;1.0;0.0;0.0;6.2;0.1;1.9;4.2;0.1;1.4;0.0;0.2;0.4;0.0;2.8;0.0;0.0
52;3;1995 1e kwartaal;10.2;0.5;0.5;0.0;1.0;0.0;0.0;6.7;0.1;2.0;4.6;0.1;1.3;0.0;0.6;0.4;0.0;4.3;0.0;0.0
53;3;1995 2e kwartaal;9.2;0.5;0.5;0.0;0.9;0.0;0.0;5.9;0.1;2.0;3.8;0.0;1.4;0.0;0.5;0.3;0.0;4.4;0.0;0.0
54;3;1995 3e kwartaal;8.2;0.5;0.5;0.0;0.8;0.0;0.0;5.4;0.1;1.9;3.4;0.0;1.0;0.0;0.5;0.3;0.0;4.7;0.0;0.0
55;3;1995 4e kwartaal;7.5;0.5;0.5;0.0;0.9;0.0;0.0;5.0;0.1;1.8;3.1;0.0;0.9;0.0;0.2;0.3;0.0;5.1;0.0;0.0
56;3;1996 1e kwartaal;7.3;0.5;0.5;0.0;1.0;0.0;0.0;4.5;0.0;1.7;2.8;0.0;0.8;0.0;0.5;0.2;0.0;4.8;0.0;0.0
57;3;1996 2e kwartaal;6.8;0.5;0.5;0.0;1.0;0.0;0.0;4.1;0.0;1.6;2.5;0.0;0.6;0.0;0.6;0.2;0.0;5.9;0.0;0.0
58;3;1996 3e kwartaal;6.0;0.4;0.4;0.0;0.8;0.0;0.0;3.7;0.0;1.5;2.2;0.0;0.3;0.0;0.8;0.2;0.0;5.6;0.0;0.0
59;3;1996 4e kwartaal;4.9;0.1;0.1;0.0;1.0;0.0;0.0;3.1;0.0;1.1;2.0;0.0;0.4;0.0;0.3;0.2;0.0;5.4;0.0;0.0
60;3;1997 1e kwartaal;4.4;0.1;0.1;0.0;1.0;0.0;0.0;2.5;0.0;0.5;2.0;0.0;0.4;0.0;0.4;0.1;0.0;5.2;0.0;0.0
61;3;1997 2e kwartaal;3.4;0.1;0.1;0.0;0.9;0.0;0.0;2.0;0.0;0.3;1.7;0.0;0.2;0.0;0.2;0.1;0.0;5.7;0.0;0.0
62;3;1997 3e kwartaal;3.0;0.1;0.1;0.0;0.9;0.0;0.0;1.8;0.0;0.2;1.6;0.0;0.1;0.0;0.1;0.1;0.0;4.9;0.0;0.0
63;3;1997 4e kwartaal;2.9;0.1;0.1;0.0;0.0;0.0;0.0;2.7;0.0;0.2;2.5;0.0;0.1;0.0;0.0;0.1;0.0;3.9;0.0;0.0
64;3;1998 1e kwartaal;2.3;0.1;0.1;0.0;0.0;0.0;0.0;1.9;0.0;0.1;1.8;0.0;0.1;0.0;0.2;0.1;0.0;1.8;0.0;0.0
65;3;1998 2e kwartaal;4.0;0.1;0.1;0.0;0.0;0.0;0.0;3.7;0.0;0.2;3.5;0.0;0.1;0.0;0.1;0.1;0.0;3.7;0.0;0.0
66;3;1998 3e kwartaal;3.2;0.1;0.1;0.0;0.0;0.0;0.0;2.9;0.0;0.1;2.8;0.0;0.1;0.0;0.1;0.1;0.0;3.7;0.0;0.0
67;3;1998 4e kwartaal;3.5;0.0;0.0;0.0;0.0;0.0;0.0;3.5;0.0;0.0;3.5;0.0;0.0;0.0;0.0;0.0;0.0;3.6;0.0;0.0
68;3;1999 1e kwartaal;5.4;0.0;0.0;0.0;0.0;0.0;0.0;5.4;0.0;0.0;5.4;0.0;0.0;0.0;0.0;0.0;0.0;3.4;0.0;0.0
69;3;1999 2e kwartaal;4.2;0.0;0.0;0.0;0.0;0.0;0.0;4.2;0.0;0.0;4.2;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0
70;3;1999 3e kwartaal;5.1;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;5.0;0.0;0.0;0.0;0.1;0.0;0.0;2.1;0.0;0.0
71;3;1999 4e kwartaal;5.0;0.0;0.0;0.0;0.0;0.0;0.0;4.9;0.0;0.0;4.9;0.0;0.0;0.0;0.1;0.0;0.0;1.7;0.0;0.0
72;4;1994 1e kwartaal;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0
73;4;1994 2e kwartaal;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0
74;4;1994 3e kwartaal;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0
75;4;1994 4e kwartaal;338.9;27.8;1.6;26.2;81.4;67.9;4.1;151.1;32.5;112.7;5.9;0.2;3.9;1.0;1.5;0.0;0.0;0.0;0.0;0.0
76;4;1995 1e kwartaal;342.4;27.3;1.4;25.9;84.1;66.6;3.7;152.6;32.8;112.0;7.8;0.2;4.8;0.7;2.4;0.0;0.0;0.0;0.0;0.0
77;4;1995 2e kwartaal;351.6;27.5;1.4;26.1;88.0;72.6;3.7;151.7;33.2;111.4;7.1;0.0;4.4;0.8;2.9;0.0;0.0;0.0;0.0;0.0
78;4;1995 3e kwartaal;359.8;27.6;1.4;26.2;91.6;79.1;4.0;150.3;33.2;110.9;6.2;0.0;3.9;0.6;2.7;0.0;0.0;0.0;0.0;0.0
79;4;1995 4e kwartaal;367.6;27.9;1.4;26.5;95.0;86.9;4.3;147.5;29.6;112.9;5.0;0.0;3.3;1.0;1.7;0.0;0.0;0.0;0.0;0.0
80;4;1996 1e kwartaal;381.7;28.5;1.4;27.1;99.8;96.1;4.1;145.8;29.8;110.7;5.3;0.0;3.6;1.0;2.8;0.0;0.0;0.0;0.0;0.0
81;4;1996 2e kwartaal;391.6;28.7;1.4;27.3;103.7;103.4;4.2;143.7;30.3;108.6;4.8;0.0;3.5;0.9;3.5;0.0;0.0;0.0;0.0;0.0
82;4;1996 3e kwartaal;398.7;28.7;1.3;27.4;109.7;107.1;4.2;140.1;30.4;105.1;4.6;0.0;4.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0
83;4;1996 4e kwartaal;412.1;29.1;1.0;28.1;117.4;117.2;4.3;137.3;31.0;102.2;4.1;0.0;3.2;0.8;2.8;0.0;0.0;0.0;0.0;0.0
84;4;1997 1e kwartaal;430.3;29.4;0.8;28.6;125.4;128.6;4.4;134.0;31.3;98.1;4.6;0.0;4.5;0.9;3.1;0.0;0.0;0.0;0.0;0.0
85;4;1997 2e kwartaal;454.7;29.3;0.9;28.4;132.0;149.3;4.7;131.9;31.4;96.1;4.4;0.0;3.9;0.7;2.9;0.0;0.0;0.0;0.0;0.0
86;4;1997 3e kwartaal;467.0;29.4;1.0;28.4;138.2;155.6;5.3;131.3;32.3;94.3;4.7;0.0;3.4;0.6;3.2;0.0;0.0;0.0;0.0;0.0
87;4;1997 4e kwartaal;468.3;29.1;0.8;28.3;141.5;157.4;4.9;128.9;32.7;91.7;4.5;0.0;2.7;0.5;3.3;0.0;0.0;0.0;0.0;0.0
88;4;1998 1e kwartaal;507.6;29.7;0.8;28.9;152.5;185.3;5.3;128.1;33.0;89.3;5.8;0.0;2.7;0.3;3.7;0.0;0.0;0.0;0.0;0.0
89;4;1998 2e kwartaal;517.4;29.9;0.8;29.1;159.5;190.6;3.9;127.0;33.7;86.6;6.7;0.0;2.3;0.3;3.9;0.0;0.0;0.0;0.0;0.0
90;4;1998 3e kwartaal;483.5;28.6;0.9;27.7;162.4;159.6;3.6;124.0;34.4;84.1;5.5;0.0;2.1;0.4;2.8;0.0;0.0;0.0;0.0;0.0
91;4;1998 4e kwartaal;584.5;34.3;0.6;33.7;186.1;211.6;2.6;137.1;37.3;94.1;5.7;0.1;8.1;0.2;4.4;0.0;0.0;0.0;0.0;0.0
92;4;1999 1e kwartaal;611.6;34.7;0.6;34.1;196.9;224.7;2.6;139.3;38.3;92.3;8.7;0.0;9.8;0.2;3.4;0.0;0.0;0.0;0.0;0.0
93;4;1999 2e kwartaal;635.8;34.3;0.6;33.7;200.2;249.4;2.9;136.0;40.9;87.9;7.2;0.0;7.4;0.2;5.4;0.0;0.0;0.0;0.0;0.0
94;4;1999 3e kwartaal;630.7;35.4;0.7;34.7;204.5;246.7;3.2;129.6;41.6;80.6;7.4;0.0;7.7;0.3;3.3;0.0;0.0;0.0;0.0;0.0
95;4;1999 4e kwartaal;685.2;37.5;0.7;36.8;204.7;300.1;3.9;127.4;40.4;79.7;7.3;0.0;8.2;0.2;3.2;0.0;0.0;0.0;0.0;0.0
