ID;SBI93;Perioden;Bedrijven_1;WerkzamePersonenEindSeptember_2;WerkzamePersonenFTEEindSeptember_3;WerknemersOpDeEigenLoonlijst_4;WerknemersFTEOpEigenLoonlijst_5;TotaleBedrijfsopbrengsten_6;TotaleNettoOmzet_7;NettoOmzetUitHoofdactiviteit_8;NettoOmzetUitNevenactiviteiten_9;OverigeBedrijfsopbrengsten_10;TotaleBedrijfslasten_11;TotaleInkoopwaardeOmzet_12;InkoopwaardeGrondEnHulpstoffen_13;BeginvoorraadGrondEnHulpstoffen_14;InkopenGrondEnHulpstoffen_15;EindvoorraadGrondEnHulpstoffen_16;TotaleInkoopwaardeHandelsgoederen_17;BeginvoorraadHandelsgoederen_18;InkoopkostenVanHandelsgoederen_19;EindvoorraadHandelsgoederen_20;TotaleOverigeInkoopwaarde_21;KostenUitbesteedWerk_22;NietEerderGenoemdeInkoopwaarde_23;TotaleArbeidskosten_24;BrutoLonenEnSalarissen_25;SocialeVerzekeringspremiesWerkgever_26;PremiesPensioenVUTInkoopsommen_27;OverigeSocialeLasten_28;TotaleOverigeBedrijfslasten_29;OverigePersoneelskosten_30;KostenVervoermiddelen_31;KostenEnergieverbruik_32;Huisvestingskosten_33;KostenMachinesEnInstallaties_34;Verkoopkosten_35;Communicatiekosten_36;KostenVanDienstverleningDoorDerden_37;NietEerderGenoemdeBedrijfslasten_38;AfschrijvingenOpVasteActiva_39;Bedrijfsresultaat_40;SaldoFinancieelResultaat_41;FinancieleBaten_42;FinancieleLasten_43;SaldoVoorzieningen_44;OnttrekkingenVrijvalVanVoorzieningen_45;ToevoegingenAanVoorzieningen_46;SaldoBuitengewoonResultaat_47;BuitengewoneBaten_48;BuitengewoneLasten_49;ResultaatVoorBelastingen_50
10;CA Winning van energiehoudende delfst.;2004;80;7.37;7.11;6.21;6.04;20493.0;20075.0;;;419.0;16864.0;12563.0;252.0;7.0;251.0;6.0;11654.0;4.0;11655.0;5.0;657.0;425.0;232.0;490.0;356.0;38.0;87.0;10.0;2831.0;160.0;25.0;72.0;47.0;225.0;31.0;18.0;317.0;1936.0;981.0;3630.0;-106.0;118.0;224.0;81.0;86.0;5.0;0.0;2.0;2.0;3604.0
11;CA Winning van energiehoudende delfst.;2005;80;6.24;5.98;4.75;4.6;24514.0;24146.0;;;367.0;20259.0;15988.0;384.0;6.0;386.0;8.0;14989.0;6.0;14990.0;7.0;615.0;517.0;97.0;408.0;311.0;29.0;63.0;5.0;3080.0;205.0;30.0;62.0;47.0;313.0;26.0;14.0;302.0;2081.0;780.0;4255.0;321.0;399.0;77.0;61.0;75.0;14.0;;;6.0;
12;10 Turfwinning;2000;10;0.02;0.02;0.02;0.02;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;10 Turfwinning;2001;5;0.01;0.01;0.01;0.01;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;10 Turfwinning;2002;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;10 Turfwinning;2003;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;10 Turfwinning;2004;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;10 Turfwinning;2005;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;103 Turfwinning;2000;10;0.02;0.02;0.02;0.02;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;103 Turfwinning;2001;5;0.01;0.01;0.01;0.01;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;103 Turfwinning;2002;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;103 Turfwinning;2003;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;103 Turfwinning;2004;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;103 Turfwinning;2005;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24;1030 Turfwinning;2000;10;0.02;0.02;0.02;0.02;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;1030 Turfwinning;2001;5;0.01;0.01;0.01;0.01;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;1030 Turfwinning;2002;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;1030 Turfwinning;2003;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28;1030 Turfwinning;2004;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;1030 Turfwinning;2005;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30;11 Aardolie- en -gaswinning en dienstver;2000;80;8.4;8.24;6.41;6.27;15897.0;15826.0;6629.0;9198.0;71.0;12218.0;9238.0;161.0;2.0;161.0;2.0;8620.0;4.0;8621.0;5.0;457.0;457.0;0.0;357.0;305.0;23.0;15.0;14.0;1862.0;165.0;22.0;27.0;44.0;184.0;34.0;12.0;135.0;1239.0;762.0;3679.0;-142.0;56.0;199.0;3.0;21.0;18.0;28.0;28.0;0.0;3567.0
31;11 Aardolie- en -gaswinning en dienstver;2001;80;8.23;8.05;6.36;6.25;20158.0;19823.0;7521.0;12302.0;335.0;15764.0;12340.0;182.0;7.0;178.0;3.0;11676.0;4.0;11677.0;6.0;482.0;450.0;32.0;374.0;302.0;31.0;29.0;11.0;2224.0;159.0;23.0;33.0;43.0;262.0;36.0;11.0;152.0;1505.0;826.0;4393.0;-100.0;93.0;194.0;-90.0;9.0;99.0;-3.0;23.0;26.0;4200.0
32;11 Aardolie- en -gaswinning en dienstver;2002;80;8.08;7.6;6.62;6.44;18327.0;17938.0;6959.0;10980.0;388.0;14696.0;11091.0;239.0;4.0;240.0;6.0;10365.0;6.0;10370.0;10.0;487.0;440.0;47.0;485.0;350.0;32.0;52.0;51.0;2260.0;226.0;21.0;45.0;48.0;315.0;38.0;16.0;194.0;1357.0;861.0;3631.0;-184.0;102.0;287.0;-31.0;9.0;40.0;46.0;59.0;13.0;3462.0
33;11 Aardolie- en -gaswinning en dienstver;2003;70;7.72;7.44;6.51;6.32;19707.0;19337.0;;;370.0;15543.0;11763.0;190.0;15.0;180.0;5.0;10975.0;11.0;10969.0;5.0;598.0;525.0;73.0;454.0;351.0;28.0;62.0;12.0;2317.0;155.0;15.0;52.0;45.0;223.0;31.0;17.0;213.0;1566.0;1009.0;4164.0;-90.0;113.0;203.0;-182.0;33.0;215.0;462.0;481.0;20.0;4354.0
34;11 Aardolie- en -gaswinning en dienstver;2004;70;7.36;7.1;6.19;6.04;20493.0;20075.0;;;419.0;16863.0;12563.0;252.0;7.0;251.0;6.0;11654.0;4.0;11655.0;5.0;657.0;425.0;232.0;490.0;355.0;38.0;87.0;10.0;2831.0;160.0;25.0;72.0;47.0;225.0;31.0;18.0;317.0;1936.0;981.0;3630.0;-106.0;118.0;224.0;81.0;86.0;5.0;0.0;2.0;2.0;3604.0
35;11 Aardolie- en -gaswinning en dienstver;2005;70;6.24;5.98;4.75;4.6;24514.0;24146.0;;;367.0;20259.0;15988.0;384.0;6.0;386.0;8.0;14989.0;6.0;14990.0;7.0;615.0;517.0;97.0;408.0;311.0;29.0;63.0;5.0;3080.0;205.0;30.0;62.0;47.0;313.0;26.0;14.0;302.0;2081.0;780.0;4255.0;321.0;399.0;77.0;61.0;75.0;14.0;;;6.0;
36;111 Aardolie- en aardgaswinning;2000;25;4.72;4.61;4.22;4.13;13700.0;13674.0;4497.0;9177.0;26.0;10714.0;8713.0;90.0;0.0;90.0;0.0;8610.0;0.0;8610.0;0.0;13.0;13.0;0.0;221.0;192.0;13.0;4.0;13.0;1243.0;60.0;3.0;16.0;35.0;138.0;16.0;8.0;110.0;857.0;536.0;2986.0;-115.0;33.0;148.0;-6.0;0.0;6.0;3.0;3.0;0.0;2868.0
37;111 Aardolie- en aardgaswinning;2001;25;4.59;4.44;4.01;3.92;18055.0;18033.0;5755.0;12278.0;22.0;14365.0;11814.0;105.0;2.0;104.0;1.0;11665.0;0.0;11665.0;0.0;44.0;38.0;7.0;219.0;182.0;13.0;14.0;9.0;1781.0;78.0;3.0;19.0;35.0;148.0;21.0;7.0;133.0;1337.0;550.0;3690.0;-93.0;66.0;160.0;-75.0;2.0;77.0;0.0;0.0;0.0;3522.0
38;111 Aardolie- en aardgaswinning;2002;30;4.7;4.42;4.21;4.14;16274.0;16237.0;5300.0;10937.0;37.0;13125.0;10483.0;93.0;1.0;93.0;1.0;10335.0;1.0;10335.0;1.0;55.0;53.0;3.0;319.0;223.0;13.0;34.0;49.0;1755.0;85.0;3.0;26.0;34.0;216.0;20.0;9.0;155.0;1207.0;567.0;3149.0;-159.0;38.0;197.0;-24.0;0.0;24.0;29.0;39.0;10.0;2995.0
39;111 Aardolie- en aardgaswinning;2003;25;5.07;4.87;4.15;4.03;17457.0;17415.0;;;42.0;14077.0;11142.0;113.0;1.0;115.0;3.0;10939.0;0.0;10939.0;0.0;91.0;68.0;23.0;277.0;217.0;13.0;38.0;9.0;1976.0;79.0;3.0;28.0;34.0;188.0;23.0;9.0;184.0;1428.0;680.0;3380.0;-80.0;48.0;128.0;-186.0;5.0;191.0;10.0;10.0;0.0;3124.0
40;111 Aardolie- en aardgaswinning;2004;25;4.8;4.68;3.94;3.84;18360.0;18277.0;;;83.0;15351.0;11828.0;140.0;2.0;140.0;1.0;11623.0;0.0;11623.0;0.0;65.0;28.0;37.0;316.0;225.0;16.0;68.0;7.0;2477.0;74.0;3.0;42.0;40.0;189.0;24.0;13.0;292.0;1800.0;730.0;3010.0;-113.0;61.0;174.0;82.0;84.0;2.0;0.0;0.0;0.0;2979.0
41;111 Aardolie- en aardgaswinning;2005;25;3.08;2.97;2.41;2.35;22054.0;22059.0;;;;18506.0;15074.0;47.0;4.0;48.0;4.0;14966.0;0.0;14966.0;0.0;61.0;36.0;25.0;218.0;158.0;10.0;48.0;2.0;2650.0;53.0;1.0;20.0;37.0;226.0;17.0;8.0;267.0;2021.0;564.0;3548.0;293.0;342.0;49.0;66.0;70.0;4.0;;;0.0;
42;1110 Aardolie- en aardgaswinning;2000;25;4.72;4.61;4.22;4.13;13700.0;13674.0;4497.0;9177.0;26.0;10714.0;8713.0;90.0;0.0;90.0;0.0;8610.0;0.0;8610.0;0.0;13.0;13.0;0.0;221.0;192.0;13.0;4.0;13.0;1243.0;60.0;3.0;16.0;35.0;138.0;16.0;8.0;110.0;857.0;536.0;2986.0;-115.0;33.0;148.0;-6.0;0.0;6.0;3.0;3.0;0.0;2868.0
43;1110 Aardolie- en aardgaswinning;2001;25;4.59;4.44;4.01;3.92;18055.0;18033.0;5755.0;12278.0;22.0;14365.0;11814.0;105.0;2.0;104.0;1.0;11665.0;0.0;11665.0;0.0;44.0;38.0;7.0;219.0;182.0;13.0;14.0;9.0;1781.0;78.0;3.0;19.0;35.0;148.0;21.0;7.0;133.0;1337.0;550.0;3690.0;-93.0;66.0;160.0;-75.0;2.0;77.0;0.0;0.0;0.0;3522.0
44;1110 Aardolie- en aardgaswinning;2002;30;4.7;4.42;4.21;4.14;16274.0;16237.0;5300.0;10937.0;37.0;13125.0;10483.0;93.0;1.0;93.0;1.0;10335.0;1.0;10335.0;1.0;55.0;53.0;3.0;319.0;223.0;13.0;34.0;49.0;1755.0;85.0;3.0;26.0;34.0;216.0;20.0;9.0;155.0;1207.0;567.0;3149.0;-159.0;38.0;197.0;-24.0;0.0;24.0;29.0;39.0;10.0;2995.0
45;1110 Aardolie- en aardgaswinning;2003;25;5.07;4.87;4.15;4.03;17457.0;17415.0;;;42.0;14077.0;11142.0;113.0;1.0;115.0;3.0;10939.0;0.0;10939.0;0.0;91.0;68.0;23.0;277.0;217.0;13.0;38.0;9.0;1976.0;79.0;3.0;28.0;34.0;188.0;23.0;9.0;184.0;1428.0;680.0;3380.0;-80.0;48.0;128.0;-186.0;5.0;191.0;10.0;10.0;0.0;3124.0
46;1110 Aardolie- en aardgaswinning;2004;25;4.8;4.68;3.94;3.84;18360.0;18277.0;;;83.0;15351.0;11828.0;140.0;2.0;140.0;1.0;11623.0;0.0;11623.0;0.0;65.0;28.0;37.0;316.0;225.0;16.0;68.0;7.0;2477.0;74.0;3.0;42.0;40.0;189.0;24.0;13.0;292.0;1800.0;730.0;3010.0;-113.0;61.0;174.0;82.0;84.0;2.0;0.0;0.0;0.0;2979.0
47;1110 Aardolie- en aardgaswinning;2005;25;3.08;2.97;2.41;2.35;22054.0;22059.0;;;;18506.0;15074.0;47.0;4.0;48.0;4.0;14966.0;0.0;14966.0;0.0;61.0;36.0;25.0;218.0;158.0;10.0;48.0;2.0;2650.0;53.0;1.0;20.0;37.0;226.0;17.0;8.0;267.0;2021.0;564.0;3548.0;293.0;342.0;49.0;66.0;70.0;4.0;;;0.0;
48;112 Dienstverl aardolie- en -gaswinning;2000;55;3.69;3.63;2.18;2.14;2197.0;2153.0;2132.0;21.0;44.0;1504.0;525.0;71.0;2.0;71.0;2.0;10.0;4.0;11.0;5.0;444.0;444.0;0.0;136.0;113.0;9.0;12.0;2.0;617.0;105.0;19.0;11.0;9.0;46.0;17.0;4.0;24.0;382.0;226.0;693.0;-28.0;23.0;51.0;9.0;21.0;12.0;24.0;25.0;0.0;699.0
49;112 Dienstverl aardolie- en -gaswinning;2001;55;3.64;3.61;2.35;2.32;2103.0;1790.0;1765.0;24.0;313.0;1399.0;526.0;77.0;5.0;74.0;2.0;11.0;4.0;12.0;6.0;438.0;413.0;25.0;155.0;120.0;17.0;15.0;2.0;444.0;81.0;20.0;13.0;9.0;115.0;15.0;4.0;19.0;168.0;275.0;703.0;-7.0;27.0;34.0;-14.0;7.0;22.0;-3.0;23.0;26.0;678.0
50;112 Dienstverl aardolie- en -gaswinning;2002;50;3.38;3.17;2.41;2.3;2053.0;1702.0;1659.0;43.0;351.0;1571.0;608.0;146.0;3.0;147.0;5.0;30.0;5.0;35.0;10.0;432.0;388.0;44.0;166.0;127.0;19.0;18.0;2.0;502.0;142.0;17.0;19.0;13.0;99.0;17.0;6.0;39.0;150.0;294.0;482.0;-26.0;64.0;90.0;-8.0;8.0;16.0;18.0;21.0;3.0;466.0
51;112 Dienstverl aardolie- en -gaswinning;2003;45;2.66;2.57;2.36;2.29;2250.0;1922.0;1867.0;55.0;328.0;1466.0;621.0;77.0;14.0;65.0;1.0;36.0;10.0;31.0;5.0;508.0;457.0;50.0;176.0;134.0;15.0;24.0;3.0;340.0;76.0;12.0;24.0;11.0;35.0;7.0;8.0;29.0;138.0;330.0;784.0;-10.0;65.0;75.0;4.0;28.0;24.0;452.0;471.0;20.0;1230.0
52;112 Dienstverl aardolie- en -gaswinning;2004;45;2.55;2.42;2.26;2.19;2133.0;1797.0;1729.0;68.0;336.0;1513.0;735.0;111.0;5.0;111.0;5.0;32.0;4.0;32.0;5.0;592.0;397.0;195.0;174.0;130.0;22.0;18.0;3.0;351.0;86.0;22.0;29.0;7.0;35.0;7.0;5.0;25.0;135.0;251.0;620.0;7.0;57.0;50.0;-1.0;2.0;4.0;0.0;2.0;2.0;625.0
53;112 Dienstverl aardolie- en -gaswinning;2005;50;3.16;3.0;2.34;2.25;2460.0;2088.0;2001.0;87.0;372.0;1752.0;914.0;337.0;2.0;339.0;4.0;23.0;6.0;25.0;7.0;554.0;481.0;72.0;190.0;153.0;19.0;15.0;4.0;431.0;152.0;29.0;42.0;9.0;88.0;9.0;7.0;35.0;60.0;217.0;707.0;28.0;56.0;28.0;-5.0;5.0;10.0;-2.0;4.0;6.0;728.0
