ID;SoortMisdrijf;Perioden;TotaalGeregistreerd_1;TotaalOpgehelderd_2;TotaalGehoordeVerdachten_3;TotaalMannen_4;MeerderjarigeMannen_5;MinderjarigeMannen_6;TotaalVrouwen_7;MeerderjarigeVrouwen_8;MinderjarigeVrouwen_9;TotaalGeregistreerd_10;TotaalOpgehelderd_11;TotaalGehoordeVerdachten_12;TotaalMannen_13;MeerderjarigeMannen_14;MinderjarigeMannen_15;TotaalVrouwen_16;MeerderjarigeVrouwen_17;MinderjarigeVrouwen_18
75;Diefstal met geweld;2002;20647;4623;7794;7197;4999;2198;597;429;168;157;35;59;110;84;372;9;7;30
76;Diefstal met geweld;2003;20018;4662;7952;7402;5165;2237;550;397;153;151;35;60;112;86;370;8;7;27
77;Diefstal met geweld;2004;17683;4831;7982;7355;4929;2426;627;461;166;133;36;60;111;82;397;9;8;28
78;Diefstal met geweld;2005;15463;4309;7107;6564;4436;2128;543;428;115;116;32;53;99;73;346;8;7;20
79;Diefstal met geweld;2006;13716;3726;6640;6075;3884;2191;565;398;167;103;28;50;91;64;357;8;7;28
80;Diefstal met geweld;2007;13082;3460;6462;5908;3894;2014;554;410;144;98;26;48;88;64;327;8;7;24
81;Afpersing;1999;1073;361;637;604;396;208;33;29;4;8;3;5;9;7;37;1;0;1
82;Afpersing;2000;988;306;508;478;311;167;30;23;7;8;2;4;7;5;29;0;0;1
83;Afpersing;2001;829;293;469;430;279;151;39;23;16;6;2;4;7;5;26;1;0;3
84;Afpersing;2002;775;309;441;408;290;118;33;27;6;6;2;3;6;5;20;1;0;1
85;Afpersing;2003;729;320;504;464;320;144;40;28;12;6;2;4;7;5;24;1;0;2
86;Afpersing;2004;806;356;616;571;433;138;45;32;13;6;3;5;9;7;23;1;1;2
87;Afpersing;2005;786;380;602;561;408;153;41;32;9;6;3;5;8;7;25;1;1;2
88;Afpersing;2006;780;335;545;486;354;132;59;46;13;6;3;4;7;6;21;1;1;2
89;Afpersing;2007;666;303;474;433;305;128;41;36;5;5;2;4;6;5;21;1;1;1
90;Vermogensmisdrijven totaal;1999;877480;81662;115024;96028;75633;20395;18996;14647;4349;6798;633;891;1491;1288;3605;294;247;804
91;Vermogensmisdrijven totaal;2000;895510;75187;111652;93186;73225;19961;18466;14321;4145;6893;579;859;1438;1239;3486;284;240;759
92;Vermogensmisdrijven totaal;2001;921842;81910;109588;90594;72559;18035;18994;14183;4811;7051;626;838;1388;1221;3099;290;237;867
93;Vermogensmisdrijven totaal;2002;927632;86676;116386;95690;77758;17932;20696;16093;4603;7050;659;884;1456;1300;3031;314;267;814
94;Vermogensmisdrijven totaal;2003;880107;88661;119999;98656;79529;19127;21343;16399;4944;6650;670;907;1492;1324;3166;322;271;858
95;Vermogensmisdrijven totaal;2004;815460;85546;116783;96037;75151;20886;20746;15560;5186;6136;644;879;1447;1247;3417;312;256;889
96;Vermogensmisdrijven totaal;2005;743598;74463;103518;83288;62949;20339;20230;14241;5989;5577;558;776;1251;1042;3311;303;234;1022
97;Vermogensmisdrijven totaal;2006;703280;71271;102364;80645;59713;20932;21719;14685;7034;5261;533;766;1209;986;3406;324;240;1198
98;Vermogensmisdrijven totaal;2007;684241;67740;95655;73575;55495;18080;22080;14747;7333;5107;506;714;1100;914;2934;329;241;1245
99;Valsheidsmisdrijven;1999;7658;2376;3614;2804;2563;241;810;773;37;59;18;28;44;44;43;13;13;7
100;Valsheidsmisdrijven;2000;7017;1786;3417;2652;2378;274;765;714;51;54;14;26;41;40;48;12;12;9
101;Valsheidsmisdrijven;2001;8903;3743;4763;3670;3314;356;1093;1030;63;68;29;36;56;56;61;17;17;11
102;Valsheidsmisdrijven;2002;8653;4218;5176;3926;3689;237;1250;1164;86;66;32;39;60;62;40;19;19;15
103;Valsheidsmisdrijven;2003;9813;4255;5083;3843;3580;263;1240;1160;80;74;32;38;58;60;44;19;19;14
104;Valsheidsmisdrijven;2004;8733;3903;4625;3528;3295;233;1097;1019;78;66;29;35;53;55;38;16;17;13
105;Valsheidsmisdrijven;2005;5065;1378;1883;1441;1331;110;442;407;35;38;10;14;22;22;18;7;7;6
106;Valsheidsmisdrijven;2006;4830;1307;1968;1465;1336;129;503;471;32;36;10;15;22;22;21;8;8;5
107;Valsheidsmisdrijven;2007;5659;1120;1732;1330;1215;115;402;367;35;42;8;13;20;20;19;6;6;6
108;Eenvoudige diefstal;1999;366103;40972;53105;40005;32527;7478;13100;9920;3180;2836;317;411;621;554;1322;202;167;588
109;Eenvoudige diefstal;2000;364876;37051;50537;37778;30391;7387;12759;9767;2992;2809;285;389;583;514;1290;196;164;548
110;Eenvoudige diefstal;2001;368698;39660;49425;36030;29124;6906;13395;9670;3725;2820;303;378;552;490;1187;205;161;672
111;Eenvoudige diefstal;2002;370054;41574;51790;37262;30911;6351;14528;10931;3597;2812;316;394;567;517;1073;221;182;636
112;Eenvoudige diefstal;2003;367012;43000;53941;39272;32135;7137;14669;10831;3838;2773;325;408;594;535;1182;221;179;666
113;Eenvoudige diefstal;2004;333963;40390;51969;37766;29849;7917;14203;10034;4169;2513;304;391;569;495;1295;213;165;714
114;Eenvoudige diefstal;2005;315633;35992;47344;33122;25014;8108;14222;9442;4780;2367;270;355;498;414;1320;213;155;816
115;Eenvoudige diefstal;2006;293930;34369;47424;32084;23623;8461;15340;9439;5901;2199;257;355;481;390;1377;229;155;1005
116;Eenvoudige diefstal;2007;302621;34446;46268;30524;22837;7687;15744;9594;6150;2259;257;345;457;376;1247;235;157;1045
117;Gekwalificeerde diefstal;1999;482359;30120;47524;44332;32619;11713;3192;2296;896;3737;233;368;689;555;2070;49;39;166
118;Gekwalificeerde diefstal;2000;500944;28200;46739;43577;32244;11333;3162;2316;846;3856;217;360;672;546;1979;49;39;155
119;Gekwalificeerde diefstal;2001;519146;28606;43503;40931;31226;9705;2572;1864;708;3971;219;333;627;525;1668;39;31;128
120;Gekwalificeerde diefstal;2002;522988;30878;47488;44533;34230;10303;2955;2331;624;3974;235;361;678;572;1741;45;39;110
121;Gekwalificeerde diefstal;2003;475221;29964;45724;42786;32412;10374;2938;2219;719;3591;226;345;647;540;1717;44;37;125
122;Gekwalificeerde diefstal;2004;443599;29358;45855;42952;31611;11341;2903;2218;685;3338;221;345;647;525;1856;44;37;117
123;Gekwalificeerde diefstal;2005;393164;25001;39729;36882;26438;10444;2847;2018;829;2949;187;298;554;437;1700;43;33;142
124;Gekwalificeerde diefstal;2006;372143;22641;37196;34457;23944;10513;2739;2008;731;2784;169;278;516;395;1711;41;33;124
125;Gekwalificeerde diefstal;2007;340020;19402;31743;29107;20700;8407;2636;1944;692;2538;145;237;435;341;1364;39;32;118
126;Verduistering;1999;7802;2785;3349;2641;2365;276;708;556;152;60;22;26;41;40;49;11;9;28
127;Verduistering;2000;7850;2734;3248;2486;2197;289;762;601;161;60;21;25;38;37;50;12;10;29
128;Verduistering;2001;8564;3233;3317;2544;2279;265;773;606;167;66;25;25;39;38;46;12;10;30
129;Verduistering;2002;8607;3505;3711;2801;2508;293;910;713;197;65;27;28;43;42;50;14;12;35
130;Verduistering;2003;9143;3782;4027;2979;2638;341;1048;859;189;69;29;30;45;44;56;16;14;33
131;Verduistering;2004;8714;3640;3831;2842;2588;254;989;836;153;66;27;29;43;43;42;15;14;26
132;Verduistering;2005;7953;3537;3830;2794;2533;261;1036;863;173;60;27;29;42;42;42;16;14;30
133;Verduistering;2006;7750;3563;3854;2794;2495;299;1060;895;165;58;27;29;42;41;49;16;15;28
134;Verduistering;2007;8101;3676;4013;2897;2581;316;1116;867;249;60;27;30;43;43;51;17;14;42
135;Bedrog;1999;11641;3826;4821;3881;3605;276;940;891;49;90;30;37;60;61;49;15;15;9
136;Bedrog;2000;12742;3672;4875;4067;3835;232;808;736;72;98;28;38;63;65;41;12;12;13
137;Bedrog;2001;13808;4227;5098;4305;4073;232;793;719;74;106;32;39;66;69;40;12;12;13
138;Bedrog;2002;14597;3884;4709;4005;3792;213;704;648;56;111;30;36;61;63;36;11;11;10
139;Bedrog;2003;15870;4779;7102;6093;5841;252;1009;952;57;120;36;54;92;97;42;15;16;10
140;Bedrog;2004;16883;4847;5860;4773;4513;260;1087;1028;59;127;36;44;72;75;43;16;17;10
141;Bedrog;2005;17846;4778;5674;4499;4148;351;1175;1067;108;134;36;43;68;69;57;18;18;18
142;Bedrog;2006;20296;5235;6187;4813;4531;282;1374;1261;113;152;39;46;72;75;46;21;21;19
143;Bedrog;2007;23779;5195;6449;4973;4650;323;1476;1384;92;177;39;48;74;77;52;22;23;16
144;Heling en schuldheling;1999;1917;1583;2611;2365;1954;411;246;211;35;15;12;20;37;33;73;4;4;6
145;Heling en schuldheling;2000;2081;1744;2836;2626;2180;446;210;187;23;16;13;22;41;37;78;3;3;4
146;Heling en schuldheling;2001;2723;2441;3482;3114;2543;571;368;294;74;21;19;27;48;43;98;6;5;13
147;Heling en schuldheling;2002;2733;2617;3512;3163;2628;535;349;306;43;21;20;27;48;44;90;5;5;8
148;Heling en schuldheling;2003;3048;2881;4122;3683;2923;760;439;378;61;23;22;31;56;49;126;7;6;11
149;Heling en schuldheling;2004;3568;3408;4643;4176;3295;881;467;425;42;27;26;35;63;55;144;7;7;7
150;Heling en schuldheling;2005;3937;3777;5058;4550;3485;1065;508;444;64;30;28;38;68;58;173;8;7;11
151;Heling en schuldheling;2006;4331;4156;5735;5032;3784;1248;703;611;92;32;31;43;75;62;203;10;10;16
152;Heling en schuldheling;2007;4061;3901;5450;4744;3512;1232;706;591;115;30;29;41;71;58;200;11;10;20
153;Vernieling en openbare orde totaal;1999;189010;22465;35200;32745;22458;10287;2455;1769;686;1464;174;273;509;382;1818;38;30;127
154;Vernieling en openbare orde totaal;2000;190024;23139;36067;33431;23221;10210;2636;1854;782;1463;178;278;516;393;1783;40;31;143
155;Vernieling en openbare orde totaal;2001;193129;26114;37867;34826;24671;10155;3041;2269;772;1477;200;290;534;415;1745;46;38;139
156;Vernieling en openbare orde totaal;2002;197513;29828;44912;41130;28116;13014;3782;2568;1214;1501;227;341;626;470;2200;57;43;215
157;Vernieling en openbare orde totaal;2003;192514;32091;49115;44365;29741;14624;4750;3185;1565;1455;242;371;671;495;2421;72;53;272
158;Vernieling en openbare orde totaal;2004;202999;35093;54472;49383;32861;16522;5089;3533;1556;1527;264;410;744;545;2703;76;58;267
159;Vernieling en openbare orde totaal;2005;211414;33665;53227;47815;30392;17423;5412;3445;1967;1585;252;399;718;503;2837;81;57;336
160;Vernieling en openbare orde totaal;2006;215225;34454;57273;51559;31416;20143;5714;3631;2083;1610;258;428;773;519;3278;85;59;355
161;Vernieling en openbare orde totaal;2007;223430;33923;57315;51350;31627;19723;5965;3682;2283;1668;253;428;768;521;3201;89;60;388
162;Tegen de openbare orde;1999;4525;2414;5161;4599;3058;1541;562;295;267;35;19;40;71;52;272;9;5;49
163;Tegen de openbare orde;2000;4813;2683;5951;5265;3670;1595;686;296;390;37;21;46;81;62;279;11;5;71
164;Tegen de openbare orde;2001;5907;3904;7434;6659;4891;1768;775;445;330;45;30;57;102;82;304;12;7;60
165;Tegen de openbare orde;2002;10462;6330;12972;11520;8310;3210;1452;770;682;80;48;99;175;139;543;22;13;121
166;Tegen de openbare orde;2003;12539;7911;16158;14371;9727;4644;1787;930;857;95;60;122;217;162;769;27;15;149
167;Tegen de openbare orde;2004;13451;8502;18766;16806;11128;5678;1960;1094;866;101;64;141;253;185;929;29;18;148
168;Tegen de openbare orde;2005;12256;7358;16754;14684;9125;5559;2070;1033;1037;92;55;126;221;151;905;31;17;177
169;Tegen de openbare orde;2006;12494;7672;18473;16176;10144;6032;2297;1146;1151;93;57;138;242;167;982;34;19;196
170;Tegen de openbare orde;2007;12986;7603;18512;15978;10131;5847;2534;1275;1259;97;57;138;239;167;949;38;21;214
171;Discriminatie;1999;429;147;194;177;165;12;17;15;2;3;1;2;3;3;2;0;0;0
172;Discriminatie;2000;386;115;177;161;138;23;16;16;0;3;1;1;2;2;4;0;0;0
173;Discriminatie;2001;575;202;248;208;165;43;40;33;7;4;2;2;3;3;7;1;1;1
174;Discriminatie;2002;473;189;269;220;171;49;49;25;24;4;1;2;3;3;8;1;0;4
175;Discriminatie;2003;396;169;227;194;137;57;33;29;4;3;1;2;3;2;9;0;0;1
176;Discriminatie;2004;507;225;320;235;145;90;85;32;53;4;2;2;4;2;15;1;1;9
177;Discriminatie;2005;535;225;313;269;162;107;44;21;23;4;2;2;4;3;17;1;0;4
178;Discriminatie;2006;525;210;254;204;129;75;50;30;20;4;2;2;3;2;12;1;0;3
179;Discriminatie;2007;520;214;257;220;137;83;37;24;13;4;2;2;3;2;13;1;0;2
180;Gemeengevaarlijke misdrijven;1999;8424;1514;2652;2471;1426;1045;181;145;36;65;12;21;38;24;185;3;2;7
181;Gemeengevaarlijke misdrijven;2000;8679;1352;2389;2218;1246;972;171;136;35;67;10;18;34;21;170;3;2;6
182;Gemeengevaarlijke misdrijven;2001;8739;1569;2554;2377;1437;940;177;120;57;67;12;20;36;24;162;3;2;10
183;Gemeengevaarlijke misdrijven;2002;8269;1497;2583;2353;1310;1043;230;170;60;63;11;20;36;22;176;3;3;11
184;Gemeengevaarlijke misdrijven;2003;9326;1769;2986;2723;1434;1289;263;206;57;70;13;23;41;24;213;4;3;10
185;Gemeengevaarlijke misdrijven;2004;9021;1772;2979;2765;1470;1295;214;154;60;68;13;22;42;24;212;3;3;10
186;Gemeengevaarlijke misdrijven;2005;8889;1648;3097;2850;1226;1624;247;158;89;67;12;23;43;20;264;4;3;15
187;Gemeengevaarlijke misdrijven;2006;8878;1604;3191;2904;1083;1821;287;149;138;66;12;24;44;18;296;4;2;23
188;Gemeengevaarlijke misdrijven;2007;8849;1590;3067;2841;1236;1605;226;114;112;66;12;23;42;20;260;3;2;19
189;Tegen het openbaar gezag;1999;2757;2229;3139;2866;2672;194;273;239;34;21;17;24;45;45;34;4;4;6
190;Tegen het openbaar gezag;2000;3401;2824;3637;3316;3063;253;321;299;22;26;22;28;51;52;44;5;5;4
191;Tegen het openbaar gezag;2001;3509;3205;3626;3248;2990;258;378;357;21;27;25;28;50;50;44;6;6;4
192;Tegen het openbaar gezag;2002;3756;3587;3979;3628;3352;276;351;320;31;29;27;30;55;56;47;5;5;5
193;Tegen het openbaar gezag;2003;4592;4388;4890;4276;3918;358;614;577;37;35;33;37;65;65;59;9;10;6
194;Tegen het openbaar gezag;2004;5528;5296;5833;5070;4677;393;763;719;44;42;40;44;76;78;64;11;12;8
195;Tegen het openbaar gezag;2005;4920;4742;5327;4643;4273;370;684;633;51;37;36;40;70;71;60;10;10;9
196;Tegen het openbaar gezag;2006;4893;4707;5258;4617;4135;482;641;558;83;37;35;39;69;68;78;10;9;14
197;Tegen het openbaar gezag;2007;4733;4547;5124;4619;4097;522;505;451;54;35;34;38;69;67;85;8;7;9
198;Schennis der eerbaarheid;1999;2340;829;906;897;828;69;9;8;1;18;6;7;14;14;12;0;0;0
199;Schennis der eerbaarheid;2000;2442;894;997;981;893;88;16;15;1;19;7;8;15;15;15;0;0;0
200;Schennis der eerbaarheid;2001;2202;859;918;918;848;70;0;0;0;17;7;7;14;14;12;0;0;0
201;Schennis der eerbaarheid;2002;2191;879;953;940;859;81;13;12;1;17;7;7;14;14;14;0;0;0
202;Schennis der eerbaarheid;2003;2435;947;1000;986;932;54;14;14;0;18;7;8;15;16;9;0;0;0
203;Schennis der eerbaarheid;2004;2323;992;1058;1044;977;67;14;14;0;17;7;8;16;16;11;0;0;0
204;Schennis der eerbaarheid;2005;2129;875;911;907;834;73;4;4;0;16;7;7;14;14;12;0;0;0
205;Schennis der eerbaarheid;2006;2081;897;967;951;882;69;16;15;1;16;7;7;14;15;11;0;0;0
206;Schennis der eerbaarheid;2007;1854;731;799;789;732;57;10;9;1;14;5;6;12;12;9;0;0;0
207;Vernieling;1999;170535;15332;23148;21735;14309;7426;1413;1067;346;1321;119;179;338;244;1313;22;18;64
208;Vernieling;2000;170303;15271;22916;21490;14211;7279;1426;1092;334;1311;118;176;332;241;1271;22;18;61
209;Vernieling;2001;172197;16375;23087;21416;14340;7076;1671;1314;357;1317;125;177;328;241;1216;26;22;64
210;Vernieling;2002;172362;17346;24156;22469;14114;8355;1687;1271;416;1310;132;184;342;236;1412;26;21;74
211;Vernieling;2003;163226;16907;23854;21815;13593;8222;2039;1429;610;1233;128;180;330;226;1361;31;24;106
212;Vernieling;2004;172169;18306;25516;23463;14464;8999;2053;1520;533;1295;138;192;354;240;1472;31;25;91
213;Vernieling;2005;182685;18817;26825;24462;14772;9690;2363;1596;767;1370;141;201;367;244;1578;35;26;131
214;Vernieling;2006;186354;19364;29130;26707;15043;11664;2423;1733;690;1394;145;218;400;248;1898;36;28;117
215;Vernieling;2007;194488;19238;29556;26903;15294;11609;2653;1809;844;1452;144;221;402;252;1884;40;30;143
216;Overige misdrijven Wetboek v. Strafrecht;1999;5917;3997;4497;4040;3675;365;457;398;59;46;31;35;63;63;65;7;7;11
217;Overige misdrijven Wetboek v. Strafrecht;2000;6351;4530;5417;4844;4425;419;573;505;68;49;35;42;75;75;73;9;8;12
218;Overige misdrijven Wetboek v. Strafrecht;2001;7230;5343;5966;5310;4835;475;656;586;70;55;41;46;81;81;82;10;10;13
219;Overige misdrijven Wetboek v. Strafrecht;2002;9109;6497;7093;6213;5636;577;880;758;122;69;49;54;95;94;98;13;13;22
220;Overige misdrijven Wetboek v. Strafrecht;2003;10571;7837;8725;7697;6959;738;1028;862;166;80;59;66;116;116;122;16;14;29
221;Overige misdrijven Wetboek v. Strafrecht;2004;11127;8464;9457;8243;7452;791;1214;1025;189;84;64;71;124;124;129;18;17;32
222;Overige misdrijven Wetboek v. Strafrecht;2005;10954;8102;9157;7895;6955;940;1262;1058;204;82;61;69;119;115;153;19;17;35
223;Overige misdrijven Wetboek v. Strafrecht;2006;11533;8345;9531;8051;7157;894;1480;1247;233;86;62;71;121;118;145;22;20;40
224;Overige misdrijven Wetboek v. Strafrecht;2007;12408;8508;9614;8118;6993;1125;1496;1227;269;93;64;72;121;115;183;22;20;46
