ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzet_25;TotaalCateringActiviteiten_26;Dranken_27;Food_28;NonFood_29;DoorberekendePersoneelskosten_30;ManagementFee_31;OverigeDoorberekendeKosten_32;OverigeVerleendeDiensten_33;Contractcatering_34;Partycatering_35;Inflightcatering_36;OverigeCatering_37;Bedrijfscatering_38;InstitutioneleCatering_39;OnderwijsCatering_40;LeisureCatering_41;OntvangstenVoorUitleenEnSubsidie_42;TotaalPersoneelskosten_43;BrutoLonenEnSalarissen_44;SocialeLasten_45;Pensioenpremies_46;KostenUitzendkrachten_47;KostenIngeleendPersoneel_48;OverigePersoneelskosten_49;TotaalOverigeBedrijfslasten_50;TotaalHuisvestingskosten_51;BetaaldeHurenPachtenEDVanLeasing_52;OnroerendeZaakbelastingMilieuheffing_53;Energiekosten_54;ReparatieEnOnderhoudskosten_55;Verzekeringen_56;OverigeHuisvestingskosten_57;TotaalInventarisEnMachinekosten_58;BetaaldeHurenEnKostenVanOperLease_59;Onderhoudskosten_60;OverigeInventarisEnMachinekosten_61;TotaalAutokosten_62;BetaaldeHurenEnKostenVanOperLease_63;Brandstof_64;OverigeAutokosten_65;TotaalVerkoopkosten_66;ReclameEnAdvertentiekosten_67;ReisVerblijfsEnRepresentatiekosten_68;OverigeVerkoopkosten_69;TotaalAndereKosten_70;AccountantsEnAdviesdiensten_71;KantoorbenodigdhDrukwerkVakliteratuur_72;OverigeVerzekeringen_73;OverigeKostprijsverhogendeBelastingen_74;Communicatiekosten_75;Beheerskosten_76;OverigeAutomatiseringskosten_77;NogNietEerderGenoemdeBedrijfskosten_78;TotaalAantalWerkzamePersonen_79;WerknemersOpDeLoonlijst_80;WerknemersNietOpLoonlijst_81;OverigPersoneel_82;AantalVte_83;TotaalInvesteringen_84;TotaalMaterieleVasteActiva_85;Bedrijfsruimten_86;Vervoermiddelen_87;Computers_88;OverigeMachinesApparatenED_89;OverigeMaterieleVasteActiva_90;TotaalImmaterieleVasteActiva_91
10;250 000 tot 500 000 euro;1998;1.8;71;71;71;0;0;61;39.5;24.4;5.6;30.5;19;6;1;3;3;5;10;-1;9;65.9;13.0;13.0;10.2;71;100.0;16.5;76.8;1.7;2.4;0.9;1.7;0.0;8.7;53.2;0.0;38.1;99.7;0.0;0.2;0.0;1.0;15;76.1;11.2;2.1;6.4;1.0;4.1;19;6;;;;;;;1;;;;3;;;;3;;;;5;;;;;;;;;21;71.0;12.1;16.9;9;7;100.0;38.2;21.7;1.9;35.7;2.5;0.0
11;250 000 tot 500 000 euro;1999;1.9;67;67;67;0;0;57;41.9;23.7;6.5;27.9;16;6;1;2;3;4;10;-1;9;64.3;14.2;14.2;5.8;67;99.9;17.2;76.1;2.0;1.8;1.5;1.2;0.1;18.6;25.2;0.0;56.2;46.5;24.0;27.7;1.8;1.0;13;76.4;12.1;1.9;3.7;3.5;3.5;16;6;;;;;;;1;;;;2;;;;3;;;;4;;;;;;;;;24;77.4;18.4;4.2;10;4;85.0;9.9;23.2;2.1;30.3;19.5;15.0
12;500 000 tot 1 500 000 euro;1996;0.9;84;82;81;0;2;81;37.8;35.3;4.8;22.0;18;5;1;2;4;5;4;-2;2;62.7;2.9;2.9;4.5;82;99.0;22.9;65.5;3.4;2.2;2.1;2.1;1.0;42.0;31.1;0.0;26.9;70.7;16.6;12.8;0.0;1.7;28;82.0;9.3;1.5;4.6;0.9;3.3;18;5;54.7;2.2;19.7;9.9;3.1;10.4;1;18.3;35.4;46.3;2;58.6;20.4;21.0;4;42.8;9.0;48.1;5;36.0;6.8;4.0;0.1;8.0;14.5;4.3;26.4;30;95.2;3.1;1.6;16;4;99.6;6.8;23.7;4.2;33.4;31.5;0.4
13;500 000 tot 1 500 000 euro;1997;1.0;80;78;78;0;2;77;37.2;35.3;4.6;22.9;18;5;1;2;3;6;4;-2;2;63.4;2.9;2.9;3.5;78;96.7;21.8;65.3;2.9;2.8;1.5;1.9;3.3;34.8;44.0;0.0;21.1;76.9;7.7;15.4;0.0;1.7;27;80.6;9.4;1.5;5.5;0.6;4.0;18;5;56.2;3.4;18.0;7.1;5.1;10.3;1;23.7;33.8;42.5;2;59.7;17.0;23.2;3;52.2;16.4;31.4;6;44.8;7.8;2.9;0.1;5.8;13.4;1.5;23.8;25;95.3;3.3;1.4;13;3;98.2;31.2;19.3;3.1;27.2;17.4;1.8
14;500 000 tot 1 500 000 euro;1998;0.9;80;78;78;0;2;78;35.5;36.8;4.0;23.7;18;7;1;2;2;7;2;-1;1;64.8;1.5;1.8;2.1;78;100.0;19.0;69.2;2.2;2.8;1.8;4.7;0.0;37.9;35.9;0.9;25.3;77.2;14.6;8.2;0.0;0.9;29;75.6;10.2;3.0;8.4;0.1;3.6;18;7;;;;;;;1;;;;2;;;;2;;;;7;;;;;;;;;26;88.3;1.1;10.6;13;2;99.7;4.1;19.4;6.5;47.3;22.4;0.3
15;500 000 tot 1 500 000 euro;1999;1.1;100;99;99;0;1;95;35.1;34.9;4.6;25.5;24;8;2;2;3;8;5;-1;4;66.3;3.9;4.2;4.6;99;100.0;16.4;73.6;2.4;3.4;0.2;3.7;0.0;29.5;45.7;0.0;24.8;77.6;18.1;4.0;0.0;1.1;33;75.9;11.7;2.0;8.0;0.3;3.3;24;8;;;;;;;2;;;;2;;;;3;;;;8;;;;;;;;;32;88.6;2.6;8.8;15;5;91.2;12.6;20.9;2.6;19.6;35.5;8.8
16;1 500 000 euro en meer;1996;0.3;899;887;887;0;12;859;41.0;48.9;1.7;8.5;73;26;5;8;8;25;40;1;41;60.3;4.4;4.5;2.3;887;98.8;10.5;43.3;2.8;29.6;3.2;9.0;1.2;70.8;9.3;16.6;3.3;80.3;10.6;2.6;6.1;0.1;420;74.9;10.1;1.7;9.1;2.3;2.0;73;26;51.2;0.9;12.9;21.5;0.8;12.7;5;25.7;41.9;32.4;8;53.9;14.6;31.6;8;40.4;27.9;31.7;25;18.8;9.9;2.8;0.6;12.3;41.0;3.3;11.4;215;87.3;0.0;12.7;147;21;99.4;23.7;5.1;5.9;24.6;40.2;0.6
17;1 500 000 euro en meer;1997;0.4;987;969;969;0;18;941;39.6;49.3;1.7;9.4;88;33;7;9;11;28;45;-7;38;61.6;3.7;3.9;2.3;969;98.4;10.9;42.0;3.4;29.3;3.1;8.8;1.6;68.7;12.3;16.0;3.1;80.8;9.9;3.3;5.8;0.1;464;73.3;9.4;2.3;11.2;1.5;2.4;88;33;52.0;0.8;12.2;22.5;0.8;11.7;7;18.7;41.3;40.0;9;57.1;15.3;27.5;11;37.0;43.5;19.5;28;18.1;10.8;2.5;1.3;12.0;33.6;4.3;17.4;247;84.1;0.0;15.9;160;23;99.2;10.7;18.2;9.0;23.8;37.4;0.8
18;1 500 000 euro en meer;1998;0.4;1093;1062;1062;0;31;1032;42.5;46.4;1.7;9.4;97;32;13;10;14;29;60;-2;58;58.7;5.4;5.3;2.2;1062;98.8;11.0;41.9;3.0;29.6;3.2;9.1;1.2;67.5;13.0;15.1;4.3;85.4;8.3;1.4;3.9;0.3;479;74.7;12.2;1.7;7.7;1.6;2.3;97;32;;;;;;;13;;;;10;;;;14;;;;29;;;;;;;;;247;87.6;0.0;12.4;175;24;96.1;15.2;6.9;8.0;17.9;48.0;3.9
19;1 500 000 euro en meer;1999;0.5;1213;1191;1191;0;22;1149;43.6;46.7;1.7;8.1;93;34;9;11;10;29;64;-3;61;57.9;5.2;5.1;2.4;1191;98.9;10.7;41.1;3.3;30.9;2.9;9.4;1.1;69.5;11.0;14.4;5.1;82.9;8.9;1.8;5.5;0.8;536;74.0;12.0;1.7;8.3;1.4;3.5;93;34;;;;;;;9;;;;11;;;;10;;;;29;;;;;;;;;292;86.5;0.0;13.5;204;29;96.6;29.1;4.7;14.4;22.6;25.8;3.4
