ID;Jaren;TotaalAutomatiseringskosten_1;OverigeAutomatiseringskosten_2;Apparatuur_3;DatacommunicatievoorzieningLijnkosten_4;TotaleApparatuurkosten_5;LoonkostenPersoneel_6;OpleidingkostenPersoneel_7;StandaardProgrammatuur_8;InclIngehuurdAutomatiseringspersoneel_9;ExclIngehuurdAutomatiseringspersoneel_10;VoedingsEnGenotmiddelenIndustrie_11;TextielKledingEnLederindustrie_12;PapierWarenEnGrafischeIndustrie_13;AardolieChemischeKunststIndustrie_14;MetaalEnElectrotechnischeIndustrie_15;OverigeIndustrieDelfstoffenwinning11_16;OpenbareNutsbedrijven_17;Bouwnijverheid_18;Bouwinstallatiebedrijven_19;GroothandelEnTussenpersonenHierin_20;DetailhandelHorecaReparatiebedr_21;TransportOpslagEnCommunicatiebedr_22;Bankwezen_23;Verzekeringswezen_24;Computerservicebureaus_25;OverigeZakelijkeDienstverlening_26;Onderwijs_27;GezondheidEnVeterinaireDiensten_28;OverigeDienstverlening_29;LandbouwEnVisserij_30;DelfstofwIndustrieOpenbareNutsbedr_31;BouwnijverheidEnBouwinstallatieBedr_32;Handel_33;ZakelijkeDienstverlening_34;Overige_35;Totaal_36;VoedingsEnGenotmiddelenindustrie_37;TextielKledingLederindustrie_38;PaperWarenEnGrafischeIndustrie_39;AardolieChemischeVerwerkIndustrie_40;MetaalEnElektrotechnischeIndustrie_41;OverigeIndustrieDelfstoffenwinning_42;OpenbareNutsbedrijven_43;Bouwnijverheid_44;Bouwinstallatiebedrijven_45;GroothandelEnTussenpersonenHierin_46;DetailhandelHorecaReparatiebedr_47;TransportOpslagEnCommunicatiebedr_48;Bankwezen_49;Verzekeringswezen_50;Computerservicebureaus_51;OverigeZakelijkeDienstverlening_52;Onderwijs_53;GezondheidEnVeterinaireDiensten_54;LandbouwEnVisserij_55;OverigeDienstverlening_56;Totaal_57;DelfstoffenIndustrieOpenbareNutsbedr_58;BouwnijverheidEnBouwinstallatiebedr_59;Handel_60;ZakelijkeDienstverlening_61;OverigeBedrijfstakken_62;Tussen227En908Euro_63;Tussen908En4538Euro_64;Tussen4538En9076Euro_65;Tussen9076En22689Euro_66;Tussen22689En90756Euro_67;Tussen90756En453780Euro_68;Vanaf453780EuroEnMeer_69;Terminals_70;StandAlonePCS_71;GekoppeldePCS_72;Servers_73;MiniMainframesTot200000KB_74;MiniMainframesVanaf200000KB_75;Tussen227En908Euro_76;Tussen908En4538Euro_77;Tussen4538En9076Euro_78;Tussen9076En22689Euro_79;Tussen22689En90756Euro_80;Tussen90756En453780Euro_81;Vanaf453780EuroEnMeer_82;Terminals_83;StandAlonePCS_84;GekoppeldePCS_85;Servers_86;MiniMainframesTot200000KB_87;MiniMainframesVanaf200000KB_88;Tussen227En908Euro_89;Tussen908En4538Euro_90;Tussen4538En9076Euro_91;Tussen9076En22689Euro_92;Tussen22689En90756Euro_93;Tussen90756En453780Euro_94;Van453780EuroEnMeer_95;Terminals_96;StandAlonePCS_97;GekoppeldePCS_98;Servers_99;MiniMainframesTot200000KB_100;MiniMainframesVanaf200000KB_101;Tussen227En908Euro_102;Tussen908En4538Euro_103;Tussen4538En9076Euro_104;Tussen9076En22689Euro_105;Tussen22689En90756Euro_106;Tussen90756En453780Euro_107;Van453780EuroEnMeer_108;Terminals_109;StandAlonePCS_110;GekoppeldePCS_111;Servers_112;MiniMainframesTot200000KB_113;MiniMainframesVanaf200000KB_114;Tussen227En908Euro_115;Tussen908En4538Euro_116;Tussen4538En9076Euro_117;Tussen9076En22689Euro_118;Tussen22689En90756Euro_119;Tussen90756En453780Euro_120;Van453780EuroEnMeer_121;Terminals_122;StandAlonePCS_123;GekoppeldePCS_124;Servers_125;MiniMainframesTot200000KB_126;MiniMainframesVanaf200000KB_127;Tussen227En908Euro_128;Tussen908En4538Euro_129;Tussen4538En9076Euro_130;Tussen9076En22689Euro_131;Tussen22689En90756Euro_132;Tussen90756En453780Euro_133;Van453780EuroEnMeer_134;Terminals_135;StandAlonePCS_136;Servers_137;GekoppeldePCS_138;MiniMainframesTot200000KB_139;MiniMainframesVanaf200000KB_140
10;1989;6598.0;558.0;2158.0;294.0;2452.0;2499.0;134.0;341.0;614.0;;142.0;37.0;149.0;332.0;584.0;131.0;98.0;83.0;33.0;843.0;229.0;446.0;947.0;457.0;1093.0;530.0;45.0;107.0;298.0;15.0;1474.0;116.0;1072.0;3472.0;465.0;1435.0;40.0;9.0;36.0;93.0;106.0;34.0;;22.0;7.0;259.0;51.0;47.0;324.0;103.0;60.0;106.0;27.0;40.0;5.0;66.0;73663.0;14222.0;1465.0;10861.0;41744.0;5371.0;;242008.0;91946.0;32077.0;17483.0;5310.0;1323.0;387998.0;;;;;;;47906.0;32864.0;10061.0;3321.0;1417.0;402.0;105529.0;;;;;;;14260.0;4657.0;782.0;714.0;93.0;10.0;7617.0;;;;;;;35073.0;10751.0;6011.0;5109.0;1185.0;271.0;85617.0;;;;;;;100133.0;34969.0;13065.0;6687.0;2095.0;532.0;153403.0;;;;;;;44636.0;8705.0;2158.0;1652.0;520.0;108.0;35832.0;;;;;
11;1990;7134.0;617.0;2208.0;368.0;2577.0;2633.0;141.0;355.0;811.0;;150.0;39.0;145.0;396.0;643.0;137.0;85.0;83.0;36.0;784.0;236.0;584.0;1044.0;495.0;1146.0;548.0;46.0;124.0;399.0;12.0;1595.0;119.0;1021.0;3818.0;582.0;1979.0;52.0;11.0;53.0;109.0;173.0;53.0;22.0;39.0;12.0;255.0;78.0;131.0;366.0;109.0;112.0;189.0;20.0;45.0;7.0;144.0;76674.0;14775.0;1543.0;10627.0;44031.0;5698.0;;359431.0;114475.0;39435.0;16882.0;5085.0;1190.0;451634.0;;;;;;;67754.0;38600.0;13711.0;3801.0;1482.0;325.0;113593.0;;;;;;;22263.0;4577.0;1109.0;676.0;94.0;13.0;8666.0;;;;;;;51143.0;12828.0;6619.0;4895.0;1198.0;222.0;91170.0;;;;;;;150720.0;48085.0;14489.0;6043.0;1812.0;490.0;192142.0;;;;;;;67551.0;10385.0;3507.0;1467.0;499.0;140.0;46063.0;;;;;
12;1991;7748.0;675.0;2406.0;399.0;2805.0;2856.0;150.0;416.0;846.0;;184.0;29.0;157.0;334.0;706.0;134.0;118.0;95.0;33.0;830.0;250.0;672.0;1032.0;501.0;1303.0;729.0;68.0;132.0;422.0;16.0;1662.0;128.0;1080.0;4241.0;638.0;1968.0;55.0;9.0;52.0;101.0;170.0;48.0;33.0;40.0;15.0;272.0;72.0;142.0;256.0;112.0;116.0;255.0;32.0;57.0;8.0;123.0;81403.0;15247.0;1406.0;9956.0;48319.0;6475.0;;513544.0;102666.0;39687.0;17406.0;5314.0;1178.0;465847.0;;;;;;;107523.0;31450.0;12535.0;3273.0;1535.0;327.0;122684.0;;;;;;;27504.0;3778.0;1157.0;585.0;83.0;10.0;9711.0;;;;;;;72738.0;13678.0;7694.0;5783.0;1330.0;196.0;106955.0;;;;;;;212937.0;46165.0;15817.0;5946.0;1779.0;550.0;178181.0;;;;;;;92842.0;7595.0;2484.0;1819.0;587.0;95.0;48316.0;;;;;
13;1992;8149.0;750.0;2322.0;404.0;2725.0;3115.0;132.0;466.0;961.0;;204.0;33.0;171.0;538.0;682.0;79.0;133.0;102.0;35.0;862.0;270.0;672.0;1368.0;490.0;1199.0;638.0;75.0;168.0;406.0;23.0;1840.0;137.0;1133.0;4367.0;672.0;1772.0;56.0;7.0;53.0;88.0;147.0;20.0;25.0;30.0;10.0;197.0;70.0;153.0;341.0;113.0;88.0;197.0;23.0;50.0;5.0;98.0;82917.0;15599.0;2026.0;11754.0;45287.0;8251.0;74025.0;629212.0;84165.0;24985.0;16711.0;4478.0;949.0;424792.0;;;;;;13907.0;140072.0;32734.0;6116.0;2974.0;1458.0;289.0;112390.0;;;;;;3463.0;31386.0;3861.0;1072.0;559.0;67.0;1.0;7840.0;;;;;;12194.0;102745.0;10936.0;4568.0;4818.0;1051.0;109.0;94868.0;;;;;;26047.0;242278.0;31544.0;10714.0;6707.0;1382.0;401.0;155061.0;;;;;;18414.0;112731.0;5090.0;2515.0;1653.0;520.0;149.0;54633.0;;;;;
14;1993;8314.0;829.0;;;2624.0;2965.0;;619.0;1278.0;741.0;182.0;26.0;186.0;541.0;580.0;135.0;162.0;98.0;50.0;825.0;314.0;734.0;1213.0;468.0;1374.0;657.0;141.0;225.0;388.0;17.0;1812.0;147.0;1139.0;4445.0;770.0;2125.0;55.0;10.0;55.0;89.0;122.0;45.0;25.0;35.0;19.0;210.0;117.0;226.0;329.0;102.0;212.0;220.0;70.0;98.0;6.0;81.0;78801.0;14165.0;1539.0;9817.0;44938.0;8342.0;81902.0;710161.0;89840.0;26705.0;16955.0;4389.0;925.0;386403.0;395201.0;685792.0;54543.0;20069.0;4413.0;15145.0;156819.0;34486.0;6434.0;2870.0;1426.0;290.0;96810.0;78663.0;149858.0;9512.0;3967.0;1430.0;3822.0;34298.0;4060.0;1132.0;619.0;70.0;1.0;9927.0;26930.0;23141.0;2154.0;726.0;59.0;12978.0;113278.0;11361.0;4691.0;4876.0;1093.0;106.0;94386.0;62856.0;105800.0;11963.0;5895.0;993.0;30036.0;274067.0;34473.0;11887.0;6869.0;1265.0;374.0;125889.0;119029.0;259966.0;21724.0;7535.0;1470.0;19921.0;131699.0;5460.0;2561.0;1721.0;535.0;154.0;59391.0;107723.0;9190.0;147027.0;1946.0;461.0
15;1994;8321.0;845.0;;;2524.0;2999.0;;614.0;1340.0;707.0;195.0;21.0;249.0;606.0;586.0;103.0;143.0;85.0;65.0;740.0;280.0;727.0;1420.0;529.0;1183.0;653.0;114.0;241.0;367.0;13.0;1903.0;151.0;1020.0;4513.0;735.0;2225.0;47.0;6.0;88.0;111.0;107.0;30.0;32.0;36.0;22.0;219.0;102.0;201.0;411.0;115.0;204.0;231.0;54.0;87.0;7.0;113.0;72190.0;14235.0;1283.0;9270.0;39817.0;7585.0;88052.0;771655.0;95520.0;28551.0;17126.0;4242.0;914.0;347850.0;357767.0;736308.0;49107.0;15335.0;3814.0;16616.0;168808.0;35725.0;6887.0;2958.0;1403.0;285.0;77220.0;70940.0;172764.0;8626.0;3405.0;1104.0;3926.0;36213.0;4564.0;1208.0;641.0;73.0;1.0;8114.0;27802.0;26846.0;2549.0;676.0;105.0;13558.0;124106.0;12064.0;4877.0;4911.0;1011.0;104.0;82160.0;57724.0;96616.0;10241.0;2818.0;765.0;32828.0;296522.0;37216.0;12874.0;6789.0;1212.0;362.0;121371.0;94654.0;301556.0;20171.0;6442.0;1204.0;21124.0;146006.0;5919.0;2705.0;1827.0;;;58985.0;106647.0;7520.0;138526.0;1994.0;636.0
16;1995*;8134.0;766.0;;;2406.0;2965.0;;655.0;1387.0;658.0;188.0;23.0;218.0;520.0;531.0;90.0;138.0;102.0;60.0;722.0;253.0;769.0;1465.0;569.0;1171.0;521.0;120.0;215.0;427.0;15.0;1707.0;162.0;975.0;4512.0;778.0;2161.0;48.0;8.0;76.0;88.0;107.0;26.0;30.0;39.0;28.0;227.0;122.0;199.0;391.0;105.0;173.0;236.0;54.0;88.0;12.0;105.0;69377.0;11771.0;1265.0;9145.0;39897.0;7299.0;;;;;;;;301132.0;354328.0;903996.0;58214.0;15717.0;3223.0;;;;;;;;69194.0;64449.0;197514.0;10197.0;3751.0;941.0;;;;;;;;5870.0;25573.0;38522.0;3367.0;648.0;83.0;;;;;;;;71031.0;59556.0;129985.0;12864.0;3383.0;647.0;;;;;;;;102141.0;95551.0;358363.0;22132.0;6421.0;1032.0;;;;;;;;52896.0;109199.0;9654.0;179612.0;1514.0;520.0
17;1996;8693.0;726.0;0.0;0.0;2597.0;3164.0;0.0;674.0;1532.0;579.0;212.0;20.0;177.0;461.0;599.0;98.0;157.0;128.0;59.0;816.0;239.0;785.0;1597.0;591.0;1390.0;517.0;165.0;274.0;383.0;22.0;1725.0;187.0;1055.0;4881.0;844.0;2413.0;65.0;7.0;66.0;116.0;171.0;39.0;43.0;46.0;31.0;218.0;112.0;154.0;490.0;120.0;135.0;264.0;82.0;108.0;10.0;137.0;72934.0;11284.0;1013.0;8916.0;44615.0;7106.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;199705.0;309390.0;1305203.0;82343.0;16505.0;3235.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54318.0;55306.0;252636.0;13752.0;1298.0;784.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4511.0;24298.0;47404.0;3472.0;534.0;87.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;65417.0;60853.0;161400.0;15860.0;3557.0;675.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60432.0;71448.0;419525.0;26837.0;5788.0;1052.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48251.0;109838.0;11702.0;242838.0;1330.0;499.0
18;1997;10591.0;701.0;0.0;0.0;3114.0;3808.0;0.0;856.0;2112.0;642.0;209.0;15.0;229.0;476.0;583.0;122.0;163.0;122.0;56.0;820.0;295.0;1291.0;2170.0;803.0;1440.0;667.0;263.0;279.0;498.0;15.0;1800.0;178.0;1114.0;6444.0;1055.0;2911.0;62.0;6.0;77.0;122.0;186.0;31.0;54.0;52.0;35.0;267.0;153.0;310.0;529.0;129.0;138.0;243.0;133.0;118.0;10.0;144.0;83941.0;11831.0;1042.0;8837.0;53691.0;8540.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;169235.0;295126.0;1360075.0;70584.0;13065.0;2815.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39430.0;50093.0;301181.0;13337.0;3993.0;793.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3225.0;20188.0;50630.0;3133.0;480.0;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42261.0;43637.0;184805.0;15679.0;3227.0;590.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38817.0;58717.0;521760.0;25578.0;4146.0;888.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45503.0;122491.0;12857.0;301699.0;1218.0;484.0
19;1998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1979.0;189.0;1259.0;7154.0;1121.0;3121.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;1999;12381.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2037.0;200.0;1328.0;7628.0;1188.0;3014.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
