ID;Bedrijfstype;RegioS;Perioden;TotaalMestnummers_1;MetOverschrijdingVerliesnorm_2;Veebezetting_3;OppervlakteCultuurgrond_4;FosfaatUitKunstmest_5;Fosfaatoverschot_6;Stikstofoverschot_7;ToelaatbaarStikstofoverschot_8;Mestnummers_9;OppervlakteCultuurgrond_10;Fosfaatoverschot_11;FosfaatUitKunstmest_12;BelastbaarFosfaatoverschot_13;OpgelegdeHeffing_14;Mestnummers_15;OppervlakteCultuurgrond_16;Stikstofoverschot_17;ToelaatbaarStikstofoverschot_18;BelastbaarStikstofoverschot_19;OpgelegdeHeffing_20;MestnummersMetPositiefFosfaatsaldo_21;MestnummersMetPositiefStikstofsaldo_22;OppCultuurgrondMetFosfaatsaldo_23;OppCultuurgrondMetStikstofsaldo_24;Fosfaatsaldo_25;Stikstofsaldo_26;TotaalMestnummers_27;MetOverschrijdingVerliesnorm_28;Veebezetting_29;OppervlakteCultuurgrond_30;FosfaatUitKunstmest_31;Fosfaatoverschot_32;Stikstofoverschot_33;ToelaatbaarStikstofoverschot_34;Mestnummers_35;OppervlakteCultuurgrond_36;Fosfaatoverschot_37;FosfaatUitKunstmest_38;BelastbaarFosfaatoverschot_39;OpgelegdeHeffing_40;Mestnummers_41;OppervlakteCultuurgrond_42;Stikstofoverschot_43;ToelaatbaarStikstofoverschot_44;BelastbaarStikstofoverschot_45;OpgelegdeHeffing_46
10;Totaal landbouw;Oost-Nederland;1998;16382;42.0;;253429;16.0;27.0;275.0;381.0;38.0;73705;88.0;11.0;48.0;2216.0;18.0;31596;572.0;459.0;113.0;805.0;51.0;74.0;136881.0;201668.0;40.0;137.0;1410.0;50.0;;15368;17.0;34.0;101.0;294.0;48.0;6285;84.0;10.0;45.0;1596.0;18.0;2329;489.0;351.0;138.0;847.0
11;Totaal landbouw;Oost-Nederland;1999;16256;38.0;;272286;20.0;17.0;277.0;371.0;28.0;61639;76.0;13.0;36.0;1789.0;21.0;60525;452.0;377.0;75.0;881.0;52.0;69.0;145877.0;198596.0;59.0;219.0;1206.0;40.0;;17663;12.0;20.0;99.0;257.0;37.0;4512;77.0;11.0;37.0;1397.0;12.0;5231;374.0;224.0;149.0;1161.0
12;Totaal landbouw;Oost-Nederland;2000;18036;36.0;;353548;17.0;19.0;225.0;313.0;29.0;71198;77.0;12.0;42.0;4358.0;18.0;50371;457.0;373.0;84.0;876.0;41.0;63.0;140320.0;238575.0;74.0;259.0;1306.0;33.0;;16928;10.0;16.0;50.0;254.0;29.0;4533;56.0;10.0;21.0;1661.0;11.0;1473;435.0;314.0;121.0;767.0
13;Totaal landbouw;Oost-Nederland;2001*;23618;24.0;;494498;20.0;10.0;168.0;261.0;18.0;62429;71.0;13.0;36.0;3947.0;14.0;58894;395.0;323.0;71.0;863.0;22.0;53.0;108306.0;287888.0;81.0;246.0;2604.0;15.0;;41326;8.0;4.0;22.0;186.0;13.0;4195;50.0;13.0;17.0;1307.0;6.0;1608;360.0;253.0;108.0;693.0
14;Totaal landbouw;Oost-Nederland;2002*;22265;25.0;;498161;25.0;8.0;158.0;234.0;19.0;75579;67.0;12.0;41.0;6656.0;15.0;68929;376.0;276.0;100.0;4297.0;;;;;;;2215.0;11.0;;32525;7.0;0.0;-15.0;192.0;8.0;2565;46.0;7.0;21.0;2418.0;4.0;1191;309.0;235.0;74.0;1426.0
15;Totaal landbouw;West-Nederland;1998;4040;33.0;;97246;14.0;19.0;221.0;325.0;28.0;23096;63.0;9.0;23.0;1630.0;14.0;12024;414.0;346.0;69.0;927.0;51.0;76.0;45569.0;73608.0;34.0;130.0;1059.0;40.0;;20571;9.0;4.0;56.0;281.0;36.0;5451;68.0;7.0;30.0;1539.0;17.0;2655;413.0;324.0;89.0;920.0
16;Totaal landbouw;West-Nederland;1999;4306;33.0;;112061;20.0;18.0;244.0;315.0;21.0;21342;64.0;14.0;24.0;2023.0;20.0;23096;392.0;319.0;73.0;1346.0;49.0;71.0;50577.0;77288.0;52.0;189.0;891.0;29.0;;14533;15.0;11.0;111.0;263.0;25.0;3071;66.0;10.0;27.0;1344.0;13.0;2000;409.0;311.0;98.0;1197.0
17;Totaal landbouw;West-Nederland;2000;5931;25.0;;174196;15.0;12.0;172.0;269.0;18.0;23567;74.0;11.0;39.0;3461.0;15.0;21803;366.0;301.0;65.0;1105.0;35.0;69.0;51775.0;117387.0;62.0;221.0;948.0;27.0;;16670;10.0;7.0;80.0;245.0;23.0;3097;54.0;9.0;20.0;2018.0;12.0;1533;381.0;271.0;110.0;983.0
18;Totaal landbouw;West-Nederland;2001*;12896;13.0;;390943;19.0;3.0;106.0;212.0;8.0;26577;54.0;9.0;20.0;3533.0;8.0;29244;313.0;262.0;51.0;937.0;12.0;68.0;41864.0;268279.0;63.0;193.0;2191.0;11.0;;66559;8.0;-2.0;14.0;170.0;8.0;2423;104.0;8.0;71.0;1520.0;6.0;2464;392.0;208.0;184.0;2512.0
19;Totaal landbouw;West-Nederland;2002*;12299;17.0;;386575;23.0;0.0;123.0;194.0;10.0;35557;86.0;11.0;61.0;6079.0;12.0;47415;363.0;214.0;149.0;4234.0;;;;;;;1971.0;11.0;;42788;13.0;-8.0;-2.0;199.0;8.0;3290;75.0;18.0;50.0;9169.0;5.0;2408;310.0;180.0;130.0;6869.0
20;Totaal landbouw;Zuid-Nederland;1998;13741;49.0;;195629;13.0;45.0;357.0;431.0;45.0;66655;161.0;9.0;121.0;3285.0;30.0;34488;941.0;616.0;325.0;1182.0;45.0;63.0;98391.0;146367.0;59.0;160.0;1118.0;45.0;;10621;6.0;25.0;46.0;289.0;42.0;4228;89.0;6.0;49.0;1748.0;16.0;1484;486.0;350.0;136.0;764.0
21;Totaal landbouw;Zuid-Nederland;1999;13572;42.0;;206727;16.0;18.0;339.0;420.0;33.0;55259;119.0;12.0;79.0;2573.0;27.0;46163;695.0;518.0;176.0;1060.0;47.0;63.0;103934.0;143382.0;89.0;246.0;955.0;40.0;;7960;11.0;19.0;21.0;305.0;38.0;2709;89.0;8.0;49.0;1461.0;10.0;659;591.0;369.0;222.0;1018.0
22;Totaal landbouw;Zuid-Nederland;2000;14066;37.0;;239337;12.0;12.0;256.0;362.0;30.0;54902;95.0;9.0;60.0;6236.0;20.0;33173;669.0;509.0;160.0;1257.0;42.0;60.0;103611.0;156606.0;106.0;306.0;955.0;33.0;;9391;7.0;12.0;39.0;261.0;31.0;2466;80.0;5.0;45.0;2977.0;10.0;742;490.0;327.0;163.0;875.0
23;Totaal landbouw;Zuid-Nederland;2001*;18153;27.0;;328262;13.0;3.0;192.0;292.0;20.0;50379;89.0;9.0;55.0;6278.0;17.0;42312;557.0;418.0;139.0;1308.0;22.0;50.0;78191.0;180147.0;118.0;288.0;1907.0;17.0;;27245;5.0;5.0;21.0;175.0;15.0;2764;62.0;5.0;30.0;2072.0;7.0;1100;376.0;259.0;117.0;661.0
24;Totaal landbouw;Zuid-Nederland;2002*;16842;30.0;;331898;12.0;4.0;185.0;259.0;23.0;66001;82.0;8.0;55.0;8618.0;18.0;46886;611.0;374.0;237.0;8480.0;;;;;;;1508.0;13.0;;21751;6.0;-18.0;7.0;191.0;10.0;1924;72.0;5.0;45.0;3113.0;5.0;639;336.0;192.0;144.0;3143.0
25;Totaal landbouw;Landsdeel onbekend;1998;155;40.0;;2735;12.0;18.0;226.0;360.0;31.0;829;92.0;6.0;53.0;2851.0;21.0;344;642.0;496.0;146.0;873.0;43.0;64.0;1067.0;2025.0;68.0;172.0;64.0;25.0;;1560;1.0;7.0;7.0;149.0;22.0;186;82.0;1.0;42.0;1903.0;6.0;68;358.0;284.0;74.0;855.0
26;Totaal landbouw;Landsdeel onbekend;1999;124;19.0;;2338;20.0;-4.0;172.0;330.0;14.0;155;111.0;8.0;71.0;2625.0;12.0;236;578.0;474.0;104.0;1111.0;45.0;60.0;936.0;1699.0;115.0;301.0;56.0;21.0;;1454;5.0;-17.0;-100.0;236.0;21.0;147;56.0;0.0;17.0;612.0;0.0;0;;;;
27;Totaal landbouw;Landsdeel onbekend;2000;132;28.0;;2746;9.0;17.0;125.0;254.0;23.0;617;84.0;3.0;49.0;7925.0;14.0;289;438.0;352.0;86.0;870.0;26.0;64.0;456.0;1968.0;135.0;274.0;77.0;21.0;;1469;3.0;23.0;55.0;153.0;19.0;182;148.0;6.0;114.0;11873.0;10.0;62;981.0;191.0;790.0;4177.0
28;Totaal landbouw;Landsdeel onbekend;2001*;308;16.0;;6548;10.0;-4.0;37.0;175.0;13.0;827;50.0;7.0;19.0;2828.0;6.0;392;291.0;244.0;47.0;696.0;5.0;64.0;215.0;4456.0;144.0;213.0;255.0;20.0;;5268;5.0;11.0;24.0;134.0;19.0;1081;49.0;1.0;27.0;4410.0;11.0;591;188.0;111.0;77.0;1120.0
29;Totaal landbouw;Landsdeel onbekend;2002*;259;10.0;;5468;8.0;-7.0;21.0;155.0;8.0;201;98.0;10.0;72.0;5925.0;7.0;187;391.0;202.0;190.0;3911.0;;;;;;;238.0;19.0;;4546;5.0;4.0;2.0;138.0;16.0;677;82.0;2.0;54.0;8087.0;13.0;406;262.0;138.0;123.0;3034.0
30;Totaal landbouw;Groningen (prv);1998;787;25.0;;28805;22.0;3.0;169.0;273.0;17.0;3396;80.0;16.0;40.0;3939.0;15.0;3061;417.0;327.0;91.0;1595.0;44.0;77.0;9567.0;23359.0;49.0;130.0;218.0;34.0;;5095;11.0;23.0;93.0;234.0;31.0;1852;74.0;7.0;34.0;3394.0;12.0;460;341.0;264.0;77.0;938.0
31;Totaal landbouw;Groningen (prv);1999;838;27.0;;34322;34.0;6.0;170.0;262.0;14.0;3679;63.0;15.0;24.0;2450.0;17.0;4756;394.0;323.0;71.0;1526.0;42.0;71.0;10849.0;25403.0;76.0;202.0;159.0;26.0;;3618;10.0;12.0;56.0;229.0;23.0;484;70.0;2.0;30.0;1405.0;7.0;187;365.0;292.0;73.0;844.0
32;Totaal landbouw;Groningen (prv);2000;1406;18.0;;65397;23.0;7.0;147.0;232.0;9.0;4147;66.0;20.0;31.0;7254.0;12.0;6502;318.0;259.0;59.0;1515.0;23.0;72.0;11387.0;47551.0;84.0;188.0;184.0;11.0;;4863;13.0;6.0;41.0;215.0;9.0;182;60.0;13.0;25.0;1691.0;5.0;149;322.0;236.0;86.0;955.0
33;Totaal landbouw;Groningen (prv);2001*;3076;12.0;;147756;23.0;0.0;104.0;195.0;5.0;5350;61.0;15.0;27.0;6274.0;9.0;10959;307.0;248.0;60.0;1568.0;9.0;71.0;10067.0;108824.0;82.0;166.0;384.0;10.0;;9511;14.0;-5.0;13.0;199.0;7.0;769;46.0;9.0;15.0;1570.0;4.0;391;270.0;184.0;86.0;1329.0
34;Totaal landbouw;Groningen (prv);2002*;3016;19.0;;147860;24.0;-3.0;106.0;180.0;7.0;6767;55.0;18.0;29.0;8177.0;15.0;20511;271.0;214.0;57.0;4952.0;;;;;;;331.0;7.0;;8323;10.0;-13.0;3.0;187.0;4.0;256;67.0;5.0;45.0;6572.0;5.0;725;214.0;144.0;70.0;3287.0
35;Totaal landbouw;Friesland (prv);1998;1133;25.0;;33581;24.0;-2.0;240.0;342.0;15.0;2794;82.0;13.0;42.0;2831.0;16.0;4460;446.0;369.0;77.0;1304.0;51.0;78.0;14711.0;27061.0;67.0;129.0;291.0;37.0;;4757;11.0;20.0;131.0;304.0;33.0;1457;68.0;8.0;28.0;1527.0;16.0;700;433.0;333.0;100.0;1008.0
36;Totaal landbouw;Friesland (prv);1999;1360;26.0;;44901;29.0;8.0;256.0;331.0;12.0;3422;76.0;19.0;36.0;2813.0;19.0;8865;394.0;339.0;56.0;1256.0;49.0;74.0;18921.0;34217.0;67.0;162.0;232.0;28.0;;4093;15.0;14.0;98.0;291.0;23.0;794;69.0;18.0;29.0;1618.0;8.0;442;386.0;341.0;45.0;803.0
37;Totaal landbouw;Friesland (prv);2000;2929;15.0;;119693;20.0;8.0;192.0;283.0;7.0;5308;64.0;14.0;29.0;5379.0;11.0;10048;372.0;321.0;52.0;1128.0;26.0;78.0;25432.0;94839.0;69.0;151.0;305.0;22.0;;6319;11.0;12.0;88.0;281.0;15.0;731;59.0;10.0;24.0;2332.0;11.0;591;391.0;314.0;77.0;912.0
38;Totaal landbouw;Friesland (prv);2001*;5277;13.0;;208252;17.0;4.0;157.0;247.0;5.0;7982;53.0;11.0;20.0;4074.0;10.0;20843;309.0;271.0;37.0;1015.0;13.0;72.0;24785.0;151014.0;63.0;173.0;767.0;10.0;;21999;6.0;0.0;14.0;197.0;7.0;1372;52.0;5.0;18.0;2171.0;5.0;927;289.0;252.0;37.0;658.0
39;Totaal landbouw;Friesland (prv);2002*;5071;18.0;;204785;19.0;-19.0;100.0;220.0;6.0;12128;49.0;18.0;24.0;8412.0;15.0;31579;279.0;231.0;47.0;3510.0;;;;;;;746.0;8.0;;17333;10.0;-6.0;-3.0;230.0;4.0;816;70.0;7.0;51.0;8957.0;6.0;1154;327.0;215.0;112.0;6371.0
40;Totaal landbouw;Drenthe (prv);1998;1109;34.0;;30111;25.0;16.0;220.0;326.0;26.0;5736;83.0;18.0;43.0;3046.0;19.0;4185;460.0;372.0;88.0;1134.0;47.0;74.0;11932.0;23110.0;46.0;143.0;205.0;32.0;;5569;5.0;15.0;28.0;204.0;27.0;1246;84.0;6.0;48.0;3985.0;13.0;441;357.0;280.0;77.0;887.0
41;Totaal landbouw;Drenthe (prv);1999;1223;33.0;;40009;27.0;15.0;202.0;285.0;22.0;7116;63.0;24.0;23.0;2073.0;20.0;6752;397.0;331.0;66.0;1199.0;43.0;71.0;13105.0;28656.0;70.0;190.0;194.0;28.0;;4320;9.0;12.0;29.0;244.0;25.0;774;87.0;4.0;47.0;2965.0;6.0;171;446.0;387.0;58.0;617.0
42;Totaal landbouw;Drenthe (prv);2000;1859;23.0;;73875;21.0;12.0;161.0;242.0;14.0;6914;73.0;18.0;38.0;7497.0;14.0;8676;364.0;292.0;72.0;1575.0;29.0;71.0;15507.0;53595.0;73.0;183.0;216.0;28.0;;5141;7.0;10.0;43.0;207.0;21.0;642;71.0;7.0;37.0;3078.0;12.0;554;313.0;273.0;41.0;487.0
43;Totaal landbouw;Drenthe (prv);2001*;3484;13.0;;137891;20.0;6.0;112.0;200.0;8.0;7319;55.0;15.0;21.0;3808.0;8.0;10450;291.0;251.0;40.0;943.0;11.0;69.0;13117.0;96262.0;73.0;171.0;546.0;11.0;;17372;6.0;-5.0;-25.0;199.0;8.0;738;49.0;7.0;18.0;1742.0;5.0;663;253.0;178.0;76.0;1261.0
44;Totaal landbouw;Drenthe (prv);2002*;3333;16.0;;138254;20.0;6.0;108.0;178.0;9.0;8588;53.0;18.0;28.0;7550.0;11.0;13501;270.0;215.0;55.0;3642.0;;;;;;;451.0;11.0;;11467;9.0;-8.0;-36.0;163.0;8.0;1180;37.0;2.0;17.0;4021.0;4.0;729;148.0;104.0;45.0;2983.0
45;Totaal landbouw;Overijssel (prv);1998;6475;43.0;;111851;17.0;31.0;271.0;364.0;38.0;35159;79.0;13.0;39.0;2084.0;17.0;15255;497.0;413.0;84.0;759.0;50.0;74.0;58345.0;87153.0;32.0;122.0;516.0;54.0;;5111;9.0;48.0;181.0;304.0;51.0;2647;89.0;10.0;49.0;1884.0;20.0;1072;508.0;356.0;152.0;1093.0
46;Totaal landbouw;Overijssel (prv);1999;6418;41.0;;116526;19.0;20.0;275.0;355.0;30.0;28664;70.0;14.0;30.0;1636.0;24.0;28702;430.0;364.0;66.0;852.0;51.0;69.0;61297.0;82463.0;48.0;207.0;435.0;47.0;;5421;9.0;34.0;117.0;262.0;44.0;2065;82.0;10.0;42.0;1733.0;14.0;833;500.0;319.0;181.0;1669.0
47;Totaal landbouw;Overijssel (prv);2000;7288;34.0;;149104;16.0;21.0;229.0;311.0;27.0;30084;70.0;12.0;36.0;4065.0;17.0;21990;424.0;355.0;70.0;844.0;41.0;64.0;60360.0;98945.0;64.0;238.0;460.0;35.0;;5325;9.0;21.0;92.0;263.0;30.0;1604;54.0;12.0;19.0;1390.0;12.0;592;400.0;285.0;115.0;598.0
48;Totaal landbouw;Overijssel (prv);2001*;9324;24.0;;190054;15.0;14.0;188.0;271.0;18.0;26082;65.0;12.0;30.0;3538.0;14.0;26571;376.0;315.0;60.0;820.0;23.0;53.0;44782.0;103832.0;73.0;255.0;916.0;16.0;;18272;5.0;2.0;-12.0;154.0;13.0;1279;47.0;13.0;13.0;817.0;6.0;588;320.0;232.0;88.0;661.0
49;Totaal landbouw;Overijssel (prv);2002*;8831;27.0;;198196;26.0;11.0;162.0;235.0;19.0;33363;56.0;11.0;30.0;5323.0;16.0;30645;320.0;262.0;58.0;2345.0;;;;;;;798.0;11.0;;12364;6.0;-1.0;-15.0;193.0;8.0;762;40.0;15.0;14.0;1301.0;4.0;423;257.0;218.0;39.0;805.0
50;Totaal landbouw;Flevoland (prv);1998;401;23.0;;15512;44.0;6.0;191.0;285.0;15.0;1651;70.0;44.0;30.0;2727.0;13.0;1664;418.0;327.0;91.0;1780.0;49.0;81.0;7519.0;13117.0;41.0;117.0;54.0;37.0;;2287;21.0;11.0;78.0;218.0;33.0;454;63.0;33.0;23.0;2097.0;13.0;153;450.0;330.0;120.0;1794.0
51;Totaal landbouw;Flevoland (prv);1999;522;27.0;;21698;63.0;12.0;185.0;263.0;14.0;2676;64.0;34.0;25.0;3180.0;16.0;3456;358.0;309.0;48.0;1315.0;42.0;77.0;8427.0;16792.0;63.0;163.0;59.0;31.0;;5254;24.0;18.0;250.0;196.0;24.0;461;78.0;26.0;38.0;4703.0;14.0;3782;336.0;185.0;151.0;3521.0
52;Totaal landbouw;Flevoland (prv);2000;845;18.0;;38810;47.0;6.0;115.0;213.0;12.0;3646;54.0;43.0;19.0;4457.0;10.0;3276;295.0;253.0;43.0;1150.0;24.0;76.0;8447.0;29336.0;75.0;191.0;72.0;22.0;;2122;30.0;17.0;86.0;209.0;17.0;374;49.0;15.0;14.0;3053.0;13.0;212;460.0;330.0;130.0;2289.0
53;Totaal landbouw;Flevoland (prv);2001*;1983;10.0;;88314;55.0;-3.0;77.0;175.0;6.0;4084;54.0;45.0;20.0;4600.0;6.0;3915;274.0;220.0;55.0;1228.0;9.0;74.0;7274.0;63888.0;89.0;163.0;89.0;15.0;;3141;36.0;-2.0;21.0;179.0;8.0;337;51.0;37.0;21.0;5511.0;11.0;229;274.0;181.0;93.0;1550.0
54;Totaal landbouw;Flevoland (prv);2002*;1877;14.0;;82730;57.0;-4.0;93.0;173.0;6.0;5765;54.0;29.0;25.0;11354.0;10.0;7169;265.0;208.0;56.0;4040.0;;;;;;;79.0;13.0;;2744;29.0;-5.0;35.0;173.0;9.0;194;85.0;21.0;56.0;13890.0;8.0;100;325.0;203.0;122.0;4099.0
55;Totaal landbouw;Gelderland (prv);1998;9506;43.0;;126066;12.0;26.0;289.0;408.0;39.0;36895;98.0;8.0;58.0;2296.0;18.0;14677;667.0;522.0;145.0;807.0;52.0;73.0;71016.0;101398.0;46.0;154.0;840.0;49.0;;7971;21.0;31.0;126.0;310.0;46.0;3184;84.0;6.0;44.0;1379.0;18.0;1104;475.0;349.0;126.0;637.0
56;Totaal landbouw;Gelderland (prv);1999;9316;38.0;;134062;13.0;14.0;295.0;403.0;28.0;30299;82.0;9.0;42.0;1861.0;20.0;28367;486.0;398.0;87.0;884.0;53.0;69.0;76153.0;99341.0;68.0;239.0;712.0;37.0;;6988;6.0;10.0;37.0;298.0;35.0;1986;72.0;9.0;32.0;951.0;11.0;617;433.0;336.0;97.0;535.0
57;Totaal landbouw;Gelderland (prv);2000;9903;39.0;;165634;12.0;19.0;246.0;339.0;32.0;37469;84.0;9.0;49.0;4535.0;19.0;25106;507.0;405.0;102.0;885.0;42.0;61.0;71513.0;110294.0;83.0;295.0;774.0;33.0;;9480;6.0;14.0;52.0;258.0;30.0;2556;58.0;8.0;23.0;1749.0;10.0;669;458.0;336.0;122.0;722.0
58;Totaal landbouw;Gelderland (prv);2001*;12311;27.0;;216130;10.0;11.0;187.0;287.0;21.0;32262;78.0;9.0;43.0;4177.0;15.0;28408;429.0;346.0;84.0;870.0;23.0;51.0;56249.0;120168.0;86.0;282.0;1599.0;15.0;;19913;6.0;7.0;11.0;217.0;13.0;2579;52.0;9.0;19.0;1456.0;5.0;790;416.0;289.0;127.0;626.0
59;Totaal landbouw;Gelderland (prv);2002*;11557;27.0;;217235;12.0;9.0;179.0;257.0;21.0;36452;79.0;9.0;53.0;7359.0;15.0;31116;458.0;306.0;152.0;5867.0;;;;;;;1338.0;11.0;;17417;4.0;1.0;-14.0;193.0;8.0;1609;45.0;2.0;20.0;2337.0;4.0;668;339.0;250.0;89.0;1555.0
60;Totaal landbouw;Utrecht (prv);1998;1739;43.0;;33199;8.0;30.0;262.0;363.0;37.0;10519;66.0;5.0;26.0;1519.0;17.0;4564;463.0;392.0;71.0;757.0;50.0;74.0;16977.0;25600.0;28.0;131.0;248.0;50.0;;2878;4.0;36.0;146.0;313.0;47.0;1359;70.0;3.0;31.0;1292.0;14.0;378;490.0;354.0;136.0;999.0
61;Totaal landbouw;Utrecht (prv);1999;1787;39.0;;36293;12.0;23.0;276.0;352.0;27.0;8587;63.0;7.0;23.0;1443.0;22.0;8039;421.0;355.0;65.0;903.0;51.0;68.0;18738.0;25410.0;43.0;200.0;207.0;35.0;;2494;5.0;27.0;77.0;307.0;32.0;787;72.0;5.0;32.0;1393.0;10.0;298;423.0;331.0;92.0;892.0
62;Totaal landbouw;Utrecht (prv);2000;2099;33.0;;46229;9.0;21.0;227.0;314.0;25.0;9184;61.0;7.0;26.0;3202.0;17.0;6953;409.0;345.0;64.0;819.0;41.0;64.0;18931.0;30232.0;51.0;240.0;216.0;30.0;;3158;7.0;15.0;57.0;272.0;28.0;894;50.0;7.0;16.0;1539.0;10.0;290;368.0;282.0;85.0;749.0
63;Totaal landbouw;Utrecht (prv);2001*;2680;26.0;;60498;7.0;18.0;184.0;271.0;17.0;8973;60.0;7.0;25.0;3621.0;14.0;8914;355.0;297.0;58.0;919.0;21.0;52.0;14070.0;31752.0;54.0;261.0;499.0;10.0;;18783;1.0;-1.0;-13.0;150.0;9.0;411;51.0;0.0;21.0;1356.0;4.0;289;287.0;216.0;71.0;667.0
