ID;BedrijfstakkenBranchesSBI2008;Perioden;InvesteringenInMaterieleVasteActiva_1;GrondEnTerreinen_2;Bedrijfsgebouwen_3;GrondWaterEnWegenbouwkundigeWerken_4;Vervoermiddelen_5;ComputersEnRandapparatuur_6;MachinesEnInstallaties_7;OverigeMaterieleVasteActiva_8;NieuweMaterieleVasteActiva_9;BestaandeMaterieleVasteActiva_10;VerkoopVanMaterieleVasteActiva_11
33;B-F Nijverheid en energie;2012;16341.44;221.94;1668.06;1789.98;977.39;379.64;10476.6;827.82;15457.78;883.66;799.21
34;B-F Nijverheid en energie;2013;16039.41;256.31;1448.51;2300.71;1418.78;370.06;9543.14;701.91;15360.16;679.25;699.37
35;B-F Nijverheid en energie;2014;17916.77;193.02;2016.02;2728.46;1244.81;377.47;10529.25;827.74;17308.13;608.64;757.89
36;B-F Nijverheid en energie;2015;18490.0;231.11;1723.05;3629.65;1561.26;385.09;10068.96;890.88;17699.1;790.9;727.31
37;B-F Nijverheid en energie;2016;14628.62;237.33;1752.61;2467.17;1428.32;436.33;7540.2;766.66;13790.34;838.28;654.85
38;B-F Nijverheid en energie;2017;15479.76;344.13;1850.11;2448.37;1431.16;466.86;8097.42;841.72;14528.43;951.33;467.66
39;B-F Nijverheid en energie;2018;18572.42;458.86;2664.84;2480.68;1911.1;435.39;9672.91;948.63;17085.36;1487.06;763.31
40;B-F Nijverheid en energie;2019;22384.76;405.38;3068.71;3912.52;3489.34;537.75;9649.54;1321.51;20643.1;1741.66;1007.8
41;B-F Nijverheid en energie;2020;19433.15;421.91;2927.4;3405.51;1830.91;456.3;9208.99;1182.13;18008.1;1425.06;1571.75
42;B-F Nijverheid en energie;2021;20329.02;452.5;3353.01;3401.94;1644.31;516.97;9610.97;1349.32;18828.43;1500.59;1445.39
43;B-F Nijverheid en energie;2022;23233.78;619.54;3608.42;4050.18;2018.25;563.62;10892.69;1481.09;21434.0;1799.78;1561.74
44;B-F Nijverheid en energie;2023;25354.64;;;;;;;;;;
45;G+I Handel en horeca;2009;5786.65;110.88;1605.74;74.88;874.13;387.79;1420.9;1312.34;5098.51;688.15;636.04
46;G+I Handel en horeca;2010;5182.02;131.21;1339.87;63.3;919.03;327.18;1080.48;1320.94;4700.61;481.41;773.75
47;G+I Handel en horeca;2011;6692.24;187.12;1752.26;86.62;1037.26;501.65;1511.8;1615.52;5800.48;891.76;1106.48
48;G+I Handel en horeca;2012;5844.98;163.06;1604.24;33.13;960.38;510.36;1120.34;1453.46;5262.46;582.51;934.07
49;G+I Handel en horeca;2013;5849.2;174.09;1632.92;72.06;1015.13;461.96;1191.55;1301.5;5236.02;613.17;579.68
50;G+I Handel en horeca;2014;6093.84;229.31;1684.56;52.02;1089.73;485.47;1241.45;1311.3;5302.29;791.55;822.57
51;G+I Handel en horeca;2015;6752.5;288.61;1926.44;36.58;1196.22;519.49;1371.38;1413.78;5831.14;921.36;1244.29
52;G+I Handel en horeca;2016;7117.15;251.82;2110.8;37.0;1295.59;525.91;1344.09;1551.94;6159.73;957.42;673.15
53;G+I Handel en horeca;2017;8182.15;269.46;2644.36;50.09;1459.95;505.15;1539.85;1713.28;7182.22;999.94;809.14
54;G+I Handel en horeca;2018;8155.43;337.29;2629.85;62.82;1450.18;562.44;1473.75;1639.1;7055.87;1099.56;3581.28
55;G+I Handel en horeca;2019;9029.63;285.99;2885.24;56.64;1643.82;555.73;1777.84;1824.38;7959.55;1070.08;1224.77
56;G+I Handel en horeca;2020;9424.57;293.84;3129.38;30.55;1642.01;639.22;1895.65;1793.91;8029.81;1394.75;1778.59
57;G+I Handel en horeca;2021;9985.19;246.76;3049.82;60.52;1809.92;700.99;2109.15;2008.02;8623.07;1362.12;1776.85
58;G+I Handel en horeca;2022;11358.14;326.97;3458.39;54.47;1926.97;714.19;2589.34;2287.8;9966.32;1391.82;2303.35
59;G+I Handel en horeca;2023;;;;;;;;;;;
60;G-I Handel, vervoer en horeca;2009;11089.02;205.0;2210.9;738.37;3531.78;478.33;2313.61;1611.03;9911.74;1177.29;1301.04
61;G-I Handel, vervoer en horeca;2010;10717.61;205.26;1764.34;1148.54;3179.84;403.72;2288.49;1727.42;9892.73;824.88;1391.98
62;G-I Handel, vervoer en horeca;2011;13371.51;365.59;2357.69;1113.06;3829.76;593.2;3209.36;1902.85;11834.44;1537.07;1877.84
63;G-I Handel, vervoer en horeca;2012;11967.6;385.93;2104.09;1732.12;3429.41;626.22;1956.25;1733.59;10837.09;1130.51;1803.44
64;G-I Handel, vervoer en horeca;2013;11718.4;374.24;2138.74;1711.03;3488.61;568.46;1894.89;1542.43;10514.23;1204.17;1526.35
65;G-I Handel, vervoer en horeca;2014;11107.26;275.49;2080.41;1460.19;3026.57;591.43;2136.06;1537.11;10017.77;1089.49;1498.31
66;G-I Handel, vervoer en horeca;2015;13587.94;380.57;2554.53;1632.28;3685.86;667.8;3012.14;1654.75;12060.7;1527.23;1660.8
67;G-I Handel, vervoer en horeca;2016;14168.12;393.5;2764.02;1502.17;4541.05;680.77;2322.45;1964.17;12697.08;1471.04;1055.01
68;G-I Handel, vervoer en horeca;2017;14575.47;431.96;3251.06;861.82;4719.84;653.33;2567.05;2090.42;12657.55;1917.92;1310.62
69;G-I Handel, vervoer en horeca;2018;14382.39;502.8;3317.1;959.08;4523.2;724.83;2410.47;1944.91;12658.61;1723.78;4328.63
70;G-I Handel, vervoer en horeca;2019;16301.2;402.61;3752.99;1224.91;4852.65;731.2;3103.15;2233.7;14474.62;1826.58;1808.19
71;G-I Handel, vervoer en horeca;2020;15758.8;412.96;3963.19;1257.37;4161.76;797.19;3009.39;2156.94;13735.23;2023.57;2698.77
72;G-I Handel, vervoer en horeca;2021;17303.36;369.53;3754.71;1286.32;4946.19;873.76;3220.16;2852.7;15339.32;1964.04;2728.4
73;G-I Handel, vervoer en horeca;2022;19566.36;484.5;4369.42;1062.75;6378.87;941.35;3457.06;2872.42;17093.99;2472.37;3859.15
74;G-I Handel, vervoer en horeca;2023;;;;;;;;;;;
75;H+J Vervoer, informatie en communicatie;2009;7613.38;94.86;775.31;1381.35;2755.02;527.74;1640.79;438.31;7090.24;523.14;818.84
76;H+J Vervoer, informatie en communicatie;2010;8160.81;74.64;573.61;1853.02;2346.83;515.66;2166.86;630.2;7800.04;360.77;847.83
77;H+J Vervoer, informatie en communicatie;2011;9665.9;180.7;759.25;2119.39;2903.37;527.0;2671.35;504.84;8970.53;695.37;1104.95
78;H+J Vervoer, informatie en communicatie;2012;9444.67;236.01;652.33;2951.71;2591.43;996.1;1501.79;515.3;8845.31;599.36;1061.7
79;H+J Vervoer, informatie en communicatie;2013;9187.06;220.07;710.19;3007.15;2626.14;896.51;1266.66;460.34;8542.31;644.75;1039.74
80;H+J Vervoer, informatie en communicatie;2014;8371.59;60.72;560.5;2929.67;2001.86;809.6;1555.98;453.25;8021.21;350.38;779.13
81;H+J Vervoer, informatie en communicatie;2015;11001.82;113.49;842.05;2921.53;2585.23;1814.79;2233.0;491.72;10281.43;720.39;534.54
82;H+J Vervoer, informatie en communicatie;2016;10830.36;156.05;1411.81;2740.71;3333.57;1064.67;1596.77;526.78;10260.53;569.83;485.0
83;H+J Vervoer, informatie en communicatie;2017;10230.53;189.47;1332.62;1784.02;3333.01;833.0;2265.09;493.32;9227.95;1002.58;574.76
84;H+J Vervoer, informatie en communicatie;2018;10164.62;231.52;1071.25;1887.32;3197.69;975.34;2372.51;429.0;9410.79;753.83;814.29
85;H+J Vervoer, informatie en communicatie;2019;11549.92;215.23;1783.93;2414.14;3312.9;987.38;2260.08;576.25;10647.2;902.71;669.81
86;H+J Vervoer, informatie en communicatie;2020;12359.82;173.15;2532.8;2636.24;2616.51;1811.16;2072.44;517.51;11594.58;765.24;991.53
87;H+J Vervoer, informatie en communicatie;2021;13588.74;167.1;2186.83;2648.81;3207.01;2490.64;1882.78;1005.57;12011.14;1577.6;1049.16
88;H+J Vervoer, informatie en communicatie;2022;14585.23;179.42;2102.89;2484.86;4581.86;2858.64;1553.95;823.62;13359.69;1225.54;1735.18
89;H+J Vervoer, informatie en communicatie;2023;;;;;;;;;;;
90;M-N Zakelijke dienstverlening;2009;5487.75;21.04;712.21;45.18;3153.54;380.11;664.51;511.17;5108.66;379.09;2571.95
91;M-N Zakelijke dienstverlening;2010;4920.63;59.49;340.2;36.53;3175.86;347.51;559.21;401.82;4430.73;489.9;1807.44
92;M-N Zakelijke dienstverlening;2011;7005.32;34.77;401.78;11.02;4785.51;420.98;662.59;688.67;6770.85;234.47;2304.23
93;M-N Zakelijke dienstverlening;2012;6950.65;49.77;501.43;13.85;4869.89;442.56;668.08;405.08;6614.25;336.4;2118.13
94;M-N Zakelijke dienstverlening;2013;6988.27;96.89;633.68;32.76;4728.46;457.03;608.02;431.43;6508.62;479.65;1659.86
95;M-N Zakelijke dienstverlening;2014;7230.13;59.34;599.48;18.52;4865.56;508.08;751.53;427.63;6207.76;1022.38;2176.84
96;M-N Zakelijke dienstverlening;2015;8864.48;62.51;685.11;34.08;6446.83;522.94;695.49;417.51;8380.93;483.54;2698.28
97;M-N Zakelijke dienstverlening;2016;8953.52;82.44;608.63;13.64;6322.7;532.61;962.88;430.62;8374.84;578.68;2614.81
98;M-N Zakelijke dienstverlening;2017;11089.98;110.05;875.34;46.12;7793.03;475.52;1205.25;584.67;8606.6;2483.38;2624.75
99;M-N Zakelijke dienstverlening;2018;10974.65;59.65;883.29;82.16;7475.1;511.16;1324.76;638.53;10313.16;661.49;3784.61
100;M-N Zakelijke dienstverlening;2019;13660.33;81.12;1568.78;47.76;9201.71;545.2;1515.34;700.41;12896.27;764.05;4088.2
101;M-N Zakelijke dienstverlening;2020;10672.89;53.43;862.11;50.87;7095.27;603.53;1296.34;711.32;10181.95;490.94;4407.74
102;M-N Zakelijke dienstverlening;2021;11376.0;66.91;883.25;71.35;7348.63;623.93;1562.52;819.41;10806.56;569.44;4746.54
103;M-N Zakelijke dienstverlening;2022;13162.69;131.37;1447.49;42.9;7786.48;704.84;1758.55;1291.06;12253.21;909.48;4683.37
104;M-N Zakelijke dienstverlening;2023;;;;;;;;;;;
105;016 Dienstverlening voor de landbouw;2009;;;;;;;;;;;
106;016 Dienstverlening voor de landbouw;2010;;;;;;;;;;;
107;016 Dienstverlening voor de landbouw;2011;;;;;;;;;;;
108;016 Dienstverlening voor de landbouw;2012;;;;;;;;;;;
109;016 Dienstverlening voor de landbouw;2013;;;;;;;;;;;
110;016 Dienstverlening voor de landbouw;2014;;;;;;;;;;;
111;016 Dienstverlening voor de landbouw;2015;;;;;;;;;;;
112;016 Dienstverlening voor de landbouw;2016;;;;;;;;;;;
113;016 Dienstverlening voor de landbouw;2017;;;;;;;;;;;
114;016 Dienstverlening voor de landbouw;2018;;;;;;;;;;;
115;016 Dienstverlening voor de landbouw;2019;;;;;;;;;;;
116;016 Dienstverlening voor de landbouw;2020;;;;;;;;;;;
117;016 Dienstverlening voor de landbouw;2021;;;;;;;;;;;
118;016 Dienstverlening voor de landbouw;2022;;;;;;;;;;;
119;016 Dienstverlening voor de landbouw;2023;;;;;;;;;;;
120;B Delfstoffenwinning;2009;1473.69;1.23;6.85;711.99;4.01;4.01;736.15;9.44;1464.1;9.59;24.21
121;B Delfstoffenwinning;2010;1446.39;10.79;3.69;856.51;3.7;4.74;549.0;17.97;1424.7;21.69;25.72
122;B Delfstoffenwinning;2011;2873.03;4.78;37.56;1747.93;3.75;5.34;1041.43;32.24;2846.24;26.8;66.21
123;B Delfstoffenwinning;2012;1713.58;3.33;11.46;325.97;61.89;9.64;1289.77;11.51;1704.71;8.87;67.09
124;B Delfstoffenwinning;2013;1359.45;8.04;4.46;195.94;326.15;6.7;810.92;7.25;1349.1;10.35;14.41
125;B Delfstoffenwinning;2014;1946.86;4.8;5.93;486.47;189.02;4.5;1243.22;12.92;1940.7;6.15;47.41
126;B Delfstoffenwinning;2015;2890.54;22.53;44.46;1038.02;319.45;8.86;1441.49;15.73;2866.24;24.3;12.97
127;B Delfstoffenwinning;2016;1009.98;24.12;16.27;347.05;122.28;7.1;470.46;22.7;981.06;28.92;40.05
128;B Delfstoffenwinning;2017;530.51;21.1;6.57;217.2;43.99;3.65;226.88;11.13;505.87;24.64;-170.78
129;B Delfstoffenwinning;2018;513.54;12.1;6.88;217.91;43.13;2.91;220.61;10.0;487.11;26.42;-160.95
130;B Delfstoffenwinning;2019;1998.23;7.65;7.86;446.88;1272.93;3.84;254.33;4.73;1945.45;52.78;8.61
131;B Delfstoffenwinning;2020;384.59;8.87;6.79;98.47;22.6;3.85;240.45;3.56;373.41;11.18;63.56
132;B Delfstoffenwinning;2021;541.92;14.09;8.0;161.63;48.82;3.16;296.61;9.61;523.07;18.85;12.9
133;B Delfstoffenwinning;2022;496.76;21.84;7.41;71.76;84.35;4.87;299.82;6.71;472.36;24.4;22.97
134;B Delfstoffenwinning;2023;470.9;;;;;;;;;;
135;06 Winning van aardolie en aardgas;2009;1328.6;0.23;0.0;709.77;0.0;3.38;608.62;6.6;1328.37;0.23;17.45
136;06 Winning van aardolie en aardgas;2010;1165.85;4.0;0.0;854.71;0.0;4.18;287.35;15.61;1161.85;4.0;13.29
137;06 Winning van aardolie en aardgas;2011;2149.37;0.01;0.21;1600.16;0.0;3.57;531.01;14.42;2149.37;0.01;56.17
138;06 Winning van aardolie en aardgas;2012;1287.58;0.0;3.71;258.36;0.0;4.23;1015.58;5.7;1287.58;0.0;61.16
139;06 Winning van aardolie en aardgas;2013;853.35;0.0;1.62;170.07;0.13;3.78;672.65;5.09;853.35;0.0;0.43
140;06 Winning van aardolie en aardgas;2014;1623.29;0.28;2.9;476.95;0.0;2.01;1134.94;6.22;1623.01;0.28;16.5
141;06 Winning van aardolie en aardgas;2015;2421.11;17.0;16.81;1030.22;0.02;0.96;1344.23;11.87;2403.27;17.83;0.7
142;06 Winning van aardolie en aardgas;2016;756.91;10.97;7.54;342.22;0.03;0.36;383.49;12.29;745.9;11.0;20.01
143;06 Winning van aardolie en aardgas;2017;360.77;1.66;3.72;212.57;0.03;0.29;132.58;9.92;359.08;1.69;-183.0
144;06 Winning van aardolie en aardgas;2018;375.06;0.59;1.56;215.65;0.0;0.42;156.38;0.46;373.02;2.05;-173.07
145;06 Winning van aardolie en aardgas;2019;589.91;1.63;2.7;445.82;0.03;1.4;137.64;0.7;585.92;3.99;2.84
146;06 Winning van aardolie en aardgas;2020;268.85;0.0;0.27;97.09;0.14;1.65;169.4;0.31;268.85;0.0;11.51
147;06 Winning van aardolie en aardgas;2021;320.74;0.0;4.28;113.14;0.06;1.11;201.44;0.7;318.68;2.07;0.45
148;06 Winning van aardolie en aardgas;2022;265.67;0.0;0.55;69.08;0.0;0.28;195.07;0.69;265.67;0.0;2.77
149;06 Winning van aardolie en aardgas;2023;240.67;;;;;;;;;;
150;061 Winning van aardolie;2009;;;;;;;;;;;
151;061 Winning van aardolie;2010;;;;;;;;;;;
152;061 Winning van aardolie;2011;;;;;;;;;;;
153;061 Winning van aardolie;2012;;;;;;;;;;;
154;061 Winning van aardolie;2013;;;;;;;;;;;
155;061 Winning van aardolie;2014;;;;;;;;;;;
156;061 Winning van aardolie;2015;;;;;;;;;;;
157;061 Winning van aardolie;2016;;;;;;;;;;;
158;061 Winning van aardolie;2017;;;;;;;;;;;
159;061 Winning van aardolie;2018;;;;;;;;;;;
160;061 Winning van aardolie;2019;;;;;;;;;;;
161;061 Winning van aardolie;2020;;;;;;;;;;;
162;061 Winning van aardolie;2021;;;;;;;;;;;
163;061 Winning van aardolie;2022;;;;;;;;;;;
164;061 Winning van aardolie;2023;;;;;;;;;;;
165;062 Winning van aardgas;2009;;;;;;;;;;;
166;062 Winning van aardgas;2010;;;;;;;;;;;
167;062 Winning van aardgas;2011;;;;;;;;;;;
168;062 Winning van aardgas;2012;;;;;;;;;;;
169;062 Winning van aardgas;2013;;;;;;;;;;;
170;062 Winning van aardgas;2014;;;;;;;;;;;
171;062 Winning van aardgas;2015;;;;;;;;;;;
172;062 Winning van aardgas;2016;;;;;;;;;;;
173;062 Winning van aardgas;2017;;;;;;;;;;;
174;062 Winning van aardgas;2018;;;;;;;;;;;
175;062 Winning van aardgas;2019;;;;;;;;;;;
176;062 Winning van aardgas;2020;;;;;;;;;;;
177;062 Winning van aardgas;2021;;;;;;;;;;;
178;062 Winning van aardgas;2022;;;;;;;;;;;
179;062 Winning van aardgas;2023;;;;;;;;;;;
180;08 Delfstoffenwinning (geen olie en gas);2009;23.42;0.33;3.62;2.16;1.99;0.24;13.96;1.12;20.63;2.79;4.4
181;08 Delfstoffenwinning (geen olie en gas);2010;;;;;;;;;;;
182;08 Delfstoffenwinning (geen olie en gas);2011;44.12;4.71;2.9;1.66;3.56;0.42;28.37;2.51;33.38;10.74;1.92
183;08 Delfstoffenwinning (geen olie en gas);2012;;;;;;;;;;;
184;08 Delfstoffenwinning (geen olie en gas);2013;;;;;;;;;;;
185;08 Delfstoffenwinning (geen olie en gas);2014;;;;;;;;;;;
186;08 Delfstoffenwinning (geen olie en gas);2015;59.18;5.53;1.42;7.81;4.29;0.22;39.76;0.15;52.76;6.42;9.65
187;08 Delfstoffenwinning (geen olie en gas);2016;55.16;11.14;0.21;4.83;1.92;0.24;35.85;0.97;41.31;13.85;1.13
188;08 Delfstoffenwinning (geen olie en gas);2017;90.6;19.44;2.75;4.62;4.79;0.73;57.57;0.69;70.13;20.46;4.1
189;08 Delfstoffenwinning (geen olie en gas);2018;84.74;11.5;4.95;2.26;20.35;0.64;40.92;4.11;67.78;16.96;5.55
190;08 Delfstoffenwinning (geen olie en gas);2019;;;;;;;;;;;
191;08 Delfstoffenwinning (geen olie en gas);2020;55.0;8.87;6.48;1.39;7.3;0.63;27.74;2.6;45.76;9.24;5.5
192;08 Delfstoffenwinning (geen olie en gas);2021;106.1;14.09;3.15;48.47;5.5;0.55;30.05;4.29;90.7;15.41;5.48
193;08 Delfstoffenwinning (geen olie en gas);2022;93.08;21.84;5.77;2.68;18.56;0.35;38.82;5.06;70.14;22.94;5.51
194;08 Delfstoffenwinning (geen olie en gas);2023;100.35;;;;;;;;;;
195;081 Winning van zand, grind en klei;2009;;;;;;;;;;;
196;081 Winning van zand, grind en klei;2010;;;;;;;;;;;
197;081 Winning van zand, grind en klei;2011;;;;;;;;;;;
198;081 Winning van zand, grind en klei;2012;;;;;;;;;;;
199;081 Winning van zand, grind en klei;2013;;;;;;;;;;;
200;081 Winning van zand, grind en klei;2014;;;;;;;;;;;
201;081 Winning van zand, grind en klei;2015;;;;;;;;;;;
202;081 Winning van zand, grind en klei;2016;;;;;;;;;;;
203;081 Winning van zand, grind en klei;2017;;;;;;;;;;;
204;081 Winning van zand, grind en klei;2018;;;;;;;;;;;
205;081 Winning van zand, grind en klei;2019;;;;;;;;;;;
206;081 Winning van zand, grind en klei;2020;;;;;;;;;;;
207;081 Winning van zand, grind en klei;2021;;;;;;;;;;;
208;081 Winning van zand, grind en klei;2022;;;;;;;;;;;
209;081 Winning van zand, grind en klei;2023;;;;;;;;;;;
210;089 Winning van overige delfstoffen;2009;;;;;;;;;;;
211;089 Winning van overige delfstoffen;2010;;;;;;;;;;;
212;089 Winning van overige delfstoffen;2011;;;;;;;;;;;
213;089 Winning van overige delfstoffen;2012;;;;;;;;;;;
214;089 Winning van overige delfstoffen;2013;;;;;;;;;;;
215;089 Winning van overige delfstoffen;2014;;;;;;;;;;;
216;089 Winning van overige delfstoffen;2015;;;;;;;;;;;
217;089 Winning van overige delfstoffen;2016;;;;;;;;;;;
218;089 Winning van overige delfstoffen;2017;;;;;;;;;;;
219;089 Winning van overige delfstoffen;2018;;;;;;;;;;;
220;089 Winning van overige delfstoffen;2019;;;;;;;;;;;
221;089 Winning van overige delfstoffen;2020;;;;;;;;;;;
222;089 Winning van overige delfstoffen;2021;;;;;;;;;;;
223;089 Winning van overige delfstoffen;2022;;;;;;;;;;;
224;089 Winning van overige delfstoffen;2023;;;;;;;;;;;
225;09 Dienstverlening delfstoffenwinning;2009;121.67;0.68;3.23;0.06;2.03;0.39;113.57;1.72;115.1;6.57;2.36
226;09 Dienstverlening delfstoffenwinning;2010;;;;;;;;;;;
227;09 Dienstverlening delfstoffenwinning;2011;679.54;0.06;34.45;146.12;0.19;1.35;482.06;15.32;663.48;16.05;8.13
228;09 Dienstverlening delfstoffenwinning;2012;;;;;;;;;;;
229;09 Dienstverlening delfstoffenwinning;2013;;;;;;;;;;;
230;09 Dienstverlening delfstoffenwinning;2014;;;;;;;;;;;
231;09 Dienstverlening delfstoffenwinning;2015;410.25;0.0;26.23;0.0;315.15;7.67;57.5;3.7;410.21;0.04;2.62
232;09 Dienstverlening delfstoffenwinning;2016;197.92;2.01;8.52;0.0;120.33;6.49;51.12;9.44;193.86;4.06;18.91
233;09 Dienstverlening delfstoffenwinning;2017;79.14;0.0;0.1;0.01;39.17;2.63;36.72;0.52;76.66;2.49;8.12
234;09 Dienstverlening delfstoffenwinning;2018;53.73;0.0;0.36;0.0;22.78;1.85;23.3;5.43;46.31;7.42;6.58
235;09 Dienstverlening delfstoffenwinning;2019;;;;;;;;;;;
236;09 Dienstverlening delfstoffenwinning;2020;60.74;0.0;0.04;0.0;15.16;1.57;43.32;0.65;58.81;1.93;46.55
237;09 Dienstverlening delfstoffenwinning;2021;115.08;0.0;0.57;0.01;43.26;1.5;65.12;4.61;113.7;1.38;6.97
238;09 Dienstverlening delfstoffenwinning;2022;138.01;0.0;1.09;0.0;65.79;4.24;65.93;0.95;136.55;1.46;14.68
239;09 Dienstverlening delfstoffenwinning;2023;129.88;;;;;;;;;;
240;091 Dienstverlening olie- en gaswinning;2009;;;;;;;;;;;
241;091 Dienstverlening olie- en gaswinning;2010;;;;;;;;;;;
242;091 Dienstverlening olie- en gaswinning;2011;;;;;;;;;;;
243;091 Dienstverlening olie- en gaswinning;2012;;;;;;;;;;;
244;091 Dienstverlening olie- en gaswinning;2013;;;;;;;;;;;
245;091 Dienstverlening olie- en gaswinning;2014;;;;;;;;;;;
246;091 Dienstverlening olie- en gaswinning;2015;;;;;;;;;;;
247;091 Dienstverlening olie- en gaswinning;2016;;;;;;;;;;;
248;091 Dienstverlening olie- en gaswinning;2017;;;;;;;;;;;
249;091 Dienstverlening olie- en gaswinning;2018;;;;;;;;;;;
250;091 Dienstverlening olie- en gaswinning;2019;;;;;;;;;;;
251;091 Dienstverlening olie- en gaswinning;2020;;;;;;;;;;;
