ID;Huishoudkenmerken;Perioden;ToegangTotPC_1;Desktop_2;Laptop_3;WelToegangInternet_4;GeenToegangInternet_5;EldersInternetten_6;WilNietGeenInteresse_7;FinancieleRedenen_8;OnvoldoendeKennisFysiekeBeperking_9;PrivacyEnVeiligheid_10;AndereReden_11;TotaalGeenBreedband_12;AnaloogModem_13;ISDN_14;MobieleTelefoonWAPGPRS_15;TotaalBreedband_16;ADSL_17;Kabel_18;TotaalGeenBreedband_19;AnaloogModem_20;ISDN_21;MobieleTelefoonWAPGPRS_22;TotaalBreedband_23;ADSL_24;Kabel_25;PersonalComputer_26;PCDesktop_27;Laptop_28;MobieleTelefoon_29;AndereApparatuur_30;PersonalComputer_31;PCDesktop_32;Laptop_33;MobieleTelefoon_34;AndereApparatuur_35
87;Gest. besteedbaar huish.inkomen 4e 20%;2011;97.0;81.0;77.0;97.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;10.0;;;;87.0;;;10.0;;;;89.0;;;97.0;79.0;75.0;56.0;34.0;99.0;81.0;77.0;58.0;35.0
88;Gest. besteedbaar huish.inkomen 4e 20%;2012;98.0;82.0;79.0;98.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;12.0;;;;86.0;;;12.0;;;;88.0;;;97.0;79.0;77.0;61.0;37.0;99.0;81.0;78.0;62.0;38.0
89;Gest. besteedbaar huish.inkomen 4e 20%;2013;97.0;69.0;82.0;98.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;7.0;;;;91.0;;;8.0;;;;92.0;;;96.0;67.0;80.0;72.0;64.0;98.0;68.0;82.0;74.0;65.0
90;Gest. besteedbaar huish.inkomen 5e 20%;2005;92.0;84.0;49.0;88.0;12.0;3.0;6.0;1.0;2.0;0.0;3.0;30.0;24.0;7.0;3.0;58.0;40.0;20.0;34.0;28.0;8.0;3.0;66.0;45.0;23.0;88.0;80.0;34.0;13.0;7.0;100.0;91.0;38.0;15.0;8.0
91;Gest. besteedbaar huish.inkomen 5e 20%;2006;94.0;86.0;54.0;91.0;9.0;2.0;4.0;0.0;1.0;0.0;2.0;17.0;11.0;5.0;3.0;74.0;54.0;22.0;18.0;12.0;6.0;3.0;82.0;59.0;24.0;91.0;82.0;40.0;13.0;8.0;100.0;91.0;44.0;14.0;9.0
92;Gest. besteedbaar huish.inkomen 5e 20%;2007;95.0;87.0;60.0;94.0;6.0;0.0;3.0;0.0;1.0;1.0;1.0;11.0;6.0;6.0;1.0;84.0;63.0;23.0;11.0;6.0;7.0;1.0;89.0;67.0;25.0;94.0;86.0;50.0;20.0;13.0;100.0;91.0;53.0;21.0;14.0
93;Gest. besteedbaar huish.inkomen 5e 20%;2008;94.0;80.0;68.0;93.0;7.0;0.0;4.0;1.0;1.0;0.0;1.0;13.0;4.0;9.0;1.0;81.0;60.0;25.0;14.0;5.0;9.0;1.0;86.0;64.0;26.0;92.0;78.0;62.0;23.0;15.0;99.0;83.0;66.0;24.0;16.0
94;Gest. besteedbaar huish.inkomen 5e 20%;2009;99.0;85.0;78.0;99.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;11.0;3.0;8.0;1.0;87.0;64.0;29.0;11.0;3.0;8.0;1.0;89.0;65.0;30.0;98.0;83.0;74.0;31.0;26.0;100.0;84.0;75.0;32.0;26.0
95;Gest. besteedbaar huish.inkomen 5e 20%;2010;98.0;84.0;78.0;98.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;7.0;2.0;3.0;3.0;91.0;62.0;32.0;7.0;2.0;3.0;3.0;93.0;64.0;33.0;97.0;82.0;75.0;39.0;27.0;100.0;84.0;77.0;40.0;28.0
96;Gest. besteedbaar huish.inkomen 5e 20%;2011;99.0;84.0;85.0;99.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;;;;89.0;;;10.0;;;;89.0;;;99.0;82.0;82.0;53.0;32.0;100.0;83.0;83.0;54.0;33.0
97;Gest. besteedbaar huish.inkomen 5e 20%;2012;99.0;80.0;84.0;98.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;12.0;;;;86.0;;;12.0;;;;88.0;;;98.0;77.0;82.0;65.0;42.0;100.0;78.0;84.0;66.0;42.0
98;Gest. besteedbaar huish.inkomen 5e 20%;2013;98.0;76.0;84.0;99.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;9.0;;;;90.0;;;9.0;;;;91.0;;;98.0;74.0;84.0;76.0;73.0;100.0;76.0;85.0;78.0;74.0
99;Eigenaar;2005;88.0;83.0;35.0;84.0;16.0;2.0;9.0;1.0;2.0;0.0;4.0;27.0;21.0;7.0;2.0;57.0;37.0;22.0;32.0;25.0;8.0;2.0;68.0;44.0;27.0;84.0;79.0;24.0;10.0;4.0;100.0;94.0;28.0;11.0;5.0
100;Eigenaar;2006;91.0;84.0;39.0;87.0;13.0;1.0;8.0;1.0;2.0;0.0;2.0;15.0;9.0;5.0;2.0;72.0;49.0;25.0;17.0;11.0;6.0;2.0;83.0;56.0;28.0;87.0;80.0;29.0;12.0;5.0;100.0;92.0;34.0;13.0;6.0
101;Eigenaar;2007;91.0;84.0;46.0;89.0;11.0;1.0;8.0;1.0;2.0;1.0;2.0;10.0;5.0;4.0;1.0;79.0;56.0;26.0;11.0;6.0;5.0;1.0;89.0;63.0;29.0;89.0;80.0;40.0;17.0;11.0;100.0;90.0;45.0;19.0;12.0
102;Eigenaar;2008;91.0;81.0;56.0;91.0;9.0;1.0;6.0;1.0;2.0;0.0;1.0;12.0;5.0;7.0;1.0;78.0;49.0;32.0;14.0;5.0;8.0;1.0;86.0;55.0;35.0;90.0;78.0;51.0;21.0;13.0;99.0;86.0;56.0;23.0;15.0
103;Eigenaar;2009;95.0;82.0;64.0;94.0;6.0;0.0;5.0;1.0;1.0;0.0;1.0;14.0;4.0;6.0;1.0;80.0;57.0;29.0;15.0;4.0;7.0;1.0;85.0;61.0;32.0;93.0;79.0;60.0;27.0;22.0;100.0;84.0;64.0;29.0;24.0
104;Eigenaar;2010;95.0;78.0;71.0;94.0;6.0;1.0;4.0;0.0;1.0;0.0;0.0;7.0;2.0;3.0;2.0;87.0;59.0;32.0;8.0;2.0;3.0;2.0;92.0;63.0;34.0;94.0;76.0;68.0;35.0;25.0;100.0;81.0;72.0;37.0;27.0
105;Eigenaar;2011;96.0;78.0;77.0;96.0;4.0;0.0;3.0;0.0;1.0;0.0;1.0;10.0;;;;85.0;;;10.0;;;;89.0;;;95.0;75.0;75.0;50.0;31.0;99.0;78.0;78.0;52.0;33.0
106;Eigenaar;2012;97.0;77.0;80.0;97.0;3.0;0.0;2.0;1.0;1.0;0.0;0.0;12.0;;;;85.0;;;13.0;;;;87.0;;;96.0;73.0;79.0;60.0;38.0;99.0;76.0;82.0;62.0;39.0
107;Eigenaar;2013;97.0;71.0;80.0;97.0;3.0;0.0;2.0;0.0;1.0;0.0;0.0;9.0;;;;89.0;;;9.0;;;;91.0;;;96.0;70.0;79.0;70.0;64.0;99.0;71.0;81.0;72.0;65.0
108;Huurder;2005;76.0;70.0;23.0;70.0;30.0;3.0;17.0;6.0;3.0;0.0;6.0;21.0;17.0;4.0;3.0;49.0;30.0;20.0;30.0;24.0;5.0;4.0;70.0;43.0;29.0;69.0;64.0;17.0;10.0;3.0;100.0;92.0;24.0;14.0;4.0
109;Huurder;2006;73.0;66.0;29.0;69.0;31.0;4.0;19.0;4.0;5.0;1.0;4.0;13.0;10.0;2.0;1.0;55.0;35.0;22.0;20.0;14.0;4.0;2.0;80.0;51.0;32.0;68.0;60.0;21.0;9.0;4.0;100.0;87.0;30.0;13.0;5.0
110;Huurder;2007;78.0;67.0;33.0;73.0;27.0;3.0;16.0;4.0;5.0;1.0;3.0;9.0;4.0;3.0;1.0;64.0;40.0;26.0;12.0;6.0;3.0;2.0;88.0;55.0;36.0;72.0;62.0;28.0;15.0;8.0;99.0;85.0;38.0;21.0;12.0
111;Huurder;2008;81.0;70.0;42.0;79.0;21.0;2.0;11.0;3.0;4.0;0.0;4.0;12.0;5.0;5.0;1.0;67.0;41.0;28.0;15.0;6.0;6.0;1.0;85.0;53.0;36.0;76.0;63.0;39.0;17.0;12.0;97.0;81.0;49.0;21.0;15.0
112;Huurder;2009;82.0;69.0;49.0;82.0;18.0;1.0;12.0;3.0;3.0;1.0;2.0;10.0;3.0;3.0;1.0;72.0;50.0;29.0;12.0;4.0;3.0;1.0;88.0;62.0;36.0;80.0;65.0;46.0;22.0;17.0;98.0;79.0;56.0;26.0;21.0
113;Huurder;2010;86.0;67.0;53.0;84.0;16.0;3.0;12.0;2.0;3.0;1.0;1.0;8.0;2.0;3.0;2.0;76.0;49.0;30.0;9.0;2.0;3.0;3.0;91.0;59.0;36.0;83.0;63.0;50.0;26.0;18.0;99.0;76.0;60.0;32.0;22.0
114;Huurder;2011;90.0;68.0;61.0;89.0;11.0;1.0;8.0;1.0;2.0;1.0;1.0;9.0;;;;79.0;;;11.0;;;;88.0;;;88.0;63.0;59.0;40.0;22.0;99.0;71.0;66.0;45.0;25.0
115;Huurder;2012;89.0;63.0;64.0;88.0;12.0;1.0;9.0;3.0;2.0;1.0;2.0;11.0;;;;77.0;;;12.0;;;;88.0;;;86.0;59.0;62.0;46.0;26.0;99.0;68.0;70.0;52.0;30.0
116;Huurder;2013;90.0;60.0;67.0;90.0;10.0;1.0;6.0;3.0;2.0;1.0;1.0;8.0;;;;82.0;;;9.0;;;;91.0;;;88.0;58.0;65.0;55.0;47.0;98.0;64.0;73.0;62.0;53.0
117;Zeer sterk stedelijk;2005;84.0;73.0;35.0;80.0;20.0;3.0;11.0;3.0;2.0;0.0;4.0;23.0;18.0;5.0;4.0;58.0;40.0;19.0;28.0;22.0;6.0;4.0;72.0;50.0;24.0;80.0;70.0;26.0;10.0;4.0;99.0;87.0;33.0;13.0;5.0
118;Zeer sterk stedelijk;2006;86.0;77.0;37.0;83.0;17.0;3.0;8.0;2.0;3.0;0.0;2.0;12.0;8.0;3.0;3.0;71.0;49.0;24.0;14.0;9.0;4.0;3.0;86.0;59.0;28.0;83.0;74.0;27.0;11.0;4.0;100.0;89.0;33.0;13.0;5.0
119;Zeer sterk stedelijk;2007;87.0;74.0;46.0;84.0;16.0;3.0;7.0;4.0;3.0;0.0;2.0;7.0;3.0;2.0;1.0;77.0;51.0;27.0;9.0;4.0;3.0;2.0;91.0;61.0;33.0;84.0;71.0;38.0;16.0;11.0;100.0;84.0;46.0;19.0;13.0
120;Zeer sterk stedelijk;2008;87.0;72.0;53.0;87.0;13.0;2.0;8.0;2.0;2.0;0.0;2.0;11.0;4.0;5.0;1.0;76.0;47.0;31.0;13.0;5.0;6.0;2.0;87.0;55.0;36.0;84.0;69.0;49.0;22.0;17.0;97.0;79.0;57.0;26.0;19.0
121;Zeer sterk stedelijk;2009;89.0;71.0;62.0;89.0;11.0;0.0;8.0;2.0;2.0;0.0;0.0;8.0;3.0;3.0;1.0;81.0;58.0;28.0;9.0;4.0;3.0;1.0;91.0;65.0;32.0;88.0;68.0;58.0;24.0;19.0;99.0;76.0;66.0;27.0;21.0
122;Zeer sterk stedelijk;2010;92.0;72.0;64.0;92.0;8.0;1.0;6.0;1.0;0.0;0.0;1.0;6.0;1.0;3.0;2.0;85.0;58.0;31.0;7.0;2.0;3.0;2.0;93.0;63.0;34.0;91.0;70.0;62.0;33.0;23.0;99.0;76.0;67.0;36.0;25.0
123;Zeer sterk stedelijk;2011;96.0;71.0;73.0;95.0;5.0;1.0;3.0;0.0;1.0;1.0;0.0;8.0;;;;86.0;;;9.0;;;;91.0;;;95.0;69.0;71.0;48.0;24.0;100.0;73.0;75.0;50.0;25.0
124;Zeer sterk stedelijk;2012;92.0;66.0;74.0;91.0;9.0;0.0;6.0;2.0;1.0;0.0;2.0;10.0;;;;81.0;;;11.0;;;;89.0;;;91.0;62.0;73.0;57.0;31.0;99.0;68.0;80.0;62.0;34.0
125;Zeer sterk stedelijk;2013;95.0;64.0;76.0;94.0;6.0;0.0;3.0;2.0;1.0;0.0;2.0;5.0;;;;89.0;;;6.0;;;;94.0;;;94.0;62.0;74.0;64.0;56.0;100.0;66.0;79.0;68.0;59.0
126;Sterk stedelijk;2005;85.0;81.0;33.0;81.0;19.0;3.0;10.0;3.0;3.0;0.0;5.0;23.0;18.0;6.0;2.0;57.0;34.0;24.0;29.0;22.0;7.0;2.0;71.0;43.0;30.0;80.0;76.0;23.0;12.0;4.0;100.0;95.0;28.0;15.0;5.0
127;Sterk stedelijk;2006;84.0;76.0;38.0;81.0;19.0;2.0;12.0;4.0;3.0;1.0;2.0;14.0;9.0;4.0;2.0;67.0;42.0;26.0;18.0;11.0;5.0;2.0;82.0;52.0;32.0;81.0;73.0;28.0;10.0;5.0;100.0;90.0;35.0;12.0;6.0
128;Sterk stedelijk;2007;86.0;78.0;43.0;82.0;18.0;2.0;12.0;2.0;3.0;0.0;2.0;8.0;4.0;4.0;1.0;74.0;47.0;28.0;10.0;5.0;5.0;2.0;90.0;58.0;35.0;82.0;73.0;38.0;19.0;11.0;100.0;89.0;46.0;23.0;13.0
129;Sterk stedelijk;2008;89.0;78.0;54.0;87.0;13.0;2.0;7.0;2.0;2.0;1.0;2.0;10.0;4.0;5.0;1.0;77.0;46.0;34.0;12.0;5.0;6.0;1.0;88.0;53.0;39.0;85.0;73.0;49.0;19.0;15.0;98.0;84.0;56.0;22.0;17.0
130;Sterk stedelijk;2009;93.0;80.0;62.0;92.0;8.0;0.0;5.0;1.0;1.0;1.0;1.0;13.0;3.0;4.0;1.0;79.0;55.0;33.0;14.0;3.0;5.0;1.0;86.0;61.0;36.0;91.0;76.0;59.0;28.0;24.0;99.0;82.0;64.0;31.0;26.0
131;Sterk stedelijk;2010;93.0;76.0;69.0;92.0;8.0;1.0;6.0;2.0;2.0;0.0;0.0;7.0;2.0;2.0;2.0;85.0;55.0;33.0;8.0;2.0;2.0;2.0;92.0;60.0;36.0;92.0;74.0;66.0;36.0;28.0;100.0;81.0;72.0;39.0;30.0
132;Sterk stedelijk;2011;94.0;73.0;75.0;93.0;7.0;1.0;4.0;1.0;2.0;1.0;1.0;9.0;;;;83.0;;;10.0;;;;89.0;;;92.0;69.0;72.0;51.0;32.0;98.0;74.0;77.0;55.0;34.0
133;Sterk stedelijk;2012;96.0;73.0;79.0;95.0;5.0;1.0;4.0;1.0;1.0;0.0;0.0;11.0;;;;84.0;;;11.0;;;;89.0;;;94.0;70.0;76.0;57.0;40.0;99.0;73.0;81.0;60.0;42.0
134;Sterk stedelijk;2013;94.0;66.0;74.0;94.0;6.0;0.0;4.0;1.0;1.0;0.0;1.0;9.0;;;;86.0;;;9.0;;;;91.0;;;93.0;64.0;72.0;64.0;59.0;98.0;67.0;77.0;68.0;62.0
135;Matig stedelijk;2005;84.0;80.0;28.0;78.0;22.0;3.0;11.0;3.0;3.0;0.0;5.0;25.0;21.0;5.0;1.0;53.0;32.0;23.0;32.0;27.0;6.0;2.0;68.0;40.0;29.0;78.0;74.0;19.0;9.0;3.0;100.0;95.0;24.0;12.0;4.0
136;Matig stedelijk;2006;83.0;79.0;33.0;79.0;21.0;2.0;14.0;2.0;2.0;0.0;4.0;14.0;9.0;5.0;2.0;65.0;41.0;25.0;18.0;12.0;6.0;3.0;82.0;52.0;32.0;78.0;73.0;26.0;12.0;5.0;99.0;92.0;33.0;15.0;6.0
137;Matig stedelijk;2007;88.0;80.0;40.0;87.0;13.0;1.0;10.0;1.0;2.0;0.0;3.0;12.0;8.0;4.0;0.0;75.0;48.0;29.0;14.0;9.0;5.0;0.0;86.0;56.0;34.0;86.0;77.0;34.0;16.0;10.0;100.0;89.0;40.0;19.0;11.0
138;Matig stedelijk;2008;90.0;79.0;53.0;88.0;12.0;2.0;7.0;1.0;2.0;0.0;2.0;15.0;5.0;8.0;2.0;73.0;46.0;32.0;17.0;5.0;9.0;2.0;83.0;52.0;36.0;87.0;74.0;47.0;20.0;12.0;99.0;84.0;54.0;23.0;14.0
139;Matig stedelijk;2009;93.0;82.0;60.0;91.0;9.0;0.0;7.0;2.0;1.0;0.0;1.0;14.0;3.0;7.0;1.0;77.0;52.0;32.0;15.0;4.0;7.0;1.0;85.0;57.0;35.0;91.0;79.0;56.0;26.0;21.0;100.0;86.0;61.0;28.0;23.0
140;Matig stedelijk;2010;93.0;77.0;67.0;91.0;9.0;2.0;6.0;0.0;2.0;0.0;1.0;7.0;2.0;2.0;2.0;84.0;52.0;35.0;8.0;3.0;2.0;2.0;92.0;57.0;39.0;91.0;72.0;64.0;33.0;24.0;100.0;80.0;70.0;36.0;26.0
141;Matig stedelijk;2011;94.0;81.0;71.0;93.0;7.0;0.0;5.0;0.0;1.0;1.0;0.0;7.0;;;;85.0;;;8.0;;;;91.0;;;92.0;77.0;68.0;47.0;33.0;99.0;83.0;73.0;50.0;35.0
142;Matig stedelijk;2012;94.0;76.0;75.0;94.0;6.0;1.0;5.0;1.0;2.0;1.0;0.0;11.0;;;;82.0;;;12.0;;;;88.0;;;93.0;72.0;73.0;55.0;33.0;99.0;77.0;78.0;59.0;36.0
143;Matig stedelijk;2013;96.0;72.0;77.0;96.0;4.0;1.0;3.0;1.0;1.0;0.0;0.0;9.0;;;;87.0;;;9.0;;;;91.0;;;95.0;70.0;76.0;68.0;63.0;99.0;73.0;79.0;71.0;66.0
144;Weinig stedelijk;2005;81.0;77.0;27.0;76.0;24.0;3.0;14.0;3.0;3.0;0.0;5.0;25.0;19.0;6.0;2.0;52.0;32.0;21.0;32.0;25.0;8.0;3.0;68.0;42.0;27.0;76.0;72.0;18.0;8.0;3.0;100.0;95.0;24.0;11.0;4.0
145;Weinig stedelijk;2006;87.0;81.0;34.0;81.0;19.0;2.0;12.0;2.0;3.0;0.0;3.0;17.0;12.0;5.0;2.0;64.0;45.0;21.0;20.0;15.0;6.0;2.0;80.0;55.0;25.0;81.0;76.0;23.0;11.0;5.0;100.0;93.0;29.0;14.0;7.0
146;Weinig stedelijk;2007;84.0;79.0;39.0;80.0;20.0;1.0;13.0;2.0;3.0;1.0;3.0;8.0;4.0;3.0;0.0;72.0;52.0;21.0;10.0;5.0;4.0;0.0;90.0;66.0;26.0;80.0;73.0;32.0;14.0;9.0;100.0;91.0;40.0;17.0;12.0
147;Weinig stedelijk;2008;86.0;78.0;47.0;84.0;16.0;1.0;9.0;2.0;4.0;0.0;2.0;14.0;6.0;6.0;1.0;70.0;48.0;25.0;17.0;7.0;7.0;1.0;83.0;58.0;31.0;83.0;73.0;42.0;18.0;10.0;99.0;87.0;50.0;22.0;12.0
148;Weinig stedelijk;2009;87.0;77.0;55.0;86.0;14.0;1.0;9.0;2.0;2.0;0.0;2.0;13.0;4.0;5.0;2.0;74.0;54.0;25.0;14.0;4.0;6.0;2.0;86.0;63.0;30.0;85.0;73.0;50.0;23.0;19.0;99.0;84.0;58.0;26.0;22.0
149;Weinig stedelijk;2010;90.0;74.0;62.0;89.0;11.0;1.0;10.0;1.0;3.0;0.0;0.0;8.0;1.0;3.0;2.0;82.0;55.0;31.0;9.0;1.0;3.0;3.0;91.0;62.0;35.0;89.0;72.0;59.0;29.0;19.0;99.0;80.0;66.0;32.0;22.0
150;Weinig stedelijk;2011;94.0;74.0;70.0;93.0;7.0;0.0;5.0;1.0;1.0;0.0;1.0;13.0;;;;79.0;;;14.0;;;;85.0;;;93.0;71.0;68.0;41.0;27.0;99.0;76.0;73.0;44.0;29.0
151;Weinig stedelijk;2012;95.0;76.0;71.0;94.0;6.0;0.0;5.0;1.0;1.0;0.0;0.0;14.0;;;;81.0;;;14.0;;;;86.0;;;93.0;71.0;70.0;53.0;31.0;98.0;75.0;74.0;56.0;33.0
152;Weinig stedelijk;2013;94.0;68.0;77.0;95.0;5.0;0.0;3.0;1.0;1.0;0.0;0.0;10.0;;;;85.0;;;11.0;;;;89.0;;;94.0;67.0;75.0;66.0;57.0;98.0;70.0;79.0;69.0;60.0
153;Niet stedelijk;2005;81.0;79.0;23.0;74.0;26.0;2.0;16.0;4.0;4.0;0.0;5.0;28.0;22.0;7.0;2.0;46.0;28.0;18.0;38.0;30.0;9.0;2.0;62.0;39.0;24.0;74.0;70.0;16.0;7.0;2.0;100.0;94.0;22.0;9.0;3.0
154;Niet stedelijk;2006;80.0;74.0;30.0;74.0;26.0;4.0;18.0;1.0;4.0;1.0;3.0;14.0;11.0;3.0;1.0;59.0;39.0;21.0;19.0;14.0;4.0;1.0;81.0;54.0;28.0;73.0;65.0;23.0;9.0;4.0;100.0;89.0;32.0;12.0;6.0
155;Niet stedelijk;2007;86.0;79.0;34.0;82.0;18.0;2.0;12.0;2.0;3.0;1.0;2.0;12.0;7.0;4.0;0.0;70.0;53.0;20.0;14.0;8.0;5.0;0.0;86.0;65.0;24.0;82.0;74.0;30.0;12.0;6.0;100.0;90.0;37.0;14.0;7.0
156;Niet stedelijk;2008;87.0;78.0;44.0;85.0;15.0;1.0;11.0;2.0;3.0;0.0;1.0;12.0;4.0;7.0;0.0;73.0;46.0;28.0;14.0;5.0;8.0;0.0;86.0;54.0;34.0;84.0;74.0;40.0;15.0;7.0;100.0;87.0;47.0;18.0;9.0
157;Niet stedelijk;2009;91.0;80.0;56.0;88.0;12.0;0.0;8.0;3.0;2.0;0.0;1.0;18.0;5.0;8.0;1.0;70.0;54.0;23.0;21.0;6.0;9.0;1.0;79.0;62.0;27.0;88.0;76.0;51.0;21.0;15.0;99.0;86.0;57.0;24.0;17.0
158;Niet stedelijk;2010;93.0;76.0;66.0;92.0;8.0;1.0;6.0;0.0;3.0;0.0;1.0;9.0;2.0;4.0;1.0;82.0;64.0;23.0;10.0;3.0;4.0;2.0;90.0;70.0;25.0;91.0;73.0;64.0;25.0;19.0;99.0;79.0;70.0;27.0;21.0
159;Niet stedelijk;2011;94.0;78.0;67.0;93.0;7.0;1.0;5.0;0.0;1.0;0.0;0.0;11.0;;;;82.0;;;11.0;;;;88.0;;;93.0;73.0;65.0;41.0;24.0;99.0;79.0;69.0;44.0;25.0
160;Niet stedelijk;2012;96.0;74.0;74.0;95.0;5.0;0.0;3.0;1.0;1.0;0.0;1.0;16.0;;;;80.0;;;16.0;;;;84.0;;;94.0;71.0;73.0;52.0;32.0;99.0;74.0;76.0;54.0;33.0
161;Niet stedelijk;2013;96.0;72.0;76.0;95.0;5.0;0.0;2.0;1.0;0.0;1.0;0.0;10.0;;;;85.0;;;11.0;;;;89.0;;;94.0;69.0;74.0;64.0;54.0;99.0;72.0;78.0;67.0;57.0
162;Noord;2005;86.0;82.0;24.0;78.0;22.0;3.0;12.0;5.0;3.0;0.0;3.0;27.0;23.0;4.0;2.0;52.0;33.0;19.0;34.0;29.0;6.0;2.0;66.0;42.0;25.0;78.0;74.0;15.0;7.0;2.0;100.0;95.0;19.0;9.0;2.0
163;Noord;2006;83.0;80.0;28.0;76.0;24.0;4.0;14.0;2.0;4.0;1.0;3.0;13.0;10.0;3.0;1.0;64.0;42.0;23.0;17.0;13.0;3.0;2.0;83.0;55.0;30.0;75.0;69.0;21.0;11.0;4.0;98.0;90.0;27.0;14.0;5.0
164;Noord;2007;84.0;76.0;35.0;82.0;18.0;1.0;14.0;1.0;3.0;0.0;1.0;8.0;5.0;3.0;1.0;74.0;52.0;24.0;10.0;7.0;3.0;1.0;90.0;64.0;30.0;82.0;75.0;31.0;14.0;7.0;100.0;91.0;38.0;17.0;9.0
165;Noord;2008;88.0;75.0;48.0;84.0;16.0;2.0;9.0;1.0;4.0;0.0;2.0;12.0;3.0;5.0;1.0;72.0;46.0;31.0;15.0;4.0;6.0;1.0;85.0;55.0;37.0;84.0;70.0;44.0;14.0;8.0;100.0;83.0;52.0;16.0;10.0
166;Noord;2009;90.0;76.0;59.0;88.0;12.0;0.0;9.0;4.0;2.0;1.0;1.0;15.0;4.0;9.0;1.0;73.0;52.0;27.0;17.0;4.0;11.0;1.0;83.0;60.0;31.0;88.0;74.0;53.0;20.0;17.0;100.0;84.0;60.0;22.0;19.0
167;Noord;2010;90.0;73.0;61.0;88.0;12.0;2.0;9.0;2.0;5.0;0.0;0.0;10.0;2.0;3.0;1.0;78.0;57.0;25.0;12.0;3.0;3.0;1.0;88.0;65.0;29.0;88.0;69.0;59.0;23.0;21.0;100.0;78.0;67.0;26.0;24.0
168;Noord;2011;95.0;74.0;68.0;95.0;5.0;0.0;5.0;0.0;1.0;0.0;0.0;8.0;;;;86.0;;;8.0;;;;91.0;;;94.0;70.0;67.0;41.0;25.0;99.0;74.0;70.0;44.0;26.0
169;Noord;2012;96.0;75.0;72.0;95.0;5.0;0.0;4.0;1.0;1.0;1.0;0.0;12.0;;;;83.0;;;13.0;;;;87.0;;;94.0;71.0;71.0;54.0;29.0;99.0;75.0;74.0;57.0;31.0
170;Noord;2013;95.0;70.0;72.0;94.0;6.0;1.0;5.0;2.0;1.0;1.0;0.0;9.0;;;;85.0;;;9.0;;;;91.0;;;93.0;67.0;70.0;56.0;50.0;99.0;72.0;75.0;60.0;53.0
171;Oost;2005;83.0;78.0;30.0;79.0;21.0;1.0;12.0;3.0;3.0;0.0;5.0;28.0;23.0;5.0;2.0;51.0;35.0;17.0;35.0;29.0;6.0;3.0;65.0;44.0;22.0;79.0;73.0;21.0;11.0;4.0;100.0;93.0;27.0;13.0;5.0
172;Oost;2006;87.0;82.0;35.0;82.0;18.0;1.0;13.0;2.0;2.0;1.0;3.0;16.0;12.0;3.0;2.0;66.0;48.0;19.0;20.0;15.0;4.0;3.0;80.0;59.0;23.0;82.0;78.0;26.0;11.0;7.0;100.0;94.0;31.0;13.0;8.0
173;Oost;2007;87.0;79.0;42.0;83.0;17.0;2.0;10.0;2.0;4.0;1.0;1.0;10.0;6.0;3.0;1.0;73.0;52.0;23.0;12.0;7.0;4.0;1.0;88.0;63.0;28.0;83.0;74.0;36.0;17.0;11.0;100.0;89.0;43.0;20.0;13.0
174;Oost;2008;89.0;81.0;50.0;87.0;13.0;2.0;7.0;1.0;3.0;0.0;2.0;13.0;5.0;6.0;1.0;74.0;53.0;24.0;15.0;6.0;7.0;1.0;85.0;61.0;28.0;86.0;76.0;44.0;18.0;14.0;98.0;87.0;51.0;21.0;17.0
175;Oost;2009;91.0;81.0;59.0;91.0;9.0;0.0;6.0;1.0;2.0;0.0;1.0;15.0;3.0;6.0;2.0;76.0;57.0;26.0;16.0;3.0;6.0;2.0;84.0;63.0;29.0;90.0;76.0;55.0;25.0;20.0;99.0;83.0;60.0;28.0;22.0
176;Oost;2010;92.0;74.0;67.0;91.0;9.0;0.0;7.0;1.0;2.0;0.0;1.0;8.0;2.0;3.0;2.0;83.0;58.0;28.0;9.0;2.0;3.0;2.0;91.0;64.0;31.0;91.0;71.0;64.0;33.0;22.0;100.0;78.0;70.0;37.0;24.0
177;Oost;2011;95.0;74.0;74.0;95.0;5.0;1.0;3.0;1.0;1.0;1.0;0.0;11.0;;;;84.0;;;11.0;;;;88.0;;;94.0;71.0;71.0;46.0;27.0;99.0;75.0;75.0;48.0;29.0
178;Oost;2012;94.0;75.0;78.0;95.0;5.0;1.0;4.0;1.0;1.0;1.0;0.0;13.0;;;;82.0;;;14.0;;;;86.0;;;93.0;70.0;76.0;53.0;33.0;98.0;74.0;80.0;56.0;35.0
179;Oost;2013;94.0;66.0;76.0;95.0;5.0;0.0;3.0;1.0;1.0;0.0;0.0;10.0;;;;85.0;;;11.0;;;;89.0;;;92.0;65.0;74.0;68.0;62.0;97.0;68.0;78.0;72.0;65.0
180;West;2005;84.0;78.0;32.0;79.0;21.0;3.0;11.0;3.0;3.0;0.0;5.0;22.0;17.0;6.0;3.0;57.0;36.0;22.0;28.0;21.0;8.0;3.0;72.0;46.0;28.0;79.0;73.0;23.0;10.0;4.0;100.0;93.0;29.0;13.0;5.0
