ID;RegioSEnGrootteklasse;Perioden;AantalMusea_1;MetMuseumkaart_2;LidMuseumvereniging_3;AangeslotenBijHetMuseumregister_4;Overheidsinstelling_5;StichtingVereniging_6;Overig_7;MuseaZonderOperationelePCS_8;MuseaMetOperationelePCS_9;MuseaZonderOnderlingGekoppeldePCS_10;GedeelteGekoppeld_11;AllemaalGekoppeld_12;MuseaZonderToegangTotInternet_13;OpMinderDanDeHelftVanDePCS_14;OpMeerDanDeHelftVanDePCS_15;Totaal_16;MetEigenWebsite_17;GebruiktWebsiteVanDerden_18;MuseaMetInfoOverCollectieOpWebsite_19;MuseaDieBinnen2JaarWebsiteWillen_20
39;Drenthe;2009;29;35;51.0;36;7;90;3;14;86;76;4;20;16;8;76;96;93;4;68;0
40;Overijssel/Flevoland;2001;84;44;25.0;23;15;72;14;24;76;83;7;10;55;28;17;57;40;17;23;24
41;Overijssel/Flevoland;2003;72;46;33.0;38;17;74;10;21;79;65;21;14;42;23;35;61;51;10;30;6
42;Overijssel/Flevoland;2005;72;39;40.0;42;14;78;8;19;81;59;15;26;29;17;53;79;67;12;33;13
43;Overijssel/Flevoland;2007;67;37;37.0;42;12;84;4;12;88;53;14;34;29;14;58;89;82;6;56;2
44;Overijssel/Flevoland;2009;74;35;45.0;46;10;81;10;5;95;53;19;29;21;6;73;90;82;9;61;7
45;Gelderland;2001;124;41;47.0;38;15;74;11;13;87;75;12;14;31;20;49;69;56;13;23;13
46;Gelderland;2003;121;40;42.0;50;11;80;9;20;80;67;18;15;28;27;45;73;60;13;27;2
47;Gelderland;2005;110;29;36.0;55;10;84;6;11;89;60;20;20;30;23;47;85;70;15;36;10
48;Gelderland;2007;104;36;40.0;57;9;84;8;8;92;57;19;24;32;16;52;88;72;15;45;5
49;Gelderland;2009;114;34;54.0;63;6;81;13;6;94;48;21;31;21;13;65;83;75;7;51;6
50;Utrecht;2001;45;58;59.0;31;18;78;4;8;92;61;22;17;30;22;48;79;61;18;32;4
51;Utrecht;2003;42;57;61.0;36;19;79;2;21;79;61;18;21;24;27;49;82;69;13;36;8
52;Utrecht;2005;40;58;63.0;35;23;78;0;18;82;39;21;39;15;30;55;92;80;13;42;5
53;Utrecht;2007;47;55;62.0;30;15;77;9;9;91;49;26;26;16;21;63;93;80;13;51;7
54;Utrecht;2009;46;56;59.0;35;18;73;9;4;96;48;30;23;16;18;66;87;78;9;44;2
55;Noord-Holland;2001;157;59;50.0;28;16;78;6;8;92;45;32;23;18;36;45;88;70;18;50;11
56;Noord-Holland;2003;146;59;56.0;51;14;78;8;12;88;60;18;22;27;26;48;76;73;4;43;2
57;Noord-Holland;2005;137;58;61.0;58;13;80;7;15;85;50;22;28;22;21;58;90;83;7;54;2
58;Noord-Holland;2007;143;54;55.0;53;13;83;4;7;93;50;13;37;23;18;59;90;84;6;54;2
59;Noord-Holland;2009;149;55;57.0;55;10;81;8;7;93;50;17;34;22;9;68;84;80;4;50;7
60;Zuid-Holland;2001;151;58;56.0;32;17;76;7;7;93;53;24;24;26;33;41;85;72;13;48;10
61;Zuid-Holland;2003;147;59;59.0;40;20;74;5;12;88;59;17;24;31;32;38;72;63;9;37;5
62;Zuid-Holland;2005;131;59;61.0;44;22;73;5;11;89;47;22;31;19;27;54;83;76;7;39;7
63;Zuid-Holland;2007;119;60;59.0;47;14;83;3;3;97;36;24;40;16;18;66;88;83;5;54;5
64;Zuid-Holland;2009;124;57;57.0;47;10;86;4;3;97;39;23;38;15;16;69;92;86;7;56;4
65;Zeeland;2001;34;41;44.0;23;33;53;13;29;71;83;8;8;33;17;50;56;28;29;11;19
66;Zeeland;2003;34;38;45.0;18;27;68;6;35;65;86;14;0;46;14;41;66;44;22;31;9
67;Zeeland;2005;28;36;46.0;29;22;71;7;18;82;83;13;4;43;9;48;89;59;30;26;19
68;Zeeland;2007;28;43;54.0;29;18;68;14;11;89;76;8;16;20;12;68;93;71;21;54;4
69;Zeeland;2009;32;43;55.0;54;19;71;10;6;94;73;10;17;17;10;73;97;90;7;55;3
70;Noord-Brabant;2001;78;41;34.0;23;16;71;13;17;83;63;20;17;40;30;30;79;67;13;42;10
71;Noord-Brabant;2003;80;39;39.0;30;15;79;6;13;87;61;21;17;36;39;26;73;64;9;35;3
72;Noord-Brabant;2005;70;39;43.0;40;9;87;4;20;80;52;18;30;27;27;46;84;78;6;45;5
73;Noord-Brabant;2007;81;40;46.0;38;9;81;10;10;90;56;18;26;29;16;55;90;83;8;54;3
74;Noord-Brabant;2009;90;41;47.0;43;9;81;10;4;96;53;22;24;21;19;60;91;85;6;48;3
75;Limburg;2001;40;50;35.0;22;32;51;16;24;76;56;25;19;25;38;38;70;48;22;35;7
76;Limburg;2003;41;51;44.0;34;34;59;7;12;88;64;14;22;11;53;36;74;68;6;42;3
77;Limburg;2005;40;50;53.0;50;28;62;10;13;87;47;29;24;12;35;53;81;73;8;46;5
78;Limburg;2007;43;49;47.0;42;28;70;2;9;91;54;18;28;15;15;69;79;72;8;49;5
79;Limburg;2009;39;57;44.0;53;26;67;8;5;95;46;14;41;14;5;81;90;82;8;53;5
80;Musea met minder dan 2 500 bezoeken;2001;316;34;17.0;12;9;78;13;32;68;90;5;5;65;9;26;52;30;22;16;14
81;Musea met minder dan 2 500 bezoeken;2003;266;32;23.0;21;10;81;10;27;73;89;3;8;71;11;18;49;36;12;17;5
82;Musea met minder dan 2 500 bezoeken;2005;241;21;28.0;23;6;81;13;27;73;84;5;11;57;12;31;68;51;18;25;15
83;Musea met minder dan 2 500 bezoeken;2007;242;24;28.0;22;7;80;13;14;86;82;4;13;56;9;35;77;62;14;41;7
84;Musea met minder dan 2 500 bezoeken;2009;251;16;38.0;27;5;82;13;12;88;84;6;10;50;14;36;77;65;12;37;10
85;Musea met 2 500 - 10 000 bezoeken;2001;249;53;41.0;25;16;74;9;17;83;77;13;11;33;37;31;68;45;23;26;21
86;Musea met 2 500 - 10 000 bezoeken;2003;272;49;46.0;39;14;82;4;20;80;74;14;12;19;48;33;78;65;13;34;5
87;Musea met 2 500 - 10 000 bezoeken;2005;245;48;51.0;43;12;83;5;18;82;69;14;16;21;36;43;87;73;14;38;8
88;Musea met 2 500 - 10 000 bezoeken;2007;236;47;48.0;44;11;82;7;9;91;65;14;21;19;33;48;94;83;11;51;4
89;Musea met 2 500 - 10 000 bezoeken;2009;258;46;51.0;49;7;86;7;6;94;58;15;27;10;14;76;94;88;6;56;4
90;Musea met 10 000 - 25 000 bezoeken;2001;158;58;62.0;39;19;72;9;0;100;63;22;15;18;46;36;88;71;17;39;13
91;Musea met 10 000 - 25 000 bezoeken;2003;146;62;65.0;56;22;69;9;7;93;58;24;18;14;41;45;83;77;6;39;4
92;Musea met 10 000 - 25 000 bezoeken;2005;146;67;68.0;65;21;72;7;6;94;39;32;29;7;28;65;94;90;4;47;1
93;Musea met 10 000 - 25 000 bezoeken;2007;150;63;63.0;62;18;77;5;4;96;35;33;33;9;12;79;94;87;7;51;2
94;Musea met 10 000 - 25 000 bezoeken;2009;138;65;67.0;63;18;73;10;1;99;35;30;35;6;7;88;92;89;3;55;5
95;Musea met 25 000 - 50 000 bezoeken;2001;66;74;74.0;47;26;71;3;0;100;46;29;24;12;34;54;97;88;9;50;2
96;Musea met 25 000 - 50 000 bezoeken;2003;65;72;74.0;59;20;77;3;8;92;23;45;32;5;23;72;95;91;4;55;4
97;Musea met 25 000 - 50 000 bezoeken;2005;66;67;73.0;64;22;73;5;9;91;20;30;50;5;15;80;97;97;0;52;0
98;Musea met 25 000 - 50 000 bezoeken;2007;66;70;71.0;67;18;79;3;2;98;15;34;51;5;5;91;98;97;2;59;0
99;Musea met 25 000 - 50 000 bezoeken;2009;73;74;63.0;76;25;67;8;0;100;21;32;48;10;8;82;99;93;6;63;1
100;Musea met 50 000 - 100 000 bezoeken;2001;46;65;;70;33;59;9;0;100;22;46;32;5;38;57;97;97;0;63;0
101;Musea met 50 000 - 100 000 bezoeken;2003;39;69;;51;33;64;3;15;85;15;46;39;3;15;82;94;89;6;56;0
102;Musea met 50 000 - 100 000 bezoeken;2005;37;65;70.0;65;32;65;3;11;89;9;44;47;3;19;78;95;89;5;57;0
103;Musea met 50 000 - 100 000 bezoeken;2007;39;69;72.0;59;18;82;0;8;92;7;42;51;3;6;92;95;92;3;68;3
104;Musea met 50 000 - 100 000 bezoeken;2009;45;74;69.0;60;16;76;9;4;96;5;40;56;2;9;88;91;89;2;66;5
105;Musea met 100 000 bezoeken of meer;2001;38;63;;67;23;62;15;0;100;9;34;57;3;23;74;100;97;3;69;3
106;Musea met 100 000 bezoeken of meer;2003;40;65;;78;28;65;8;0;100;8;35;57;5;10;85;100;100;0;69;0
107;Musea met 100 000 bezoeken of meer;2005;40;65;70.0;85;23;72;5;0;100;8;32;60;5;8;87;100;100;0;70;0
108;Musea met 100 000 bezoeken of meer;2007;40;70;68.0;78;18;80;3;0;100;8;23;70;5;3;93;100;100;0;80;0
109;Musea met 100 000 bezoeken of meer;2009;45;74;71.0;69;11;82;7;0;100;4;27;69;0;0;100;100;100;0;76;2
