ID;BedrijfstakkenSBI93;Perioden;BanenWerkzamePersonen_1;ArbeidsvolumeWerkzamePersonen_2;Werknemers_3;ArbeidsvolumeWerknemers_4;TotaleBedrijfsopbrengsten_5;NettoOmzet_6;OverigeBedrijfsopbrengsten_7;TotaleBedrijfslasten_8;TotaleInkoopwaardeOmzet_9;TotalePersoneleKosten_10;BrutoLonenEnSalarissen_11;SocialeVerzekeringspremiesWerkgever_12;PremiesPensioenVUTInkoopsommen_13;OverigeSocialeLasten_14;OverigePersoneleKosten_15;TotaleOverigeBedrijfslasten_16;Energiekosten_17;Huisvestingskosten_18;KostenApparatuurEnInventaris_19;KostenVervoermiddelen_20;Verkoopkosten_21;Communicatiekosten_22;KostenVanDienstverleningDoorDerden_23;NietEerderGenoemdeBedrijfslasten_24;AfschrijvingenOpVasteActiva_25;Bedrijfsresultaat_26;SaldoFinancieleBatenEnLasten_27;SaldoVoorzieningen_28;SaldoBuitengewoneBatenEnLasten_29;ResultaatVoorBelastingen_30
10;5212 Warenhuizen en dergelijke ..;2007;37.5;21.2;36.2;20.2;3131.0;3117.0;14.0;2985.0;1756.0;618.0;471.0;60.0;32.0;1.0;55.0;501.0;38.0;253.0;19.0;13.0;73.0;5.0;53.0;47.0;110.0;146.0;-35.0;0.0;-1.0;110.0
11;5212 Warenhuizen en dergelijke ..;2008;39.0;21.8;36.3;20.3;3228.0;3220.0;8.0;3044.0;1766.0;645.0;487.0;65.0;31.0;0.0;62.0;526.0;39.0;264.0;20.0;15.0;78.0;5.0;49.0;55.0;107.0;183.0;-55.0;1.0;6.0;136.0
12;522 Winkels gespecialiseerd in ..;2006;56.3;37.4;41.0;22.9;4883.0;4825.0;58.0;4450.0;3209.0;580.0;453.0;73.0;23.0;9.0;23.0;558.0;52.0;194.0;36.0;39.0;101.0;16.0;32.0;90.0;103.0;432.0;-22.0;19.0;-15.0;414.0
13;522 Winkels gespecialiseerd in ..;2007;59.4;39.7;42.9;24.4;5082.0;5014.0;68.0;4618.0;3365.0;582.0;459.0;70.0;22.0;8.0;23.0;567.0;52.0;204.0;35.0;37.0;94.0;15.0;33.0;96.0;105.0;464.0;-16.0;-4.0;4.0;447.0
14;522 Winkels gespecialiseerd in ..;2008;61.3;40.5;44.4;24.6;5286.0;5234.0;52.0;4794.0;3510.0;588.0;457.0;72.0;24.0;7.0;28.0;594.0;55.0;201.0;34.0;39.0;100.0;16.0;36.0;114.0;101.0;492.0;-16.0;5.0;-5.0;477.0
15;523 Winkels in farmaceutische en ..;2006;58.3;36.3;55.7;34.3;8663.0;8595.0;68.0;8076.0;5714.0;1297.0;963.0;128.0;86.0;11.0;109.0;799.0;38.0;300.0;19.0;28.0;101.0;26.0;90.0;197.0;267.0;587.0;-58.0;-2.0;16.0;543.0
16;523 Winkels in farmaceutische en ..;2007;60.8;37.6;57.6;35.1;8955.0;8888.0;67.0;8351.0;5928.0;1359.0;1018.0;137.0;89.0;10.0;105.0;816.0;37.0;314.0;20.0;28.0;96.0;27.0;102.0;191.0;247.0;604.0;-41.0;-4.0;-3.0;557.0
17;523 Winkels in farmaceutische en ..;2008;61.2;37.9;57.9;35.4;9253.0;9199.0;54.0;8786.0;6249.0;1412.0;1057.0;146.0;88.0;13.0;108.0;860.0;41.0;324.0;18.0;27.0;100.0;21.0;108.0;220.0;264.0;467.0;-39.0;-1.0;-11.0;415.0
18;5231 Apotheken;2006;25.7;17.2;24.8;16.6;4948.0;4914.0;34.0;4563.0;3390.0;703.0;519.0;67.0;54.0;7.0;57.0;297.0;12.0;72.0;13.0;11.0;17.0;10.0;56.0;107.0;172.0;385.0;-42.0;-1.0;16.0;358.0
19;5231 Apotheken;2007;26.6;17.6;25.5;16.7;5149.0;5103.0;46.0;4788.0;3556.0;751.0;554.0;73.0;59.0;6.0;59.0;327.0;13.0;82.0;14.0;13.0;22.0;14.0;62.0;107.0;154.0;361.0;-46.0;-3.0;-6.0;307.0
20;5231 Apotheken;2008;27.2;17.8;26.1;17.1;5247.0;5211.0;35.0;5078.0;3770.0;781.0;576.0;78.0;58.0;9.0;60.0;350.0;13.0;80.0;12.0;13.0;26.0;10.0;69.0;127.0;177.0;168.0;-62.0;-2.0;-11.0;93.0
21;5232 Winkels in drogisterij- en ..;2006;27.8;16.1;26.3;14.9;3221.0;3205.0;16.0;3049.0;2035.0;;;;;;;424.0;22.0;190.0;6.0;15.0;77.0;14.0;29.0;69.0;79.0;173.0;-17.0;-1.0;1.0;155.0
22;5232 Winkels in drogisterij- en ..;2007;29.4;17.0;27.5;15.5;3293.0;3277.0;16.0;3090.0;2078.0;521.0;399.0;55.0;26.0;3.0;38.0;412.0;21.0;192.0;6.0;13.0;67.0;11.0;30.0;71.0;79.0;203.0;4.0;-1.0;2.0;208.0
23;5232 Winkels in drogisterij- en ..;2008;29.1;16.9;27.0;15.3;3470.0;3453.0;16.0;3215.0;2179.0;534.0;408.0;58.0;25.0;4.0;39.0;430.0;24.0;200.0;5.0;13.0;69.0;10.0;29.0;80.0;73.0;255.0;22.0;1.0;0.0;277.0
24;5233 Winkels in parfums en cosmetica;2006;4.7;2.9;4.5;2.8;494.0;476.0;17.0;464.0;288.0;83.0;64.0;8.0;4.0;0.0;7.0;78.0;4.0;38.0;1.0;1.0;7.0;2.0;5.0;20.0;16.0;29.0;0.0;0.0;0.0;30.0
25;5233 Winkels in parfums en cosmetica;2007;4.8;3.0;4.5;2.8;513.0;508.0;5.0;473.0;294.0;88.0;66.0;10.0;4.0;0.0;8.0;77.0;4.0;40.0;1.0;1.0;6.0;2.0;10.0;13.0;14.0;40.0;1.0;0.0;1.0;42.0
26;5233 Winkels in parfums en cosmetica;2008;5.0;3.2;4.8;3.0;536.0;534.0;2.0;492.0;300.0;97.0;73.0;10.0;5.0;0.0;9.0;80.0;4.0;44.0;1.0;1.0;5.0;2.0;10.0;13.0;14.0;44.0;1.0;0.0;0.0;44.0
27;524 Winkels gespecialiseerd in ..;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;524 Winkels gespecialiseerd in ..;2007;358.2;246.5;297.7;194.1;40646.0;40301.0;345.0;37462.0;24520.0;5880.0;4497.0;616.0;291.0;49.0;427.0;6155.0;361.0;2737.0;149.0;281.0;1187.0;152.0;442.0;846.0;906.0;3184.0;-140.0;-10.0;237.0;3271.0
29;524 Winkels gespecialiseerd in ..;2008;359.1;246.6;297.4;192.7;41473.0;41129.0;344.0;38601.0;24966.0;6102.0;4674.0;656.0;291.0;47.0;435.0;6580.0;384.0;2848.0;167.0;310.0;1310.0;160.0;468.0;933.0;953.0;2872.0;-189.0;-5.0;301.0;2980.0
30;5241 Winkels in kledingstoffen, ..;2006;2.0;1.4;1.2;0.8;113.0;113.0;0.0;107.0;60.0;21.0;16.0;2.0;1.0;0.0;1.0;24.0;2.0;11.0;0.0;1.0;4.0;1.0;1.0;3.0;3.0;6.0;0.0;0.0;-1.0;4.0
31;5241 Winkels in kledingstoffen, ..;2007;1.8;1.2;0.9;0.5;104.0;104.0;1.0;90.0;57.0;13.0;10.0;1.0;0.0;0.0;1.0;18.0;2.0;8.0;0.0;1.0;3.0;1.0;1.0;2.0;2.0;14.0;0.0;0.0;0.0;14.0
32;5241 Winkels in kledingstoffen, ..;2008;1.8;1.2;1.0;0.5;108.0;107.0;1.0;95.0;54.0;16.0;12.0;2.0;1.0;0.0;1.0;23.0;2.0;10.0;1.0;1.0;3.0;1.0;1.0;4.0;2.0;12.0;-1.0;0.0;0.0;11.0
33;5242 Winkels in kleding en ..;2006;87.6;57.3;76.5;46.5;7971.0;7926.0;45.0;7223.0;4164.0;1325.0;1023.0;145.0;61.0;15.0;81.0;1475.0;78.0;778.0;28.0;49.0;225.0;29.0;74.0;214.0;259.0;747.0;-1.0;-2.0;24.0;768.0
34;5242 Winkels in kleding en ..;2007;95.6;62.1;83.1;50.3;8442.0;8394.0;48.0;7730.0;4434.0;1412.0;1087.0;150.0;63.0;16.0;96.0;1632.0;86.0;853.0;32.0;56.0;249.0;31.0;84.0;240.0;252.0;711.0;-24.0;-2.0;157.0;842.0
35;5242 Winkels in kleding en ..;2008;98.3;63.4;85.4;51.0;8841.0;8796.0;46.0;8320.0;4788.0;1483.0;1144.0;162.0;69.0;15.0;94.0;1759.0;93.0;916.0;38.0;66.0;270.0;32.0;90.0;252.0;290.0;522.0;-5.0;-5.0;257.0;769.0
36;5243 Winkels in schoeisel, ..;2006;23.1;13.3;20.4;11.1;1852.0;1848.0;4.0;1675.0;1010.0;301.0;234.0;34.0;13.0;2.0;18.0;315.0;20.0;171.0;7.0;9.0;53.0;7.0;18.0;31.0;49.0;178.0;-12.0;-3.0;1.0;164.0
37;5243 Winkels in schoeisel, ..;2007;26.0;15.1;23.6;13.0;2044.0;2040.0;4.0;1841.0;1078.0;329.0;264.0;35.0;13.0;1.0;16.0;372.0;25.0;191.0;6.0;11.0;65.0;8.0;21.0;45.0;63.0;203.0;-11.0;0.0;11.0;203.0
38;5243 Winkels in schoeisel, ..;2008;25.5;14.7;23.0;12.7;2019.0;2015.0;4.0;1900.0;1097.0;333.0;264.0;36.0;13.0;1.0;19.0;400.0;26.0;214.0;5.0;12.0;55.0;8.0;25.0;55.0;71.0;119.0;-19.0;2.0;11.0;112.0
39;5244 Winkels in meubels, ..;2006;48.9;34.5;42.6;29.1;6388.0;6289.0;100.0;5946.0;3775.0;997.0;759.0;96.0;59.0;21.0;62.0;1022.0;60.0;470.0;24.0;47.0;234.0;19.0;76.0;92.0;151.0;443.0;-30.0;0.0;18.0;430.0
40;5244 Winkels in meubels, ..;2007;51.0;36.2;44.1;30.2;6716.0;6600.0;116.0;6232.0;3963.0;1042.0;773.0;108.0;65.0;7.0;90.0;1096.0;65.0;519.0;30.0;53.0;231.0;20.0;72.0;107.0;131.0;484.0;4.0;-10.0;15.0;493.0
41;5244 Winkels in meubels, ..;2008;50.8;35.6;43.7;29.5;6807.0;6704.0;103.0;6372.0;4014.0;1071.0;807.0;111.0;61.0;7.0;85.0;1168.0;66.0;530.0;38.0;55.0;274.0;22.0;81.0;101.0;118.0;435.0;-26.0;0.0;-5.0;404.0
42;5245 DH witgoed, bruingoed ..;2006;23.2;18.0;20.5;15.5;4635.0;4580.0;55.0;4465.0;3369.0;535.0;413.0;56.0;25.0;3.0;38.0;479.0;27.0;192.0;8.0;28.0;113.0;16.0;45.0;50.0;83.0;170.0;-13.0;1.0;1.0;159.0
43;5245 DH witgoed, bruingoed ..;2007;25.4;19.3;22.1;16.7;5040.0;4963.0;77.0;4830.0;3670.0;583.0;445.0;60.0;28.0;3.0;46.0;504.0;29.0;203.0;9.0;27.0;108.0;18.0;47.0;62.0;73.0;211.0;-12.0;3.0;3.0;205.0
44;5245 DH witgoed, bruingoed ..;2008;25.2;19.2;21.9;16.5;4950.0;4895.0;55.0;4767.0;3594.0;576.0;440.0;63.0;27.0;2.0;45.0;527.0;31.0;197.0;10.0;27.0;114.0;16.0;55.0;77.0;70.0;182.0;-4.0;4.0;-1.0;182.0
45;5246 Winkels in ijzerwaren, ..;2006;39.9;28.6;34.6;24.5;5931.0;5900.0;32.0;5429.0;3691.0;822.0;623.0;86.0;40.0;8.0;65.0;782.0;46.0;275.0;19.0;43.0;190.0;19.0;66.0;123.0;133.0;503.0;-16.0;0.0;12.0;499.0
46;5246 Winkels in ijzerwaren, ..;2007;43.1;30.7;37.3;26.1;6312.0;6287.0;25.0;5776.0;3947.0;871.0;646.0;88.0;42.0;7.0;88.0;838.0;48.0;299.0;22.0;45.0;202.0;20.0;71.0;130.0;122.0;536.0;-23.0;-1.0;20.0;532.0
47;5246 Winkels in ijzerwaren, ..;2008;42.9;31.1;36.8;26.2;6322.0;6274.0;48.0;5862.0;3892.0;921.0;685.0;97.0;46.0;6.0;86.0;910.0;54.0;316.0;25.0;53.0;216.0;24.0;70.0;153.0;139.0;460.0;-33.0;-2.0;6.0;431.0
48;5247 Winkels in boeken, ..;2006;14.1;9.2;11.2;6.9;1617.0;1598.0;19.0;1496.0;1069.0;201.0;155.0;21.0;9.0;2.0;14.0;201.0;9.0;91.0;4.0;7.0;28.0;9.0;15.0;38.0;26.0;121.0;-6.0;-2.0;-1.0;111.0
49;5247 Winkels in boeken, ..;2007;14.3;9.2;11.0;6.8;1639.0;1628.0;11.0;1526.0;1131.0;184.0;143.0;19.0;7.0;2.0;13.0;190.0;9.0;91.0;6.0;7.0;26.0;8.0;18.0;26.0;22.0;112.0;-5.0;-1.0;3.0;109.0
50;5247 Winkels in boeken, ..;2008;13.7;8.8;10.5;6.4;1619.0;1606.0;13.0;1521.0;1114.0;192.0;146.0;20.0;9.0;2.0;16.0;191.0;9.0;97.0;4.0;7.0;23.0;8.0;18.0;24.0;24.0;98.0;-12.0;0.0;11.0;97.0
51;5248 Overige winkels (1);2006;38.7;28.7;29.6;21.0;4645.0;4618.0;27.0;4159.0;2657.0;647.0;507.0;69.0;33.0;6.0;32.0;743.0;44.0;255.0;25.0;36.0;143.0;31.0;61.0;149.0;112.0;486.0;-30.0;-3.0;28.0;482.0
52;5248 Overige winkels (1);2007;43.8;32.3;32.6;22.9;5018.0;5000.0;18.0;4499.0;2908.0;711.0;555.0;73.0;40.0;5.0;37.0;757.0;48.0;266.0;21.0;34.0;170.0;27.0;68.0;124.0;123.0;519.0;-48.0;0.0;28.0;499.0
53;5248 Overige winkels (1);2008;41.3;31.1;30.7;21.9;5302.0;5278.0;24.0;4691.0;3032.0;726.0;567.0;77.0;34.0;5.0;42.0;809.0;46.0;265.0;21.0;36.0;200.0;26.0;64.0;152.0;123.0;611.0;-55.0;-1.0;13.0;568.0
54;5249 Overige winkels (2);2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;5249 Overige winkels (2);2007;57.3;40.5;43.0;27.7;5330.0;5286.0;44.0;4936.0;3333.0;736.0;574.0;82.0;31.0;8.0;41.0;750.0;50.0;308.0;23.0;47.0;134.0;20.0;59.0;109.0;117.0;394.0;-22.0;0.0;1.0;372.0
56;5249 Overige winkels (2);2008;59.6;41.7;44.3;28.1;5505.0;5454.0;51.0;5072.0;3381.0;784.0;609.0;88.0;32.0;8.0;46.0;793.0;58.0;303.0;25.0;54.0;154.0;23.0;63.0;115.0;115.0;433.0;-33.0;-3.0;8.0;405.0
57;525 Winkels in tweedehands goederen ..;2006;8.0;5.9;4.1;2.6;399.0;390.0;9.0;350.0;172.0;78.0;56.0;8.0;3.0;1.0;10.0;91.0;8.0;31.0;3.0;9.0;15.0;4.0;8.0;13.0;9.0;49.0;1.0;0.0;5.0;54.0
58;525 Winkels in tweedehands goederen ..;2007;7.5;5.5;3.7;2.6;435.0;425.0;10.0;395.0;217.0;74.0;56.0;7.0;5.0;1.0;6.0;95.0;6.0;35.0;3.0;9.0;15.0;4.0;8.0;14.0;9.0;40.0;-4.0;0.0;2.0;39.0
59;525 Winkels in tweedehands goederen ..;2008;7.9;6.0;4.2;2.9;434.0;415.0;19.0;389.0;191.0;85.0;59.0;11.0;4.0;1.0;11.0;100.0;8.0;37.0;4.0;9.0;15.0;4.0;8.0;16.0;13.0;45.0;-5.0;0.0;-1.0;39.0
60;526 Detailhandel niet in winkel;2006;42.4;33.5;16.8;10.1;3727.0;3658.0;69.0;3342.0;2218.0;330.0;242.0;31.0;13.0;3.0;41.0;703.0;19.0;80.0;21.0;64.0;317.0;49.0;63.0;89.0;91.0;385.0;-5.0;2.0;-26.0;355.0
61;526 Detailhandel niet in winkel;2007;45.2;35.8;16.5;10.4;4079.0;3971.0;108.0;3710.0;2582.0;327.0;230.0;30.0;13.0;2.0;52.0;721.0;19.0;80.0;23.0;62.0;286.0;46.0;90.0;115.0;79.0;369.0;-9.0;-1.0;-4.0;355.0
62;526 Detailhandel niet in winkel;2008;45.8;34.9;15.6;9.9;4290.0;4205.0;86.0;3878.0;2787.0;321.0;232.0;30.0;14.0;3.0;42.0;696.0;18.0;87.0;22.0;63.0;281.0;45.0;81.0;100.0;73.0;413.0;-3.0;-1.0;-11.0;397.0
63;5261 Postorderbedrijven;2006;9.5;7.3;6.3;4.4;1771.0;1722.0;50.0;1645.0;928.0;213.0;153.0;18.0;9.0;2.0;31.0;464.0;5.0;28.0;10.0;12.0;270.0;41.0;49.0;49.0;40.0;126.0;4.0;3.0;-30.0;103.0
64;5261 Postorderbedrijven;2007;10.4;7.9;5.4;4.2;2106.0;2032.0;74.0;2010.0;1288.0;210.0;141.0;17.0;8.0;1.0;43.0;474.0;5.0;27.0;12.0;8.0;234.0;38.0;78.0;72.0;38.0;95.0;14.0;-1.0;-5.0;103.0
65;5261 Postorderbedrijven;2008;12.3;8.2;5.1;4.1;2387.0;2324.0;63.0;2269.0;1561.0;212.0;150.0;18.0;11.0;2.0;32.0;460.0;5.0;36.0;11.0;12.0;231.0;36.0;69.0;60.0;36.0;117.0;11.0;-1.0;-6.0;121.0
66;5262 Markthandel;2006;20.9;16.1;7.1;3.6;1084.0;1080.0;5.0;928.0;707.0;56.0;43.0;7.0;2.0;1.0;3.0;131.0;7.0;32.0;6.0;27.0;30.0;4.0;8.0;17.0;33.0;157.0;-5.0;0.0;0.0;152.0
67;5262 Markthandel;2007;22.6;17.5;7.6;3.9;1042.0;1030.0;12.0;882.0;670.0;55.0;43.0;7.0;1.0;1.0;3.0;130.0;7.0;29.0;6.0;27.0;30.0;4.0;8.0;18.0;27.0;160.0;-16.0;0.0;-1.0;143.0
68;5262 Markthandel;2008;22.3;17.2;7.4;3.8;1031.0;1024.0;7.0;851.0;636.0;55.0;43.0;7.0;1.0;1.0;3.0;135.0;7.0;32.0;6.0;28.0;31.0;4.0;8.0;18.0;25.0;180.0;-10.0;0.0;-4.0;166.0
69;5263 Straathandel, colportage ..;2006;11.9;10.1;3.4;2.2;871.0;856.0;14.0;769.0;583.0;61.0;45.0;7.0;2.0;0.0;7.0;108.0;7.0;20.0;5.0;26.0;17.0;4.0;6.0;24.0;17.0;102.0;-4.0;-1.0;4.0;101.0
70;5263 Straathandel, colportage ..;2007;12.2;10.3;3.6;2.2;931.0;910.0;22.0;817.0;623.0;63.0;46.0;6.0;3.0;0.0;7.0;117.0;6.0;24.0;5.0;27.0;21.0;4.0;4.0;25.0;14.0;114.0;-8.0;0.0;2.0;109.0
71;5263 Straathandel, colportage ..;2008;11.2;9.5;3.0;1.9;873.0;856.0;16.0;757.0;590.0;54.0;39.0;5.0;1.0;0.0;8.0;101.0;6.0;19.0;4.0;22.0;18.0;4.0;4.0;23.0;13.0;116.0;-5.0;-1.0;0.0;110.0
72;527 Reparatie van ..;2006;6.7;5.6;3.3;2.5;512.0;503.0;9.0;404.0;258.0;70.0;55.0;7.0;3.0;1.0;4.0;61.0;4.0;19.0;4.0;9.0;5.0;2.0;4.0;14.0;14.0;108.0;-5.0;0.0;1.0;104.0
73;527 Reparatie van ..;2007;7.5;6.3;3.8;2.9;554.0;547.0;7.0;444.0;287.0;78.0;61.0;8.0;4.0;1.0;4.0;67.0;5.0;20.0;4.0;9.0;5.0;2.0;5.0;17.0;11.0;111.0;-4.0;0.0;0.0;106.0
74;527 Reparatie van ..;2008;7.5;6.3;3.7;2.8;603.0;592.0;11.0;474.0;294.0;87.0;69.0;8.0;4.0;1.0;5.0;79.0;6.0;24.0;5.0;12.0;6.0;3.0;6.0;18.0;14.0;129.0;-4.0;0.0;1.0;126.0
75;5211a Winkels in voedings- en ..;2006;297.8;146.9;268.6;121.7;30403.0;30125.0;278.0;29133.0;22269.0;3504.0;2626.0;382.0;185.0;25.0;287.0;2767.0;233.0;934.0;133.0;151.0;468.0;60.0;223.0;565.0;592.0;1270.0;-49.0;9.0;-30.0;1219.0
76;5211a Winkels in voedings- en ..;2007;312.2;149.6;280.5;122.5;32037.0;31722.0;315.0;30920.0;23702.0;3609.0;2699.0;381.0;183.0;21.0;325.0;2991.0;252.0;1048.0;139.0;134.0;506.0;61.0;266.0;585.0;618.0;1117.0;-77.0;6.0;38.0;1084.0
77;5211a Winkels in voedings- en ..;2008;318.8;155.5;287.2;128.2;34651.0;34324.0;327.0;33202.0;25525.0;3860.0;2868.0;425.0;187.0;20.0;360.0;3150.0;265.0;1063.0;151.0;158.0;553.0;60.0;255.0;644.0;667.0;1450.0;-53.0;-2.0;12.0;1407.0
78;5212b Winkels in non-food artikelen;2006;434.5;292.2;372.4;238.6;50127.0;49706.0;421.0;46399.0;30475.0;7505.0;5732.0;791.0;385.0;85.0;512.0;7086.0;414.0;3070.0;181.0;318.0;1307.0;185.0;568.0;1042.0;1333.0;3728.0;-186.0;-6.0;108.0;3645.0
79;5212b Winkels in non-food artikelen;2007;464.0;310.9;395.2;252.1;53167.0;52730.0;436.0;49192.0;32422.0;7932.0;6042.0;821.0;416.0;60.0;593.0;7567.0;443.0;3340.0;191.0;331.0;1371.0;188.0;605.0;1098.0;1272.0;3974.0;-219.0;-14.0;235.0;3976.0
80;5212b Winkels in non-food artikelen;2008;467.3;312.4;395.8;251.3;54387.0;53963.0;424.0;50820.0;33173.0;8245.0;6278.0;877.0;413.0;61.0;615.0;8066.0;473.0;3473.0;209.0;361.0;1503.0;190.0;633.0;1224.0;1337.0;3567.0;-287.0;-6.0;294.0;3569.0
81;5260a Detailhandel niet in winkel en ..;2006;49.1;39.1;20.1;12.6;4238.0;4161.0;78.0;3745.0;2476.0;400.0;297.0;38.0;16.0;4.0;45.0;764.0;23.0;99.0;25.0;73.0;323.0;52.0;67.0;103.0;105.0;493.0;-10.0;2.0;-26.0;459.0
82;5260a Detailhandel niet in winkel en ..;2007;52.7;42.1;20.3;13.3;4633.0;4519.0;115.0;4153.0;2869.0;406.0;292.0;38.0;17.0;3.0;57.0;789.0;24.0;100.0;27.0;72.0;291.0;49.0;95.0;131.0;90.0;480.0;-13.0;-1.0;-4.0;461.0
83;5260a Detailhandel niet in winkel en ..;2008;53.3;41.2;19.3;12.6;4893.0;4797.0;97.0;4352.0;3080.0;408.0;301.0;38.0;18.0;4.0;47.0;775.0;24.0;111.0;26.0;75.0;287.0;48.0;87.0;118.0;88.0;542.0;-8.0;-1.0;-10.0;523.0
