ID;SBI93;Perioden;IndexcijfersOmzet_1;Omzetontwikkeling_2;CumulatieveOmzetontwikkeling_3
70;601 Vervoer per spoor;2005 1e kwartaal;111;5.7;5.7
71;601 Vervoer per spoor;2005 2e kwartaal;118;0.6;3.0
72;601 Vervoer per spoor;2005 3e kwartaal;111;5.4;3.8
73;601 Vervoer per spoor;2005 4e kwartaal;128;6.8;4.6
74;601 Vervoer per spoor;2005;117;4.6;4.6
75;601 Vervoer per spoor;2006 1e kwartaal;125;12.5;12.5
76;601 Vervoer per spoor;2006 2e kwartaal;130;9.9;11.2
77;601 Vervoer per spoor;2006 3e kwartaal;123;10.5;10.9
78;601 Vervoer per spoor;2006 4e kwartaal;135;5.3;9.4
79;601 Vervoer per spoor;2006;128;9.4;9.4
80;601 Vervoer per spoor;2007 1e kwartaal;129;2.9;2.9
81;601 Vervoer per spoor;2007 2e kwartaal;134;2.6;2.7
82;601 Vervoer per spoor;2007 3e kwartaal;126;2.7;2.7
83;601 Vervoer per spoor;2007 4e kwartaal;143;6.5;3.7
84;601 Vervoer per spoor;2007;133;3.7;3.7
85;601 Vervoer per spoor;2008 1e kwartaal;137;6.7;6.7
86;601 Vervoer per spoor;2008 2e kwartaal;145;9.0;7.9
87;601 Vervoer per spoor;2008 3e kwartaal;137;8.0;7.9
88;601 Vervoer per spoor;2008 4e kwartaal;150;4.9;7.1
89;601 Vervoer per spoor;2008;142;7.1;7.1
90;602 Vervoer over de weg;2003 1e kwartaal;94;;
91;602 Vervoer over de weg;2003 2e kwartaal;102;;
92;602 Vervoer over de weg;2003 3e kwartaal;98;;
93;602 Vervoer over de weg;2003 4e kwartaal;106;;
94;602 Vervoer over de weg;2003;100;;
95;602 Vervoer over de weg;2004 1e kwartaal;98;4.0;4.0
96;602 Vervoer over de weg;2004 2e kwartaal;108;5.5;4.8
97;602 Vervoer over de weg;2004 3e kwartaal;104;5.6;5.1
98;602 Vervoer over de weg;2004 4e kwartaal;116;9.6;6.3
99;602 Vervoer over de weg;2004;106;6.3;6.3
100;602 Vervoer over de weg;2005 1e kwartaal;101;3.8;3.8
101;602 Vervoer over de weg;2005 2e kwartaal;113;5.3;4.6
102;602 Vervoer over de weg;2005 3e kwartaal;110;6.3;5.2
103;602 Vervoer over de weg;2005 4e kwartaal;121;4.8;5.1
104;602 Vervoer over de weg;2005;112;5.1;5.1
105;602 Vervoer over de weg;2006 1e kwartaal;112;10.3;10.3
106;602 Vervoer over de weg;2006 2e kwartaal;125;10.6;10.4
107;602 Vervoer over de weg;2006 3e kwartaal;121;9.7;10.2
108;602 Vervoer over de weg;2006 4e kwartaal;131;8.0;9.6
109;602 Vervoer over de weg;2006;122;9.6;9.6
110;602 Vervoer over de weg;2007 1e kwartaal;123;10.0;10.0
111;602 Vervoer over de weg;2007 2e kwartaal;136;8.2;9.1
112;602 Vervoer over de weg;2007 3e kwartaal;131;8.2;8.8
113;602 Vervoer over de weg;2007 4e kwartaal;138;5.4;7.9
114;602 Vervoer over de weg;2007;132;7.9;7.9
115;602 Vervoer over de weg;2008 1e kwartaal;131;6.2;6.2
116;602 Vervoer over de weg;2008 2e kwartaal;143;5.2;5.7
117;602 Vervoer over de weg;2008 3e kwartaal;138;5.1;5.5
118;602 Vervoer over de weg;2008 4e kwartaal;140;1.0;4.3
119;602 Vervoer over de weg;2008;138;4.3;4.3
120;6021 Geregeld personenvervoer over ..;2003 1e kwartaal;97;;
121;6021 Geregeld personenvervoer over ..;2003 2e kwartaal;102;;
122;6021 Geregeld personenvervoer over ..;2003 3e kwartaal;96;;
123;6021 Geregeld personenvervoer over ..;2003 4e kwartaal;104;;
124;6021 Geregeld personenvervoer over ..;2003;100;;
125;6021 Geregeld personenvervoer over ..;2004 1e kwartaal;99;1.7;1.7
126;6021 Geregeld personenvervoer over ..;2004 2e kwartaal;107;4.3;3.0
127;6021 Geregeld personenvervoer over ..;2004 3e kwartaal;101;5.6;3.9
128;6021 Geregeld personenvervoer over ..;2004 4e kwartaal;111;6.5;4.5
129;6021 Geregeld personenvervoer over ..;2004;105;4.5;4.5
130;6021 Geregeld personenvervoer over ..;2005 1e kwartaal;104;4.6;4.6
131;6021 Geregeld personenvervoer over ..;2005 2e kwartaal;106;-0.8;1.8
132;6021 Geregeld personenvervoer over ..;2005 3e kwartaal;102;0.5;1.4
133;6021 Geregeld personenvervoer over ..;2005 4e kwartaal;108;-2.5;0.4
134;6021 Geregeld personenvervoer over ..;2005;105;0.4;0.4
135;6021 Geregeld personenvervoer over ..;2006 1e kwartaal;97;-6.3;-6.3
136;6021 Geregeld personenvervoer over ..;2006 2e kwartaal;102;-3.2;-4.7
137;6021 Geregeld personenvervoer over ..;2006 3e kwartaal;99;-2.5;-4.0
138;6021 Geregeld personenvervoer over ..;2006 4e kwartaal;87;-19.2;-7.9
139;6021 Geregeld personenvervoer over ..;2006;97;-7.9;-7.9
140;6021 Geregeld personenvervoer over ..;2007 1e kwartaal;102;5.4;5.4
141;6021 Geregeld personenvervoer over ..;2007 2e kwartaal;104;1.7;3.5
142;6021 Geregeld personenvervoer over ..;2007 3e kwartaal;103;3.6;3.5
143;6021 Geregeld personenvervoer over ..;2007 4e kwartaal;112;27.9;9.0
144;6021 Geregeld personenvervoer over ..;2007;105;9.0;9.0
145;6021 Geregeld personenvervoer over ..;2008 1e kwartaal;116;13.3;13.3
146;6021 Geregeld personenvervoer over ..;2008 2e kwartaal;106;1.8;7.5
147;6021 Geregeld personenvervoer over ..;2008 3e kwartaal;115;11.5;8.9
148;6021 Geregeld personenvervoer over ..;2008 4e kwartaal;120;7.8;8.6
149;6021 Geregeld personenvervoer over ..;2008;114;8.6;8.6
150;6022 Taxibedrijven;2003 1e kwartaal;100;;
151;6022 Taxibedrijven;2003 2e kwartaal;101;;
152;6022 Taxibedrijven;2003 3e kwartaal;92;;
153;6022 Taxibedrijven;2003 4e kwartaal;107;;
154;6022 Taxibedrijven;2003;100;;
155;6022 Taxibedrijven;2004 1e kwartaal;96;-3.1;-3.1
156;6022 Taxibedrijven;2004 2e kwartaal;101;-0.1;-1.5
157;6022 Taxibedrijven;2004 3e kwartaal;95;4.0;0.2
158;6022 Taxibedrijven;2004 4e kwartaal;108;0.7;0.3
159;6022 Taxibedrijven;2004;100;0.3;0.3
160;6022 Taxibedrijven;2005 1e kwartaal;97;0.3;0.3
161;6022 Taxibedrijven;2005 2e kwartaal;107;5.7;3.0
162;6022 Taxibedrijven;2005 3e kwartaal;96;1.0;2.4
163;6022 Taxibedrijven;2005 4e kwartaal;109;0.4;1.9
164;6022 Taxibedrijven;2005;102;1.9;1.9
165;6022 Taxibedrijven;2006 1e kwartaal;103;6.4;6.4
166;6022 Taxibedrijven;2006 2e kwartaal;113;5.4;5.9
167;6022 Taxibedrijven;2006 3e kwartaal;105;8.9;6.8
168;6022 Taxibedrijven;2006 4e kwartaal;121;11.4;8.1
169;6022 Taxibedrijven;2006;110;8.1;8.1
170;6022 Taxibedrijven;2007 1e kwartaal;112;9.0;9.0
171;6022 Taxibedrijven;2007 2e kwartaal;120;6.6;7.7
172;6022 Taxibedrijven;2007 3e kwartaal;113;7.5;7.6
173;6022 Taxibedrijven;2007 4e kwartaal;129;6.7;7.4
174;6022 Taxibedrijven;2007;119;7.4;7.4
175;6022 Taxibedrijven;2008 1e kwartaal;119;6.2;6.2
176;6022 Taxibedrijven;2008 2e kwartaal;131;9.2;7.7
177;6022 Taxibedrijven;2008 3e kwartaal;121;7.3;7.6
178;6022 Taxibedrijven;2008 4e kwartaal;133;3.2;6.4
179;6022 Taxibedrijven;2008;126;6.4;6.4
180;6023 Ongeregeld personenvervoer per ..;2003 1e kwartaal;74;;
181;6023 Ongeregeld personenvervoer per ..;2003 2e kwartaal;114;;
182;6023 Ongeregeld personenvervoer per ..;2003 3e kwartaal;115;;
183;6023 Ongeregeld personenvervoer per ..;2003 4e kwartaal;97;;
184;6023 Ongeregeld personenvervoer per ..;2003;100;;
185;6023 Ongeregeld personenvervoer per ..;2004 1e kwartaal;79;6.7;6.7
186;6023 Ongeregeld personenvervoer per ..;2004 2e kwartaal;106;-6.7;-1.4
187;6023 Ongeregeld personenvervoer per ..;2004 3e kwartaal;102;-11.4;-5.2
188;6023 Ongeregeld personenvervoer per ..;2004 4e kwartaal;85;-12.3;-6.9
189;6023 Ongeregeld personenvervoer per ..;2004;93;-6.9;-6.9
190;6023 Ongeregeld personenvervoer per ..;2005 1e kwartaal;73;-8.2;-8.2
191;6023 Ongeregeld personenvervoer per ..;2005 2e kwartaal;115;8.8;1.5
192;6023 Ongeregeld personenvervoer per ..;2005 3e kwartaal;99;-3.2;-0.2
193;6023 Ongeregeld personenvervoer per ..;2005 4e kwartaal;83;-2.9;-0.8
194;6023 Ongeregeld personenvervoer per ..;2005;92;-0.8;-0.8
195;6023 Ongeregeld personenvervoer per ..;2006 1e kwartaal;67;-8.2;-8.2
196;6023 Ongeregeld personenvervoer per ..;2006 2e kwartaal;110;-4.8;-6.1
197;6023 Ongeregeld personenvervoer per ..;2006 3e kwartaal;97;-1.7;-4.6
198;6023 Ongeregeld personenvervoer per ..;2006 4e kwartaal;84;1.3;-3.3
199;6023 Ongeregeld personenvervoer per ..;2006;89;-3.3;-3.3
200;6023 Ongeregeld personenvervoer per ..;2007 1e kwartaal;72;7.4;7.4
201;6023 Ongeregeld personenvervoer per ..;2007 2e kwartaal;128;17.1;13.5
202;6023 Ongeregeld personenvervoer per ..;2007 3e kwartaal;116;19.6;15.7
203;6023 Ongeregeld personenvervoer per ..;2007 4e kwartaal;98;17.7;16.1
204;6023 Ongeregeld personenvervoer per ..;2007;104;16.1;16.1
205;6023 Ongeregeld personenvervoer per ..;2008 1e kwartaal;78;8.2;8.2
206;6023 Ongeregeld personenvervoer per ..;2008 2e kwartaal;134;4.5;5.9
207;6023 Ongeregeld personenvervoer per ..;2008 3e kwartaal;113;-3.1;2.6
208;6023 Ongeregeld personenvervoer per ..;2008 4e kwartaal;102;3.2;2.7
209;6023 Ongeregeld personenvervoer per ..;2008;107;2.7;2.7
210;6024 Goederenvervoer over de weg;2003 1e kwartaal;94;;
211;6024 Goederenvervoer over de weg;2003 2e kwartaal;102;;
212;6024 Goederenvervoer over de weg;2003 3e kwartaal;99;;
213;6024 Goederenvervoer over de weg;2003 4e kwartaal;106;;
214;6024 Goederenvervoer over de weg;2003;100;;
215;6024 Goederenvervoer over de weg;2004 1e kwartaal;98;4.9;4.9
216;6024 Goederenvervoer over de weg;2004 2e kwartaal;108;6.4;5.7
217;6024 Goederenvervoer over de weg;2004 3e kwartaal;105;6.3;5.9
218;6024 Goederenvervoer over de weg;2004 4e kwartaal;118;11.1;7.3
219;6024 Goederenvervoer over de weg;2004;107;7.3;7.3
220;6024 Goederenvervoer over de weg;2005 1e kwartaal;102;4.3;4.3
221;6024 Goederenvervoer over de weg;2005 2e kwartaal;115;5.6;5.0
222;6024 Goederenvervoer over de weg;2005 3e kwartaal;113;7.4;5.8
223;6024 Goederenvervoer over de weg;2005 4e kwartaal;124;5.8;5.8
224;6024 Goederenvervoer over de weg;2005;113;5.8;5.8
225;6024 Goederenvervoer over de weg;2006 1e kwartaal;115;12.1;12.1
226;6024 Goederenvervoer over de weg;2006 2e kwartaal;129;12.2;12.2
227;6024 Goederenvervoer over de weg;2006 3e kwartaal;125;10.8;11.7
228;6024 Goederenvervoer over de weg;2006 4e kwartaal;136;9.4;11.0
229;6024 Goederenvervoer over de weg;2006;126;11.0;11.0
230;6024 Goederenvervoer over de weg;2007 1e kwartaal;127;10.4;10.4
231;6024 Goederenvervoer over de weg;2007 2e kwartaal;140;8.5;9.4
232;6024 Goederenvervoer over de weg;2007 3e kwartaal;135;8.3;9.0
233;6024 Goederenvervoer over de weg;2007 4e kwartaal;142;4.2;7.7
234;6024 Goederenvervoer over de weg;2007;136;7.7;7.7
235;6024 Goederenvervoer over de weg;2008 1e kwartaal;134;5.8;5.8
236;6024 Goederenvervoer over de weg;2008 2e kwartaal;147;5.1;5.4
237;6024 Goederenvervoer over de weg;2008 3e kwartaal;143;5.5;5.5
238;6024 Goederenvervoer over de weg;2008 4e kwartaal;142;0.4;4.1
239;6024 Goederenvervoer over de weg;2008;141;4.1;4.1
240;61 Vervoer over water;2003 1e kwartaal;94;;
241;61 Vervoer over water;2003 2e kwartaal;101;;
242;61 Vervoer over water;2003 3e kwartaal;104;;
243;61 Vervoer over water;2003 4e kwartaal;102;;
244;61 Vervoer over water;2003;100;;
245;61 Vervoer over water;2004 1e kwartaal;95;1.0;1.0
246;61 Vervoer over water;2004 2e kwartaal;103;2.4;1.7
247;61 Vervoer over water;2004 3e kwartaal;104;0.3;1.2
248;61 Vervoer over water;2004 4e kwartaal;105;3.0;1.7
249;61 Vervoer over water;2004;102;1.7;1.7
250;61 Vervoer over water;2005 1e kwartaal;103;8.9;8.9
251;61 Vervoer over water;2005 2e kwartaal;113;9.8;9.4
252;61 Vervoer over water;2005 3e kwartaal;116;11.3;10.1
253;61 Vervoer over water;2005 4e kwartaal;113;7.5;9.4
254;61 Vervoer over water;2005;111;9.4;9.4
255;61 Vervoer over water;2006 1e kwartaal;97;-5.4;-5.4
256;61 Vervoer over water;2006 2e kwartaal;91;-19.6;-12.9
257;61 Vervoer over water;2006 3e kwartaal;94;-19.2;-15.1
258;61 Vervoer over water;2006 4e kwartaal;89;-21.2;-16.6
259;61 Vervoer over water;2006;93;-16.6;-16.6
260;61 Vervoer over water;2007 1e kwartaal;92;-5.4;-5.4
261;61 Vervoer over water;2007 2e kwartaal;101;10.6;2.3
262;61 Vervoer over water;2007 3e kwartaal;106;13.6;6.1
263;61 Vervoer over water;2007 4e kwartaal;104;17.0;8.7
264;61 Vervoer over water;2007;101;8.7;8.7
265;61 Vervoer over water;2008 1e kwartaal;100;8.7;8.7
266;61 Vervoer over water;2008 2e kwartaal;105;4.4;6.5
267;61 Vervoer over water;2008 3e kwartaal;107;0.9;4.5
268;61 Vervoer over water;2008 4e kwartaal;109;4.8;4.6
269;61 Vervoer over water;2008;105;4.6;4.6
270;611 Zeevaart;2003 1e kwartaal;95;;
271;611 Zeevaart;2003 2e kwartaal;101;;
272;611 Zeevaart;2003 3e kwartaal;103;;
273;611 Zeevaart;2003 4e kwartaal;101;;
274;611 Zeevaart;2003;100;;
275;611 Zeevaart;2004 1e kwartaal;96;1.5;1.5
276;611 Zeevaart;2004 2e kwartaal;105;4.2;2.9
277;611 Zeevaart;2004 3e kwartaal;105;1.3;2.4
278;611 Zeevaart;2004 4e kwartaal;105;4.4;2.9
279;611 Zeevaart;2004;103;2.9;2.9
280;611 Zeevaart;2005 1e kwartaal;108;12.3;12.3
281;611 Zeevaart;2005 2e kwartaal;117;11.6;11.9
282;611 Zeevaart;2005 3e kwartaal;119;13.3;12.4
283;611 Zeevaart;2005 4e kwartaal;114;8.3;11.4
284;611 Zeevaart;2005;115;11.4;11.4
285;611 Zeevaart;2006 1e kwartaal;96;-11.5;-11.5
286;611 Zeevaart;2006 2e kwartaal;85;-27.7;-19.9
287;611 Zeevaart;2006 3e kwartaal;86;-27.7;-22.6
288;611 Zeevaart;2006 4e kwartaal;82;-28.6;-24.1
289;611 Zeevaart;2006;87;-24.1;-24.1
290;611 Zeevaart;2007 1e kwartaal;88;-7.8;-7.8
291;611 Zeevaart;2007 2e kwartaal;94;11.1;1.1
292;611 Zeevaart;2007 3e kwartaal;100;16.2;6.0
293;611 Zeevaart;2007 4e kwartaal;97;18.8;9.0
294;611 Zeevaart;2007;95;9.0;9.0
295;611 Zeevaart;2008 1e kwartaal;94;5.9;5.9
296;611 Zeevaart;2008 2e kwartaal;98;3.9;4.8
297;611 Zeevaart;2008 3e kwartaal;99;-0.4;3.0
298;611 Zeevaart;2008 4e kwartaal;102;5.8;3.7
299;611 Zeevaart;2008;98;3.7;3.7
300;612 Binnenvaart;2003 1e kwartaal;89;;
301;612 Binnenvaart;2003 2e kwartaal;101;;
302;612 Binnenvaart;2003 3e kwartaal;105;;
303;612 Binnenvaart;2003 4e kwartaal;105;;
304;612 Binnenvaart;2003;100;;
305;612 Binnenvaart;2004 1e kwartaal;88;-0.7;-0.7
306;612 Binnenvaart;2004 2e kwartaal;97;-3.8;-2.3
307;612 Binnenvaart;2004 3e kwartaal;102;-3.2;-2.7
308;612 Binnenvaart;2004 4e kwartaal;103;-1.8;-2.4
309;612 Binnenvaart;2004;98;-2.4;-2.4
310;612 Binnenvaart;2005 1e kwartaal;85;-3.6;-3.6
311;612 Binnenvaart;2005 2e kwartaal;100;3.5;0.1
312;612 Binnenvaart;2005 3e kwartaal;106;4.4;1.6
313;612 Binnenvaart;2005 4e kwartaal;109;5.1;2.5
314;612 Binnenvaart;2005;100;2.5;2.5
315;612 Binnenvaart;2006 1e kwartaal;102;20.4;20.4
316;612 Binnenvaart;2006 2e kwartaal;112;11.6;15.6
317;612 Binnenvaart;2006 3e kwartaal;119;12.4;14.4
318;612 Binnenvaart;2006 4e kwartaal;114;4.8;11.8
319;612 Binnenvaart;2006;112;11.8;11.8
320;612 Binnenvaart;2007 1e kwartaal;105;2.0;2.0
321;612 Binnenvaart;2007 2e kwartaal;122;9.3;5.8
322;612 Binnenvaart;2007 3e kwartaal;128;7.3;6.3
323;612 Binnenvaart;2007 4e kwartaal;128;12.7;8.0
324;612 Binnenvaart;2007;121;8.0;8.0
325;612 Binnenvaart;2008 1e kwartaal;122;16.6;16.6
326;612 Binnenvaart;2008 2e kwartaal;129;5.9;10.8
327;612 Binnenvaart;2008 3e kwartaal;134;4.3;8.5
328;612 Binnenvaart;2008 4e kwartaal;131;2.3;6.8
329;612 Binnenvaart;2008;129;6.8;6.8
330;62 Vervoer door de lucht;2003 1e kwartaal;86;;
331;62 Vervoer door de lucht;2003 2e kwartaal;101;;
332;62 Vervoer door de lucht;2003 3e kwartaal;114;;
333;62 Vervoer door de lucht;2003 4e kwartaal;99;;
334;62 Vervoer door de lucht;2003;100;;
335;62 Vervoer door de lucht;2004 1e kwartaal;94;9.1;9.1
336;62 Vervoer door de lucht;2004 2e kwartaal;108;7.0;8.0
337;62 Vervoer door de lucht;2004 3e kwartaal;121;6.6;7.5
338;62 Vervoer door de lucht;2004 4e kwartaal;108;8.8;7.8
339;62 Vervoer door de lucht;2004;108;7.8;7.8
340;62 Vervoer door de lucht;2005 1e kwartaal;100;6.9;6.9
341;62 Vervoer door de lucht;2005 2e kwartaal;118;9.4;8.2
342;62 Vervoer door de lucht;2005 3e kwartaal;135;10.9;9.2
343;62 Vervoer door de lucht;2005 4e kwartaal;122;13.1;10.2
344;62 Vervoer door de lucht;2005;119;10.2;10.2
345;62 Vervoer door de lucht;2006 1e kwartaal;115;14.5;14.5
346;62 Vervoer door de lucht;2006 2e kwartaal;133;12.1;13.2
347;62 Vervoer door de lucht;2006 3e kwartaal;147;9.4;11.8
348;62 Vervoer door de lucht;2006 4e kwartaal;131;7.2;10.6
349;62 Vervoer door de lucht;2006;131;10.6;10.6
350;62 Vervoer door de lucht;2007 1e kwartaal;124;8.1;8.1
351;62 Vervoer door de lucht;2007 2e kwartaal;144;8.7;8.4
352;62 Vervoer door de lucht;2007 3e kwartaal;156;6.1;7.6
353;62 Vervoer door de lucht;2007 4e kwartaal;137;4.4;6.8
354;62 Vervoer door de lucht;2007;140;6.8;6.8
355;62 Vervoer door de lucht;2008 1e kwartaal;127;2.3;2.3
356;62 Vervoer door de lucht;2008 2e kwartaal;154;6.9;4.8
357;62 Vervoer door de lucht;2008 3e kwartaal;159;1.8;3.7
358;62 Vervoer door de lucht;2008 4e kwartaal;137;0.5;2.9
359;62 Vervoer door de lucht;2008;144;2.9;2.9
360;63 Dienstverlening voor het vervoer;2003 1e kwartaal;95;;
361;63 Dienstverlening voor het vervoer;2003 2e kwartaal;100;;
362;63 Dienstverlening voor het vervoer;2003 3e kwartaal;106;;
363;63 Dienstverlening voor het vervoer;2003 4e kwartaal;100;;
364;63 Dienstverlening voor het vervoer;2003;100;;
365;63 Dienstverlening voor het vervoer;2004 1e kwartaal;99;4.5;4.5
366;63 Dienstverlening voor het vervoer;2004 2e kwartaal;105;5.9;5.2
367;63 Dienstverlening voor het vervoer;2004 3e kwartaal;119;12.8;7.9
368;63 Dienstverlening voor het vervoer;2004 4e kwartaal;111;11.3;8.7
369;63 Dienstverlening voor het vervoer;2004;109;8.7;8.7
370;63 Dienstverlening voor het vervoer;2005 1e kwartaal;109;10.2;10.2
371;63 Dienstverlening voor het vervoer;2005 2e kwartaal;119;13.1;11.7
372;63 Dienstverlening voor het vervoer;2005 3e kwartaal;129;7.8;10.3
373;63 Dienstverlening voor het vervoer;2005 4e kwartaal;120;8.0;9.7
374;63 Dienstverlening voor het vervoer;2005;119;9.7;9.7
375;63 Dienstverlening voor het vervoer;2006 1e kwartaal;121;10.9;10.9
376;63 Dienstverlening voor het vervoer;2006 2e kwartaal;131;9.7;10.3
377;63 Dienstverlening voor het vervoer;2006 3e kwartaal;138;7.4;9.2
378;63 Dienstverlening voor het vervoer;2006 4e kwartaal;131;9.4;9.3
379;63 Dienstverlening voor het vervoer;2006;130;9.3;9.3
380;63 Dienstverlening voor het vervoer;2007 1e kwartaal;133;9.8;9.8
381;63 Dienstverlening voor het vervoer;2007 2e kwartaal;139;6.5;8.1
382;63 Dienstverlening voor het vervoer;2007 3e kwartaal;153;11.0;9.1
383;63 Dienstverlening voor het vervoer;2007 4e kwartaal;146;11.3;9.7
384;63 Dienstverlening voor het vervoer;2007;143;9.7;9.7
385;63 Dienstverlening voor het vervoer;2008 1e kwartaal;142;6.4;6.4
386;63 Dienstverlening voor het vervoer;2008 2e kwartaal;146;4.6;5.5
387;63 Dienstverlening voor het vervoer;2008 3e kwartaal;157;2.3;4.3
388;63 Dienstverlening voor het vervoer;2008 4e kwartaal;141;-3.6;2.3
389;63 Dienstverlening voor het vervoer;2008;146;2.3;2.3
390;631 Laad-, los- en ..;2003 1e kwartaal;95;;
391;631 Laad-, los- en ..;2003 2e kwartaal;101;;
392;631 Laad-, los- en ..;2003 3e kwartaal;99;;
393;631 Laad-, los- en ..;2003 4e kwartaal;106;;
394;631 Laad-, los- en ..;2003;100;;
395;631 Laad-, los- en ..;2004 1e kwartaal;107;12.6;12.6
396;631 Laad-, los- en ..;2004 2e kwartaal;110;9.4;11.0
397;631 Laad-, los- en ..;2004 3e kwartaal;110;11.4;11.1
398;631 Laad-, los- en ..;2004 4e kwartaal;122;15.4;12.2
399;631 Laad-, los- en ..;2004;112;12.2;12.2
400;631 Laad-, los- en ..;2005 1e kwartaal;110;2.9;2.9
401;631 Laad-, los- en ..;2005 2e kwartaal;119;7.9;5.4
402;631 Laad-, los- en ..;2005 3e kwartaal;117;6.5;5.8
403;631 Laad-, los- en ..;2005 4e kwartaal;131;7.4;6.2
404;631 Laad-, los- en ..;2005;119;6.2;6.2
405;631 Laad-, los- en ..;2006 1e kwartaal;123;12.1;12.1
406;631 Laad-, los- en ..;2006 2e kwartaal;129;8.9;10.4
407;631 Laad-, los- en ..;2006 3e kwartaal;130;10.4;10.4
