ID;Perioden;TotaalActiva_1;ImmaterieleActiva_2;OnroerendeZaken_3;NietGeconsolideerdeDeelnemingen_4;Aandelen_5;Obligaties_6;BelangenInBeleggingspools_7;HypothecaireLeningen_8;LeningenOpSchuldbekentenis_9;Polisbeleningen_10;DepositoSBijKredietinstellingen_11;OverigeBeleggingen_12;DepotsBijVerzekeraars_13;BeleggingenVoorRisicoPolishouders_14;KortlopendeVorderingen_15;OverigeActiva_16;OverlopendeActiva_17;TotaalPassiva_18;GestortEnOpgevraagdKapitaal_19;Agio_20;Herwaarderingsreserve_21;WettelijkeEnStatutaireReserves_22;OverigeReserves_23;OnverdeeldeWinst_24;AchtergesteldeSchulden_25;TotaalTechnVoorzRisicoVerzekeraars_26;VoorNietVerdiendePremies_27;VoorLevensverzekering_28;VoorTeBetalenSchadenUitkeringen_29;VoorWinstverdelingEnKortingen_30;OverigeTechnischeVoorziening_31;TechnVoorzieningenRisicoPolishouders_32;BedrijfseconomischeVoorzieningen_33;DepotsVanHerverzekeraars_34;KortlopendeSchulden_35;OverlopendePassiva_36;TotaalLasten_37;TotaalTechnischeRekening_38;UitkeringenEigenRekening_39;WijzigingOverigeTVEigenRekening_40;WinstdelingEnKortingen_41;Bedrijfskosten_42;Beleggingslasten_43;NietGerealiseerdVerliesOpBeleggingen_44;GeboektTenGunsteVanReserves_45;OverigeTechnischeLastenEigenRekening_46;AanNTRToegerekendeBeleggingsopbrengst_47;ResultaatTechnischeRekening_48;TotaalNietTechnischeRekening_49;AndereLasten_50;AandeelVanDerdenInResultaat_51;BelastingenResultaat_52;BuitengewoneLasten_53;BelastingenBuitengewoonResultaat_54;ResultaatNaBelastingen_55;TotaalBaten_56;TotaalTechnischeRekening_57;VerdiendePremiesEigenRekening_58;OpbrengstenUitBeleggingen_59;NietGerealiseerdeWinstOpBeleggingen_60;GeboektTenLasteVanReserves_61;OverigeTechnischeBatenEigenRekening_62;TotaalNietTechnischeRekening_63;ResultaatTechnischeRekening_64;ToegerekendeOpbrengstUitBeleggingen_65;AndereBaten_66;BuitengewoneBaten_67
17;1991;96013;;7402;54.0;8751;12433;;17512;34603;68.0;1357.0;7374;;;5906;553.0;;96013;502;;;;6825;;5568.0;75764;;74068;;;1696.0;;;503.0;6851;;22319.0;19054.0;3896.0;8678.0;2190.0;1818.0;;;;;;2472.0;3265.0;1680.0;9.0;193.0;490.0;;893.0;22319.0;19054.0;10981.0;6688.0;1385.0;;;3265.0;2472.0;;427.0;366.0
18;1992;105438;;7312;64.0;9993;17514;;18006;36397;;1399.0;8112;;;6225;416.0;;105438;514;;;;7439;;5457.0;84014;;82300;;;1714.0;;;605.0;7409;;31080.0;23307.0;4225.0;8570.0;2505.0;1621.0;;;;;;6386.0;7773.0;5515.0;13.0;234.0;1014.0;;997.0;31080.0;23307.0;10536.0;7322.0;5449.0;;;7773.0;6386.0;;867.0;520.0
19;1993;120159;;7370;59.0;15614;23533;;17384;39700;;1776.0;6939;;;7270;514.0;;120159;456;;;;12253;;5073.0;92959;;90682;;;2277.0;;;476.0;8939;;23042.0;19855.0;5055.0;8590.0;2384.0;1776.0;;;;;;2050.0;3187.0;1048.0;13.0;257.0;810.0;;1059.0;23042.0;19855.0;11277.0;7454.0;1124.0;;;3187.0;2050.0;;997.0;140.0
20;1994;127188;;7182;87.0;16271;25462;;19158;41445;;2011.0;7298;;;7679;595.0;;127188;561;;;;9952;;4884.0;101894;;99451;;;2443.0;;;695.0;9202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;1994 na rapportagewijziging;127466;5.0;6988;4011.0;11779;16898;1011.0;18883;30548;;1227.0;2823;303.0;25989.0;3385;660.0;2959.0;127467;566;353.0;3546.0;715.0;5209;1.0;279.0;78841;8.0;77017;5.0;881.0;930.0;24976.0;901.0;3187.0;7825;1065.0;25707.0;24143.0;4951.0;8538.0;2298.0;1604.0;726.0;3995.0;175.0;321.0;523.0;1012.0;1563.0;48.0;13.0;279.0;34.0;-7.0;1196.0;25707.0;24143.0;11593.0;8549.0;-14.0;3761.0;254.0;1563.0;1012.0;523.0;15.0;13.0
22;1995;142873;1.0;6905;4984.0;14263;22027;1077.0;19088;32560;;1271.0;3225;294.0;29770.0;3249;916.0;3242.0;142873;576;367.0;6725.0;822.0;5904;19.0;188.0;85101;8.0;83238;9.0;954.0;892.0;28593.0;1103.0;2836.0;9209;1430.0;27936.0;26120.0;5508.0;9798.0;3297.0;1803.0;657.0;27.0;2627.0;681.0;581.0;1141.0;1816.0;64.0;13.0;310.0;33.0;11.0;1385.0;27936.0;26120.0;13161.0;9374.0;2843.0;235.0;507.0;1816.0;1141.0;581.0;23.0;71.0
23;1996;161326;1.0;7355;6729.0;19050;28215;865.0;19859;30449;;1419.0;3875;280.0;35125.0;3665;778.0;3664.0;161326;615;410.0;12270.0;946.0;5855;101.0;284.0;90915;8.0;88977;5.0;1264.0;661.0;34160.0;1406.0;2508.0;9841;2001.0;35355.0;33305.0;6953.0;11326.0;3330.0;1958.0;714.0;15.0;6842.0;159.0;773.0;1235.0;2050.0;80.0;19.0;353.0;28.0;-3.0;1573.0;35355.0;33305.0;14479.0;10490.0;7318.0;385.0;633.0;2050.0;1235.0;773.0;22.0;20.0
24;1997;185954;0.0;8690;7036.0;26121;35513;635.0;21110;29690;;1239.0;4106;256.0;42493.0;3880;1247.0;3937.0;185954;656;884.0;18711.0;1122.0;5358;41.0;267.0;98517;8.0;96351;8.0;1352.0;798.0;40515.0;1842.0;2823.0;12932;2262.0;43841.0;41565.0;8237.0;13074.0;4000.0;2299.0;616.0;47.0;10874.0;165.0;983.0;1270.0;2279.0;79.0;22.0;404.0;6.0;-1.0;1769.0;43841.0;41565.0;16358.0;11904.0;12023.0;346.0;934.0;2279.0;1270.0;983.0;21.0;5.0
25;1998;212781;2.0;9422;6434.0;34179;41694;609.0;23748;28189;;2918.0;4331;288.0;51327.0;4595;935.0;4112.0;212781;668;1324.0;24326.0;128.0;7643;40.0;268.0;107390;8.0;105065;8.0;1430.0;879.0;48233.0;2219.0;2729.0;15045;2711.0;46583.0;44102.0;8604.0;14185.0;4032.0;2647.0;692.0;806.0;9877.0;799.0;1200.0;1260.0;2484.0;131.0;29.0;448.0;6.0;1.0;1869.0;46583.0;44102.0;18622.0;12860.0;11175.0;716.0;729.0;2484.0;1260.0;1200.0;19.0;5.0
26;1999;234757;17.0;10372;6668.0;38793;40996;609.0;26419;27216;;3299.0;4612;327.0;65074.0;4584;1440.0;4329.0;234757;644;1515.0;23325.0;146.0;8488;623.0;264.0;114068;38.0;111483;15.0;1536.0;996.0;59572.0;2239.0;3569.0;16789;3479.0;56038.0;52846.0;10591.0;17905.0;5369.0;2858.0;845.0;1392.0;10555.0;221.0;1531.0;1579.0;3193.0;73.0;93.0;584.0;31.0;-5.0;2417.0;56038.0;52846.0;20396.0;15974.0;13420.0;1328.0;1728.0;3193.0;1579.0;1531.0;43.0;40.0
27;2000;248235;19.0;12442;5559.0;35930;43735;566.0;28271;25243;;3741.0;5000;344.0;71521.0;8874;2633.0;4358.0;248235;629;1550.0;18582.0;105.0;8067;807.0;268.0;120004;35.0;116975;20.0;1585.0;1389.0;66250.0;2853.0;3849.0;21164;4068.0;42047.0;38294.0;14438.0;11401.0;2716.0;2986.0;973.0;679.0;721.0;723.0;1912.0;1745.0;3753.0;86.0;135.0;739.0;0.0;0.0;2793.0;42047.0;38294.0;23214.0;13292.0;1179.0;;609.0;3753.0;1745.0;1912.0;96.0;0.0
28;2001;257972;25.0;13893;5231.0;32506;47869;555.0;28634;22630;;3763.0;4977;348.0;82677.0;10196;3865.0;804.0;257972;644;1592.0;14278.0;105.0;9889;863.0;239.0;123672;18.0;121167;9.0;1348.0;1130.0;78567.0;2258.0;3650.0;17956;4209.0;50782.0;47276.0;13463.0;11125.0;1474.0;3721.0;956.0;8567.0;2424.0;2148.0;1542.0;1856.0;3506.0;113.0;137.0;752.0;0.0;0.0;2504.0;50782.0;47276.0;25868.0;11380.0;2125.0;6547.0;1356.0;3506.0;1856.0;1542.0;107.0;1.0
29;2002;244192;27.0;14230;5510.0;22898;51504;591.0;27519;21770;;3675.0;5114;417.0;73704.0;7912;4579.0;4740.0;244192;668;1938.0;7203.0;103.0;9358;465.0;487.0;127484;18.0;125430;3.0;1176.0;857.0;72074.0;1379.0;3301.0;15323;4359.0;33613.0;30931.0;20010.0;-2627.0;-380.0;3288.0;960.0;5320.0;;3444.0;74.0;842.0;1091.0;444.0;176.0;199.0;0.0;0.0;272.0;33613.0;30931.0;24010.0;6190.0;4.0;;727.0;1091.0;842.0;74.0;175.0;0.0
30;2003;252784;19.0;12775;5741.0;21307;64207;609.0;27196;18274;;3321.0;4742;425.0;76814.0;8467;4045.0;4842.0;252784;677;2144.0;8895.0;91.0;8138;1676.0;621.0;131430;11.0;129232;4.0;1803.0;380.0;74641.0;865.0;3249.0;16060;4297.0;43335.0;40121.0;16707.0;11481.0;2713.0;3230.0;819.0;37.0;;1722.0;1214.0;2198.0;3517.0;445.0;-152.0;427.0;6.0;-2.0;2793.0;43335.0;40121.0;24051.0;13224.0;2114.0;;732.0;3517.0;2198.0;1214.0;105.0;0.0
31;2004;264579;14.0;13238;3692.0;21190;83152;474.0;23617;15532;;3051.0;5162;473.0;82755.0;5027;2317.0;4885.0;264579;638;2251.0;5827.0;84.0;16777;1546.0;568.0;134443;6.0;131802;3.0;2234.0;398.0;80226.0;834.0;3529.0;14668;3187.0;41482.0;37988.0;17588.0;8700.0;2155.0;3297.0;813.0;184.0;;1993.0;1385.0;1872.0;3495.0;186.0;137.0;864.0;3.0;-1.0;2306.0;41482.0;37988.0;24466.0;10336.0;1641.0;;1545.0;3495.0;1872.0;1385.0;238.0;0.0
32;2005;302029;139.0;12090;6407.0;22018;91233;430.0;24374;13200;;3343.0;16738;489.0;95972.0;7294;4078.0;4224.0;302029;618;2266.0;14059.0;144.0;10856;2639.0;1183.0;144776;0.0;139559;0.0;4767.0;450.0;90134.0;5162.0;3549.0;25472;1174.0;55947.0;51222.0;16740.0;19390.0;3600.0;3352.0;895.0;368.0;;2258.0;1908.0;2710.0;4725.0;248.0;192.0;964.0;0.0;;3322.0;55947.0;51222.0;24161.0;17751.0;5496.0;;3814.0;4725.0;2710.0;1908.0;107.0;0.0
33;2006;307158;192.0;13407;6596.0;34202;90127;431.0;22651;11759;;3712.0;9394;498.0;100032.0;5449;4021.0;4687.0;307158;668;2258.0;13520.0;227.0;12120;3363.0;827.0;147041;0.0;143446;0.0;3129.0;466.0;96328.0;4452.0;1559.0;22385;2408.0;48923.0;43955.0;20500.0;9690.0;2021.0;3488.0;1043.0;711.0;;1638.0;2001.0;2863.0;4968.0;217.0;236.0;579.0;0.0;;3935.0;48923.0;43955.0;25122.0;14167.0;3157.0;;1509.0;4968.0;2863.0;2001.0;104.0;0.0
34;2007;321706;674.0;10245;6270.0;31374;99279;2111.0;20397;3553;;5468.0;12940;606.0;104907.0;6937;11481.0;5463.0;321706;732;2280.0;7271.0;87.0;7887;7416.0;1594.0;151173;8.0;148417;7.0;1244.0;1497.0;103956.0;3441.0;1487.0;33511;871.0;55396.0;47482.0;22186.0;5253.0;833.0;3731.0;2984.0;3228.0;;2066.0;3038.0;4163.0;7913.0;541.0;132.0;257.0;0.0;;6984.0;55396.0;47482.0;25941.0;19843.0;879.0;;818.0;7913.0;4163.0;3038.0;712.0;0.0
35;2008;318610;2286.0;10482;5342.0;26991;103149;2274.0;20562;1009;;2919.0;17772;612.0;88557.0;14201;18300.0;4153.0;318610;736;7706.0;3935.0;334.0;14412;-6113.0;1841.0;155839;4.0;151543;36.0;3594.0;662.0;96499.0;3508.0;1490.0;37051;1373.0;38591.0;45225.0;23022.0;-1298.0;-719.0;4102.0;8910.0;15462.0;;2583.0;-709.0;-6128.0;-6634.0;200.0;-65.0;-1079.0;0.0;0.0;-5690.0;38591.0;45225.0;25923.0;10327.0;6687.0;;2288.0;-6635.0;-6128.0;-709.0;203.0;0.0
36;2009;323706;1934.0;10487;4862.0;18950;110074;2375.0;23598;849;;2345.0;23088;467.0;102839.0;10013;7919.0;3906.0;323706;669;6630.0;5581.0;740.0;8503;2201.0;1663.0;155915;4.0;152508;34.0;2689.0;680.0;107970.0;3811.0;1599.0;27868;557.0;52553.0;50063.0;21394.0;11536.0;1358.0;3469.0;3469.0;5229.0;;1232.0;758.0;1618.0;2489.0;220.0;-7.0;478.0;0.0;-1.0;1800.0;52553.0;50063.0;23535.0;15083.0;9841.0;;1604.0;2489.0;1618.0;758.0;113.0;0.0
37;2010;330224;1325.0;2230;17335.0;19269;112362;2577.0;22904;618;;2148.0;25231;212.0;106624.0;7028;6817.0;3542.0;330224;568;7336.0;6003.0;1338.0;9512;275.0;1401.0;161342;2.0;155777;1.0;4207.0;1354.0;112000.0;1788.0;2127.0;25687;847.0;43762.0;43399.0;23762.0;10109.0;2702.0;2882.0;2130.0;677.0;;928.0;1279.0;-1069.0;363.0;217.0;0.0;-34.0;0.0;0.0;180.0;43762.0;43399.0;20083.0;13517.0;8616.0;;1184.0;363.0;-1069.0;1279.0;153.0;0.0
38;2011;356857;1147.0;2130;19792.0;13014;115705;404.0;28195;538;;4224.0;45983;338.0;105555.0;7259;9184.0;3388.0;356857;551;9273.0;8143.0;2298.0;6201;-474.0;1665.0;170991;6.0;154626;1.0;7301.0;9057.0;111715.0;1882.0;5557.0;38129;926.0;39948.0;41003.0;23130.0;8084.0;2849.0;2827.0;1769.0;1920.0;;1631.0;1003.0;-2210.0;-1055.0;132.0;0.0;-727.0;0.0;0.0;-460.0;39948.0;41004.0;20081.0;11331.0;8662.0;;930.0;-1054.0;-2210.0;1003.0;153.0;0.0
39;2012;384657;944.0;2039;22735.0;13016;130223;456.0;29074;512;;4963.0;48856;421.0;110790.0;6359;11146.0;3123.0;384657;553;9216.0;12502.0;2134.0;4274;188.0;1661.0;184626;6.0;165017;1.0;10798.0;8804.0;114809.0;1974.0;5299.0;46328;1092.0;46565.0;46357.0;24227.0;11659.0;3449.0;2843.0;2132.0;1256.0;;715.0;1160.0;-1084.0;208.0;116.0;0.0;-268.0;0.0;0.0;360.0;46565.0;46357.0;18024.0;14806.0;12431.0;;1096.0;208.0;-1084.0;1160.0;132.0;0.0
40;2013;363601;156.0;1888;26402.0;13091;123086;196.0;37460;367;;2337.0;37359;401.0;106480.0;5239;5819.0;3320.0;363601;550;9836.0;8629.0;2181.0;3192;2209.0;1657.0;182795;6.0;169107;2.0;6455.0;7225.0;109268.0;1083.0;6154.0;34856;1192.0;41317.0;38335.0;22663.0;-825.0;618.0;2279.0;2066.0;6732.0;;1864.0;830.0;2108.0;2982.0;102.0;0.0;672.0;0.0;0.0;2208.0;41317.0;38335.0;17421.0;13200.0;5920.0;;1794.0;2982.0;2108.0;830.0;44.0;0.0
41;2014;428821;153.0;1768;26106.0;14045;151729;161.0;39479;374;;4880.0;58716;237.0;111097.0;5758;10995.0;3323.0;428821;533;10205.0;18457.0;2118.0;1198;-3213.0;3064.0;219798;6.0;184117;1.0;19869.0;15805.0;113874.0;3395.0;6375.0;51166;1851.0;54164.0;58268.0;24347.0;23432.0;8344.0;2497.0;2243.0;707.0;;886.0;2040.0;-6228.0;-4104.0;314.0;0.0;-1367.0;0.0;0.0;-3051.0;54164.0;58268.0;15644.0;15377.0;23667.0;;3580.0;-4104.0;-6228.0;2040.0;84.0;0.0
42;2015;403445;90.0;3255;25071.0;15665;151042;280.0;41779;459;;2943.0;39627;261.0;104934.0;4229;11007.0;2803.0;403445;507;10457.0;11934.0;977.0;3247;3820.0;3190.0;219372;6.0;188659;2.0;17061.0;13644.0;108232.0;2522.0;6595.0;31503;1089.0;37747.0;33158.0;21494.0;-3105.0;2056.0;2072.0;1074.0;3499.0;;1519.0;1571.0;2978.0;4589.0;398.0;0.0;644.0;0.0;0.0;3547.0;37747.0;33158.0;13810.0;14272.0;3845.0;;1231.0;4589.0;2978.0;1571.0;40.0;0.0
