ID;Overheidssectoren;Perioden;OpenstaandeVacatures_1;OntstaneVacatures_2;VervuldeVacatures_3
34;Totaal overheid;2003 jaargem. /jaartotaal;11.3;51.0;55.0
35;Totaal overheid;2004 1e kwartaal;10.0;9.9;9.4
36;Totaal overheid;2004 2e kwartaal;13.2;14.3;11.0
37;Totaal overheid;2004 3e kwartaal;9.2;10.8;14.7
38;Totaal overheid;2004 4e kwartaal;11.0;11.3;9.3
39;Totaal overheid;2004 jaargem. /jaartotaal;10.7;46.0;44.0
40;Totaal overheid;2005 1e kwartaal;9.8;11.0;11.9
41;Totaal overheid;2005 2e kwartaal;13.4;15.9;12.0
42;Totaal overheid;2005 3e kwartaal;11.1;14.5;16.8
43;Totaal overheid;2005 4e kwartaal;13.0;13.6;12.0
44;Totaal overheid;2005 jaargem. /jaartotaal;11.6;55.0;53.0
45;Totaal overheid;2006 1e kwartaal;12.7;13.4;13.9
46;Totaal overheid;2006 2e kwartaal;13.0;15.2;15.0
47;Totaal overheid;2006 3e kwartaal;12.2;15.4;16.3
48;Totaal overheid;2006 4e kwartaal;14.2;16.4;14.3
49;Totaal overheid;2006 jaargem. /jaartotaal;12.9;60.0;60.0
50;Totaal overheid;2007 1e kwartaal;15.2;17.6;16.8
51;Totaal overheid;2007 2e kwartaal;17.0;18.9;17.4
52;Totaal overheid;2007 3e kwartaal;15.4;19.5;20.9
53;Totaal overheid;2007 4e kwartaal;15.1;15.0;15.2
54;Totaal overheid;2007 jaargem. /jaartotaal;15.6;71.0;70.0
55;Totaal overheid;2008 1e kwartaal;17.1;18.2;15.9
56;Totaal overheid;2008 2e kwartaal;19.7;20.8;18.3
57;Totaal overheid;2008 3e kwartaal;24.6;19.6;24.1
58;Totaal overheid;2008 4e kwartaal;24.5;15.4;15.5
59;Totaal overheid;2008 jaargem. /jaartotaal;20.3;74.0;74.0
60;Totaal overheid;2009 1e kwartaal;22.0;14.9;17.0
61;Totaal overheid;2009 2e kwartaal;22.1;17.3;17.3
62;Totaal overheid;2009 3e kwartaal;17.7;15.1;17.3
63;Totaal overheid;2009 4e kwartaal;17.5;12.7;12.5
64;Totaal overheid;2009 jaargem. /jaartotaal;20.7;60.0;64.0
65;Totaal overheid;2010 1e kwartaal;10.3;12.3;19.2
66;Totaal overheid;2010 2e kwartaal;10.3;13.9;13.9
67;Totaal overheid;2010 3e kwartaal;8.6;13.7;15.4
68;Totaal overheid;2010 4e kwartaal;8.1;10.6;11.1
69;Totaal overheid;2010 jaargem. /jaartotaal;10.5;51.0;60.0
70;Totaal overheid;2011 1e kwartaal;7.8;11.1;11.4
71;Totaal overheid;2011 2e kwartaal;8.5;12.1;11.4
72;Totaal overheid;2011 3e kwartaal;7.1;12.1;13.4
73;Totaal overheid;2011 4e kwartaal;7.2;9.8;9.7
74;Totaal overheid;2011 jaargem. /jaartotaal;7.7;45.0;46.0
75;Totaal overheid;2012 1e kwartaal;7.2;9.6;9.7
76;Totaal overheid;2012 2e kwartaal;7.8;12.7;12.1
77;Totaal overheid;2012 3e kwartaal;6.7;10.8;11.9
78;Totaal overheid;2012 4e kwartaal;6.9;9.4;9.2
79;Totaal overheid;2012 jaargem. /jaartotaal;7.2;42.6;42.9
80;Totaal overheid;2013 1e kwartaal;7.1;9.2;9.0
81;Totaal overheid;2013 2e kwartaal;8.3;13.2;11.9
82;Totaal overheid;2013 3e kwartaal;7.8;11.2;11.7
83;Totaal overheid;2013 4e kwartaal;7.9;10.8;10.7
84;Totaal overheid;2013 jaargem. /jaartotaal;7.7;46.3;43.5
85;Totaal overheid;2014 1e kwartaal;8.2;11.6;11.3
86;Totaal overheid;2014 2e kwartaal;9.4;15.0;13.8
87;Totaal overheid;2014 3e kwartaal;8.8;13.5;14.1
88;Totaal overheid;2014 4e kwartaal;8.8;11.6;11.5
89;Totaal overheid;2014 jaargem. /jaartotaal;8.7;51.8;50.8
90;Totaal overheid;2015 1e kwartaal;9.4;12.8;12.2
91;Totaal overheid;2015 2e kwartaal;11.5;17.4;15.3
92;Totaal overheid;2015 3e kwartaal;10.2;15.0;16.3
93;Totaal overheid;2015 4e kwartaal;10.9;13.3;12.6
94;Totaal overheid;2015 jaargem. /jaartotaal;10.2;58.5;56.4
95;Totaal overheid;2016 1e kwartaal;12.1;15.2;13.9
96;Totaal overheid;2016 2e kwartaal;14.6;19.9;17.3
97;Totaal overheid;2016 3e kwartaal;12.8;17.9;19.7
98;Totaal overheid;2016 4e kwartaal;14.2;17.3;15.8
99;Totaal overheid;2016 jaargem. /jaartotaal;13.0;70.2;66.8
100;Totaal overheid;2017 1e kwartaal;15.1;18.5;17.5
101;Totaal overheid;2017 2e kwartaal;18.8;24.5;20.8
102;Totaal overheid;2017 3e kwartaal;16.9;19.1;21.0
103;Totaal overheid;2017 4e kwartaal;17.5;19.1;19.1
104;Totaal overheid;2017 jaargem. /jaartotaal;16.7;81.2;78.4
105;Totaal overheid;2018 1e kwartaal;17.4;19.0;18.3
106;Totaal overheid;2018 2e kwartaal;20.5;28.4;25.4
107;Totaal overheid;2018 3e kwartaal;18.5;23.1;25.1
108;Totaal overheid;2018 4e kwartaal;19.6;23.3;22.2
109;Totaal overheid;2018 jaargem. /jaartotaal;18.6;93.8;90.9
110;Totaal overheid;2019 1e kwartaal;20.1;21.5;21.0
111;Totaal overheid;2019 2e kwartaal;24.4;32.0;27.7
112;Totaal overheid;2019 3e kwartaal ;20.6;24.6;28.4
113;Totaal overheid;2019 4e kwartaal;24.5;26.9;23.0
114;Totaal overheid;2019 jaargem. /jaartotaal;21.8;105.0;100.1
115;Totaal overheid;2020 1e kwartaal;22.9;23.5;25.0
116;Totaal overheid;2020 2e kwartaal;22.0;25.9;26.7
117;Totaal overheid;2020 3e kwartaal;20.2;24.4;26.2
118;Totaal overheid;2020 4e kwartaal;22.8;25.4;22.8
119;Totaal overheid;2020 jaargem. /jaartotaal;22.1;99.0;100.6
120;Totaal overheid;2021 1e kwartaal;23.1;24.3;24.0
121;Totaal overheid;2021 2e kwartaal;27.4;36.9;32.6
122;Totaal overheid;2021 3e kwartaal;27.1;33.4;33.7
123;Totaal overheid;2021 4e kwartaal;28.8;30.8;29.1
124;Totaal overheid;2021 jaargem. /jaartotaal;25.8;125.4;119.3
125;Totaal overheid;2022 1e kwartaal;31.6;31.2;28.3
126;Totaal overheid;2022 2e kwartaal;37.2;41.8;36.3
127;Totaal overheid;2022 3e kwartaal;35.4;34.6;36.4
128;Totaal overheid;2022 4e kwartaal;38.2;33.7;30.8
129;Totaal overheid;2022 jaargem. /jaartotaal;34.4;141.3;131.8
130;Totaal overheid;2023 1e kwartaal;39.0;33.1;32.2
131;Totaal overheid;2023 2e kwartaal;41.7;38.9;36.2
132;Totaal overheid;2023 3e kwartaal;39.7;35.5;37.5
133;Totaal overheid;2023 4e kwartaal;40.9;35.2;34.0
134;Totaal overheid;2023 jaargem. /jaartotaal;40.0;142.5;139.8
135;Totaal overheid;2024 1e kwartaal;44.9;35.9;31.9
136;Totaal overheid;2024 2e kwartaal;45.5;43.0;42.3
137;Totaal overheid;2024 3e kwartaal;39.7;31.9;37.7
138;Totaal overheid;2024 4e kwartaal;38.8;32.0;32.9
139;Totaal overheid;2024 jaargem. /jaartotaal;42.5;142.7;144.8
140;Rijksoverheid;1997 1e kwartaal;2.0;2.3;2.1
141;Rijksoverheid;1997 2e kwartaal;2.8;3.2;2.4
142;Rijksoverheid;1997 3e kwartaal;2.7;2.1;2.2
143;Rijksoverheid;1997 4e kwartaal;2.1;1.5;2.0
144;Rijksoverheid;1997 jaargem. /jaartotaal;;9.0;9.0
145;Rijksoverheid;1998 1e kwartaal;2.6;2.6;2.1
146;Rijksoverheid;1998 2e kwartaal;2.6;2.4;2.4
147;Rijksoverheid;1998 3e kwartaal;2.7;2.0;1.9
148;Rijksoverheid;1998 4e kwartaal;2.5;1.5;1.6
149;Rijksoverheid;1998 jaargem. /jaartotaal;2.6;9.0;8.0
150;Rijksoverheid;1999 1e kwartaal;2.3;2.0;2.2
151;Rijksoverheid;1999 2e kwartaal;2.8;2.5;1.9
152;Rijksoverheid;1999 3e kwartaal;2.4;1.7;2.2
153;Rijksoverheid;1999 4e kwartaal;2.3;1.5;1.6
154;Rijksoverheid;1999 jaargem. /jaartotaal;2.5;8.0;8.0
155;Rijksoverheid;2000 1e kwartaal;2.5;2.0;1.9
156;Rijksoverheid;2000 2e kwartaal;2.6;1.9;1.7
157;Rijksoverheid;2000 3e kwartaal;2.6;1.9;1.9
158;Rijksoverheid;2000 4e kwartaal;2.7;1.9;1.9
159;Rijksoverheid;2000 jaargem. /jaartotaal;2.6;8.0;7.0
160;Rijksoverheid;2001 1e kwartaal;2.6;1.9;1.9
161;Rijksoverheid;2001 2e kwartaal;2.8;2.6;2.4
162;Rijksoverheid;2001 3e kwartaal;2.5;1.7;2.1
163;Rijksoverheid;2001 4e kwartaal;3.3;2.7;1.9
164;Rijksoverheid;2001 jaargem. /jaartotaal;2.7;9.0;8.0
165;Rijksoverheid;2002 1e kwartaal;3.4;2.5;2.4
166;Rijksoverheid;2002 2e kwartaal;2.7;1.4;2.1
167;Rijksoverheid;2002 3e kwartaal;1.7;1.2;2.2
168;Rijksoverheid;2002 4e kwartaal;1.6;1.0;1.1
169;Rijksoverheid;2002 jaargem. /jaartotaal;2.6;6.0;8.0
170;Rijksoverheid;2003 1e kwartaal;1.6;1.1;1.1
171;Rijksoverheid;2003 2e kwartaal;1.4;0.8;0.9
172;Rijksoverheid;2003 3e kwartaal;0.9;0.5;1.0
173;Rijksoverheid;2003 4e kwartaal;1.0;0.6;0.6
174;Rijksoverheid;2003 jaargem. /jaartotaal;1.3;3.0;4.0
175;Rijksoverheid;2004 1e kwartaal;0.7;0.4;0.6
176;Rijksoverheid;2004 2e kwartaal;1.5;1.5;0.7
177;Rijksoverheid;2004 3e kwartaal;0.7;0.4;1.2
178;Rijksoverheid;2004 4e kwartaal;1.5;1.4;0.6
179;Rijksoverheid;2004 jaargem. /jaartotaal;1.0;4.0;3.0
180;Rijksoverheid;2005 1e kwartaal;1.2;1.1;1.3
181;Rijksoverheid;2005 2e kwartaal;1.7;1.5;1.0
182;Rijksoverheid;2005 3e kwartaal;1.2;1.0;1.5
183;Rijksoverheid;2005 4e kwartaal;1.8;1.4;0.9
184;Rijksoverheid;2005 jaargem. /jaartotaal;1.4;5.0;5.0
185;Rijksoverheid;2006 1e kwartaal;1.4;1.1;1.5
186;Rijksoverheid;2006 2e kwartaal;1.4;1.0;1.0
187;Rijksoverheid;2006 3e kwartaal;1.6;1.3;1.1
188;Rijksoverheid;2006 4e kwartaal;2.3;2.3;1.5
189;Rijksoverheid;2006 jaargem. /jaartotaal;1.6;6.0;5.0
190;Rijksoverheid;2007 1e kwartaal;2.0;1.7;2.1
191;Rijksoverheid;2007 2e kwartaal;2.0;1.6;1.7
192;Rijksoverheid;2007 3e kwartaal;1.5;1.2;1.7
193;Rijksoverheid;2007 4e kwartaal;1.2;1.0;1.3
194;Rijksoverheid;2007 jaargem. /jaartotaal;1.8;6.0;7.0
195;Rijksoverheid;2008 1e kwartaal;1.7;2.0;1.4
196;Rijksoverheid;2008 2e kwartaal;1.6;1.3;1.4
197;Rijksoverheid;2008 3e kwartaal;1.9;1.2;1.7
198;Rijksoverheid;2008 4e kwartaal;1.1;0.7;1.4
199;Rijksoverheid;2008 jaargem. /jaartotaal;1.6;5.0;6.0
200;Rijksoverheid;2009 1e kwartaal;1.3;1.2;1.0
201;Rijksoverheid;2009 2e kwartaal;1.2;1.1;1.2
202;Rijksoverheid;2009 3e kwartaal;1.1;0.7;0.6
203;Rijksoverheid;2009 4e kwartaal;1.2;0.9;0.7
204;Rijksoverheid;2009 jaargem. /jaartotaal;1.2;4.0;4.0
205;Rijksoverheid;2010 1e kwartaal;1.1;0.8;0.9
206;Rijksoverheid;2010 2e kwartaal;0.8;0.6;0.9
207;Rijksoverheid;2010 3e kwartaal;0.8;0.7;0.7
208;Rijksoverheid;2010 4e kwartaal;0.6;0.5;0.6
209;Rijksoverheid;2010 jaargem. /jaartotaal;0.9;3.0;3.0
210;Rijksoverheid;2011 1e kwartaal;0.6;0.6;0.6
211;Rijksoverheid;2011 2e kwartaal;0.6;0.4;0.4
212;Rijksoverheid;2011 3e kwartaal;0.7;0.5;0.4
213;Rijksoverheid;2011 4e kwartaal;0.8;0.6;0.5
214;Rijksoverheid;2011 jaargem. /jaartotaal;0.6;2.0;2.0
215;Rijksoverheid;2012 1e kwartaal;0.9;0.7;0.6
216;Rijksoverheid;2012 2e kwartaal;0.8;0.7;0.7
217;Rijksoverheid;2012 3e kwartaal;0.8;0.5;0.6
218;Rijksoverheid;2012 4e kwartaal;0.9;0.6;0.5
219;Rijksoverheid;2012 jaargem. /jaartotaal;0.8;2.5;2.5
220;Rijksoverheid;2013 1e kwartaal;1.3;0.8;0.4
221;Rijksoverheid;2013 2e kwartaal;2.1;1.4;0.6
222;Rijksoverheid;2013 3e kwartaal;2.5;1.5;1.0
223;Rijksoverheid;2013 4e kwartaal;2.3;1.4;1.6
224;Rijksoverheid;2013 jaargem. /jaartotaal;1.9;5.0;3.2
225;Rijksoverheid;2014 1e kwartaal;2.1;1.2;1.4
226;Rijksoverheid;2014 2e kwartaal;2.0;1.5;1.6
227;Rijksoverheid;2014 3e kwartaal;2.2;1.8;1.6
228;Rijksoverheid;2014 4e kwartaal;2.2;1.7;1.7
229;Rijksoverheid;2014 jaargem. /jaartotaal;2.1;6.2;6.3
230;Rijksoverheid;2015 1e kwartaal;2.0;0.9;1.1
231;Rijksoverheid;2015 2e kwartaal;2.1;0.9;0.8
232;Rijksoverheid;2015 3e kwartaal;2.3;1.3;1.0
233;Rijksoverheid;2015 4e kwartaal;2.5;1.3;1.2
234;Rijksoverheid;2015 jaargem. /jaartotaal;2.2;4.5;4.1
235;Rijksoverheid;2016 1e kwartaal;3.3;1.9;1.2
236;Rijksoverheid;2016 2e kwartaal;3.4;1.7;1.5
237;Rijksoverheid;2016 3e kwartaal;3.3;1.9;2.0
238;Rijksoverheid;2016 4e kwartaal;2.2;1.2;2.3
239;Rijksoverheid;2016 jaargem. /jaartotaal;3.1;6.7;6.9
240;Rijksoverheid;2017 1e kwartaal;2.8;1.8;1.2
241;Rijksoverheid;2017 2e kwartaal;1.8;1.0;1.9
242;Rijksoverheid;2017 3e kwartaal;2.6;1.8;1.0
243;Rijksoverheid;2017 4e kwartaal;2.0;1.2;1.8
244;Rijksoverheid;2017 jaargem. /jaartotaal;2.3;5.8;5.9
245;Rijksoverheid;2018 1e kwartaal;2.3;1.8;1.5
246;Rijksoverheid;2018 2e kwartaal;3.1;2.4;1.5
247;Rijksoverheid;2018 3e kwartaal;3.4;2.0;1.7
248;Rijksoverheid;2018 4e kwartaal;3.2;1.9;2.1
249;Rijksoverheid;2018 jaargem. /jaartotaal;2.9;8.0;6.8
250;Rijksoverheid;2019 1e kwartaal;3.6;2.3;1.9
251;Rijksoverheid;2019 2e kwartaal;4.8;3.7;2.5
252;Rijksoverheid;2019 3e kwartaal ;3.8;2.5;3.5
253;Rijksoverheid;2019 4e kwartaal;6.0;5.8;3.6
254;Rijksoverheid;2019 jaargem. /jaartotaal;4.2;14.4;11.6
255;Rijksoverheid;2020 1e kwartaal;5.5;4.3;4.8
256;Rijksoverheid;2020 2e kwartaal;5.1;3.2;3.6
257;Rijksoverheid;2020 3e kwartaal;5.3;3.4;3.2
258;Rijksoverheid;2020 4e kwartaal;5.4;4.0;3.9
259;Rijksoverheid;2020 jaargem. /jaartotaal;5.4;14.7;15.3
260;Rijksoverheid;2021 1e kwartaal;5.2;3.3;3.5
261;Rijksoverheid;2021 2e kwartaal;5.0;3.4;3.7
262;Rijksoverheid;2021 3e kwartaal;5.1;2.7;2.5
263;Rijksoverheid;2021 4e kwartaal;5.5;3.6;3.2
264;Rijksoverheid;2021 jaargem. /jaartotaal;5.2;13.1;13.0
265;Rijksoverheid;2022 1e kwartaal;6.4;4.4;3.5
266;Rijksoverheid;2022 2e kwartaal;7.6;4.9;3.7
267;Rijksoverheid;2022 3e kwartaal;8.3;4.1;3.4
268;Rijksoverheid;2022 4e kwartaal;8.9;5.3;4.7
269;Rijksoverheid;2022 jaargem. /jaartotaal;7.4;18.7;15.3
270;Rijksoverheid;2023 1e kwartaal;9.3;5.7;5.3
271;Rijksoverheid;2023 2e kwartaal;8.4;4.7;5.6
272;Rijksoverheid;2023 3e kwartaal;7.5;4.2;5.1
273;Rijksoverheid;2023 4e kwartaal;6.8;3.9;4.7
274;Rijksoverheid;2023 jaargem. /jaartotaal;8.3;18.6;20.7
275;Rijksoverheid;2024 1e kwartaal;7.9;6.5;5.3
276;Rijksoverheid;2024 2e kwartaal;7.3;5.8;6.4
277;Rijksoverheid;2024 3e kwartaal;6.1;3.9;5.2
278;Rijksoverheid;2024 4e kwartaal;5.6;3.8;4.3
279;Rijksoverheid;2024 jaargem. /jaartotaal;6.9;19.9;21.1
280;Provinciale overheid;1997 1e kwartaal;0.3;0.1;0.2
281;Provinciale overheid;1997 2e kwartaal;0.6;0.4;0.1
282;Provinciale overheid;1997 3e kwartaal;0.6;0.2;0.3
283;Provinciale overheid;1997 4e kwartaal;0.4;0.2;0.3
284;Provinciale overheid;1997 jaargem. /jaartotaal;;1.0;1.0
285;Provinciale overheid;1998 1e kwartaal;0.5;0.4;0.4
286;Provinciale overheid;1998 2e kwartaal;0.6;0.4;0.3
287;Provinciale overheid;1998 3e kwartaal;0.5;0.2;0.3
288;Provinciale overheid;1998 4e kwartaal;0.5;0.2;0.2
289;Provinciale overheid;1998 jaargem. /jaartotaal;0.5;1.0;1.0
290;Provinciale overheid;1999 1e kwartaal;0.6;0.4;0.3
291;Provinciale overheid;1999 2e kwartaal;0.6;0.3;0.3
292;Provinciale overheid;1999 3e kwartaal;0.5;0.3;0.3
293;Provinciale overheid;1999 4e kwartaal;0.5;0.3;0.4
294;Provinciale overheid;1999 jaargem. /jaartotaal;0.6;1.0;1.0
295;Provinciale overheid;2000 1e kwartaal;0.4;0.3;0.4
296;Provinciale overheid;2000 2e kwartaal;0.5;0.4;0.4
297;Provinciale overheid;2000 3e kwartaal;0.5;0.3;0.3
298;Provinciale overheid;2000 4e kwartaal;0.6;0.4;0.3
299;Provinciale overheid;2000 jaargem. /jaartotaal;0.5;1.0;1.0
300;Provinciale overheid;2001 1e kwartaal;0.6;0.4;0.4
301;Provinciale overheid;2001 2e kwartaal;0.6;0.4;0.4
302;Provinciale overheid;2001 3e kwartaal;0.8;0.4;0.3
303;Provinciale overheid;2001 4e kwartaal;0.7;0.4;0.4
304;Provinciale overheid;2001 jaargem. /jaartotaal;0.7;2.0;2.0
305;Provinciale overheid;2002 1e kwartaal;0.7;0.4;0.4
306;Provinciale overheid;2002 2e kwartaal;0.7;0.5;0.4
307;Provinciale overheid;2002 3e kwartaal;0.7;0.1;0.2
308;Provinciale overheid;2002 4e kwartaal;1.0;0.6;0.2
309;Provinciale overheid;2002 jaargem. /jaartotaal;0.7;2.0;1.0
310;Provinciale overheid;2003 1e kwartaal;0.3;0.1;0.8
311;Provinciale overheid;2003 2e kwartaal;0.6;0.4;0.1
312;Provinciale overheid;2003 3e kwartaal;0.7;0.3;0.1
313;Provinciale overheid;2003 4e kwartaal;0.5;0.2;0.4
314;Provinciale overheid;2003 jaargem. /jaartotaal;0.6;1.0;1.0
315;Provinciale overheid;2004 1e kwartaal;0.4;0.1;0.2
316;Provinciale overheid;2004 2e kwartaal;0.5;0.2;0.1
317;Provinciale overheid;2004 3e kwartaal;0.3;0.0;0.2
318;Provinciale overheid;2004 4e kwartaal;0.6;0.4;0.0
319;Provinciale overheid;2004 jaargem. /jaartotaal;0.4;1.0;1.0
320;Provinciale overheid;2005 1e kwartaal;0.4;0.3;0.4
321;Provinciale overheid;2005 2e kwartaal;0.2;0.0;0.2
322;Provinciale overheid;2005 3e kwartaal;0.3;0.2;0.1
323;Provinciale overheid;2005 4e kwartaal;0.6;0.4;0.1
324;Provinciale overheid;2005 jaargem. /jaartotaal;0.4;1.0;1.0
325;Provinciale overheid;2006 1e kwartaal;0.6;0.2;0.2
326;Provinciale overheid;2006 2e kwartaal;0.6;0.2;0.2
327;Provinciale overheid;2006 3e kwartaal;0.6;0.1;0.1
328;Provinciale overheid;2006 4e kwartaal;0.6;0.3;0.2
329;Provinciale overheid;2006 jaargem. /jaartotaal;0.6;1.0;1.0
330;Provinciale overheid;2007 1e kwartaal;0.6;0.2;0.3
331;Provinciale overheid;2007 2e kwartaal;0.5;0.2;0.3
332;Provinciale overheid;2007 3e kwartaal;0.5;0.3;0.2
333;Provinciale overheid;2007 4e kwartaal;0.5;0.3;0.2
334;Provinciale overheid;2007 jaargem. /jaartotaal;0.5;1.0;1.0
335;Provinciale overheid;2008 1e kwartaal;0.5;0.3;0.3
336;Provinciale overheid;2008 2e kwartaal;0.8;0.5;0.2
337;Provinciale overheid;2008 3e kwartaal;0.9;0.1;0.8
338;Provinciale overheid;2008 4e kwartaal;0.7;0.2;0.3
339;Provinciale overheid;2008 jaargem. /jaartotaal;0.7;1.0;2.0
340;Provinciale overheid;2009 1e kwartaal;0.6;0.3;0.3
341;Provinciale overheid;2009 2e kwartaal;0.5;0.2;0.3
342;Provinciale overheid;2009 3e kwartaal;0.4;0.3;0.1
343;Provinciale overheid;2009 4e kwartaal;0.3;0.4;0.4
344;Provinciale overheid;2009 jaargem. /jaartotaal;0.5;1.0;1.0
345;Provinciale overheid;2010 1e kwartaal;0.3;0.3;0.3
346;Provinciale overheid;2010 2e kwartaal;0.3;0.2;0.2
347;Provinciale overheid;2010 3e kwartaal;0.3;0.1;0.2
348;Provinciale overheid;2010 4e kwartaal;0.3;0.1;0.2
349;Provinciale overheid;2010 jaargem. /jaartotaal;0.3;1.0;1.0
350;Provinciale overheid;2011 1e kwartaal;0.3;0.2;0.2
351;Provinciale overheid;2011 2e kwartaal;0.3;0.2;0.2
352;Provinciale overheid;2011 3e kwartaal;0.3;0.1;0.2
353;Provinciale overheid;2011 4e kwartaal;0.2;0.1;0.2
354;Provinciale overheid;2011 jaargem. /jaartotaal;0.3;1.0;1.0
355;Provinciale overheid;2012 1e kwartaal;0.3;0.2;0.1
356;Provinciale overheid;2012 2e kwartaal;0.3;0.2;0.2
357;Provinciale overheid;2012 3e kwartaal;0.3;0.1;0.1
358;Provinciale overheid;2012 4e kwartaal;0.3;0.1;0.2
359;Provinciale overheid;2012 jaargem. /jaartotaal;0.3;0.6;0.6
360;Provinciale overheid;2013 1e kwartaal;0.3;0.1;0.1
361;Provinciale overheid;2013 2e kwartaal;0.2;0.2;0.2
362;Provinciale overheid;2013 3e kwartaal;0.2;0.1;0.1
363;Provinciale overheid;2013 4e kwartaal;0.3;0.3;0.2
364;Provinciale overheid;2013 jaargem. /jaartotaal;0.2;0.7;0.7
365;Provinciale overheid;2014 1e kwartaal;0.2;0.2;0.2
366;Provinciale overheid;2014 2e kwartaal;0.3;0.1;0.1
367;Provinciale overheid;2014 3e kwartaal;0.3;0.2;0.1
368;Provinciale overheid;2014 4e kwartaal;0.2;0.2;0.3
369;Provinciale overheid;2014 jaargem. /jaartotaal;0.3;0.7;0.7
370;Provinciale overheid;2015 1e kwartaal;0.2;0.3;0.2
371;Provinciale overheid;2015 2e kwartaal;0.2;0.2;0.2
372;Provinciale overheid;2015 3e kwartaal;0.2;0.1;0.2
373;Provinciale overheid;2015 4e kwartaal;0.2;0.2;0.2
374;Provinciale overheid;2015 jaargem. /jaartotaal;0.2;0.8;0.8
375;Provinciale overheid;2016 1e kwartaal;0.3;0.3;0.2
376;Provinciale overheid;2016 2e kwartaal;0.3;0.2;0.2
377;Provinciale overheid;2016 3e kwartaal;0.2;0.2;0.2
378;Provinciale overheid;2016 4e kwartaal;0.3;0.2;0.1
379;Provinciale overheid;2016 jaargem. /jaartotaal;0.2;0.8;0.7
380;Provinciale overheid;2017 1e kwartaal;0.4;0.2;0.2
381;Provinciale overheid;2017 2e kwartaal;0.3;0.2;0.3
382;Provinciale overheid;2017 3e kwartaal;0.3;0.2;0.2
383;Provinciale overheid;2017 4e kwartaal;0.4;0.3;0.2
384;Provinciale overheid;2017 jaargem. /jaartotaal;0.3;0.9;0.8
385;Provinciale overheid;2018 1e kwartaal;0.2;0.3;0.4
386;Provinciale overheid;2018 2e kwartaal;0.3;0.3;0.2
387;Provinciale overheid;2018 3e kwartaal;0.3;0.3;0.2
388;Provinciale overheid;2018 4e kwartaal;0.4;0.3;0.2
389;Provinciale overheid;2018 jaargem. /jaartotaal;0.3;1.0;1.0
390;Provinciale overheid;2019 1e kwartaal;0.3;0.3;0.3
391;Provinciale overheid;2019 2e kwartaal;0.4;0.3;0.3
392;Provinciale overheid;2019 3e kwartaal ;0.3;0.3;0.3
393;Provinciale overheid;2019 4e kwartaal;0.5;0.3;0.2
394;Provinciale overheid;2019 jaargem. /jaartotaal;0.4;1.2;1.1
395;Provinciale overheid;2020 1e kwartaal;0.3;0.2;0.4
396;Provinciale overheid;2020 2e kwartaal;0.3;0.3;0.3
397;Provinciale overheid;2020 3e kwartaal;0.3;0.4;0.4
398;Provinciale overheid;2020 4e kwartaal;0.3;0.5;0.4
399;Provinciale overheid;2020 jaargem. /jaartotaal;0.3;1.3;1.5
400;Provinciale overheid;2021 1e kwartaal;0.3;0.5;0.6
