ID;Perioden;Woningen_1;Wooneenheden_2;Recreatiewoningen_3;IndexWoningen2012100_4
94;2019 november;5368;0;219;163.7
95;2019 december;5867;0;13;178.9
96;2020 januari;4619;0;13;140.8
97;2020 februari;5082;0;44;155.0
98;2020 maart;5961;0;136;181.8
99;2020 april;5501;0;30;167.7
100;2020 mei;4016;0;47;122.5
101;2020 juni;5454;3;77;166.3
102;2020 juli;6734;192;110;205.3
103;2020 augustus;3442;0;36;105.0
104;2020 september;6439;0;86;196.3
105;2020 oktober;7251;270;133;221.1
106;2020 november;4974;0;57;151.7
107;2020 december;7678;0;6;234.1
108;2021 januari;4858;0;48;148.1
109;2021 februari;5756;0;120;175.5
110;2021 maart;8439;0;290;257.3
111;2021 april;8029;0;55;244.8
112;2021 mei;5587;0;494;170.4
113;2021 juni;7227;0;43;220.4
114;2021 juli;6196;0;167;188.9
115;2021 augustus;3893;0;131;118.7
116;2021 september;4972;0;51;151.6
117;2021 oktober;6668;0;128;203.3
118;2021 november;7176;0;283;218.8
119;2021 december;7032;0;77;214.4
120;2022 januari;5386;0;98;164.2
121;2022 februari;4288;0;69;130.8
122;2022 maart;7967;0;222;242.9
123;2022 april;5277;0;84;160.9
124;2022 mei;4982;0;76;151.9
125;2022 juni;5698;0;137;173.7
126;2022 juli;6703;0;63;204.4
127;2022 augustus;3087;0;75;94.1
128;2022 september;5445;0;102;166.0
129;2022 oktober;6628;0;266;202.1
130;2022 november;4986;0;58;152.0
131;2022 december;4089;0;37;124.7
132;2023 januari;3872;0;39;118.1
133;2023 februari;4193;0;55;127.9
134;2023 maart;5866;0;14;178.9
135;2023 april;5489;0;116;167.4
136;2023 mei;3699;0;63;112.8
137;2023 juni;6328;0;35;193.0
138;2023 juli;4052;0;17;123.6
139;2023 augustus;2915;0;20;88.9
140;2023 september;4411;0;69;134.5
141;2023 oktober;5929;401;37;180.8
142;2023 november;4843;0;28;147.7
143;2023 december;3750;0;6;114.3
144;2024 januari;3231;0;82;98.5
145;2024 februari;5602;0;34;170.8
146;2024 maart;7211;0;104;219.9
147;2024 april;6585;0;23;200.8
148;2024 mei;6905;0;35;210.6
149;2024 juni;5452;0;61;166.2
150;2024 juli;6774;0;131;206.5
151;2024 augustus;2369;0;23;72.2
152;2024 september;3825;0;7;116.6
153;2024 oktober;6998;0;8;213.4
154;2024 november;5458;0;9;166.4
155;2024 december;7612;0;9;232.1
156;2025 januari;3144;0;14;95.9
157;2025 februari;3394;0;34;103.5
