ID;TypeInstelling;Perioden;AantalBedrijven_1;TotaalBedrijfsopbrengsten_2;NettoOmzet_3;TotaalOverigeBedrijfsopbrengsten_4;SubsidiesEnBijdragen_5;OverigeBedrijfsopbrengstenNietEerd_6;TotaalBedrijfslasten_7;TotaalArbeidskosten_8;LonenEnSalarissen_9;Pensioenlasten_10;SocialeLasten_11;AfschrijvingenOpVasteActiva_12;TotaalOverigeBedrijfslasten_13;TotaalAnderePersoneelskosten_14;KostenUitzendkrachtenEnOverigeInleen_15;OverigePersoneelskosten_16;OverigeBedrijfslastenNietEerderGe_17;Bedrijfsresultaat_18;FinancieleBaten_19;FinancieleLasten_20;FinancieelResultaat_21;VrijvalVoorzieningen_22;ToevoegingenVoorzieningen_23;SaldoVoorzieningen_24;BuitengewoneBaten_25;BuitengewoneLasten_26;BuitengewoonResultaat_27;ResultaatVoorBelastingen_28
11;85335 Welzijn Ouderen;2003;340;134;52;83;78;5;133;60;49.0;3.0;8.0;4;69;5;2.0;3.0;64;1;1.0;1.0;0;1.0;2.0;-1.0;1.0;2.0;-1;-1
12;85335 Welzijn Ouderen;2004;300;129;45;84;81;3;125;59;48.0;4.0;7.0;3;63;5;2.0;3.0;58;4;1.0;0.0;0;1.0;2.0;-1.0;1.0;1.0;0;3
13;85335 Welzijn Ouderen;2005;290;127;47;80;77;3;122;55;45.0;4.0;7.0;4;63;6;3.0;3.0;57;6;1.0;1.0;0;1.0;2.0;-1.0;1.0;0.0;1;6
14;85335 Welzijn Ouderen;2006 oud;270;126;51;75;73;2;122;55;45.0;4.0;7.0;3;63;4;2.0;2.0;59;4;;;0;1.0;2.0;0.0;;;0;4
15;85335 Welzijn Ouderen;2006 nieuw;235;116;47;69;68;2;113;52;42.0;4.0;6.0;3;58;4;2.0;2.0;54;4;;;0;1.0;2.0;0.0;;;0;4
16;85335 Welzijn Ouderen;2007;220;116;48;68;66;3;113;54;44.0;4.0;6.0;4;56;4;2.0;2.0;52;3;;;0;1.0;1.0;0.0;;;0;3
17;85335 Welzijn Ouderen;2008;205;113;44;69;67;2;110;50;41.0;3.0;6.0;3;57;4;2.0;2.0;49;3;;;0;1.0;1.0;0.0;;;0;3
18;85336 Sociaal-cultureel werk;2001;1340;559;85;474;435;39;544;343;;;;11;190;27;;;163;15;2.0;1.0;1;;;;11.0;11.0;0;15
19;85336 Sociaal-cultureel werk;2002;1570;559;63;496;469;26;549;351;;;;12;185;32;;;153;10;2.0;1.0;1;;;;6.0;6.0;0;11
20;85336 Sociaal-cultureel werk;2003;2110;704;112;593;568;24;699;449;370.0;23.0;57.0;16;235;31;11.0;20.0;204;5;3.0;2.0;1;4.0;5.0;-1.0;4.0;3.0;1;5
21;85336 Sociaal-cultureel werk;2004;2090;677;133;544;524;20;665;419;342.0;25.0;52.0;14;232;34;16.0;19.0;198;12;5.0;4.0;1;6.0;7.0;-1.0;6.0;2.0;4;16
22;85336 Sociaal-cultureel werk;2005;2030;720;122;597;580;17;700;430;349.0;28.0;52.0;21;250;34;16.0;18.0;215;20;5.0;4.0;1;7.0;7.0;0.0;3.0;2.0;1;21
23;85336 Sociaal-cultureel werk;2006 oud;2090;708;92;614;592;22;708;440;357.0;31.0;52.0;16;253;31;15.0;18.0;222;-1;;;-3;;;-3.0;;;3;-3
24;85336 Sociaal-cultureel werk;2006 nieuw;1195;521;68;453;433;20;523;324;264.0;22.0;38.0;12;186;23;11.0;13.0;163;-1;;;1;4.0;6.0;-2.0;;;2;2
25;85336 Sociaal-cultureel werk;2007;1230;573;77;496;472;24;569;361;300.0;23.0;38.0;11;197;26;9.0;18.0;171;4;;;2;4.0;6.0;-2.0;;;1;6
26;85336 Sociaal-cultureel werk;2008;1190;599;80;519;494;25;595;380;314.0;24.0;41.0;11;204;28;10.0;19.0;176;4;;;3;3.0;6.0;-3.0;;;2;5
27;85337 Brede welzijnsinstellingen;2001;100;372;70;302;284;18;377;250;;;;7;119;19;;;100;-5;1.0;1.0;0;;;;4.0;4.0;-1;-5
28;85337 Brede welzijnsinstellingen;2002;90;415;107;308;297;11;416;272;;;;6;139;29;;;110;-1;1.0;0.0;0;;;;4.0;4.0;1;0
29;85337 Brede welzijnsinstellingen;2003;100;439;114;325;316;8;436;288;234.0;14.0;39.0;9;140;23;7.0;16.0;117;3;1.0;1.0;0;4.0;3.0;0.0;3.0;3.0;1;4
30;85337 Brede welzijnsinstellingen;2004;110;386;91;295;285;11;381;248;201.0;14.0;33.0;7;126;18;8.0;10.0;108;5;1.0;0.0;0;3.0;5.0;-3.0;1.0;2.0;-1;2
31;85337 Brede welzijnsinstellingen;2005;140;386;74;312;300;12;384;248;201.0;16.0;31.0;7;130;18;7.0;11.0;111;0;2.0;1.0;1;4.0;5.0;-1.0;3.0;1.0;2;4
32;85337 Brede welzijnsinstellingen;2006 oud;180;384;56;327;308;18;381;243;196.0;17.0;30.0;7;131;21;8.0;13.0;110;3;;;1;;;-2.0;;;1;4
33;85337 Brede welzijnsinstellingen;2006 nieuw;140;397;58;339;320;19;394;252;204.0;17.0;31.0;7;135;22;8.0;13.0;113;3;;;1;2.0;4.0;-2.0;;;1;4
34;85337 Brede welzijnsinstellingen;2007;175;424;63;360;339;20;420;274;224.0;18.0;32.0;7;138;21;8.0;13.0;117;4;;;1;2.0;3.0;-1.0;;;1;4
35;85337 Brede welzijnsinstellingen;2008;195;480;78;403;381;21;478;305;250.0;20.0;35.0;9;164;26;11.0;15.0;139;2;;;2;3.0;4.0;-1.0;;;1;4
