ID;ClimateSector;Emission;Periods;EmissionsOfGreenhouseGases_1
68;Total climate sectors;Other greenhouse gases;2020 4th quarter;7.2
69;Total climate sectors;Other greenhouse gases;2020;28.3
70;Total climate sectors;Other greenhouse gases;2021 1st quarter;7.2
71;Total climate sectors;Other greenhouse gases;2021 2nd quarter;6.8
72;Total climate sectors;Other greenhouse gases;2021 3rd quarter;6.6
73;Total climate sectors;Other greenhouse gases;2021 4th quarter;6.9
74;Total climate sectors;Other greenhouse gases;2021;27.5
75;Total climate sectors;Other greenhouse gases;2022 1st quarter;6.8
76;Total climate sectors;Other greenhouse gases;2022 2nd quarter;6.5
77;Total climate sectors;Other greenhouse gases;2022 3rd quarter;6.4
78;Total climate sectors;Other greenhouse gases;2022 4th quarter;6.6
79;Total climate sectors;Other greenhouse gases;2022;26.3
80;Total climate sectors;Other greenhouse gases;2023 1st quarter;6.7
81;Total climate sectors;Other greenhouse gases;2023 2nd quarter;6.4
82;Total climate sectors;Other greenhouse gases;2023 3rd quarter;6.3
83;Total climate sectors;Other greenhouse gases;2023 4th quarter;6.5
84;Total climate sectors;Other greenhouse gases;2023;25.9
85;Total climate sectors;Other greenhouse gases;2024 1st quarter;6.6
86;Total climate sectors;Other greenhouse gases;2024 2nd quarter;6.4
87;Total climate sectors;Other greenhouse gases;2024 3rd quarter;6.3
88;Total climate sectors;Other greenhouse gases;2024 4th quarter;6.5
89;Total climate sectors;Other greenhouse gases;2024;25.9
90;Industry;Total greenhouse gases;2019 1st quarter;14.0
91;Industry;Total greenhouse gases;2019 2nd quarter;13.6
92;Industry;Total greenhouse gases;2019 3rd quarter;13.4
93;Industry;Total greenhouse gases;2019 4th quarter;13.9
94;Industry;Total greenhouse gases;2019;54.9
95;Industry;Total greenhouse gases;2020 1st quarter;13.9
96;Industry;Total greenhouse gases;2020 2nd quarter;12.7
97;Industry;Total greenhouse gases;2020 3rd quarter;13.2
98;Industry;Total greenhouse gases;2020 4th quarter;13.8
99;Industry;Total greenhouse gases;2020;53.6
100;Industry;Total greenhouse gases;2021 1st quarter;13.5
101;Industry;Total greenhouse gases;2021 2nd quarter;13.9
102;Industry;Total greenhouse gases;2021 3rd quarter;13.3
103;Industry;Total greenhouse gases;2021 4th quarter;12.7
104;Industry;Total greenhouse gases;2021;53.4
105;Industry;Total greenhouse gases;2022 1st quarter;13.0
106;Industry;Total greenhouse gases;2022 2nd quarter;12.4
107;Industry;Total greenhouse gases;2022 3rd quarter;11.8
108;Industry;Total greenhouse gases;2022 4th quarter;12.0
109;Industry;Total greenhouse gases;2022;49.2
110;Industry;Total greenhouse gases;2023 1st quarter;11.7
111;Industry;Total greenhouse gases;2023 2nd quarter;11.1
112;Industry;Total greenhouse gases;2023 3rd quarter;11.3
113;Industry;Total greenhouse gases;2023 4th quarter;11.9
114;Industry;Total greenhouse gases;2023;46.1
115;Industry;Total greenhouse gases;2024 1st quarter;11.8
116;Industry;Total greenhouse gases;2024 2nd quarter;11.7
117;Industry;Total greenhouse gases;2024 3rd quarter;11.5
118;Industry;Total greenhouse gases;2024 4th quarter;11.8
119;Industry;Total greenhouse gases;2024;46.8
120;Industry;Carbon dioxide (CO2);2019 1st quarter;12.2
121;Industry;Carbon dioxide (CO2);2019 2nd quarter;11.8
122;Industry;Carbon dioxide (CO2);2019 3rd quarter;11.6
123;Industry;Carbon dioxide (CO2);2019 4th quarter;12.1
124;Industry;Carbon dioxide (CO2);2019;47.7
125;Industry;Carbon dioxide (CO2);2020 1st quarter;12.2
126;Industry;Carbon dioxide (CO2);2020 2nd quarter;11.1
127;Industry;Carbon dioxide (CO2);2020 3rd quarter;11.6
128;Industry;Carbon dioxide (CO2);2020 4th quarter;12.1
129;Industry;Carbon dioxide (CO2);2020;47.0
130;Industry;Carbon dioxide (CO2);2021 1st quarter;11.9
131;Industry;Carbon dioxide (CO2);2021 2nd quarter;12.4
132;Industry;Carbon dioxide (CO2);2021 3rd quarter;11.8
133;Industry;Carbon dioxide (CO2);2021 4th quarter;11.3
134;Industry;Carbon dioxide (CO2);2021;47.4
135;Industry;Carbon dioxide (CO2);2022 1st quarter;11.6
136;Industry;Carbon dioxide (CO2);2022 2nd quarter;11.1
137;Industry;Carbon dioxide (CO2);2022 3rd quarter;10.5
138;Industry;Carbon dioxide (CO2);2022 4th quarter;10.7
139;Industry;Carbon dioxide (CO2);2022;43.9
140;Industry;Carbon dioxide (CO2);2023 1st quarter;10.5
141;Industry;Carbon dioxide (CO2);2023 2nd quarter;9.9
142;Industry;Carbon dioxide (CO2);2023 3rd quarter;10.1
143;Industry;Carbon dioxide (CO2);2023 4th quarter;10.7
144;Industry;Carbon dioxide (CO2);2023;41.2
145;Industry;Carbon dioxide (CO2);2024 1st quarter;10.6
146;Industry;Carbon dioxide (CO2);2024 2nd quarter;10.5
147;Industry;Carbon dioxide (CO2);2024 3rd quarter;10.3
148;Industry;Carbon dioxide (CO2);2024 4th quarter;10.6
149;Industry;Carbon dioxide (CO2);2024;41.9
150;Industry;Other greenhouse gases;2019 1st quarter;1.8
151;Industry;Other greenhouse gases;2019 2nd quarter;1.8
152;Industry;Other greenhouse gases;2019 3rd quarter;1.8
153;Industry;Other greenhouse gases;2019 4th quarter;1.8
154;Industry;Other greenhouse gases;2019;7.2
155;Industry;Other greenhouse gases;2020 1st quarter;1.7
156;Industry;Other greenhouse gases;2020 2nd quarter;1.6
157;Industry;Other greenhouse gases;2020 3rd quarter;1.6
158;Industry;Other greenhouse gases;2020 4th quarter;1.6
159;Industry;Other greenhouse gases;2020;6.5
160;Industry;Other greenhouse gases;2021 1st quarter;1.5
161;Industry;Other greenhouse gases;2021 2nd quarter;1.5
162;Industry;Other greenhouse gases;2021 3rd quarter;1.5
163;Industry;Other greenhouse gases;2021 4th quarter;1.5
164;Industry;Other greenhouse gases;2021;6.0
165;Industry;Other greenhouse gases;2022 1st quarter;1.4
166;Industry;Other greenhouse gases;2022 2nd quarter;1.3
167;Industry;Other greenhouse gases;2022 3rd quarter;1.3
168;Industry;Other greenhouse gases;2022 4th quarter;1.3
169;Industry;Other greenhouse gases;2022;5.3
170;Industry;Other greenhouse gases;2023 1st quarter;1.3
171;Industry;Other greenhouse gases;2023 2nd quarter;1.2
172;Industry;Other greenhouse gases;2023 3rd quarter;1.2
173;Industry;Other greenhouse gases;2023 4th quarter;1.2
174;Industry;Other greenhouse gases;2023;4.9
175;Industry;Other greenhouse gases;2024 1st quarter;1.2
176;Industry;Other greenhouse gases;2024 2nd quarter;1.2
177;Industry;Other greenhouse gases;2024 3rd quarter;1.2
178;Industry;Other greenhouse gases;2024 4th quarter;1.2
179;Industry;Other greenhouse gases;2024;4.9
180;Power;Total greenhouse gases;2019 1st quarter;12.4
181;Power;Total greenhouse gases;2019 2nd quarter;9.1
182;Power;Total greenhouse gases;2019 3rd quarter;8.7
183;Power;Total greenhouse gases;2019 4th quarter;11.3
184;Power;Total greenhouse gases;2019;41.6
185;Power;Total greenhouse gases;2020 1st quarter;8.5
186;Power;Total greenhouse gases;2020 2nd quarter;6.5
187;Power;Total greenhouse gases;2020 3rd quarter;8.8
188;Power;Total greenhouse gases;2020 4th quarter;8.7
189;Power;Total greenhouse gases;2020;32.5
190;Power;Total greenhouse gases;2021 1st quarter;9.0
191;Power;Total greenhouse gases;2021 2nd quarter;6.5
192;Power;Total greenhouse gases;2021 3rd quarter;7.3
193;Power;Total greenhouse gases;2021 4th quarter;9.6
194;Power;Total greenhouse gases;2021;32.4
195;Power;Total greenhouse gases;2022 1st quarter;7.8
196;Power;Total greenhouse gases;2022 2nd quarter;6.6
197;Power;Total greenhouse gases;2022 3rd quarter;8.3
198;Power;Total greenhouse gases;2022 4th quarter;7.9
199;Power;Total greenhouse gases;2022;30.5
200;Power;Total greenhouse gases;2023 1st quarter;7.5
201;Power;Total greenhouse gases;2023 2nd quarter;5.0
202;Power;Total greenhouse gases;2023 3rd quarter;5.2
203;Power;Total greenhouse gases;2023 4th quarter;5.9
204;Power;Total greenhouse gases;2023;23.6
205;Power;Total greenhouse gases;2024 1st quarter;6.2
206;Power;Total greenhouse gases;2024 2nd quarter;4.2
207;Power;Total greenhouse gases;2024 3rd quarter;4.8
208;Power;Total greenhouse gases;2024 4th quarter;7.7
209;Power;Total greenhouse gases;2024;22.9
210;Power;Carbon dioxide (CO2);2019 1st quarter;12.3
211;Power;Carbon dioxide (CO2);2019 2nd quarter;9.1
212;Power;Carbon dioxide (CO2);2019 3rd quarter;8.7
213;Power;Carbon dioxide (CO2);2019 4th quarter;11.2
214;Power;Carbon dioxide (CO2);2019;41.3
215;Power;Carbon dioxide (CO2);2020 1st quarter;8.4
216;Power;Carbon dioxide (CO2);2020 2nd quarter;6.5
217;Power;Carbon dioxide (CO2);2020 3rd quarter;8.7
218;Power;Carbon dioxide (CO2);2020 4th quarter;8.7
219;Power;Carbon dioxide (CO2);2020;32.3
220;Power;Carbon dioxide (CO2);2021 1st quarter;8.9
221;Power;Carbon dioxide (CO2);2021 2nd quarter;6.4
222;Power;Carbon dioxide (CO2);2021 3rd quarter;7.3
223;Power;Carbon dioxide (CO2);2021 4th quarter;9.6
224;Power;Carbon dioxide (CO2);2021;32.2
225;Power;Carbon dioxide (CO2);2022 1st quarter;7.7
226;Power;Carbon dioxide (CO2);2022 2nd quarter;6.5
227;Power;Carbon dioxide (CO2);2022 3rd quarter;8.2
228;Power;Carbon dioxide (CO2);2022 4th quarter;7.9
229;Power;Carbon dioxide (CO2);2022;30.3
230;Power;Carbon dioxide (CO2);2023 1st quarter;7.5
231;Power;Carbon dioxide (CO2);2023 2nd quarter;5.0
232;Power;Carbon dioxide (CO2);2023 3rd quarter;5.1
233;Power;Carbon dioxide (CO2);2023 4th quarter;5.9
234;Power;Carbon dioxide (CO2);2023;23.4
235;Power;Carbon dioxide (CO2);2024 1st quarter;6.2
236;Power;Carbon dioxide (CO2);2024 2nd quarter;4.1
237;Power;Carbon dioxide (CO2);2024 3rd quarter;4.8
238;Power;Carbon dioxide (CO2);2024 4th quarter;7.6
239;Power;Carbon dioxide (CO2);2024;22.7
240;Power;Other greenhouse gases;2019 1st quarter;0.1
241;Power;Other greenhouse gases;2019 2nd quarter;0.0
242;Power;Other greenhouse gases;2019 3rd quarter;0.0
243;Power;Other greenhouse gases;2019 4th quarter;0.1
244;Power;Other greenhouse gases;2019;0.2
245;Power;Other greenhouse gases;2020 1st quarter;0.1
246;Power;Other greenhouse gases;2020 2nd quarter;0.1
247;Power;Other greenhouse gases;2020 3rd quarter;0.1
248;Power;Other greenhouse gases;2020 4th quarter;0.1
249;Power;Other greenhouse gases;2020;0.2
250;Power;Other greenhouse gases;2021 1st quarter;0.1
251;Power;Other greenhouse gases;2021 2nd quarter;0.1
252;Power;Other greenhouse gases;2021 3rd quarter;0.1
253;Power;Other greenhouse gases;2021 4th quarter;0.1
254;Power;Other greenhouse gases;2021;0.3
255;Power;Other greenhouse gases;2022 1st quarter;0.1
256;Power;Other greenhouse gases;2022 2nd quarter;0.1
257;Power;Other greenhouse gases;2022 3rd quarter;0.1
258;Power;Other greenhouse gases;2022 4th quarter;0.1
259;Power;Other greenhouse gases;2022;0.2
260;Power;Other greenhouse gases;2023 1st quarter;0.0
261;Power;Other greenhouse gases;2023 2nd quarter;0.0
262;Power;Other greenhouse gases;2023 3rd quarter;0.0
263;Power;Other greenhouse gases;2023 4th quarter;0.0
264;Power;Other greenhouse gases;2023;0.2
265;Power;Other greenhouse gases;2024 1st quarter;0.0
266;Power;Other greenhouse gases;2024 2nd quarter;0.0
267;Power;Other greenhouse gases;2024 3rd quarter;0.0
268;Power;Other greenhouse gases;2024 4th quarter;0.0
269;Power;Other greenhouse gases;2024;0.2
270;Mobility;Total greenhouse gases;2019 1st quarter;8.4
271;Mobility;Total greenhouse gases;2019 2nd quarter;8.8
272;Mobility;Total greenhouse gases;2019 3rd quarter;8.4
273;Mobility;Total greenhouse gases;2019 4th quarter;8.7
274;Mobility;Total greenhouse gases;2019;34.4
275;Mobility;Total greenhouse gases;2020 1st quarter;7.8
276;Mobility;Total greenhouse gases;2020 2nd quarter;7.0
277;Mobility;Total greenhouse gases;2020 3rd quarter;7.7
278;Mobility;Total greenhouse gases;2020 4th quarter;7.5
279;Mobility;Total greenhouse gases;2020;30.0
280;Mobility;Total greenhouse gases;2021 1st quarter;6.8
281;Mobility;Total greenhouse gases;2021 2nd quarter;7.6
282;Mobility;Total greenhouse gases;2021 3rd quarter;7.6
283;Mobility;Total greenhouse gases;2021 4th quarter;7.9
284;Mobility;Total greenhouse gases;2021;29.9
285;Mobility;Total greenhouse gases;2022 1st quarter;6.9
286;Mobility;Total greenhouse gases;2022 2nd quarter;7.7
287;Mobility;Total greenhouse gases;2022 3rd quarter;7.3
288;Mobility;Total greenhouse gases;2022 4th quarter;7.8
289;Mobility;Total greenhouse gases;2022;29.7
290;Mobility;Total greenhouse gases;2023 1st quarter;7.7
291;Mobility;Total greenhouse gases;2023 2nd quarter;8.3
292;Mobility;Total greenhouse gases;2023 3rd quarter;7.0
293;Mobility;Total greenhouse gases;2023 4th quarter;7.8
294;Mobility;Total greenhouse gases;2023;30.8
295;Mobility;Total greenhouse gases;2024 1st quarter;7.3
296;Mobility;Total greenhouse gases;2024 2nd quarter;7.3
297;Mobility;Total greenhouse gases;2024 3rd quarter;7.0
298;Mobility;Total greenhouse gases;2024 4th quarter;7.2
299;Mobility;Total greenhouse gases;2024;28.8
300;Mobility;Carbon dioxide (CO2);2019 1st quarter;8.2
301;Mobility;Carbon dioxide (CO2);2019 2nd quarter;8.6
302;Mobility;Carbon dioxide (CO2);2019 3rd quarter;8.2
303;Mobility;Carbon dioxide (CO2);2019 4th quarter;8.5
304;Mobility;Carbon dioxide (CO2);2019;33.6
305;Mobility;Carbon dioxide (CO2);2020 1st quarter;7.6
306;Mobility;Carbon dioxide (CO2);2020 2nd quarter;6.9
307;Mobility;Carbon dioxide (CO2);2020 3rd quarter;7.6
308;Mobility;Carbon dioxide (CO2);2020 4th quarter;7.3
309;Mobility;Carbon dioxide (CO2);2020;29.3
310;Mobility;Carbon dioxide (CO2);2021 1st quarter;6.6
311;Mobility;Carbon dioxide (CO2);2021 2nd quarter;7.4
312;Mobility;Carbon dioxide (CO2);2021 3rd quarter;7.4
313;Mobility;Carbon dioxide (CO2);2021 4th quarter;7.7
314;Mobility;Carbon dioxide (CO2);2021;29.2
315;Mobility;Carbon dioxide (CO2);2022 1st quarter;6.7
316;Mobility;Carbon dioxide (CO2);2022 2nd quarter;7.5
317;Mobility;Carbon dioxide (CO2);2022 3rd quarter;7.1
318;Mobility;Carbon dioxide (CO2);2022 4th quarter;7.6
319;Mobility;Carbon dioxide (CO2);2022;29.0
320;Mobility;Carbon dioxide (CO2);2023 1st quarter;7.5
321;Mobility;Carbon dioxide (CO2);2023 2nd quarter;8.1
322;Mobility;Carbon dioxide (CO2);2023 3rd quarter;6.8
323;Mobility;Carbon dioxide (CO2);2023 4th quarter;7.6
324;Mobility;Carbon dioxide (CO2);2023;30.1
325;Mobility;Carbon dioxide (CO2);2024 1st quarter;7.1
326;Mobility;Carbon dioxide (CO2);2024 2nd quarter;7.1
327;Mobility;Carbon dioxide (CO2);2024 3rd quarter;6.8
328;Mobility;Carbon dioxide (CO2);2024 4th quarter;7.1
329;Mobility;Carbon dioxide (CO2);2024;28.1
330;Mobility;Other greenhouse gases;2019 1st quarter;0.2
331;Mobility;Other greenhouse gases;2019 2nd quarter;0.2
332;Mobility;Other greenhouse gases;2019 3rd quarter;0.2
333;Mobility;Other greenhouse gases;2019 4th quarter;0.2
334;Mobility;Other greenhouse gases;2019;0.8
335;Mobility;Other greenhouse gases;2020 1st quarter;0.2
336;Mobility;Other greenhouse gases;2020 2nd quarter;0.2
337;Mobility;Other greenhouse gases;2020 3rd quarter;0.2
338;Mobility;Other greenhouse gases;2020 4th quarter;0.2
339;Mobility;Other greenhouse gases;2020;0.7
340;Mobility;Other greenhouse gases;2021 1st quarter;0.2
341;Mobility;Other greenhouse gases;2021 2nd quarter;0.2
342;Mobility;Other greenhouse gases;2021 3rd quarter;0.2
343;Mobility;Other greenhouse gases;2021 4th quarter;0.2
344;Mobility;Other greenhouse gases;2021;0.7
345;Mobility;Other greenhouse gases;2022 1st quarter;0.2
346;Mobility;Other greenhouse gases;2022 2nd quarter;0.2
347;Mobility;Other greenhouse gases;2022 3rd quarter;0.2
348;Mobility;Other greenhouse gases;2022 4th quarter;0.2
349;Mobility;Other greenhouse gases;2022;0.7
350;Mobility;Other greenhouse gases;2023 1st quarter;0.2
351;Mobility;Other greenhouse gases;2023 2nd quarter;0.2
352;Mobility;Other greenhouse gases;2023 3rd quarter;0.2
353;Mobility;Other greenhouse gases;2023 4th quarter;0.2
354;Mobility;Other greenhouse gases;2023;0.7
355;Mobility;Other greenhouse gases;2024 1st quarter;0.2
356;Mobility;Other greenhouse gases;2024 2nd quarter;0.2
357;Mobility;Other greenhouse gases;2024 3rd quarter;0.2
358;Mobility;Other greenhouse gases;2024 4th quarter;0.2
359;Mobility;Other greenhouse gases;2024;0.7
360;Agriculture;Total greenhouse gases;2019 1st quarter;7.9
361;Agriculture;Total greenhouse gases;2019 2nd quarter;6.4
362;Agriculture;Total greenhouse gases;2019 3rd quarter;6.0
363;Agriculture;Total greenhouse gases;2019 4th quarter;7.3
364;Agriculture;Total greenhouse gases;2019;27.5
365;Agriculture;Total greenhouse gases;2020 1st quarter;7.7
366;Agriculture;Total greenhouse gases;2020 2nd quarter;6.2
367;Agriculture;Total greenhouse gases;2020 3rd quarter;6.0
368;Agriculture;Total greenhouse gases;2020 4th quarter;7.2
369;Agriculture;Total greenhouse gases;2020;27.1
370;Agriculture;Total greenhouse gases;2021 1st quarter;7.8
371;Agriculture;Total greenhouse gases;2021 2nd quarter;6.5
372;Agriculture;Total greenhouse gases;2021 3rd quarter;6.0
373;Agriculture;Total greenhouse gases;2021 4th quarter;6.8
374;Agriculture;Total greenhouse gases;2021;27.0
375;Agriculture;Total greenhouse gases;2022 1st quarter;7.0
376;Agriculture;Total greenhouse gases;2022 2nd quarter;5.9
377;Agriculture;Total greenhouse gases;2022 3rd quarter;5.4
378;Agriculture;Total greenhouse gases;2022 4th quarter;6.1
379;Agriculture;Total greenhouse gases;2022;24.4
380;Agriculture;Total greenhouse gases;2023 1st quarter;6.8
381;Agriculture;Total greenhouse gases;2023 2nd quarter;6.0
382;Agriculture;Total greenhouse gases;2023 3rd quarter;5.8
383;Agriculture;Total greenhouse gases;2023 4th quarter;6.3
384;Agriculture;Total greenhouse gases;2023;24.9
385;Agriculture;Total greenhouse gases;2024 1st quarter;7.0
386;Agriculture;Total greenhouse gases;2024 2nd quarter;6.1
387;Agriculture;Total greenhouse gases;2024 3rd quarter;5.7
388;Agriculture;Total greenhouse gases;2024 4th quarter;6.5
389;Agriculture;Total greenhouse gases;2024;25.3
390;Agriculture;Carbon dioxide (CO2);2019 1st quarter;2.8
391;Agriculture;Carbon dioxide (CO2);2019 2nd quarter;1.5
392;Agriculture;Carbon dioxide (CO2);2019 3rd quarter;1.2
393;Agriculture;Carbon dioxide (CO2);2019 4th quarter;2.3
394;Agriculture;Carbon dioxide (CO2);2019;7.8
395;Agriculture;Carbon dioxide (CO2);2020 1st quarter;2.6
396;Agriculture;Carbon dioxide (CO2);2020 2nd quarter;1.4
397;Agriculture;Carbon dioxide (CO2);2020 3rd quarter;1.2
398;Agriculture;Carbon dioxide (CO2);2020 4th quarter;2.3
399;Agriculture;Carbon dioxide (CO2);2020;7.5
400;Agriculture;Carbon dioxide (CO2);2021 1st quarter;2.8
401;Agriculture;Carbon dioxide (CO2);2021 2nd quarter;1.7
402;Agriculture;Carbon dioxide (CO2);2021 3rd quarter;1.3
403;Agriculture;Carbon dioxide (CO2);2021 4th quarter;1.9
404;Agriculture;Carbon dioxide (CO2);2021;7.7
405;Agriculture;Carbon dioxide (CO2);2022 1st quarter;2.1
406;Agriculture;Carbon dioxide (CO2);2022 2nd quarter;1.2
407;Agriculture;Carbon dioxide (CO2);2022 3rd quarter;0.8
408;Agriculture;Carbon dioxide (CO2);2022 4th quarter;1.4
409;Agriculture;Carbon dioxide (CO2);2022;5.5
410;Agriculture;Carbon dioxide (CO2);2023 1st quarter;2.0
411;Agriculture;Carbon dioxide (CO2);2023 2nd quarter;1.3
412;Agriculture;Carbon dioxide (CO2);2023 3rd quarter;1.1
413;Agriculture;Carbon dioxide (CO2);2023 4th quarter;1.6
414;Agriculture;Carbon dioxide (CO2);2023;6.0
415;Agriculture;Carbon dioxide (CO2);2024 1st quarter;2.1
416;Agriculture;Carbon dioxide (CO2);2024 2nd quarter;1.3
417;Agriculture;Carbon dioxide (CO2);2024 3rd quarter;1.0
418;Agriculture;Carbon dioxide (CO2);2024 4th quarter;1.8
419;Agriculture;Carbon dioxide (CO2);2024;6.3
420;Agriculture;Other greenhouse gases;2019 1st quarter;5.1
421;Agriculture;Other greenhouse gases;2019 2nd quarter;4.9
422;Agriculture;Other greenhouse gases;2019 3rd quarter;4.8
423;Agriculture;Other greenhouse gases;2019 4th quarter;5.0
424;Agriculture;Other greenhouse gases;2019;19.7
425;Agriculture;Other greenhouse gases;2020 1st quarter;5.0
426;Agriculture;Other greenhouse gases;2020 2nd quarter;4.8
427;Agriculture;Other greenhouse gases;2020 3rd quarter;4.8
428;Agriculture;Other greenhouse gases;2020 4th quarter;5.0
429;Agriculture;Other greenhouse gases;2020;19.6
430;Agriculture;Other greenhouse gases;2021 1st quarter;5.0
431;Agriculture;Other greenhouse gases;2021 2nd quarter;4.8
432;Agriculture;Other greenhouse gases;2021 3rd quarter;4.7
433;Agriculture;Other greenhouse gases;2021 4th quarter;4.8
434;Agriculture;Other greenhouse gases;2021;19.3
435;Agriculture;Other greenhouse gases;2022 1st quarter;4.9
436;Agriculture;Other greenhouse gases;2022 2nd quarter;4.7
437;Agriculture;Other greenhouse gases;2022 3rd quarter;4.6
438;Agriculture;Other greenhouse gases;2022 4th quarter;4.7
439;Agriculture;Other greenhouse gases;2022;18.9
440;Agriculture;Other greenhouse gases;2023 1st quarter;4.8
441;Agriculture;Other greenhouse gases;2023 2nd quarter;4.7
442;Agriculture;Other greenhouse gases;2023 3rd quarter;4.7
443;Agriculture;Other greenhouse gases;2023 4th quarter;4.8
444;Agriculture;Other greenhouse gases;2023;18.9
445;Agriculture;Other greenhouse gases;2024 1st quarter;4.9
446;Agriculture;Other greenhouse gases;2024 2nd quarter;4.7
447;Agriculture;Other greenhouse gases;2024 3rd quarter;4.7
448;Agriculture;Other greenhouse gases;2024 4th quarter;4.8
449;Agriculture;Other greenhouse gases;2024;19.0
450;Built Environment;Total greenhouse gases;2019 1st quarter;10.5
451;Built Environment;Total greenhouse gases;2019 2nd quarter;2.9
452;Built Environment;Total greenhouse gases;2019 3rd quarter;1.3
453;Built Environment;Total greenhouse gases;2019 4th quarter;8.5
454;Built Environment;Total greenhouse gases;2019;23.3
455;Built Environment;Total greenhouse gases;2020 1st quarter;9.8
456;Built Environment;Total greenhouse gases;2020 2nd quarter;2.6
457;Built Environment;Total greenhouse gases;2020 3rd quarter;1.4
