ID;KenmerkenLeasevoertuig;Perioden;Prijsindex_1;Kwartaalmutatie_2;Jaarmutatie_3;Weegfactoren_4;Prijsindex_5;Kwartaalmutatie_6;Jaarmutatie_7;Weegfactoren_8
65;Lease personen- en bestelauto's;2014 3e kwartaal;100.8;-0.2;-0.3;;103.3;-0.5;-1.0;
66;Lease personen- en bestelauto's;2014 4e kwartaal;101.0;0.2;0.3;;102.3;-1.0;-0.7;
67;Lease personen- en bestelauto's;2014;101.1;;0.1;;103.4;;-0.6;
68;Lease personen- en bestelauto's;2015 1e kwartaal;101.0;0.1;-0.6;100.0;100.9;-1.4;-3.1;100.0
69;Lease personen- en bestelauto's;2015 2e kwartaal;99.8;-1.3;-1.2;100.0;100.5;-0.4;-3.2;100.0
70;Lease personen- en bestelauto's;2015 3e kwartaal;99.6;-0.2;-1.2;100.0;99.6;-0.9;-3.6;100.0
71;Lease personen- en bestelauto's;2015 4e kwartaal;99.6;0.0;-1.4;100.0;99.0;-0.6;-3.2;100.0
72;Lease personen- en bestelauto's;2015;100.0;;-1.1;100.0;100.0;;-3.3;100.0
73;Lease personen- en bestelauto's;2016 1e kwartaal;100.7;1.2;-0.3;100.0;98.4;-0.6;-2.5;100.0
74;Lease personen- en bestelauto's;2016 2e kwartaal;100.7;0.0;1.0;100.0;99.0;0.6;-1.6;100.0
75;Lease personen- en bestelauto's;2016 3e kwartaal;100.1;-0.6;0.5;100.0;98.3;-0.7;-1.3;100.0
76;Lease personen- en bestelauto's;2016 4e kwartaal;100.3;0.2;0.7;100.0;99.3;1.1;0.3;100.0
77;Lease personen- en bestelauto's;2016;100.5;;0.5;100.0;98.8;;-1.2;100.0
78;Lease personen- en bestelauto's;2017 1e kwartaal;100.7;0.4;0.0;100.0;100.7;1.4;2.4;100.0
79;Lease personen- en bestelauto's;2017 2e kwartaal;100.4;-0.4;-0.4;100.0;99.8;-0.9;0.9;100.0
80;Lease personen- en bestelauto's;2017 3e kwartaal;100.2;-0.2;0.1;100.0;99.1;-0.8;0.8;100.0
81;Lease personen- en bestelauto's;2017 4e kwartaal;100.9;0.8;0.6;100.0;100.1;1.1;0.8;100.0
82;Lease personen- en bestelauto's;2017;100.6;;0.1;100.0;99.9;;1.2;100.0
83;Lease personen- en bestelauto's;2018 1e kwartaal;101.3;0.4;0.6;100.0;100.7;0.6;0.0;100.0
84;Lease personen- en bestelauto's;2018 2e kwartaal;102.9;1.5;2.5;100.0;103.9;3.1;4.0;100.0
85;Lease personen- en bestelauto's;2018 3e kwartaal;103.3;0.4;3.1;100.0;104.5;0.6;5.5;100.0
86;Lease personen- en bestelauto's;2018 4e kwartaal;105.1;1.7;4.1;100.0;106.3;1.8;6.2;100.0
87;Lease personen- en bestelauto's;2018;103.1;;2.6;100.0;103.8;;3.9;100.0
88;Lease personen- en bestelauto's;2019 1e kwartaal;108.0;2.8;6.6;100.0;107.6;1.2;6.8;100.0
89;Lease personen- en bestelauto's;2019 2e kwartaal;107.2;-0.7;4.2;100.0;107.8;0.1;3.8;100.0
90;Lease personen- en bestelauto's;2019 3e kwartaal;106.2;-0.9;2.8;100.0;106.4;-1.3;1.8;100.0
91;Lease personen- en bestelauto's;2019 4e kwartaal;107.7;1.4;2.5;100.0;107.7;1.3;1.3;100.0
92;Lease personen- en bestelauto's;2019;107.3;;4.0;100.0;107.4;;3.4;100.0
93;Lease personen- en bestelauto's;2020 1e kwartaal;109.7;1.8;1.5;100.0;108.9;1.1;1.2;100.0
94;Lease personen- en bestelauto's;2020 2e kwartaal;111.7;1.8;4.2;100.0;108.7;-0.2;0.9;100.0
95;Lease personen- en bestelauto's;2020 3e kwartaal;111.3;-0.3;4.8;100.0;109.7;1.0;3.2;100.0
96;Lease personen- en bestelauto's;2020 4e kwartaal;111.5;0.1;3.5;100.0;108.9;-0.8;1.1;100.0
97;Lease personen- en bestelauto's;2020;111.0;;3.5;100.0;109.0;;1.6;100.0
98;Lease personen- en bestelauto's;2021 1e kwartaal;113.5;1.8;3.5;100.0;111.7;2.6;2.6;100.0
99;Lease personen- en bestelauto's;2021 2e kwartaal;113.2;-0.2;1.4;100.0;113.3;1.4;4.2;100.0
100;Lease personen- en bestelauto's;2021 3e kwartaal;113.6;0.4;2.1;100.0;114.3;0.9;4.2;100.0
101;Lease personen- en bestelauto's;2021 4e kwartaal;114.8;1.0;2.9;100.0;117.9;3.1;8.3;100.0
102;Lease personen- en bestelauto's;2021;113.8;;2.5;100.0;114.3;;4.8;100.0
103;Lease personen- en bestelauto's;2022 1e kwartaal;118.2;3.0;4.1;100.0;121.3;2.8;8.6;100.0
104;Lease personen- en bestelauto's;2022 2e kwartaal;122.8;3.9;8.5;100.0;128.2;5.7;13.1;100.0
105;Lease personen- en bestelauto's;2022 3e kwartaal;126.5;3.0;11.3;100.0;131.0;2.2;14.6;100.0
106;Lease personen- en bestelauto's;2022 4e kwartaal;131.3;3.8;14.4;100.0;135.3;3.3;14.8;100.0
107;Lease personen- en bestelauto's;2022;124.7;;9.6;100.0;128.9;;12.8;100.0
108;Lease personen- en bestelauto's;2023 1e kwartaal;136.5;4.0;15.5;100.0;136.5;0.9;12.5;100.0
109;Lease personen- en bestelauto's;2023 2e kwartaal;136.7;0.1;11.2;100.0;134.7;-1.3;5.1;100.0
110;Lease personen- en bestelauto's;2023 3e kwartaal;136.5;-0.1;7.9;100.0;137.0;1.7;4.6;100.0
111;Lease personen- en bestelauto's;2023 4e kwartaal;138.0;1.1;5.1;100.0;139.0;1.4;2.7;100.0
112;Lease personen- en bestelauto's;2023;136.9;;9.8;100.0;136.8;;6.1;100.0
113;Lease zakelijke personenauto's;2001 3e kwartaal;76.3;;;;75.2;;;
114;Lease zakelijke personenauto's;2001 4e kwartaal;75.9;-0.5;;;74.2;-1.3;;
115;Lease zakelijke personenauto's;2001;;;;;;;;
116;Lease zakelijke personenauto's;2002 1e kwartaal;77.6;2.1;;;75.5;1.8;;
117;Lease zakelijke personenauto's;2002 2e kwartaal;78.5;1.3;;;76.9;1.8;;
118;Lease zakelijke personenauto's;2002 3e kwartaal;78.3;-0.3;2.7;;76.5;-0.5;1.7;
119;Lease zakelijke personenauto's;2002 4e kwartaal;78.3;-0.1;3.1;;76.4;-0.1;2.9;
120;Lease zakelijke personenauto's;2002;78.2;;;;76.3;;;
121;Lease zakelijke personenauto's;2003 1e kwartaal;79.7;1.8;2.7;;78.3;2.6;3.8;
122;Lease zakelijke personenauto's;2003 2e kwartaal;79.5;-0.2;1.3;;77.4;-1.2;0.7;
123;Lease zakelijke personenauto's;2003 3e kwartaal;80.7;1.5;3.0;;78.6;1.5;2.8;
124;Lease zakelijke personenauto's;2003 4e kwartaal;81.9;1.5;4.6;;79.2;0.8;3.8;
125;Lease zakelijke personenauto's;2003 ;80.5;;2.9;;78.4;;2.7;
126;Lease zakelijke personenauto's;2004 1e kwartaal;83.2;1.7;4.5;;80.6;1.7;2.9;
127;Lease zakelijke personenauto's;2004 2e kwartaal;84.2;1.1;5.8;;82.3;2.2;6.4;
128;Lease zakelijke personenauto's;2004 3e kwartaal;84.1;-0.1;4.2;;82.7;0.4;5.2;
129;Lease zakelijke personenauto's;2004 4e kwartaal;84.1;0.0;2.7;;83.3;0.7;5.1;
130;Lease zakelijke personenauto's;2004;83.9;;4.3;;82.2;;4.9;
131;Lease zakelijke personenauto's;2005 1e kwartaal;86.7;3.1;4.2;;84.9;1.9;5.3;
132;Lease zakelijke personenauto's;2005 2e kwartaal;87.8;1.2;4.3;;86.8;2.2;5.4;
133;Lease zakelijke personenauto's;2005 3e kwartaal;88.4;0.8;5.1;;88.7;2.2;7.2;
134;Lease zakelijke personenauto's;2005 4e kwartaal;89.5;1.2;6.4;;89.4;0.8;7.3;
135;Lease zakelijke personenauto's;2005;88.1;;5.0;;87.4;;6.3;
136;Lease zakelijke personenauto's;2006 1e kwartaal;90.7;1.3;4.6;;90.6;1.4;6.8;
137;Lease zakelijke personenauto's;2006 2e kwartaal;91.6;1.0;4.4;;92.0;1.5;6.1;
138;Lease zakelijke personenauto's;2006 3e kwartaal;91.9;0.2;3.9;;92.5;0.5;4.3;
139;Lease zakelijke personenauto's;2006 4e kwartaal;92.2;0.4;3.0;;91.1;-1.5;1.9;
140;Lease zakelijke personenauto's;2006;91.6;;4.0;;91.6;;4.7;
141;Lease zakelijke personenauto's;2007 1e kwartaal;93.4;1.2;2.9;;92.3;1.3;1.8;
142;Lease zakelijke personenauto's;2007 2e kwartaal;93.8;0.5;2.4;;94.0;1.8;2.1;
143;Lease zakelijke personenauto's;2007 3e kwartaal;94.0;0.2;2.4;;93.9;-0.1;1.5;
144;Lease zakelijke personenauto's;2007 4e kwartaal;94.0;-0.1;1.9;;94.8;1.0;4.0;
145;Lease zakelijke personenauto's;2007;93.8;;2.4;;93.7;;2.3;
146;Lease zakelijke personenauto's;2008 1e kwartaal;92.4;-1.7;-1.1;;94.0;-0.8;1.8;
147;Lease zakelijke personenauto's;2008 2e kwartaal;93.4;1.1;-0.4;;96.4;2.6;2.6;
148;Lease zakelijke personenauto's;2008 3e kwartaal;94.5;1.2;0.5;;98.1;1.8;4.5;
149;Lease zakelijke personenauto's;2008 4e kwartaal;94.9;0.4;1.0;;95.8;-2.3;1.1;
150;Lease zakelijke personenauto's;2008;93.8;;0.0;;96.1;;2.5;
151;Lease zakelijke personenauto's;2009 1e kwartaal;96.3;1.5;4.3;;95.8;0.0;2.0;
152;Lease zakelijke personenauto's;2009 2e kwartaal;96.6;0.3;3.4;;96.4;0.6;0.0;
153;Lease zakelijke personenauto's;2009 3e kwartaal;97.3;0.7;3.0;;97.6;1.2;-0.5;
154;Lease zakelijke personenauto's;2009 4e kwartaal;97.3;0.0;2.5;;98.0;0.5;2.3;
155;Lease zakelijke personenauto's;2009;96.9;;3.3;;97.0;;0.9;
156;Lease zakelijke personenauto's;2010 1e kwartaal;98.5;1.2;2.2;;99.4;1.4;3.8;
157;Lease zakelijke personenauto's;2010 2e kwartaal;98.1;-0.4;1.5;;100.3;0.9;4.1;
158;Lease zakelijke personenauto's;2010 3e kwartaal;97.5;-0.5;0.2;;99.6;-0.7;2.1;
159;Lease zakelijke personenauto's;2010 4e kwartaal;97.8;0.3;0.5;;100.2;0.6;2.2;
160;Lease zakelijke personenauto's;2010;98.0;;1.1;;99.9;;3.0;
161;Lease zakelijke personenauto's;2011 1e kwartaal;99.4;1.6;1.0;;102.8;2.6;3.4;
162;Lease zakelijke personenauto's;2011 2e kwartaal;99.8;0.4;1.8;;104.0;1.2;3.6;
163;Lease zakelijke personenauto's;2011 3e kwartaal;98.9;-0.9;1.4;;102.9;-1.1;3.3;
164;Lease zakelijke personenauto's;2011 4e kwartaal;98.9;0.0;1.1;;102.5;-0.4;2.3;
165;Lease zakelijke personenauto's;2011;99.3;;1.3;;103.0;;3.2;
166;Lease zakelijke personenauto's;2012 1e kwartaal;98.9;0.0;-0.5;;103.3;0.8;0.6;
167;Lease zakelijke personenauto's;2012 2e kwartaal;98.9;0.0;-0.9;;103.5;0.1;-0.5;
168;Lease zakelijke personenauto's;2012 3e kwartaal;99.8;0.9;0.9;;103.9;0.4;1.0;
169;Lease zakelijke personenauto's;2012 4e kwartaal;99.7;0.0;0.8;;103.7;-0.2;1.2;
170;Lease zakelijke personenauto's;2012;99.3;;0.1;;103.6;;0.6;
171;Lease zakelijke personenauto's;2013 1e kwartaal;100.8;1.0;1.9;;104.3;0.5;0.9;
172;Lease zakelijke personenauto's;2013 2e kwartaal;100.5;-0.3;1.6;;103.3;-0.9;-0.1;
173;Lease zakelijke personenauto's;2013 3e kwartaal;100.5;0.0;0.7;;103.7;0.4;-0.2;
174;Lease zakelijke personenauto's;2013 4e kwartaal;100.2;-0.2;0.5;;102.4;-1.2;-1.3;
175;Lease zakelijke personenauto's;2013;100.5;;1.2;;103.4;;-0.2;
176;Lease zakelijke personenauto's;2014 1e kwartaal;101.2;1.0;0.5;;103.6;1.1;-0.7;
177;Lease zakelijke personenauto's;2014 2e kwartaal;100.6;-0.6;0.2;;103.3;-0.2;0.0;
178;Lease zakelijke personenauto's;2014 3e kwartaal;100.4;-0.3;-0.1;;102.8;-0.5;-0.9;
179;Lease zakelijke personenauto's;2014 4e kwartaal;100.5;0.2;0.3;;101.9;-0.9;-0.6;
180;Lease zakelijke personenauto's;2014;100.7;;0.2;;102.9;;-0.5;
181;Lease zakelijke personenauto's;2015 1e kwartaal;101.1;0.6;-0.1;69.9;100.9;-0.9;-2.6;77.7
182;Lease zakelijke personenauto's;2015 2e kwartaal;99.6;-1.5;-1.1;69.9;100.2;-0.7;-3.0;77.7
183;Lease zakelijke personenauto's;2015 3e kwartaal;99.5;0.0;-0.8;69.9;99.7;-0.5;-3.0;77.7
184;Lease zakelijke personenauto's;2015 4e kwartaal;99.8;0.2;-0.7;69.9;99.2;-0.4;-2.6;77.7
185;Lease zakelijke personenauto's;2015;100.0;;-0.7;69.9;100.0;;-2.8;77.7
186;Lease zakelijke personenauto's;2016 1e kwartaal;100.8;1.0;-0.3;69.9;98.8;-0.4;-2.0;77.7
187;Lease zakelijke personenauto's;2016 2e kwartaal;100.7;-0.1;1.1;69.9;99.3;0.5;-0.9;77.7
188;Lease zakelijke personenauto's;2016 3e kwartaal;99.9;-0.7;0.4;69.9;98.6;-0.8;-1.1;77.7
189;Lease zakelijke personenauto's;2016 4e kwartaal;100.2;0.2;0.4;69.9;99.5;1.0;0.3;77.7
190;Lease zakelijke personenauto's;2016;100.4;;0.4;69.9;99.1;;-0.9;77.7
191;Lease zakelijke personenauto's;2017 1e kwartaal;100.7;0.5;-0.1;69.9;101.1;1.5;2.3;77.7
192;Lease zakelijke personenauto's;2017 2e kwartaal;100.3;-0.4;-0.4;69.9;100.1;-0.9;0.8;77.7
193;Lease zakelijke personenauto's;2017 3e kwartaal;100.2;-0.1;0.3;69.9;99.3;-0.8;0.7;77.7
194;Lease zakelijke personenauto's;2017 4e kwartaal;100.8;0.6;0.7;69.9;100.2;0.9;0.7;77.7
195;Lease zakelijke personenauto's;2017;100.5;;0.1;69.9;100.2;;1.1;77.7
196;Lease zakelijke personenauto's;2018 1e kwartaal;101.3;0.5;0.7;69.9;101.0;0.8;-0.1;77.7
197;Lease zakelijke personenauto's;2018 2e kwartaal;103.5;2.1;3.2;69.9;104.6;3.5;4.4;77.7
198;Lease zakelijke personenauto's;2018 3e kwartaal;104.3;0.9;4.1;69.9;105.6;0.9;6.3;77.7
199;Lease zakelijke personenauto's;2018 4e kwartaal;106.5;2.1;5.6;69.9;107.5;1.8;7.3;77.7
200;Lease zakelijke personenauto's;2018;103.9;;3.4;69.9;104.7;;4.5;77.7
201;Lease zakelijke personenauto's;2019 1e kwartaal;109.1;2.5;7.7;69.9;109.1;1.5;8.0;77.7
202;Lease zakelijke personenauto's;2019 2e kwartaal;108.3;-0.8;4.7;69.9;109.3;0.2;4.5;77.7
203;Lease zakelijke personenauto's;2019 3e kwartaal;107.3;-0.9;2.9;69.9;107.8;-1.3;2.1;77.7
204;Lease zakelijke personenauto's;2019 4e kwartaal;108.4;1.0;1.8;69.9;108.7;0.8;1.1;77.7
205;Lease zakelijke personenauto's;2019;108.3;;4.2;69.9;108.7;;3.9;77.7
206;Lease zakelijke personenauto's;2020 1e kwartaal;110.0;1.5;0.8;69.9;109.8;1.0;0.6;77.7
207;Lease zakelijke personenauto's;2020 2e kwartaal;112.0;1.8;3.4;69.9;110.2;0.4;0.9;77.7
208;Lease zakelijke personenauto's;2020 3e kwartaal;111.4;-0.5;3.8;69.9;111.7;1.4;3.6;77.7
209;Lease zakelijke personenauto's;2020 4e kwartaal;111.4;0.0;2.8;69.9;111.1;-0.6;2.2;77.7
210;Lease zakelijke personenauto's;2020;111.2;;2.7;69.9;110.7;;1.8;77.7
211;Lease zakelijke personenauto's;2021 1e kwartaal;113.2;1.5;2.9;69.9;113.5;2.2;3.3;77.7
212;Lease zakelijke personenauto's;2021 2e kwartaal;113.1;-0.1;1.0;69.9;114.7;1.1;4.1;77.7
213;Lease zakelijke personenauto's;2021 3e kwartaal;113.2;0.1;1.6;69.9;115.6;0.7;3.4;77.7
214;Lease zakelijke personenauto's;2021 4e kwartaal;113.7;0.4;2.0;69.9;118.3;2.4;6.5;77.7
215;Lease zakelijke personenauto's;2021;113.3;;1.9;69.9;115.5;;4.4;77.7
216;Lease zakelijke personenauto's;2022 1e kwartaal;116.3;2.3;2.7;69.9;121.4;2.6;7.0;77.7
217;Lease zakelijke personenauto's;2022 2e kwartaal;120.9;4.0;6.9;69.9;127.7;5.2;11.3;77.7
218;Lease zakelijke personenauto's;2022 3e kwartaal;123.7;2.3;9.3;69.9;130.3;2.1;12.8;77.7
219;Lease zakelijke personenauto's;2022 4e kwartaal;128.4;3.8;12.9;69.9;134.4;3.1;13.6;77.7
220;Lease zakelijke personenauto's;2022;122.3;;8.0;69.9;128.4;;11.2;77.7
221;Lease zakelijke personenauto's;2023 1e kwartaal;133.1;3.6;14.4;69.9;136.6;1.6;12.5;77.7
222;Lease zakelijke personenauto's;2023 2e kwartaal;133.7;0.5;10.6;69.9;135.8;-0.6;6.3;77.7
223;Lease zakelijke personenauto's;2023 3e kwartaal;133.4;-0.3;7.8;69.9;137.5;1.3;5.5;77.7
224;Lease zakelijke personenauto's;2023 4e kwartaal;135.1;1.3;5.2;69.9;139.5;1.4;3.8;77.7
225;Lease zakelijke personenauto's;2023;133.8;;9.4;69.9;137.3;;6.9;77.7
226;Personenauto's: diesel;2001 3e kwartaal;78.0;;;;74.7;;;
227;Personenauto's: diesel;2001 4e kwartaal;77.7;-0.4;;;74.0;-0.9;;
228;Personenauto's: diesel;2001;;;;;;;;
229;Personenauto's: diesel;2002 1e kwartaal;79.0;1.6;;;74.7;1.0;;
230;Personenauto's: diesel;2002 2e kwartaal;79.8;1.1;;;75.9;1.6;;
231;Personenauto's: diesel;2002 3e kwartaal;79.6;-0.3;2.1;;75.4;-0.6;1.0;
232;Personenauto's: diesel;2002 4e kwartaal;79.6;0.0;2.5;;75.6;0.2;2.2;
233;Personenauto's: diesel;2002;79.5;;;;75.4;;;
234;Personenauto's: diesel;2003 1e kwartaal;81.1;1.9;2.7;;77.4;2.4;3.6;
235;Personenauto's: diesel;2003 2e kwartaal;80.8;-0.4;1.3;;76.3;-1.4;0.6;
236;Personenauto's: diesel;2003 3e kwartaal;81.8;1.1;2.7;;77.2;1.1;2.3;
237;Personenauto's: diesel;2003 4e kwartaal;82.8;1.2;3.9;;78.0;1.1;3.2;
238;Personenauto's: diesel;2003 ;81.6;;2.7;;77.2;;2.4;
239;Personenauto's: diesel;2004 1e kwartaal;84.1;1.7;3.7;;79.2;1.5;2.3;
240;Personenauto's: diesel;2004 2e kwartaal;85.0;1.1;5.2;;80.7;2.0;5.8;
241;Personenauto's: diesel;2004 3e kwartaal;85.0;0.0;4.0;;81.5;0.9;5.6;
242;Personenauto's: diesel;2004 4e kwartaal;85.0;0.0;2.7;;82.3;1.0;5.5;
243;Personenauto's: diesel;2004;84.8;;3.9;;80.9;;4.8;
244;Personenauto's: diesel;2005 1e kwartaal;87.4;2.8;3.9;;83.6;1.7;5.6;
245;Personenauto's: diesel;2005 2e kwartaal;88.1;0.8;3.6;;85.4;2.1;5.8;
246;Personenauto's: diesel;2005 3e kwartaal;88.8;0.8;4.4;;87.1;2.0;6.9;
247;Personenauto's: diesel;2005 4e kwartaal;89.9;1.2;5.7;;88.0;1.0;7.0;
248;Personenauto's: diesel;2005;88.5;;4.4;;86.0;;6.3;
249;Personenauto's: diesel;2006 1e kwartaal;91.0;1.3;4.2;;90.6;3.0;8.3;
250;Personenauto's: diesel;2006 2e kwartaal;92.4;1.5;4.9;;92.3;1.9;8.1;
251;Personenauto's: diesel;2006 3e kwartaal;92.5;0.1;4.1;;92.5;0.2;6.2;
252;Personenauto's: diesel;2006 4e kwartaal;93.0;0.6;3.5;;91.7;-0.9;4.2;
253;Personenauto's: diesel;2006;92.2;;4.2;;91.8;;6.7;
254;Personenauto's: diesel;2007 1e kwartaal;94.4;1.5;3.7;;92.8;1.2;2.4;
255;Personenauto's: diesel;2007 2e kwartaal;94.8;0.4;2.6;;93.8;1.0;1.5;
256;Personenauto's: diesel;2007 3e kwartaal;94.9;0.1;2.6;;94.2;0.5;1.9;
257;Personenauto's: diesel;2007 4e kwartaal;94.5;-0.4;1.6;;95.3;1.1;3.9;
258;Personenauto's: diesel;2007;94.6;;2.6;;94.0;;2.4;
259;Personenauto's: diesel;2008 1e kwartaal;92.9;-1.7;-1.6;;94.5;-0.8;1.8;
260;Personenauto's: diesel;2008 2e kwartaal;94.1;1.3;-0.7;;97.7;3.4;4.2;
261;Personenauto's: diesel;2008 3e kwartaal;95.4;1.3;0.5;;99.6;1.9;5.7;
262;Personenauto's: diesel;2008 4e kwartaal;96.1;0.8;1.7;;98.0;-1.6;2.9;
263;Personenauto's: diesel;2008;94.6;;0.0;;97.5;;3.7;
264;Personenauto's: diesel;2009 1e kwartaal;97.6;1.5;5.0;;97.7;-0.4;3.3;
