ID;Geslacht;Geboorteplaats;Regio;Bewoners_1
25;Totaal mannen en vrouwen;Totale bevolking;Haarlem;119700
26;Totaal mannen en vrouwen;Totale bevolking;Groningen;105146
27;Totaal mannen en vrouwen;Totale bevolking;Eindhoven;94948
28;Totaal mannen en vrouwen;Totale bevolking;Nijmegen;81716
29;Totaal mannen en vrouwen;Totale bevolking;Tilburg;78804
30;Totaal mannen en vrouwen;Totale bevolking;Arnhem;78234
31;Totaal mannen en vrouwen;Totale bevolking;Leiden;70825
32;Totaal mannen en vrouwen;Totale bevolking;Maastricht;60644
33;Totaal mannen en vrouwen;Totale bevolking;Apeldoorn;60452
34;Totaal mannen en vrouwen;Totale bevolking;Hilversum;57059
35;Totaal mannen en vrouwen;Totale bevolking;Dordrecht;56156
36;Totaal mannen en vrouwen;Totale bevolking;Schiedam;52805
37;Totaal mannen en vrouwen;Totale bevolking;Enschede;51805
38;Totaal mannen en vrouwen;Totale bevolking;Delft;50827
39;Totaal mannen en vrouwen;Totale bevolking;Leeuwarden;48548
40;Totaal mannen en vrouwen;Totale bevolking;Heerlen;46917
41;Totaal mannen en vrouwen;Totale bevolking;Breda;44649
42;Totaal mannen en vrouwen;Totale bevolking;'s-Hertogenbosch;42203
43;Totaal mannen en vrouwen;Totale bevolking;Velsen;41259
44;Totaal mannen en vrouwen;Totale bevolking;Emmen;40961
45;Totaal mannen en vrouwen;Totale bevolking;Zwolle;40496
46;Totaal mannen en vrouwen;Totale bevolking;Amersfoort;38549
47;Totaal mannen en vrouwen;Totale bevolking;Kerkrade;36705
48;Totaal mannen en vrouwen;Totale bevolking;Deventer;36221
49;Totaal mannen en vrouwen;Totale bevolking;Hengelo (O.);34338
50;Totaal mannen en vrouwen;Totale bevolking;Zaandam;33184
51;Totaal mannen en vrouwen;Totale bevolking;Almelo;32422
52;Totaal mannen en vrouwen;Totale bevolking;Lonneker;31129
53;Totaal mannen en vrouwen;Totale bevolking;Ede;30688
54;Totaal mannen en vrouwen;Totale bevolking;Helder (Den);29426
55;Totaal mannen en vrouwen;Totale bevolking;Gouda;29163
56;Totaal mannen en vrouwen;Totale bevolking;Alkmaar;28305
57;Totaal mannen en vrouwen;Totale bevolking;Vlaardingen;27855
58;Totaal mannen en vrouwen;Totale bevolking;Haarlemmermeer;26829
59;Totaal mannen en vrouwen;Totale bevolking;Helmond;25435
60;Totaal mannen en vrouwen;Totale bevolking;Bussum;25105
61;Totaal mannen en vrouwen;Totale bevolking;Zeist;24754
62;Totaal mannen en vrouwen;Totale bevolking;Rheden;24642
63;Totaal mannen en vrouwen;Totale bevolking;Venlo;24275
64;Totaal mannen en vrouwen;Totale bevolking;Roosendaal en Nispen;22093
65;Totaal mannen en vrouwen;Totale bevolking;Vlissingen;21716
66;Totaal mannen en vrouwen;Totale bevolking;Bergen op Zoom;21652
67;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Nederland;4728695
68;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Groningen (provincie);219018
69;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Friesland;244747
70;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Drenthe;137607
71;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Overijssel;322678
72;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Gelderland;525925
73;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Utrecht (provincie);216650
74;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Noord-Holland;873897
75;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Zuid-Holland;1160795
76;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Zeeland;155032
77;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Noord-Brabant;561917
78;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Limburg;310429
79;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Gemeenten met meer dan 100000 inwoners;1324693
80;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Gemeenten met 50001 - 100000 inwoners;446217
81;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Gemeenten met 20001 - 50000 inwoners;483539
82;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Gemeenten met 10001 - 20000 inwoners;673726
83;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Gemeenten met 5001 - 10000 inwoners;760122
84;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Gemeenten met 2001 - 5000 inwoners;753476
85;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Gemeenten met 1001 - 2000 inwoners;219060
86;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Gemeenten met 501 - 1000 inwoners;62278
87;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Gemeenten met 500 of minder inwoners;5584
88;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Amsterdam;508147
89;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Rotterdam;374576
90;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;'s-Gravenhage;235698
91;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Utrecht;93029
92;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Haarlem;58132
93;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Groningen;55111
94;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Eindhoven;39253
95;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Nijmegen;41603
96;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Tilburg;56085
97;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Arnhem;43575
98;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Leiden;48385
99;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Maastricht;41291
100;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Apeldoorn;32881
101;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Hilversum;22660
102;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Dordrecht;33701
103;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Schiedam;30493
104;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Enschede;23505
105;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Delft;32785
106;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Leeuwarden;23630
107;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Heerlen;15554
108;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Breda;19482
109;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;'s-Hertogenbosch;26857
110;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Velsen;16026
111;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Emmen;28057
112;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Zwolle;23721
113;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Amersfoort;18596
114;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Kerkrade;18060
115;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Deventer;21634
116;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Hengelo (O.);18122
117;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Zaandam;18434
118;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Almelo;18738
119;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Lonneker;13612
120;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Ede;19376
121;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Helder (Den);15562
122;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Gouda;18831
123;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Alkmaar;12797
124;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Vlaardingen;19852
125;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Haarlemmermeer;16002
126;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Helmond;16407
127;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Bussum;8170
128;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Zeist;9208
129;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Rheden;13880
130;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Venlo;14239
131;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Roosendaal en Nispen;14031
132;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Vlissingen;11172
133;Totaal mannen en vrouwen;Geboren in de huidige woongemeente;Bergen op Zoom;13489
134;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Nederland;1724238
135;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Groningen (provincie);124722
136;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Friesland;126847
137;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Drenthe;45150
138;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Overijssel;102509
139;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Gelderland;151961
140;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Utrecht (provincie);65532
141;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Noord-Holland;284817
142;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Zuid-Holland;423851
143;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Zeeland;70796
144;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Noord-Brabant;211261
145;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Limburg;116792
146;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Gemeenten met meer dan 100000 inwoners;297775
147;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Gemeenten met 50001 - 100000 inwoners;158881
148;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Gemeenten met 20001 - 50000 inwoners;209264
149;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Gemeenten met 10001 - 20000 inwoners;301430
150;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Gemeenten met 5001 - 10000 inwoners;294161
151;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Gemeenten met 2001 - 5000 inwoners;328392
152;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Gemeenten met 1001 - 2000 inwoners;96155
153;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Gemeenten met 501 - 1000 inwoners;33879
154;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Gemeenten met 500 of minder inwoners;4301
155;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Amsterdam;63915
156;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Rotterdam;94804
157;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;'s-Gravenhage;68611
158;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Utrecht;13786
159;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Haarlem;27533
160;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Groningen;29126
161;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Eindhoven;22139
162;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Nijmegen;15144
163;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Tilburg;13782
164;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Arnhem;13864
165;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Leiden;11338
166;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Maastricht;9773
167;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Apeldoorn;9155
168;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Hilversum;12798
169;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Dordrecht;12567
170;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Schiedam;14788
171;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Enschede;13132
172;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Delft;10401
173;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Leeuwarden;18036
174;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Heerlen;10099
175;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Breda;16106
176;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;'s-Hertogenbosch;7476
177;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Velsen;13168
178;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Emmen;6612
179;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Zwolle;7005
180;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Amersfoort;4517
181;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Kerkrade;6719
182;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Deventer;4238
183;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Hengelo (O.);8309
184;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Zaandam;8506
185;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Almelo;6234
186;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Lonneker;9846
187;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Ede;3880
188;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Helder (Den);6173
189;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Gouda;6603
190;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Alkmaar;10273
191;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Vlaardingen;6008
192;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Haarlemmermeer;4557
193;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Helmond;5870
194;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Bussum;8422
195;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Zeist;5313
196;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Rheden;5617
197;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Venlo;4506
198;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Roosendaal en Nispen;5322
199;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Vlissingen;5993
200;Totaal mannen en vrouwen;Geboren in een andere gem. in de prov.;Bergen op Zoom;3856
201;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Nederland;1204962
202;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Groningen (provincie);43736
203;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Friesland;24878
204;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Drenthe;37617
205;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Overijssel;81601
206;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Gelderland;128016
207;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Utrecht (provincie);115230
208;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Noord-Holland;297603
209;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Zuid-Holland;308427
210;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Zeeland;14533
211;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Noord-Brabant;101564
212;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Limburg;51757
213;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Gemeenten met meer dan 100000 inwoners;444411
214;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Gemeenten met 50001 - 100000 inwoners;156263
215;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Gemeenten met 20001 - 50000 inwoners;171617
216;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Gemeenten met 10001 - 20000 inwoners;160307
217;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Gemeenten met 5001 - 10000 inwoners;124736
218;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Gemeenten met 2001 - 5000 inwoners;111400
219;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Gemeenten met 1001 - 2000 inwoners;26589
220;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Gemeenten met 501 - 1000 inwoners;8706
221;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Gemeenten met 500 of minder inwoners;933
222;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Amsterdam;151276
223;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Rotterdam;99673
224;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;'s-Gravenhage;101213
225;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Utrecht;44188
226;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Haarlem;29318
227;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Groningen;18743
228;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Eindhoven;27820
229;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Nijmegen;20092
230;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Tilburg;6675
231;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Arnhem;17180
232;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Leiden;9400
233;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Maastricht;5843
234;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Apeldoorn;16796
235;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Hilversum;18905
236;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Dordrecht;8460
237;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Schiedam;6434
238;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Enschede;12015
239;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Delft;6643
240;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Leeuwarden;6019
241;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Heerlen;9221
242;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Breda;7536
243;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;'s-Hertogenbosch;6777
244;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Velsen;10983
245;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Emmen;5564
246;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Zwolle;9191
247;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Amersfoort;14369
248;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Kerkrade;2860
249;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Deventer;9332
250;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Hengelo (O.);6306
251;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Zaandam;5805
252;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Almelo;6161
253;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Lonneker;5892
254;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Ede;6947
255;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Helder (Den);7090
256;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Gouda;3366
257;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Alkmaar;4716
258;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Vlaardingen;1698
259;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Haarlemmermeer;6074
260;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Helmond;2317
261;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Bussum;6879
262;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Zeist;9172
263;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Rheden;4443
264;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Venlo;3168
265;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Roosendaal en Nispen;2093
266;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Vlissingen;3813
267;Totaal mannen en vrouwen;Geboren in een andere gem. in Nederland;Bergen op Zoom;3825
268;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Nederland;32616
269;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Groningen (provincie);337
270;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Friesland;168
271;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Drenthe;135
272;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Overijssel;578
273;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Gelderland;2936
274;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Utrecht (provincie);2427
275;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Noord-Holland;7583
276;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Zuid-Holland;16458
277;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Zeeland;263
278;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Noord-Brabant;1198
279;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Limburg;533
280;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Gemeenten met meer dan 100000 inwoners;19228
281;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Gemeenten met 50001 - 100000 inwoners;3970
282;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Gemeenten met 20001 - 50000 inwoners;2927
283;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Gemeenten met 10001 - 20000 inwoners;3947
284;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Gemeenten met 5001 - 10000 inwoners;1587
285;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Gemeenten met 2001 - 5000 inwoners;759
286;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Gemeenten met 1001 - 2000 inwoners;144
287;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Gemeenten met 501 - 1000 inwoners;54
288;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Gemeenten met 500 of minder inwoners;0
289;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Amsterdam;3706
290;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Rotterdam;1153
291;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;'s-Gravenhage;12244
292;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Utrecht;880
293;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Haarlem;1050
294;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Groningen;195
295;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Eindhoven;168
296;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Nijmegen;901
297;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Tilburg;72
298;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Arnhem;421
299;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Leiden;612
300;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Maastricht;114
301;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Apeldoorn;378
302;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Hilversum;722
303;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Dordrecht;157
304;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Schiedam;78
305;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Enschede;50
306;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Delft;297
307;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Leeuwarden;52
308;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Heerlen;63
309;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Breda;326
310;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;'s-Hertogenbosch;60
311;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Velsen;88
312;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Emmen;13
313;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Zwolle;45
314;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Amersfoort;381
315;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Kerkrade;15
316;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Deventer;233
317;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Hengelo (O.);61
318;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Zaandam;27
319;Totaal mannen en vrouwen;Geb. in Ned.-Indië, Suriname of Curaçao;Almelo;22
