ID;Sex;PersonalCharacteristics;Periods;TotalPopulationAged15YearsAndOlder_1;TotalLabourForceAccToInternatDef_2;EmpLabourForceAccToInternatDef_3;UnempLabourForceAccToInternatDef_4;PeopleNotIncludedInTheLabourForce_5;GrossLabourParticipation_6;NetLabourParticipation_7;UnemploymentAsAPercentage_8;TotalEmployees_9;EmployeesPermanentJobs_10;EmployeesFlexibleJobs_11;SelfEmployed_12;FamilyWorkers_13;k_0119HrsPerWeek_14;k_2034HrsPerWeek_15;k_35HrsPerWeek_16;WorkingHoursUnknown_17;Military_18;LegislatorsSeniorOfficialsManagers_19;ScientistsScholars_20;TechniciansSkilledWorkers_21;OfficeWorkers_22;ServiceShopAndMarketSalesWorkers_23;SkilledWorkersAgricultureAndFishery_24;Craftsmen_25;FactoryWorkersMachineOperatorsEtc_26;ElementaryOccupations_27;NotClassifiable_28
15;Total sex;25-34 yrs;2001;2398;2078;2035;44.0;319.0;86.7;84.9;2.1;1876.0;1727.0;149.0;151.0;7.0;200.0;405.0;1429.0;;9.0;214.0;384.0;441.0;255.0;223.0;23.0;212.0;131.0;111.0;31.0
16;Total sex;25-34 yrs;2002;2342;2023;1965;58.0;320.0;86.4;83.9;2.8;1803.0;1668.0;135.0;153.0;10.0;200.0;422.0;1341.0;2.0;10.0;211.0;388.0;421.0;237.0;213.0;24.0;197.0;125.0;112.0;29.0
17;Total sex;25-34 yrs;2003;2281;1995;1911;84.0;286.0;87.5;83.8;4.2;1752.0;1634.0;117.0;154.0;6.0;189.0;427.0;1292.0;2.0;9.0;195.0;393.0;437.0;208.0;215.0;26.0;185.0;111.0;103.0;30.0
18;Total sex;25-34 yrs;2004;2210;1932;1844;88.0;278.0;87.4;83.4;4.6;1695.0;1557.0;139.0;142.0;7.0;190.0;418.0;1233.0;3.0;9.0;143.0;415.0;400.0;227.0;226.0;23.0;183.0;114.0;95.0;9.0
19;Total sex;25-34 yrs;2005;2138;1872;1786;86.0;266.0;87.6;83.5;4.6;1649.0;1493.0;156.0;130.0;7.0;184.0;419.0;1180.0;2.0;12.0;132.0;394.0;379.0;223.0;227.0;18.0;178.0;104.0;103.0;17.0
20;Total sex;25-34 yrs;2006;2078;1825;1760;65.0;253.0;87.8;84.7;3.5;1614.0;1457.0;157.0;140.0;6.0;168.0;417.0;1173.0;2.0;10.0;145.0;394.0;361.0;213.0;231.0;22.0;169.0;91.0;98.0;25.0
21;Total sex;35-44 yrs;2000;2530;2137;2083;54.0;393.0;84.5;82.3;2.5;1814.0;1667.0;148.0;251.0;17.0;299.0;494.0;1290.0;;11.0;312.0;392.0;404.0;232.0;195.0;33.0;187.0;132.0;139.0;47.0
22;Total sex;35-44 yrs;2001;2559;2177;2130;47.0;382.0;85.1;83.2;2.2;1868.0;1741.0;127.0;249.0;12.0;309.0;513.0;1308.0;;10.0;323.0;391.0;402.0;257.0;216.0;26.0;204.0;131.0;142.0;27.0
23;Total sex;35-44 yrs;2002;2577;2182;2124;58.0;395.0;84.7;82.4;2.7;1857.0;1735.0;123.0;254.0;13.0;305.0;548.0;1269.0;2.0;8.0;320.0;414.0;411.0;239.0;202.0;28.0;196.0;132.0;149.0;26.0
24;Total sex;35-44 yrs;2003;2589;2197;2115;82.0;392.0;84.9;81.7;3.7;1850.0;1732.0;118.0;254.0;11.0;306.0;546.0;1261.0;3.0;8.0;321.0;405.0;415.0;234.0;207.0;24.0;186.0;136.0;147.0;33.0
25;Total sex;35-44 yrs;2004;2599;2211;2111;99.0;388.0;85.1;81.2;4.5;1822.0;1701.0;121.0;278.0;12.0;310.0;539.0;1258.0;4.0;10.0;239.0;428.0;429.0;266.0;233.0;28.0;196.0;145.0;130.0;8.0
26;Total sex;35-44 yrs;2005;2606;2226;2124;103.0;380.0;85.4;81.5;4.6;1829.0;1708.0;121.0;282.0;13.0;309.0;563.0;1250.0;2.0;7.0;256.0;421.0;404.0;273.0;238.0;25.0;199.0;136.0;142.0;21.0
27;Total sex;35-44 yrs;2006;2601;2232;2148;84.0;369.0;85.8;82.6;3.8;1827.0;1704.0;123.0;310.0;12.0;302.0;561.0;1282.0;3.0;7.0;273.0;416.0;425.0;261.0;237.0;24.0;196.0;142.0;144.0;25.0
28;Total sex;45-54 yrs;2000;2287;1763;1719;44.0;523.0;77.1;75.2;2.5;1444.0;1332.0;112.0;259.0;16.0;237.0;402.0;1080.0;;9.0;281.0;353.0;274.0;188.0;171.0;26.0;156.0;109.0;118.0;35.0
29;Total sex;45-54 yrs;2001;2298;1794;1754;40.0;504.0;78.0;76.3;2.2;1498.0;1396.0;102.0;242.0;14.0;239.0;419.0;1096.0;;9.0;295.0;350.0;283.0;194.0;173.0;18.0;157.0;115.0;136.0;24.0
30;Total sex;45-54 yrs;2002;2282;1804;1758;46.0;478.0;79.0;77.0;2.6;1510.0;1418.0;92.0;235.0;12.0;232.0;443.0;1080.0;3.0;7.0;270.0;367.0;294.0;200.0;169.0;19.0;167.0;114.0;129.0;22.0
31;Total sex;45-54 yrs;2003;2279;1832;1771;61.0;446.0;80.4;77.7;3.3;1514.0;1423.0;91.0;245.0;12.0;239.0;469.0;1061.0;2.0;7.0;278.0;356.0;324.0;202.0;174.0;19.0;153.0;109.0;122.0;28.0
32;Total sex;45-54 yrs;2004;2290;1842;1769;74.0;448.0;80.5;77.2;4.0;1519.0;1431.0;88.0;238.0;11.0;246.0;482.0;1038.0;2.0;7.0;209.0;390.0;325.0;225.0;194.0;20.0;157.0;113.0;122.0;6.0
33;Total sex;45-54 yrs;2005;2311;1873;1800;73.0;438.0;81.1;77.9;3.9;1528.0;1435.0;92.0;261.0;12.0;250.0;496.0;1052.0;3.0;7.0;225.0;389.0;328.0;225.0;185.0;19.0;166.0;110.0;129.0;19.0
34;Total sex;45-54 yrs;2006;2339;1913;1846;68.0;426.0;81.8;78.9;3.5;1565.0;1466.0;99.0;270.0;11.0;241.0;519.0;1083.0;3.0;7.0;253.0;396.0;331.0;221.0;194.0;21.0;158.0;113.0;132.0;22.0
35;Total sex;55-64 yrs;2000;1590;611;598;14.0;978.0;38.5;37.6;2.3;452.0;409.0;43.0;138.0;8.0;113.0;144.0;340.0;;;133.0;119.0;77.0;59.0;46.0;8.0;53.0;37.0;47.0;18.0
36;Total sex;55-64 yrs;2001;1658;661;649;11.0;997.0;39.9;39.2;1.7;507.0;458.0;49.0;134.0;8.0;127.0;150.0;371.0;;;123.0;131.0;89.0;65.0;60.0;11.0;60.0;47.0;56.0;7.0
37;Total sex;55-64 yrs;2002;1754;764;748;16.0;990.0;43.6;42.7;2.1;587.0;535.0;52.0;153.0;8.0;157.0;169.0;420.0;3.0;;135.0;164.0;101.0;70.0;69.0;13.0;74.0;48.0;62.0;12.0
38;Total sex;55-64 yrs;2003;1834;811;787;24.0;1023.0;44.2;42.9;3.0;621.0;566.0;56.0;158.0;8.0;156.0;195.0;432.0;4.0;;143.0;169.0;118.0;81.0;72.0;10.0;68.0;54.0;58.0;12.0
39;Total sex;55-64 yrs;2004;1897;874;839;34.0;1024.0;46.0;44.2;3.9;663.0;610.0;53.0;170.0;6.0;169.0;207.0;460.0;3.0;;117.0;193.0;131.0;92.0;85.0;10.0;79.0;63.0;65.0;3.0
40;Total sex;55-64 yrs;2005;1949;916;875;41.0;1033.0;47.0;44.9;4.5;693.0;636.0;57.0;174.0;8.0;184.0;218.0;470.0;3.0;;122.0;201.0;136.0;98.0;92.0;11.0;80.0;58.0;68.0;9.0
41;Total sex;55-64 yrs;2006;1997;980;937;43.0;1017.0;49.1;46.9;4.4;749.0;682.0;66.0;181.0;8.0;187.0;253.0;492.0;5.0;;136.0;206.0;136.0;102.0;96.0;14.0;88.0;63.0;86.0;10.0
42;Total sex;65-74 yrs;2000;1181;58;58;;1123.0;4.9;4.9;;23.0;8.0;15.0;35.0;;34.0;10.0;13.0;;;17.0;10.0;4.0;2.0;5.0;;3.0;4.0;3.0;9.0
43;Total sex;65-74 yrs;2001;1190;55;54;;1135.0;4.6;4.5;;21.0;8.0;14.0;31.0;;29.0;14.0;10.0;;;15.0;13.0;6.0;;5.0;;4.0;5.0;4.0;
44;Total sex;65-74 yrs;2002;1200;66;64;2.0;1135.0;5.5;5.3;2.6;25.0;8.0;17.0;38.0;;37.0;12.0;13.0;2.0;;21.0;15.0;9.0;4.0;5.0;;3.0;2.0;3.0;
45;Total sex;65-74 yrs;2003;1213;73;71;3.0;1140.0;6.1;5.8;3.5;33.0;15.0;18.0;37.0;;39.0;16.0;15.0;;;21.0;10.0;9.0;6.0;6.0;2.0;3.0;6.0;7.0;
46;Total sex;65-74 yrs;2004;1230;74;71;4.0;1156.0;6.0;5.7;5.0;31.0;13.0;19.0;38.0;;37.0;16.0;17.0;;;16.0;19.0;7.0;6.0;4.0;;3.0;7.0;7.0;
47;Total sex;65-74 yrs;2005;1248;84;82;2.0;1164.0;6.7;6.6;1.9;34.0;17.0;17.0;48.0;;49.0;16.0;17.0;;;21.0;18.0;10.0;5.0;7.0;2.0;4.0;5.0;10.0;
48;Total sex;65-74 yrs;2006;1264;93;89;4.0;1171.0;7.4;7.1;4.0;40.0;16.0;24.0;47.0;2.0;51.0;20.0;18.0;;;23.0;19.0;9.0;6.0;9.0;3.0;5.0;8.0;6.0;
49;Total sex;75 yrs and older;2000;839;6;6;;833.0;0.7;0.7;;2.0;;;4.0;;3.0;;2.0;;;2.0;2.0;;;;;;;;
50;Total sex;75 yrs and older;2001;857;9;9;;848.0;1.1;1.1;;;;;7.0;;4.0;2.0;3.0;;;3.0;2.0;;;;;;;;
51;Total sex;75 yrs and older;2002;873;11;11;;862.0;1.3;1.3;;3.0;;2.0;8.0;;7.0;2.0;2.0;;;4.0;3.0;2.0;;;;;;;
52;Total sex;75 yrs and older;2003;888;11;11;;877.0;1.2;1.2;;2.0;;2.0;8.0;;6.0;2.0;2.0;;;4.0;3.0;;;;;;;;
53;Total sex;75 yrs and older;2004;907;12;12;;895.0;1.3;1.3;;3.0;;3.0;8.0;;7.0;2.0;2.0;;;2.0;2.0;3.0;;;;;;;
54;Total sex;75 yrs and older;2005;922;10;10;;912.0;1.1;1.1;;4.0;;3.0;6.0;;6.0;2.0;2.0;;;3.0;3.0;;;;;;;2.0;
55;Total sex;75 yrs and older;2006;936;10;10;;926.0;1.1;1.1;;3.0;;2.0;8.0;;7.0;;;;;4.0;2.0;;;;;;;;
56;Total sex;15 - 19 yrs;2000;921;558;508;51.0;362.0;60.6;55.1;9.1;492.0;253.0;239.0;12.0;3.0;352.0;61.0;94.0;;;4.0;2.0;19.0;76.0;138.0;23.0;44.0;19.0;138.0;43.0
57;Total sex;15 - 19 yrs;2001;928;572;524;48.0;356.0;61.6;56.4;8.4;507.0;270.0;237.0;15.0;2.0;350.0;75.0;99.0;;3.0;2.0;3.0;23.0;78.0;145.0;27.0;45.0;23.0;168.0;7.0
58;Total sex;15 - 19 yrs;2002;942;567;515;52.0;376.0;60.1;54.6;9.2;499.0;256.0;243.0;13.0;2.0;363.0;73.0;76.0;2.0;3.0;2.0;4.0;22.0;68.0;159.0;22.0;42.0;15.0;169.0;8.0
59;Total sex;15 - 19 yrs;2003;957;564;504;59.0;393.0;58.9;52.7;10.5;490.0;265.0;225.0;11.0;4.0;357.0;70.0;74.0;3.0;3.0;3.0;2.0;19.0;71.0;155.0;25.0;39.0;15.0;168.0;5.0
60;Total sex;15 - 19 yrs;2004;967;564;500;64.0;403.0;58.3;51.7;11.3;485.0;242.0;242.0;13.0;2.0;364.0;63.0;70.0;3.0;3.0;4.0;3.0;18.0;59.0;161.0;23.0;36.0;15.0;175.0;
61;Total sex;15 - 19 yrs;2005;978;558;490;68.0;420.0;57.0;50.1;12.1;476.0;222.0;253.0;12.0;2.0;369.0;57.0;62.0;3.0;2.0;3.0;3.0;18.0;62.0;143.0;23.0;37.0;14.0;181.0;3.0
62;Total sex;15 - 19 yrs;2006;989;580;515;66.0;409.0;58.7;52.0;11.3;497.0;219.0;279.0;14.0;3.0;390.0;57.0;63.0;5.0;2.0;2.0;2.0;19.0;60.0;161.0;24.0;36.0;11.0;195.0;3.0
63;Total sex;20 - 24 yrs;2000;953;769;739;30.0;184.0;80.7;77.5;3.9;716.0;523.0;193.0;19.0;3.0;186.0;125.0;427.0;;7.0;24.0;58.0;119.0;117.0;154.0;18.0;91.0;48.0;75.0;28.0
64;Total sex;20 - 24 yrs;2001;960;769;739;31.0;191.0;80.1;76.9;4.0;716.0;535.0;181.0;20.0;2.0;183.0;130.0;425.0;;9.0;30.0;61.0;128.0;112.0;162.0;17.0;94.0;44.0;70.0;12.0
65;Total sex;20 - 24 yrs;2002;965;786;757;29.0;179.0;81.5;78.5;3.7;735.0;549.0;185.0;20.0;2.0;199.0;145.0;411.0;2.0;7.0;20.0;57.0;133.0;118.0;186.0;15.0;87.0;43.0;78.0;14.0
66;Total sex;20 - 24 yrs;2003;964;788;742;46.0;176.0;81.8;76.9;5.9;721.0;534.0;186.0;19.0;2.0;202.0;151.0;387.0;2.0;6.0;24.0;61.0;126.0;116.0;179.0;17.0;77.0;43.0;80.0;12.0
67;Total sex;20 - 24 yrs;2004;962;778;718;60.0;184.0;80.9;74.7;7.7;693.0;501.0;192.0;23.0;3.0;208.0;144.0;364.0;3.0;7.0;20.0;59.0;117.0;106.0;185.0;16.0;75.0;46.0;85.0;2.0
68;Total sex;20 - 24 yrs;2005;960;769;710;59.0;191.0;80.1;73.9;7.7;685.0;481.0;204.0;23.0;2.0;216.0;145.0;345.0;3.0;7.0;17.0;60.0;112.0;104.0;191.0;14.0;75.0;36.0;86.0;6.0
69;Total sex;20 - 24 yrs;2006;960;768;731;38.0;192.0;80.0;76.1;4.9;698.0;472.0;226.0;29.0;4.0;224.0;143.0;357.0;7.0;10.0;22.0;61.0;115.0;108.0;191.0;15.0;72.0;36.0;91.0;8.0
70;Total sex;25 - 29 yrs;2000;1141;1008;979;29.0;133.0;88.3;85.8;2.8;920.0;833.0;87.0;55.0;4.0;81.0;182.0;716.0;;7.0;90.0;179.0;196.0;124.0;126.0;14.0;108.0;62.0;52.0;23.0
71;Total sex;25 - 29 yrs;2001;1089;951;931;20.0;138.0;87.3;85.5;2.1;878.0;797.0;80.0;50.0;3.0;80.0;165.0;685.0;;6.0;74.0;180.0;212.0;119.0;112.0;11.0;98.0;54.0;47.0;17.0
72;Total sex;25 - 29 yrs;2002;1045;905;876;29.0;140.0;86.6;83.7;3.3;820.0;744.0;76.0;52.0;3.0;78.0;170.0;627.0;;7.0;72.0;172.0;197.0;109.0;105.0;11.0;87.0;50.0;53.0;14.0
73;Total sex;25 - 29 yrs;2003;1014;895;855;40.0;119.0;88.2;84.3;4.5;806.0;738.0;68.0;46.0;2.0;75.0;177.0;603.0;;6.0;66.0;173.0;208.0;97.0;103.0;11.0;85.0;47.0;44.0;13.0
74;Total sex;25 - 29 yrs;2004;995;878;830;47.0;117.0;88.2;83.4;5.4;779.0;698.0;81.0;48.0;4.0;77.0;181.0;571.0;;4.0;51.0;183.0;185.0;107.0;113.0;11.0;84.0;45.0;43.0;4.0
75;Total sex;25 - 29 yrs;2005;986;863;822;41.0;123.0;87.5;83.4;4.7;777.0;685.0;92.0;42.0;3.0;80.0;177.0;565.0;;8.0;45.0;175.0;180.0;102.0;116.0;10.0;84.0;43.0;51.0;8.0
76;Total sex;25 - 29 yrs;2006;985;866;831;35.0;119.0;87.9;84.4;4.0;780.0;685.0;95.0;47.0;4.0;74.0;185.0;572.0;;7.0;53.0;181.0;175.0;103.0;125.0;10.0;80.0;41.0;45.0;12.0
77;Total sex;30 - 34 yrs;2000;1308;1133;1108;25.0;176.0;86.6;84.7;2.2;1000.0;927.0;72.0;101.0;7.0;125.0;236.0;746.0;;3.0;153.0;199.0;232.0;126.0;119.0;15.0;104.0;74.0;61.0;23.0
78;Total sex;30 - 34 yrs;2001;1309;1127;1104;23.0;181.0;86.1;84.3;2.1;998.0;930.0;68.0;102.0;4.0;120.0;240.0;744.0;;4.0;140.0;204.0;229.0;136.0;111.0;12.0;113.0;77.0;63.0;14.0
79;Total sex;30 - 34 yrs;2002;1297;1118;1090;28.0;179.0;86.2;84.0;2.5;982.0;924.0;58.0;101.0;6.0;122.0;252.0;714.0;;3.0;138.0;215.0;223.0;128.0;108.0;13.0;111.0;75.0;59.0;16.0
80;Total sex;30 - 34 yrs;2003;1267;1101;1056;44.0;166.0;86.9;83.4;4.0;945.0;896.0;49.0;107.0;4.0;115.0;250.0;690.0;2.0;3.0;129.0;220.0;229.0;111.0;111.0;15.0;99.0;64.0;59.0;16.0
81;Total sex;30 - 34 yrs;2004;1215;1054;1014;41.0;161.0;86.8;83.4;3.9;917.0;859.0;58.0;94.0;4.0;113.0;237.0;662.0;;4.0;93.0;232.0;215.0;120.0;113.0;12.0;99.0;69.0;52.0;4.0
82;Total sex;30 - 34 yrs;2005;1152;1009;963;46.0;143.0;87.6;83.6;4.5;872.0;808.0;64.0;88.0;4.0;105.0;242.0;615.0;;4.0;87.0;219.0;199.0;120.0;110.0;8.0;94.0;61.0;52.0;9.0
83;Total sex;30 - 34 yrs;2006;1093;959;929;30.0;134.0;87.7;85.0;3.1;834.0;772.0;62.0;92.0;3.0;95.0;232.0;601.0;;3.0;92.0;212.0;186.0;111.0;105.0;12.0;89.0;50.0;54.0;14.0
84;Total sex;35 - 39 yrs;2000;1313;1116;1087;29.0;197.0;85.0;82.8;2.6;948.0;870.0;79.0;130.0;8.0;161.0;244.0;682.0;;6.0;166.0;186.0;218.0;126.0;100.0;18.0;101.0;72.0;68.0;24.0
85;Total sex;35 - 39 yrs;2001;1321;1124;1100;24.0;197.0;85.1;83.2;2.2;964.0;900.0;64.0;130.0;5.0;170.0;251.0;678.0;;4.0;171.0;194.0;211.0;128.0;110.0;14.0;109.0;72.0;71.0;15.0
86;Total sex;35 - 39 yrs;2002;1319;1131;1099;31.0;188.0;85.7;83.3;2.8;962.0;896.0;66.0;131.0;6.0;165.0;273.0;661.0;;3.0;156.0;217.0;220.0;125.0;104.0;13.0;102.0;71.0;74.0;14.0
87;Total sex;35 - 39 yrs;2003;1313;1118;1074;45.0;194.0;85.2;81.8;4.0;937.0;879.0;58.0;131.0;6.0;158.0;269.0;646.0;;3.0;162.0;202.0;217.0;115.0;110.0;11.0;100.0;67.0;68.0;17.0
88;Total sex;35 - 39 yrs;2004;1307;1117;1065;52.0;190.0;85.4;81.5;4.6;921.0;862.0;60.0;138.0;6.0;154.0;264.0;645.0;2.0;6.0;120.0;219.0;218.0;135.0;115.0;13.0;101.0;74.0;61.0;4.0
89;Total sex;35 - 39 yrs;2005;1304;1120;1067;52.0;184.0;85.9;81.9;4.7;928.0;868.0;60.0;135.0;5.0;152.0;282.0;633.0;;4.0;124.0;217.0;206.0;135.0;122.0;14.0;100.0;64.0;70.0;11.0
90;Total sex;35 - 39 yrs;2006;1296;1117;1076;42.0;179.0;86.2;83.0;3.7;919.0;859.0;60.0;150.0;6.0;147.0;278.0;649.0;2.0;3.0;135.0;213.0;215.0;128.0;118.0;12.0;100.0;71.0;67.0;14.0
91;Total sex;40 - 44 yrs;2000;1217;1021;996;25.0;196.0;83.9;81.9;2.4;866.0;797.0;69.0;121.0;9.0;138.0;250.0;608.0;;4.0;146.0;206.0;186.0;106.0;94.0;15.0;87.0;60.0;70.0;22.0
92;Total sex;40 - 44 yrs;2001;1238;1053;1030;23.0;185.0;85.1;83.2;2.2;904.0;841.0;63.0;119.0;7.0;139.0;262.0;629.0;;6.0;153.0;197.0;191.0;128.0;106.0;12.0;95.0;59.0;72.0;12.0
93;Total sex;40 - 44 yrs;2002;1258;1051;1025;27.0;207.0;83.6;81.4;2.5;895.0;839.0;56.0;123.0;6.0;140.0;276.0;608.0;;5.0;164.0;197.0;191.0;114.0;98.0;14.0;94.0;61.0;74.0;12.0
94;Total sex;40 - 44 yrs;2003;1276;1079;1042;37.0;197.0;84.5;81.6;3.4;913.0;853.0;60.0;124.0;5.0;148.0;277.0;615.0;2.0;5.0;159.0;203.0;197.0;120.0;96.0;13.0;86.0;69.0;79.0;16.0
95;Total sex;40 - 44 yrs;2004;1292;1094;1046;48.0;198.0;84.7;81.0;4.4;900.0;839.0;61.0;140.0;6.0;156.0;275.0;613.0;3.0;4.0;119.0;210.0;211.0;131.0;119.0;14.0;95.0;70.0;69.0;5.0
96;Total sex;40 - 44 yrs;2005;1303;1106;1056;50.0;196.0;84.9;81.1;4.5;901.0;840.0;62.0;147.0;8.0;157.0;281.0;617.0;;4.0;132.0;204.0;199.0;137.0;116.0;12.0;99.0;71.0;72.0;11.0
97;Total sex;40 - 44 yrs;2006;1304;1114;1072;42.0;190.0;85.4;82.2;3.8;907.0;845.0;62.0;159.0;6.0;155.0;283.0;632.0;2.0;5.0;137.0;203.0;210.0;133.0;118.0;12.0;95.0;70.0;77.0;11.0
98;Total sex;45 - 49 yrs;2000;1131;917;894;23.0;214.0;81.1;79.0;2.5;762.0;705.0;57.0;123.0;8.0;120.0;219.0;554.0;;3.0;140.0;187.0;145.0;102.0;89.0;13.0;81.0;53.0;61.0;18.0
99;Total sex;45 - 49 yrs;2001;1142;936;915;22.0;206.0;82.0;80.1;2.3;787.0;735.0;52.0;122.0;6.0;119.0;227.0;569.0;;4.0;153.0;181.0;150.0;103.0;93.0;9.0;81.0;59.0;70.0;12.0
100;Total sex;45 - 49 yrs;2002;1155;960;935;25.0;195.0;83.2;81.0;2.6;813.0;764.0;50.0;117.0;5.0;121.0;251.0;563.0;;4.0;142.0;197.0;169.0;102.0;90.0;9.0;86.0;59.0;66.0;11.0
101;Total sex;45 - 49 yrs;2003;1168;983;950;33.0;184.0;84.2;81.4;3.4;819.0;768.0;51.0;125.0;6.0;126.0;262.0;562.0;;4.0;154.0;187.0;179.0;108.0;95.0;11.0;77.0;56.0;65.0;14.0
102;Total sex;45 - 49 yrs;2004;1184;996;956;41.0;188.0;84.1;80.7;4.1;827.0;781.0;46.0;123.0;6.0;128.0;272.0;555.0;;5.0;105.0;211.0;188.0;123.0;105.0;11.0;83.0;59.0;63.0;3.0
103;Total sex;45 - 49 yrs;2005;1202;1005;968;37.0;197.0;83.6;80.5;3.7;825.0;775.0;50.0;136.0;7.0;127.0;275.0;564.0;2.0;4.0;122.0;207.0;181.0;125.0;97.0;10.0;86.0;58.0;68.0;9.0
104;Total sex;45 - 49 yrs;2006;1220;1031;992;39.0;189.0;84.5;81.3;3.8;839.0;785.0;54.0;147.0;6.0;128.0;287.0;574.0;2.0;4.0;139.0;212.0;182.0;118.0;105.0;11.0;82.0;62.0;65.0;12.0
105;Total sex;50 - 54 yrs;2000;1156;846;826;20.0;310.0;73.2;71.4;2.4;682.0;627.0;55.0;136.0;8.0;117.0;182.0;526.0;;5.0;141.0;165.0;129.0;86.0;82.0;13.0;75.0;55.0;57.0;17.0
