ID;InkomensEnVermogensbegrippen;KenmerkenVanHuishoudens;Perioden;Ginicoefficient_1;Theilcoefficient_2;RobinHoodIndex_3;Ratio8020_4;RelatieveInterkwartielafstand_5;ParticuliereHuishoudens_6;GemiddeldBedrag_7;k_25ePercentiel_8;Mediaan_9;k_75ePercentiel_10;TotaalBedrag_11;TotaalBedragTop10_12;TotaalBedragTop1_13;TotaalBedragTop01_14
27;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden;2012;0.485;0.464;32.9;;1.355;4738.8;37.5;8.3;33.1;53.8;177.9;63.1;14.3;4.2
28;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden;2013;0.487;0.463;33.2;;1.38;4754.4;37.6;8.0;33.0;54.3;179.0;63.7;14.2;4.0
29;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden;2014;0.501;0.496;34.0;;1.4;4774.7;39.4;7.9;33.6;55.7;188.3;70.3;17.8;4.9
30;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden;2015;0.487;0.463;33.2;;1.389;4785.8;38.5;7.9;33.9;55.6;184.2;65.8;14.6;4.2
31;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden;2016;0.486;0.459;33.0;;1.383;4802.8;39.9;8.1;35.2;57.5;191.7;68.7;15.4;4.5
32;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden;2017;0.483;0.455;32.7;;1.365;4822.4;41.6;8.6;36.9;59.7;200.7;72.0;16.5;4.9
33;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden;2018;0.479;0.455;32.4;;1.338;4850.5;42.9;9.3;38.3;61.1;208.2;74.2;17.5;5.6
34;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden;2019;0.489;0.503;32.8;;1.321;4877.5;46.5;10.3;40.5;64.4;227.0;84.6;23.7;8.8
35;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden;2020;0.48;0.462;32.5;;1.344;4908.6;46.6;9.9;41.6;66.5;228.9;82.2;19.7;6.6
36;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden;2021;0.478;0.456;32.3;;1.331;4937.4;48.7;10.8;43.4;69.2;240.4;86.4;20.4;6.7
37;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden;2022;0.474;0.451;31.9;;1.299;4956.4;52.9;12.6;47.3;74.6;262.0;94.3;22.9;7.6
38;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden;2023;0.477;0.47;32.1;;1.295;4992.9;56.9;13.7;50.5;79.7;284.1;103.9;26.9;10.0
39;Gestandaardiseerd primair inkomen;Type: Eenoudergezin;2011;0.526;0.534;38.3;;1.61;472.2;21.9;3.5;17.7;32.8;10.3;1.5;0.3;0.1
40;Gestandaardiseerd primair inkomen;Type: Eenoudergezin;2012;0.536;0.578;39.1;;1.665;485.9;22.4;3.2;17.6;33.4;10.9;1.7;0.4;0.2
41;Gestandaardiseerd primair inkomen;Type: Eenoudergezin;2013;0.541;0.568;39.6;;1.717;496.9;22.4;2.7;17.6;33.8;11.1;1.7;0.4;0.1
42;Gestandaardiseerd primair inkomen;Type: Eenoudergezin;2014;0.55;0.587;40.3;;1.759;510.9;23.1;2.6;17.7;34.5;11.8;2.0;0.5;0.1
43;Gestandaardiseerd primair inkomen;Type: Eenoudergezin;2015;0.542;0.565;39.9;;1.745;518.2;23.0;2.7;17.9;34.9;11.9;1.9;0.4;0.1
44;Gestandaardiseerd primair inkomen;Type: Eenoudergezin;2016;0.536;0.548;39.3;;1.709;531.0;24.0;3.3;18.8;36.2;12.8;2.0;0.5;0.1
45;Gestandaardiseerd primair inkomen;Type: Eenoudergezin;2017;0.527;0.53;38.5;;1.65;534.5;25.4;4.2;20.0;37.9;13.6;2.1;0.5;0.2
46;Gestandaardiseerd primair inkomen;Type: Eenoudergezin;2018;0.514;0.503;37.2;;1.562;544.8;26.7;5.3;21.4;39.5;14.5;2.2;0.5;0.2
47;Gestandaardiseerd primair inkomen;Type: Eenoudergezin;2019;0.511;0.518;36.7;;1.506;554.8;29.0;6.5;23.0;41.9;16.1;2.7;0.8;0.3
48;Gestandaardiseerd primair inkomen;Type: Eenoudergezin;2020;0.507;0.503;36.7;;1.527;562.0;29.7;6.4;23.9;43.7;16.7;2.6;0.7;0.3
49;Gestandaardiseerd primair inkomen;Type: Eenoudergezin;2021;0.501;0.497;36.1;;1.479;566.3;31.3;7.5;25.4;45.7;17.7;2.8;0.7;0.3
50;Gestandaardiseerd primair inkomen;Type: Eenoudergezin;2022;0.484;0.447;34.8;;1.388;569.3;34.6;9.9;28.6;50.2;19.7;3.0;0.7;0.3
51;Gestandaardiseerd primair inkomen;Type: Eenoudergezin;2023;0.484;0.453;34.7;;1.384;581.8;37.1;10.7;30.6;53.8;21.6;3.3;0.9;0.4
52;Gestandaardiseerd primair inkomen;Type: Paar, totaal;2011;0.47;0.443;31.4;;1.266;4105.7;39.0;9.6;35.3;55.0;160.2;59.3;13.7;4.0
53;Gestandaardiseerd primair inkomen;Type: Paar, totaal;2012;0.474;0.447;31.8;;1.3;4109.0;39.5;9.3;35.5;56.1;162.4;60.3;13.7;3.9
54;Gestandaardiseerd primair inkomen;Type: Paar, totaal;2013;0.476;0.445;32.1;;1.322;4115.7;39.6;8.9;35.6;56.6;163.2;60.9;13.6;3.8
55;Gestandaardiseerd primair inkomen;Type: Paar, totaal;2014;0.49;0.478;32.9;;1.341;4122.7;41.7;8.8;36.3;58.1;171.8;67.1;17.0;4.7
56;Gestandaardiseerd primair inkomen;Type: Paar, totaal;2015;0.476;0.446;32.0;;1.331;4124.5;40.6;8.7;36.5;58.0;167.4;62.7;14.0;4.0
57;Gestandaardiseerd primair inkomen;Type: Paar, totaal;2016;0.475;0.443;31.9;;1.327;4129.1;42.1;9.0;37.9;60.0;173.8;65.4;14.7;4.3
58;Gestandaardiseerd primair inkomen;Type: Paar, totaal;2017;0.473;0.441;31.7;;1.314;4139.4;43.8;9.4;39.7;62.2;181.4;68.4;15.7;4.7
59;Gestandaardiseerd primair inkomen;Type: Paar, totaal;2018;0.471;0.444;31.5;;1.294;4157.1;45.1;9.9;41.0;63.6;187.5;70.4;16.6;5.3
60;Gestandaardiseerd primair inkomen;Type: Paar, totaal;2019;0.482;0.494;31.9;;1.282;4174.2;48.9;10.8;43.4;67.1;204.3;80.1;22.5;8.3
61;Gestandaardiseerd primair inkomen;Type: Paar, totaal;2020;0.472;0.453;31.6;;1.307;4196.8;49.0;10.3;44.5;69.2;205.5;77.8;18.7;6.2
62;Gestandaardiseerd primair inkomen;Type: Paar, totaal;2021;0.471;0.445;31.5;;1.298;4219.8;51.1;11.1;46.4;72.0;215.5;81.6;19.2;6.2
63;Gestandaardiseerd primair inkomen;Type: Paar, totaal;2022;0.469;0.446;31.2;;1.275;4237.1;55.4;12.6;50.5;77.6;234.6;89.2;21.7;7.2
64;Gestandaardiseerd primair inkomen;Type: Paar, totaal;2023;0.472;0.466;31.4;;1.27;4257.1;59.7;13.8;53.9;82.9;254.0;98.2;25.4;9.4
65;Gestandaardiseerd primair inkomen;Type: Paar, zonder kind;2011;0.592;0.679;45.1;;2.469;2108.5;32.5;3.0;19.5;52.4;68.6;30.7;7.3;2.0
66;Gestandaardiseerd primair inkomen;Type: Paar, zonder kind;2012;0.596;0.696;45.6;;2.603;2113.9;32.8;3.0;18.6;52.8;69.3;31.1;7.4;2.2
67;Gestandaardiseerd primair inkomen;Type: Paar, zonder kind;2013;0.596;0.685;45.6;;2.675;2125.1;32.7;3.2;18.0;52.9;69.5;31.0;7.3;2.0
68;Gestandaardiseerd primair inkomen;Type: Paar, zonder kind;2014;0.608;0.724;46.1;;2.694;2139.4;34.5;3.4;18.3;54.0;73.8;34.0;9.0;2.7
69;Gestandaardiseerd primair inkomen;Type: Paar, zonder kind;2015;0.595;0.68;45.7;;2.694;2147.9;33.1;3.5;18.1;53.7;71.2;31.5;7.2;2.0
70;Gestandaardiseerd primair inkomen;Type: Paar, zonder kind;2016;0.595;0.68;45.5;;2.644;2159.3;34.2;3.8;19.0;55.2;73.9;32.4;7.6;2.2
71;Gestandaardiseerd primair inkomen;Type: Paar, zonder kind;2017;0.593;0.678;45.4;;2.58;2171.1;35.5;4.0;20.1;57.1;77.1;33.6;8.1;2.4
72;Gestandaardiseerd primair inkomen;Type: Paar, zonder kind;2018;0.591;0.683;45.0;;2.477;2191.0;36.4;4.2;21.4;58.4;79.8;34.2;8.4;2.7
73;Gestandaardiseerd primair inkomen;Type: Paar, zonder kind;2019;0.6;0.743;45.1;;2.389;2207.7;39.8;4.4;23.4;61.5;87.8;38.9;11.4;4.5
74;Gestandaardiseerd primair inkomen;Type: Paar, zonder kind;2020;0.59;0.686;45.1;;2.468;2227.5;39.3;4.5;23.2;63.1;87.6;37.2;9.3;3.1
75;Gestandaardiseerd primair inkomen;Type: Paar, zonder kind;2021;0.588;0.675;44.7;;2.407;2255.4;41.0;4.7;24.8;65.5;92.5;39.1;9.7;3.1
76;Gestandaardiseerd primair inkomen;Type: Paar, zonder kind;2022;0.587;0.679;44.5;;2.345;2273.2;44.5;4.9;27.5;70.6;101.0;42.7;11.0;3.8
77;Gestandaardiseerd primair inkomen;Type: Paar, zonder kind;2023;0.591;0.718;44.5;;2.325;2280.3;48.3;5.1;29.6;75.2;110.1;47.4;13.5;5.5
78;Gestandaardiseerd primair inkomen;Type: Paar, met kind(eren);2011;0.335;0.24;22.9;;0.689;1997.2;45.9;28.2;41.0;56.7;91.6;28.6;6.4;1.9
79;Gestandaardiseerd primair inkomen;Type: Paar, met kind(eren);2012;0.338;0.234;23.2;;0.709;1995.1;46.6;28.3;41.9;58.3;93.0;29.3;6.3;1.7
80;Gestandaardiseerd primair inkomen;Type: Paar, met kind(eren);2013;0.342;0.238;23.4;;0.722;1990.7;47.0;28.2;42.3;59.1;93.6;29.9;6.3;1.8
81;Gestandaardiseerd primair inkomen;Type: Paar, met kind(eren);2014;0.357;0.265;24.4;;0.732;1983.3;49.4;28.8;43.3;60.8;97.9;33.1;8.0;2.0
82;Gestandaardiseerd primair inkomen;Type: Paar, met kind(eren);2015;0.339;0.24;23.2;;0.714;1976.6;48.7;29.4;43.8;60.9;96.2;31.2;6.7;2.1
83;Gestandaardiseerd primair inkomen;Type: Paar, met kind(eren);2016;0.337;0.234;23.1;;0.708;1969.8;50.7;30.7;45.5;63.3;99.9;33.0;7.1;2.1
84;Gestandaardiseerd primair inkomen;Type: Paar, met kind(eren);2017;0.333;0.23;22.8;;0.694;1968.3;53.0;32.4;47.5;65.7;104.3;34.8;7.6;2.2
85;Gestandaardiseerd primair inkomen;Type: Paar, met kind(eren);2018;0.331;0.23;22.6;;0.681;1966.2;54.8;33.8;48.9;67.4;107.7;36.2;8.2;2.5
86;Gestandaardiseerd primair inkomen;Type: Paar, met kind(eren);2019;0.344;0.272;23.4;;0.679;1966.4;59.2;35.8;51.6;71.2;116.5;41.2;11.0;3.8
87;Gestandaardiseerd primair inkomen;Type: Paar, met kind(eren);2020;0.333;0.241;22.7;;0.683;1969.3;59.9;36.8;53.5;73.6;117.9;40.6;9.4;3.1
88;Gestandaardiseerd primair inkomen;Type: Paar, met kind(eren);2021;0.33;0.232;22.6;;0.683;1964.3;62.6;38.5;55.8;76.9;123.0;42.6;9.6;3.0
89;Gestandaardiseerd primair inkomen;Type: Paar, met kind(eren);2022;0.326;0.231;22.3;;0.669;1963.9;68.0;42.2;60.5;83.0;133.5;46.5;10.7;3.4
90;Gestandaardiseerd primair inkomen;Type: Paar, met kind(eren);2023;0.329;0.236;22.4;;0.672;1976.8;72.8;45.0;64.8;88.8;143.9;50.8;11.9;3.9
91;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden, overig;2011;0.437;0.378;30.0;;1.093;146.0;33.0;13.1;29.2;45.5;4.8;1.2;0.3;0.1
92;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden, overig;2012;0.443;0.374;30.5;;1.142;143.9;32.6;12.2;28.7;45.5;4.7;1.1;0.2;0.1
93;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden, overig;2013;0.446;0.379;30.8;;1.158;141.8;33.0;12.1;28.9;46.1;4.7;1.1;0.2;0.1
94;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden, overig;2014;0.463;0.416;31.9;;1.199;141.1;34.0;11.6;29.0;47.0;4.8;1.2;0.3;0.1
95;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden, overig;2015;0.445;0.372;30.7;;1.158;143.1;34.2;12.7;30.0;47.9;4.9;1.2;0.2;0.1
96;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden, overig;2016;0.436;0.357;30.0;;1.112;142.7;36.4;14.4;32.1;50.5;5.2;1.3;0.2;0.1
97;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden, overig;2017;0.425;0.35;29.1;;1.057;148.4;39.2;16.6;34.8;53.8;5.8;1.5;0.3;0.1
98;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden, overig;2018;0.416;0.335;28.4;;1.008;148.5;41.3;18.6;36.9;56.1;6.1;1.6;0.3;0.1
99;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden, overig;2019;0.42;0.366;28.5;;0.987;148.6;44.7;20.3;39.2;59.4;6.6;1.8;0.5;0.2
100;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden, overig;2020;0.411;0.322;28.2;;1.005;149.8;44.7;20.4;40.1;61.0;6.7;1.7;0.3;0.1
101;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden, overig;2021;0.413;0.364;28.2;;0.989;151.4;47.5;21.8;42.0;63.7;7.2;1.9;0.4;0.2
102;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden, overig;2022;0.403;0.317;27.5;;0.96;150.0;51.7;24.6;46.0;69.1;7.8;2.1;0.5;0.2
103;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden, overig;2023;0.406;0.341;27.7;;0.963;154.0;55.5;26.3;49.0;73.8;8.5;2.3;0.6;0.2
104;Gestandaardiseerd primair inkomen;Hoofdkostwinner: tot 25 jaar;2011;0.599;0.657;45.9;;2.9;384.5;14.0;1.6;6.9;22.9;5.4;0.2;0.1;0.0
105;Gestandaardiseerd primair inkomen;Hoofdkostwinner: tot 25 jaar;2012;0.607;0.674;46.4;;2.853;381.7;13.6;1.5;6.6;21.6;5.2;0.2;0.1;0.0
106;Gestandaardiseerd primair inkomen;Hoofdkostwinner: tot 25 jaar;2013;0.618;0.71;47.3;;2.916;378.8;13.2;1.2;6.2;20.7;5.0;0.2;0.1;0.1
107;Gestandaardiseerd primair inkomen;Hoofdkostwinner: tot 25 jaar;2014;0.624;0.727;47.7;;2.877;380.9;13.1;1.2;6.1;20.0;5.0;0.2;0.1;0.1
108;Gestandaardiseerd primair inkomen;Hoofdkostwinner: tot 25 jaar;2015;0.618;0.698;47.3;;2.798;387.8;13.2;1.3;6.3;20.2;5.1;0.2;0.1;0.0
109;Gestandaardiseerd primair inkomen;Hoofdkostwinner: tot 25 jaar;2016;0.611;0.687;46.5;;2.725;378.3;14.0;1.5;6.8;21.4;5.3;0.2;0.1;0.1
110;Gestandaardiseerd primair inkomen;Hoofdkostwinner: tot 25 jaar;2017;0.599;0.65;45.5;;2.647;368.9;15.0;1.8;7.7;23.4;5.5;0.2;0.1;0.0
111;Gestandaardiseerd primair inkomen;Hoofdkostwinner: tot 25 jaar;2018;0.585;0.618;44.3;;2.547;367.0;16.2;2.1;8.8;25.7;5.9;0.3;0.1;0.0
112;Gestandaardiseerd primair inkomen;Hoofdkostwinner: tot 25 jaar;2019;0.577;0.607;43.6;;2.488;356.7;17.6;2.5;9.8;28.1;6.3;0.3;0.1;0.1
113;Gestandaardiseerd primair inkomen;Hoofdkostwinner: tot 25 jaar;2020;0.582;0.622;44.1;;2.591;346.5;18.4;2.3;10.1;29.8;6.4;0.3;0.1;0.1
114;Gestandaardiseerd primair inkomen;Hoofdkostwinner: tot 25 jaar;2021;0.565;0.582;42.4;;2.342;345.8;19.7;3.1;11.6;31.3;6.8;0.3;0.1;0.1
115;Gestandaardiseerd primair inkomen;Hoofdkostwinner: tot 25 jaar;2022;0.552;0.557;41.4;;2.236;362.0;21.8;4.0;13.1;34.4;7.9;0.4;0.2;0.1
116;Gestandaardiseerd primair inkomen;Hoofdkostwinner: tot 25 jaar;2023;0.55;0.557;41.1;;2.19;371.7;23.1;4.3;14.1;36.3;8.6;0.4;0.2;0.1
117;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 25 tot 45 jaar;2011;0.381;0.289;25.5;;0.822;2463.4;40.4;22.2;37.6;53.5;99.6;28.7;4.8;1.0
118;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 25 tot 45 jaar;2012;0.389;0.297;26.1;;0.864;2444.9;40.6;21.4;37.8;54.4;99.2;28.7;4.6;0.9
119;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 25 tot 45 jaar;2013;0.395;0.303;26.6;;0.893;2422.5;40.5;20.6;37.8;54.7;98.0;28.2;4.5;0.8
120;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 25 tot 45 jaar;2014;0.403;0.316;27.1;;0.906;2393.5;41.6;20.7;38.4;55.9;99.5;28.9;4.5;0.8
121;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 25 tot 45 jaar;2015;0.394;0.303;26.5;;0.89;2366.6;41.2;21.0;38.5;55.7;97.5;27.6;4.3;0.9
122;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 25 tot 45 jaar;2016;0.392;0.299;26.3;;0.886;2348.3;42.5;21.9;39.6;57.4;99.7;28.1;4.4;0.9
123;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 25 tot 45 jaar;2017;0.388;0.293;26.0;;0.871;2345.7;43.9;22.9;41.1;59.1;102.9;28.7;4.4;0.9
124;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 25 tot 45 jaar;2018;0.382;0.284;25.5;;0.846;2355.0;45.4;24.4;42.5;60.8;106.9;29.6;4.6;1.0
125;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 25 tot 45 jaar;2019;0.382;0.293;25.5;;0.839;2376.3;48.1;25.8;44.7;63.7;114.2;31.8;5.1;1.3
126;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 25 tot 45 jaar;2020;0.382;0.29;25.6;;0.853;2406.9;49.3;26.2;46.2;66.1;118.5;33.1;5.2;1.3
127;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 25 tot 45 jaar;2021;0.381;0.287;25.4;;0.843;2424.8;51.8;27.9;48.2;69.0;125.6;35.8;5.8;1.5
128;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 25 tot 45 jaar;2022;0.372;0.274;24.9;;0.817;2464.6;56.2;31.2;52.2;74.3;138.5;39.2;6.4;1.6
129;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 25 tot 45 jaar;2023;0.376;0.285;25.1;;0.831;2525.4;59.7;32.6;55.3;79.0;150.7;42.9;7.1;1.8
130;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 45 tot 65 jaar;2011;0.47;0.452;30.7;;1.187;2794.6;40.9;12.7;36.7;56.9;114.4;45.2;11.7;3.5
131;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 45 tot 65 jaar;2012;0.467;0.445;30.6;;1.183;2805.8;42.0;13.4;37.6;58.5;117.9;46.9;11.8;3.5
132;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 45 tot 65 jaar;2013;0.465;0.441;30.5;;1.175;2818.7;42.7;13.9;38.2;59.4;120.4;48.4;12.0;3.6
133;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 45 tot 65 jaar;2014;0.474;0.461;30.9;;1.154;2830.0;45.4;15.1;39.5;61.3;128.5;53.7;14.8;4.2
134;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 45 tot 65 jaar;2015;0.454;0.421;29.6;;1.107;2860.2;44.7;16.4;40.1;61.4;127.7;51.5;12.9;3.9
135;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 45 tot 65 jaar;2016;0.449;0.412;29.3;;1.081;2892.3;46.3;17.9;41.7;63.4;134.0;53.9;13.4;4.0
136;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 45 tot 65 jaar;2017;0.444;0.402;28.8;;1.047;2922.3;48.3;19.5;43.5;65.6;141.1;56.5;14.1;4.2
137;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 45 tot 65 jaar;2018;0.438;0.398;28.2;;1.005;2935.7;50.0;21.4;45.1;67.2;146.8;58.5;15.0;4.8
138;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 45 tot 65 jaar;2019;0.448;0.446;28.8;;0.984;2942.6;54.4;23.4;47.5;70.7;160.0;66.0;19.8;7.1
139;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 45 tot 65 jaar;2020;0.436;0.403;28.1;;0.994;2942.8;54.4;23.7;48.9;72.8;160.2;63.8;16.9;5.6
140;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 45 tot 65 jaar;2021;0.435;0.406;28.0;;0.984;2938.4;56.8;25.2;50.8;75.6;167.0;66.5;17.6;5.9
141;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 45 tot 65 jaar;2022;0.428;0.392;27.5;;0.95;2926.7;61.6;28.5;55.0;81.3;180.4;71.3;19.2;6.5
142;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 45 tot 65 jaar;2023;0.431;0.409;27.6;;0.946;2924.4;66.2;30.6;58.7;86.6;193.7;77.4;21.8;8.0
143;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 65 jaar of ouder;2011;0.765;1.5;57.3;;2.7;1705.1;6.1;0.1;1.7;6.1;10.4;2.3;1.4;0.8
144;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 65 jaar of ouder;2012;0.762;1.529;57.0;;2.53;1779.8;6.6;0.1;2.0;6.4;11.7;2.7;1.7;1.0
145;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 65 jaar of ouder;2013;0.749;1.411;55.6;;2.423;1847.8;6.6;0.1;2.2;6.8;12.2;2.5;1.5;0.8
146;Gestandaardiseerd primair inkomen;Hoofdkostwinner: 65 jaar of ouder;2014;0.769;1.597;57.2;;2.307;1892.1;7.5;0.1;2.4;6.9;14.2;4.1;2.8;1.3
