ID;Countries;SITC;Periods;TotalImportValue_1;TotalExportValue_2
249;Total countries;001 Live animals other than animals o...;2024 April;132.0;212.0
250;Total countries;001 Live animals other than animals o...;2024 May;134.0;195.0
251;Total countries;001 Live animals other than animals o...;2024 June;130.0;190.0
252;Total countries;001 Live animals other than animals o...;2024 July;128.0;198.0
253;Total countries;001 Live animals other than animals o...;2024 August;120.0;172.0
254;Total countries;001 Live animals other than animals o...;2024 September;126.0;188.0
255;Total countries;001 Live animals other than animals o...;2024 October;151.0;197.0
256;Total countries;001 Live animals other than animals o...;2024 November;139.0;196.0
257;Total countries;001 Live animals other than animals o...;2024 January-November;1420.0;2131.0
258;Total countries;00111 Pure-bred bovine breeding anima...;2015 January;5.0;5.0
259;Total countries;00111 Pure-bred bovine breeding anima...;2015 February;4.0;5.0
260;Total countries;00111 Pure-bred bovine breeding anima...;2015 March;5.0;9.0
261;Total countries;00111 Pure-bred bovine breeding anima...;2015 April;6.0;6.0
262;Total countries;00111 Pure-bred bovine breeding anima...;2015 May;5.0;9.0
263;Total countries;00111 Pure-bred bovine breeding anima...;2015 June;5.0;4.0
264;Total countries;00111 Pure-bred bovine breeding anima...;2015 July;5.0;10.0
265;Total countries;00111 Pure-bred bovine breeding anima...;2015 August;4.0;7.0
266;Total countries;00111 Pure-bred bovine breeding anima...;2015 September;5.0;8.0
267;Total countries;00111 Pure-bred bovine breeding anima...;2015 October;4.0;9.0
268;Total countries;00111 Pure-bred bovine breeding anima...;2015 November;6.0;12.0
269;Total countries;00111 Pure-bred bovine breeding anima...;2015 December;5.0;8.0
270;Total countries;00111 Pure-bred bovine breeding anima...;2015;59.0;91.0
271;Total countries;00111 Pure-bred bovine breeding anima...;2016 January;4.0;8.0
272;Total countries;00111 Pure-bred bovine breeding anima...;2016 February;4.0;3.0
273;Total countries;00111 Pure-bred bovine breeding anima...;2016 March;4.0;5.0
274;Total countries;00111 Pure-bred bovine breeding anima...;2016 April;4.0;5.0
275;Total countries;00111 Pure-bred bovine breeding anima...;2016 May;3.0;6.0
276;Total countries;00111 Pure-bred bovine breeding anima...;2016 June;4.0;9.0
277;Total countries;00111 Pure-bred bovine breeding anima...;2016 July;6.0;7.0
278;Total countries;00111 Pure-bred bovine breeding anima...;2016 August;6.0;6.0
279;Total countries;00111 Pure-bred bovine breeding anima...;2016 September;6.0;5.0
280;Total countries;00111 Pure-bred bovine breeding anima...;2016 October;6.0;6.0
281;Total countries;00111 Pure-bred bovine breeding anima...;2016 November;6.0;11.0
282;Total countries;00111 Pure-bred bovine breeding anima...;2016 December;6.0;14.0
283;Total countries;00111 Pure-bred bovine breeding anima...;2016;57.0;84.0
284;Total countries;00111 Pure-bred bovine breeding anima...;2017 January;5.0;9.0
285;Total countries;00111 Pure-bred bovine breeding anima...;2017 February;4.0;10.0
286;Total countries;00111 Pure-bred bovine breeding anima...;2017 March;5.0;12.0
287;Total countries;00111 Pure-bred bovine breeding anima...;2017 April;6.0;11.0
288;Total countries;00111 Pure-bred bovine breeding anima...;2017 May;6.0;13.0
289;Total countries;00111 Pure-bred bovine breeding anima...;2017 June;6.0;14.0
290;Total countries;00111 Pure-bred bovine breeding anima...;2017 July;4.0;12.0
291;Total countries;00111 Pure-bred bovine breeding anima...;2017 August;8.0;12.0
292;Total countries;00111 Pure-bred bovine breeding anima...;2017 September;7.0;10.0
293;Total countries;00111 Pure-bred bovine breeding anima...;2017 October;7.0;10.0
294;Total countries;00111 Pure-bred bovine breeding anima...;2017 November;6.0;11.0
295;Total countries;00111 Pure-bred bovine breeding anima...;2017 December;7.0;14.0
296;Total countries;00111 Pure-bred bovine breeding anima...;2017;70.0;138.0
297;Total countries;00111 Pure-bred bovine breeding anima...;2018 January;4.0;11.0
298;Total countries;00111 Pure-bred bovine breeding anima...;2018 February;5.0;7.0
299;Total countries;00111 Pure-bred bovine breeding anima...;2018 March;7.0;15.0
300;Total countries;00111 Pure-bred bovine breeding anima...;2018 April;6.0;12.0
301;Total countries;00111 Pure-bred bovine breeding anima...;2018 May;8.0;15.0
302;Total countries;00111 Pure-bred bovine breeding anima...;2018 June;10.0;13.0
303;Total countries;00111 Pure-bred bovine breeding anima...;2018 July;6.0;13.0
304;Total countries;00111 Pure-bred bovine breeding anima...;2018 August;6.0;11.0
305;Total countries;00111 Pure-bred bovine breeding anima...;2018 September;7.0;8.0
306;Total countries;00111 Pure-bred bovine breeding anima...;2018 October;6.0;14.0
307;Total countries;00111 Pure-bred bovine breeding anima...;2018 November;8.0;12.0
308;Total countries;00111 Pure-bred bovine breeding anima...;2018 December;6.0;10.0
309;Total countries;00111 Pure-bred bovine breeding anima...;2018;80.0;143.0
310;Total countries;00111 Pure-bred bovine breeding anima...;2019 January;5.0;8.0
311;Total countries;00111 Pure-bred bovine breeding anima...;2019 February;5.0;8.0
312;Total countries;00111 Pure-bred bovine breeding anima...;2019 March;5.0;8.0
313;Total countries;00111 Pure-bred bovine breeding anima...;2019 April;5.0;8.0
314;Total countries;00111 Pure-bred bovine breeding anima...;2019 May;6.0;9.0
315;Total countries;00111 Pure-bred bovine breeding anima...;2019 June;4.0;8.0
316;Total countries;00111 Pure-bred bovine breeding anima...;2019 July;5.0;9.0
317;Total countries;00111 Pure-bred bovine breeding anima...;2019 August;7.0;7.0
318;Total countries;00111 Pure-bred bovine breeding anima...;2019 September;7.0;8.0
319;Total countries;00111 Pure-bred bovine breeding anima...;2019 October;6.0;9.0
320;Total countries;00111 Pure-bred bovine breeding anima...;2019 November;5.0;5.0
321;Total countries;00111 Pure-bred bovine breeding anima...;2019 December;6.0;8.0
322;Total countries;00111 Pure-bred bovine breeding anima...;2019;66.0;95.0
323;Total countries;00111 Pure-bred bovine breeding anima...;2020 January;4.0;8.0
324;Total countries;00111 Pure-bred bovine breeding anima...;2020 February;8.0;7.0
325;Total countries;00111 Pure-bred bovine breeding anima...;2020 March;6.0;9.0
326;Total countries;00111 Pure-bred bovine breeding anima...;2020 April;6.0;5.0
327;Total countries;00111 Pure-bred bovine breeding anima...;2020 May;6.0;7.0
328;Total countries;00111 Pure-bred bovine breeding anima...;2020 June;7.0;6.0
329;Total countries;00111 Pure-bred bovine breeding anima...;2020 July;6.0;8.0
330;Total countries;00111 Pure-bred bovine breeding anima...;2020 August;8.0;6.0
331;Total countries;00111 Pure-bred bovine breeding anima...;2020 September;6.0;8.0
332;Total countries;00111 Pure-bred bovine breeding anima...;2020 October;7.0;5.0
333;Total countries;00111 Pure-bred bovine breeding anima...;2020 November;4.0;8.0
334;Total countries;00111 Pure-bred bovine breeding anima...;2020 December;6.0;6.0
335;Total countries;00111 Pure-bred bovine breeding anima...;2020;76.0;84.0
336;Total countries;00111 Pure-bred bovine breeding anima...;2021 January;;
337;Total countries;00111 Pure-bred bovine breeding anima...;2021 February;;
338;Total countries;00111 Pure-bred bovine breeding anima...;2021 March;;
339;Total countries;00111 Pure-bred bovine breeding anima...;2021 April;;
340;Total countries;00111 Pure-bred bovine breeding anima...;2021 May;;
341;Total countries;00111 Pure-bred bovine breeding anima...;2021 June;;
342;Total countries;00111 Pure-bred bovine breeding anima...;2021 July;;
343;Total countries;00111 Pure-bred bovine breeding anima...;2021 August;;
344;Total countries;00111 Pure-bred bovine breeding anima...;2021 September;;
345;Total countries;00111 Pure-bred bovine breeding anima...;2021 October;;
346;Total countries;00111 Pure-bred bovine breeding anima...;2021 November;;
347;Total countries;00111 Pure-bred bovine breeding anima...;2021 December;;
348;Total countries;00111 Pure-bred bovine breeding anima...;2021;;
349;Total countries;00111 Pure-bred bovine breeding anima...;2022 January;3.0;4.0
350;Total countries;00111 Pure-bred bovine breeding anima...;2022 February;6.0;9.0
351;Total countries;00111 Pure-bred bovine breeding anima...;2022 March;8.0;8.0
352;Total countries;00111 Pure-bred bovine breeding anima...;2022 April;10.0;9.0
353;Total countries;00111 Pure-bred bovine breeding anima...;2022 May;9.0;8.0
354;Total countries;00111 Pure-bred bovine breeding anima...;2022 June;9.0;11.0
355;Total countries;00111 Pure-bred bovine breeding anima...;2022 July;7.0;7.0
356;Total countries;00111 Pure-bred bovine breeding anima...;2022 August;8.0;7.0
357;Total countries;00111 Pure-bred bovine breeding anima...;2022 September;8.0;9.0
358;Total countries;00111 Pure-bred bovine breeding anima...;2022 October;9.0;10.0
359;Total countries;00111 Pure-bred bovine breeding anima...;2022 November;9.0;11.0
360;Total countries;00111 Pure-bred bovine breeding anima...;2022 December;8.0;12.0
361;Total countries;00111 Pure-bred bovine breeding anima...;2022;95.0;106.0
362;Total countries;00111 Pure-bred bovine breeding anima...;2023 January;4.0;6.0
363;Total countries;00111 Pure-bred bovine breeding anima...;2023 February;5.0;10.0
364;Total countries;00111 Pure-bred bovine breeding anima...;2023 March;5.0;12.0
365;Total countries;00111 Pure-bred bovine breeding anima...;2023 April;9.0;14.0
366;Total countries;00111 Pure-bred bovine breeding anima...;2023 May;13.0;14.0
367;Total countries;00111 Pure-bred bovine breeding anima...;2023 June;6.0;13.0
368;Total countries;00111 Pure-bred bovine breeding anima...;2023 July;5.0;9.0
369;Total countries;00111 Pure-bred bovine breeding anima...;2023 August;11.0;11.0
370;Total countries;00111 Pure-bred bovine breeding anima...;2023 September;11.0;10.0
371;Total countries;00111 Pure-bred bovine breeding anima...;2023 October;11.0;12.0
372;Total countries;00111 Pure-bred bovine breeding anima...;2023 November;9.0;10.0
373;Total countries;00111 Pure-bred bovine breeding anima...;2023 December;12.0;10.0
374;Total countries;00111 Pure-bred bovine breeding anima...;2023;101.0;133.0
375;Total countries;00111 Pure-bred bovine breeding anima...;2024 January;10.0;10.0
376;Total countries;00111 Pure-bred bovine breeding anima...;2024 February;13.0;12.0
377;Total countries;00111 Pure-bred bovine breeding anima...;2024 March;13.0;11.0
378;Total countries;00111 Pure-bred bovine breeding anima...;2024 April;11.0;13.0
379;Total countries;00111 Pure-bred bovine breeding anima...;2024 May;10.0;12.0
380;Total countries;00111 Pure-bred bovine breeding anima...;2024 June;10.0;11.0
381;Total countries;00111 Pure-bred bovine breeding anima...;2024 July;10.0;9.0
382;Total countries;00111 Pure-bred bovine breeding anima...;2024 August;11.0;8.0
383;Total countries;00111 Pure-bred bovine breeding anima...;2024 September;11.0;9.0
384;Total countries;00111 Pure-bred bovine breeding anima...;2024 October;13.0;10.0
385;Total countries;00111 Pure-bred bovine breeding anima...;2024 November;12.0;10.0
386;Total countries;00111 Pure-bred bovine breeding anima...;2024 January-November;124.0;115.0
387;Total countries;00119 Bovine animals, live, other tha...;2015 January;10.0;14.0
388;Total countries;00119 Bovine animals, live, other tha...;2015 February;11.0;14.0
389;Total countries;00119 Bovine animals, live, other tha...;2015 March;17.0;14.0
390;Total countries;00119 Bovine animals, live, other tha...;2015 April;17.0;13.0
391;Total countries;00119 Bovine animals, live, other tha...;2015 May;15.0;13.0
392;Total countries;00119 Bovine animals, live, other tha...;2015 June;17.0;16.0
393;Total countries;00119 Bovine animals, live, other tha...;2015 July;18.0;15.0
394;Total countries;00119 Bovine animals, live, other tha...;2015 August;15.0;15.0
395;Total countries;00119 Bovine animals, live, other tha...;2015 September;16.0;16.0
396;Total countries;00119 Bovine animals, live, other tha...;2015 October;13.0;17.0
397;Total countries;00119 Bovine animals, live, other tha...;2015 November;12.0;16.0
398;Total countries;00119 Bovine animals, live, other tha...;2015 December;13.0;24.0
399;Total countries;00119 Bovine animals, live, other tha...;2015;173.0;188.0
400;Total countries;00119 Bovine animals, live, other tha...;2016 January;11.0;16.0
401;Total countries;00119 Bovine animals, live, other tha...;2016 February;14.0;15.0
402;Total countries;00119 Bovine animals, live, other tha...;2016 March;12.0;17.0
403;Total countries;00119 Bovine animals, live, other tha...;2016 April;13.0;13.0
