ID;SectorBranchesSIC2008;Periods;Employee_1;EmployedPerson_2;Employee_3;EmployedPerson_4;Total_5;Total_6;DomesticNetTurnover_7;ForeignNetTurnover_8;OtherRevenues_9;Total_10;PurchaseValueOfSales_11;Total_12;GrossWagesAndSalaries_13;Total_14;EmployerPaidSocialInsurancePremiums_15;PensionAndEarlyRetirementPremiums_16;OtherSocialInsuranceCosts_17;OtherPersonnelCosts_18;Total_19;CostsOfEnergyUse_20;HousingCosts_21;EquipmentAndInventoryCosts_22;TransportCosts_23;SalesCosts_24;CommunicationCosts_25;CostsOfOtherServices_26;OtherLiabilities_27;DepreciationFixedAssets_28;OperatingResults_29;NetFinancialIncome_30;BalanceOfProvisions_31;NetExtraordinaryIncome_32;PreTaxResults_33
47;4639 Non-specialised wholesale of food;2011;22.1;27.7;18.6;23.3;16848.0;16774.0;15196.0;1578.0;74.0;16406.0;13944.0;1082.0;715.0;147.0;90.0;57.0;7.0;212.0;1174.0;55.0;155.0;31.0;163.0;192.0;22.0;231.0;324.0;207.0;442.0;-58.0;-5.0;-17.0;363.0
48;4639 Non-specialised wholesale of food;2012;20.9;25.4;17.8;21.4;15994.0;15885.0;14359.0;1526.0;110.0;15665.0;13397.0;1015.0;679.0;155.0;90.0;65.0;5.0;176.0;1029.0;37.0;143.0;26.0;158.0;223.0;20.0;205.0;218.0;224.0;330.0;33.0;-15.0;-9.0;338.0
49;4639 Non-specialised wholesale of food;2013;21.3;25.0;17.7;20.7;16168.0;16066.0;14365.0;1701.0;102.0;15594.0;13460.0;1023.0;689.0;173.0;96.0;77.0;3.0;158.0;875.0;39.0;131.0;48.0;148.0;167.0;18.0;199.0;125.0;236.0;574.0;-50.0;-23.0;4.0;505.0
50;464 Wholesale of consumer goods;2009;105.6;132.2;89.1;107.7;74468.0;73632.0;42114.0;31518.0;836.0;71086.0;55842.0;5491.0;4040.0;796.0;477.0;319.0;60.0;596.0;9031.0;124.0;838.0;163.0;455.0;2994.0;185.0;1445.0;2828.0;721.0;3382.0;138.0;-57.0;-47.0;3416.0
51;464 Wholesale of consumer goods;2010;107.8;133.4;90.8;108.5;76863.0;75558.0;39171.0;36387.0;1305.0;73493.0;57254.0;5685.0;4208.0;839.0;512.0;328.0;54.0;583.0;9860.0;118.0;827.0;160.0;491.0;2894.0;194.0;1519.0;3657.0;695.0;3369.0;250.0;-47.0;-167.0;3406.0
52;464 Wholesale of consumer goods;2011;116.2;142.8;98.8;118.2;81045.0;79627.0;39806.0;39821.0;1418.0;77937.0;60054.0;6209.0;4545.0;894.0;573.0;321.0;58.0;712.0;10871.0;123.0;872.0;166.0;506.0;3100.0;197.0;1769.0;4140.0;803.0;3108.0;723.0;8.0;-128.0;3711.0
53;464 Wholesale of consumer goods;2012;116.6;141.9;98.2;116.9;73465.0;72057.0;38266.0;33792.0;1408.0;70429.0;52698.0;6263.0;4586.0;944.0;609.0;335.0;56.0;676.0;10628.0;122.0;866.0;157.0;512.0;3077.0;191.0;1802.0;3900.0;840.0;3037.0;847.0;120.0;18.0;4022.0
54;464 Wholesale of consumer goods;2013;112.7;138.6;94.6;114.7;76011.0;74503.0;38461.0;36042.0;1508.0;70810.0;53385.0;6023.0;4404.0;949.0;614.0;334.0;43.0;627.0;10527.0;123.0;872.0;156.0;440.0;2677.0;177.0;1896.0;4186.0;876.0;5201.0;372.0;-45.0;-180.0;5349.0
55;4642 Wholesale of clothes, shoes etc;2009;21.2;26.2;17.4;20.7;12892.0;12829.0;5225.0;7605.0;63.0;12036.0;8346.0;1039.0;757.0;150.0;90.0;61.0;11.0;121.0;2473.0;22.0;227.0;18.0;67.0;922.0;32.0;308.0;878.0;178.0;856.0;-51.0;-6.0;7.0;806.0
56;4642 Wholesale of clothes, shoes etc;2010;20.0;25.1;16.2;19.4;8791.0;8729.0;5093.0;3635.0;63.0;8086.0;5703.0;898.0;679.0;121.0;84.0;37.0;6.0;92.0;1363.0;23.0;204.0;16.0;72.0;467.0;27.0;180.0;374.0;123.0;705.0;-38.0;-29.0;19.0;656.0
