ID;Einddiploma;Perioden;TotaleUitgaven_1;UitgavenBasisonderwijsBao_2;TotaalVoortgezetOnderwijs_3;AlgemeenVormendOnderwijsAvo_4;Vmbo_5;Havo_6;Vwo_7;TotaalTertiairOnderwijs_8;HboVoltijd_9;WoVoltijd_10
60;Vwo;2004;79.8;39.9;39.9;13.3;;;26.6;;;
61;Vwo;2005;82.5;41.7;40.8;13.6;;;27.2;;;
62;Vwo;2006;82.7;42.2;40.5;13.5;;;27.0;;;
63;Vwo;2007;85.3;42.5;42.8;14.3;;;28.6;;;
64;Vwo;2008;89.3;44.9;44.4;14.8;;;29.6;;;
65;Vwo;2009;95.7;47.4;48.3;16.1;;;32.2;;;
66;Vwo;2010;97.1;47.8;49.3;16.4;;;32.9;;;
67;Vwo;2011;96.1;47.6;48.6;16.2;;;32.4;;;
68;Vwo;2012;97.2;48.0;49.2;16.4;;;32.8;;;
69;Vwo;2013;100.6;49.9;50.7;16.9;;;33.8;;;
70;Vwo;2014;97.9;49.1;48.9;16.3;;;32.6;;;
71;Vwo;2015;100.5;50.7;49.8;16.6;;;33.2;;;
72;Hbo;1998;75.0;25.2;23.2;9.3;;13.9;;26.5;26.5;
73;Hbo;1999;79.4;26.8;25.6;10.2;;15.4;;27.1;27.1;
74;Hbo;2000;84.9;29.9;27.7;11.1;;16.6;;27.3;27.3;
75;Hbo;2001;93.5;33.8;30.6;12.2;;18.4;;29.1;29.1;
76;Hbo;2002;98.5;37.1;31.9;12.7;;19.1;;29.5;29.5;
77;Hbo;2003;102.8;40.1;32.1;12.8;;19.3;;30.5;30.5;
78;Hbo;2004;104.5;39.9;33.3;13.3;;20.0;;31.4;31.4;
79;Hbo;2005;107.8;41.7;34.0;13.6;;20.4;;32.0;32.0;
80;Hbo;2006;108.1;42.2;33.8;13.5;;20.3;;32.1;32.1;
81;Hbo;2007;112.1;42.5;35.7;14.3;;21.4;;33.9;33.9;
82;Hbo;2008;116.9;44.9;37.0;14.8;;22.2;;35.0;35.0;
83;Hbo;2009;124.0;47.4;40.2;16.1;;24.1;;36.3;36.3;
84;Hbo;2010;126.6;47.8;41.1;16.4;;24.7;;37.7;37.7;
85;Hbo;2011;125.5;47.6;40.5;16.2;;24.3;;37.5;37.5;
86;Hbo;2012;127.0;48.0;41.0;16.4;;24.6;;38.0;38.0;
87;Hbo;2013;131.9;49.9;42.3;16.9;;25.4;;39.8;39.8;
88;Hbo;2014;129.9;49.1;40.7;16.3;;24.4;;40.1;40.1;
89;Hbo;2015;133.1;50.7;41.5;16.6;;24.9;;40.9;40.9;
90;Wo (bachelor);1998;;;;;;;;;;
91;Wo (bachelor);1999;;;;;;;;;;
92;Wo (bachelor);2000;;;;;;;;;;
93;Wo (bachelor);2001;;;;;;;;;;
94;Wo (bachelor);2002;;;;;;;;;;
95;Wo (bachelor);2003;;;;;;;;;;
96;Wo (bachelor);2004;103.8;39.9;39.9;13.3;;;26.6;23.9;;23.9
97;Wo (bachelor);2005;105.7;41.7;40.8;13.6;;;27.2;23.1;;23.1
98;Wo (bachelor);2006;106.3;42.2;40.5;13.5;;;27.0;23.6;;23.6
99;Wo (bachelor);2007;110.0;42.5;42.8;14.3;;;28.6;24.7;;24.7
100;Wo (bachelor);2008;114.5;44.9;44.4;14.8;;;29.6;25.2;;25.2
101;Wo (bachelor);2009;120.7;47.4;48.3;16.1;;;32.2;25.0;;25.0
102;Wo (bachelor);2010;123.6;47.8;49.3;16.4;;;32.9;26.6;;26.6
103;Wo (bachelor);2011;121.0;47.6;48.6;16.2;;;32.4;24.9;;24.9
104;Wo (bachelor);2012;125.1;48.0;49.2;16.4;;;32.8;27.9;;27.9
105;Wo (bachelor);2013;129.8;49.9;50.7;16.9;;;33.8;29.2;;29.2
106;Wo (bachelor);2014;125.9;49.1;48.9;16.3;;;32.6;27.9;;27.9
107;Wo (bachelor);2015;128.9;50.7;49.8;16.6;;;33.2;28.4;;28.4
108;Wo (master);1998;84.6;25.2;27.9;9.3;;;18.6;31.5;;31.5
109;Wo (master);1999;93.2;26.8;30.7;10.2;;;20.5;35.7;;35.7
110;Wo (master);2000;97.1;29.9;33.3;11.1;;;22.2;34.0;;34.0
111;Wo (master);2001;103.2;33.8;36.7;12.2;;;24.5;32.6;;32.6
112;Wo (master);2002;110.2;37.1;38.2;12.7;;;25.5;34.8;;34.8
113;Wo (master);2003;113.4;40.1;38.5;12.8;;;25.7;34.7;;34.7
114;Wo (master);2004;116.4;39.9;39.9;13.3;;;26.6;36.5;;36.5
115;Wo (master);2005;117.8;41.7;40.8;13.6;;;27.2;35.3;;35.3
116;Wo (master);2006;118.7;42.2;40.5;13.5;;;27.0;36.0;;36.0
117;Wo (master);2007;123.0;42.5;42.8;14.3;;;28.6;37.7;;37.7
118;Wo (master);2008;127.8;44.9;44.4;14.8;;;29.6;38.5;;38.5
119;Wo (master);2009;133.9;47.4;48.3;16.1;;;32.2;38.2;;38.2
120;Wo (master);2010;137.6;47.8;49.3;16.4;;;32.9;40.5;;40.5
121;Wo (master);2011;134.2;47.6;48.6;16.2;;;32.4;38.1;;38.1
122;Wo (master);2012;139.8;48.0;49.2;16.4;;;32.8;42.5;;42.5
123;Wo (master);2013;145.2;49.9;50.7;16.9;;;33.8;44.6;;44.6
124;Wo (master);2014;140.6;49.1;48.9;16.3;;;32.6;42.6;;42.6
125;Wo (master);2015;143.8;50.7;49.8;16.6;;;33.2;43.3;;43.3
