ID;BedrijfstakkenBrancheSBI93;Perioden;Uitzendkrachten_1
56;G Reparatie van consumentenartikelen ..;2001 na revisie;15.0
57;G Reparatie van consumentenartikelen ..;2002;12.0
58;G Reparatie van consumentenartikelen ..;2003;12.0
59;G Reparatie van consumentenartikelen ..;2004;14.0
60;G Reparatie van consumentenartikelen ..;2005;16.0
61;G Reparatie van consumentenartikelen ..;2006;19.0
62;G Reparatie van consumentenartikelen ..;2007;18.0
63;H Horeca;2000;8.0
64;H Horeca;2001 voor revisie;6.0
65;H Horeca;2001 na revisie;7.0
66;H Horeca;2002;5.0
67;H Horeca;2003;5.0
68;H Horeca;2004;4.0
69;H Horeca;2005;4.0
70;H Horeca;2006;4.0
71;H Horeca;2007;6.0
72;I Vervoer, opslag en communicatie;2000;20.0
73;I Vervoer, opslag en communicatie;2001 voor revisie;16.0
74;I Vervoer, opslag en communicatie;2001 na revisie;17.0
75;I Vervoer, opslag en communicatie;2002;12.0
76;I Vervoer, opslag en communicatie;2003;10.0
77;I Vervoer, opslag en communicatie;2004;15.0
78;I Vervoer, opslag en communicatie;2005;18.0
79;I Vervoer, opslag en communicatie;2006;23.0
80;I Vervoer, opslag en communicatie;2007;24.0
81;J Financiële instellingen;2000;8.0
82;J Financiële instellingen;2001 voor revisie;9.0
83;J Financiële instellingen;2001 na revisie;11.0
84;J Financiële instellingen;2002;8.0
85;J Financiële instellingen;2003;7.0
86;J Financiële instellingen;2004;9.0
87;J Financiële instellingen;2005;10.0
88;J Financiële instellingen;2006;11.0
89;J Financiële instellingen;2007;10.0
90;K VH en handel in onroerend goed, ..;2000;23.0
91;K VH en handel in onroerend goed, ..;2001 voor revisie;22.0
92;K VH en handel in onroerend goed, ..;2001 na revisie;20.0
93;K VH en handel in onroerend goed, ..;2002;21.0
94;K VH en handel in onroerend goed, ..;2003;21.0
95;K VH en handel in onroerend goed, ..;2004;24.0
96;K VH en handel in onroerend goed, ..;2005;35.0
97;K VH en handel in onroerend goed, ..;2006;37.0
98;K VH en handel in onroerend goed, ..;2007;36.0
99;L Openbaar bestuur, overheidsdiensten ..;2000;11.0
100;L Openbaar bestuur, overheidsdiensten ..;2001 voor revisie;11.0
101;L Openbaar bestuur, overheidsdiensten ..;2001 na revisie;12.0
102;L Openbaar bestuur, overheidsdiensten ..;2002;13.0
103;L Openbaar bestuur, overheidsdiensten ..;2003;8.0
104;L Openbaar bestuur, overheidsdiensten ..;2004;9.0
105;L Openbaar bestuur, overheidsdiensten ..;2005;13.0
106;L Openbaar bestuur, overheidsdiensten ..;2006;14.0
107;L Openbaar bestuur, overheidsdiensten ..;2007;14.0
108;M Onderwijs;2000;4.0
109;M Onderwijs;2001 voor revisie;3.0
110;M Onderwijs;2001 na revisie;3.0
111;M Onderwijs;2002;3.0
112;M Onderwijs;2003;3.0
113;M Onderwijs;2004;3.0
114;M Onderwijs;2005;3.0
115;M Onderwijs;2006;4.0
116;M Onderwijs;2007;4.0
117;N Gezondheids- en welzijnszorg;2000;9.0
118;N Gezondheids- en welzijnszorg;2001 voor revisie;13.0
119;N Gezondheids- en welzijnszorg;2001 na revisie;11.0
120;N Gezondheids- en welzijnszorg;2002;13.0
121;N Gezondheids- en welzijnszorg;2003;9.0
122;N Gezondheids- en welzijnszorg;2004;6.0
123;N Gezondheids- en welzijnszorg;2005;7.0
124;N Gezondheids- en welzijnszorg;2006;9.0
125;N Gezondheids- en welzijnszorg;2007;8.0
126;O Milieudienstverlening, cultuur, ..;2000;8.0
127;O Milieudienstverlening, cultuur, ..;2001 voor revisie;7.0
128;O Milieudienstverlening, cultuur, ..;2001 na revisie;6.0
129;O Milieudienstverlening, cultuur, ..;2002;7.0
130;O Milieudienstverlening, cultuur, ..;2003;5.0
131;O Milieudienstverlening, cultuur, ..;2004;4.0
132;O Milieudienstverlening, cultuur, ..;2005;5.0
133;O Milieudienstverlening, cultuur, ..;2006;5.0
134;O Milieudienstverlening, cultuur, ..;2007;7.0
135;P Particuliere huishoudens met ..;2000;
136;P Particuliere huishoudens met ..;2001 voor revisie;
137;P Particuliere huishoudens met ..;2001 na revisie;
138;P Particuliere huishoudens met ..;2002;
139;P Particuliere huishoudens met ..;2003;
140;P Particuliere huishoudens met ..;2004;
141;P Particuliere huishoudens met ..;2005;
142;P Particuliere huishoudens met ..;2006;
143;P Particuliere huishoudens met ..;2007;
144;Q Extraterritoriale organisaties;2000;27.0
145;Q Extraterritoriale organisaties;2001 voor revisie;
146;Q Extraterritoriale organisaties;2001 na revisie;
147;Q Extraterritoriale organisaties;2002;
148;Q Extraterritoriale organisaties;2003;
149;Q Extraterritoriale organisaties;2004;
150;Q Extraterritoriale organisaties;2005;
151;Q Extraterritoriale organisaties;2006;
152;Q Extraterritoriale organisaties;2007;
153;1;2000;29.0
154;1;2001 voor revisie;29.0
155;1;2001 na revisie;30.0
156;1;2002;31.0
157;1;2003;24.0
158;1;2004;12.0
159;1;2005;10.0
160;1;2006;11.0
161;1;2007;13.0
