ID;VakcentralesEnVakverenigingen;Geslacht;Leeftijd;Perioden;Leden_1;LedenRelatief_2
44;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot AOW-leeftijd;2008;1587.3;100.0
45;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot AOW-leeftijd;2009;1569.2;100.0
46;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot AOW-leeftijd;2010;1547.4;100.0
47;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot AOW-leeftijd;2011;1532.9;100.0
48;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot AOW-leeftijd;2012;1492.9;100.0
49;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot AOW-leeftijd;2013;1440.0;100.0
50;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot AOW-leeftijd;2014;1395.3;100.0
51;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot AOW-leeftijd;2015;1360.3;100.0
52;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot AOW-leeftijd;2016;1330.1;100.0
53;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot AOW-leeftijd;2017;1319.3;100.0
54;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot AOW-leeftijd;2019;1273.8;100.0
55;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot AOW-leeftijd;2021;1144.8;100.0
56;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot AOW-leeftijd;2023;1089.6;100.0
57;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot 45 jaar;1999;;
58;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot 45 jaar;2001;;
59;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot 45 jaar;2003;;
60;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot 45 jaar;2005;699.8;100.0
61;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot 45 jaar;2006;661.5;100.0
62;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot 45 jaar;2007;656.3;100.0
63;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot 45 jaar;2008;656.0;100.0
64;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot 45 jaar;2009;615.1;100.0
65;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot 45 jaar;2010;589.5;100.0
66;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot 45 jaar;2011;571.3;100.0
67;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot 45 jaar;2012;547.7;100.0
68;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot 45 jaar;2013;514.7;100.0
69;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot 45 jaar;2014;488.9;100.0
70;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot 45 jaar;2015;469.4;100.0
71;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot 45 jaar;2016;444.8;100.0
72;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot 45 jaar;2017;436.1;100.0
73;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot 45 jaar;2019;407.9;100.0
74;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot 45 jaar;2021;347.7;100.0
75;Totaal vakverenigingen;Totaal mannen en vrouwen;25 tot 45 jaar;2023;340.7;100.0
76;Totaal vakverenigingen;Totaal mannen en vrouwen;45 jaar tot AOW-leeftijd;1999;;
77;Totaal vakverenigingen;Totaal mannen en vrouwen;45 jaar tot AOW-leeftijd;2001;;
78;Totaal vakverenigingen;Totaal mannen en vrouwen;45 jaar tot AOW-leeftijd;2003;;
79;Totaal vakverenigingen;Totaal mannen en vrouwen;45 jaar tot AOW-leeftijd;2005;884.7;100.0
80;Totaal vakverenigingen;Totaal mannen en vrouwen;45 jaar tot AOW-leeftijd;2006;898.9;100.0
81;Totaal vakverenigingen;Totaal mannen en vrouwen;45 jaar tot AOW-leeftijd;2007;919.4;100.0
82;Totaal vakverenigingen;Totaal mannen en vrouwen;45 jaar tot AOW-leeftijd;2008;931.3;100.0
