ID;EnergieverbruikersSBI2008;Perioden;TotaalNettoEnergieverbruik_1;Omzettingsverliezen_2;EnergetischFinaalVerbruik_3;NietEnergetischFinaalVerbruik_4;OverigeEnergieverliezen_5;TotaalBrutoEnergieverbruik_6;Winning_7;TotaalEnergieIngekocht_8;SteenkoolEnSteenkoolproducten_9;Aardoliegrondstoffen_10;MotorbrandstoffenVoorWegverkeer_11;OverigeAardolieproducten_12;OverigeEnergieproducten_13
39;A Landbouw, bosbouw en visserij;1996;210;2;208;0;0;210;0;210;0;0;1;31;178
40;A Landbouw, bosbouw en visserij;1997;187;2;185;0;0;188;0;187;0;0;1;30;157
41;A Landbouw, bosbouw en visserij;1998;188;2;186;0;0;188;0;188;0;0;1;30;157
42;A Landbouw, bosbouw en visserij;1999;184;3;181;0;0;184;1;184;0;0;1;30;153
43;A Landbouw, bosbouw en visserij;2000;187;3;184;0;0;188;1;187;0;0;1;31;155
44;A Landbouw, bosbouw en visserij;2001;182;3;180;0;0;184;1;183;0;0;1;30;151
45;A Landbouw, bosbouw en visserij;2002;171;3;168;0;0;172;1;170;0;0;1;29;141
46;A Landbouw, bosbouw en visserij;2003;171;3;168;0;0;172;2;171;0;0;1;29;141
47;A Landbouw, bosbouw en visserij;2004;173;4;169;0;0;175;3;173;0;0;1;27;144
48;A Landbouw, bosbouw en visserij;2005;171;4;167;0;0;177;3;174;0;0;2;28;145
49;A Landbouw, bosbouw en visserij;2006;153;5;148;0;0;164;4;160;0;0;2;26;132
50;A Landbouw, bosbouw en visserij;2007;156;15;141;0;0;172;5;167;0;0;2;27;138
51;A Landbouw, bosbouw en visserij;2008;157;20;137;0;0;184;7;177;0;0;2;25;149
52;A Landbouw, bosbouw en visserij;2009;162;22;140;0;0;186;8;178;0;0;2;24;151
53;A Landbouw, bosbouw en visserij;2010;171;24;147;0;0;202;9;193;0;0;3;24;167
54;A Landbouw, bosbouw en visserij;2011;156;22;134;0;0;187;9;178;0;0;3;22;153
55;A Landbouw, bosbouw en visserij;2012;154;17;137;0;0;183;9;173;0;0;3;21;149
56;A Landbouw, bosbouw en visserij;2013;154;15;139;0;0;182;9;173;0;0;3;21;149
57;B-E Nijverheid (geen bouw) en energie;1995;1613;431;752;410;19;7996;2754;5243;512;2702;8;990;1030
58;B-E Nijverheid (geen bouw) en energie;1996;1609;431;774;384;20;8400;3084;5316;500;2747;8;972;1088
59;B-E Nijverheid (geen bouw) en energie;1997;1626;439;754;415;18;8102;2754;5347;491;2726;8;1025;1097
60;B-E Nijverheid (geen bouw) en energie;1998;1651;462;762;410;18;8072;2627;5445;493;2789;8;1028;1126
61;B-E Nijverheid (geen bouw) en energie;1999;1651;429;767;437;18;7835;2453;5382;434;2645;9;1151;1144
62;B-E Nijverheid (geen bouw) en energie;2000;1702;456;754;473;19;7956;2365;5591;437;2672;9;1325;1147
63;B-E Nijverheid (geen bouw) en energie;2001;1743;497;752;472;22;8215;2527;5688;463;2684;10;1374;1157
64;B-E Nijverheid (geen bouw) en energie;2002;1757;503;768;469;17;8094;2489;5605;462;2502;10;1461;1171
65;B-E Nijverheid (geen bouw) en energie;2003;1816;508;774;517;17;8263;2406;5857;477;2600;10;1605;1165
66;B-E Nijverheid (geen bouw) en energie;2004;1872;522;788;544;17;8791;2804;5987;477;2699;10;1589;1211
67;B-E Nijverheid (geen bouw) en energie;2005;1912;493;786;615;18;8612;2575;6037;461;2718;11;1658;1190
68;B-E Nijverheid (geen bouw) en energie;2006;1812;476;764;555;17;8294;2529;5765;439;2658;11;1544;1112
69;B-E Nijverheid (geen bouw) en energie;2007;1965;474;787;684;19;7953;2515;5438;474;2605;12;1221;1127
70;B-E Nijverheid (geen bouw) en energie;2008;1884;468;761;635;20;7528;2746;4782;452;2567;13;630;1119
71;B-E Nijverheid (geen bouw) en energie;2009;1834;478;715;623;18;7302;2590;4712;405;2515;13;677;1102
72;B-E Nijverheid (geen bouw) en energie;2010;1962;486;761;697;18;7768;2868;4901;416;2624;15;655;1191
73;B-E Nijverheid (geen bouw) en energie;2011;1859;446;748;646;19;7338;2614;4725;425;2535;16;605;1144
74;B-E Nijverheid (geen bouw) en energie;2012;1855;427;754;656;18;7268;2610;4658;451;2526;16;643;1022
75;B-E Nijverheid (geen bouw) en energie;2013;1815;423;727;648;18;7354;2794;4560;453;2421;15;677;993
76;B Delfstoffenwinning;1995;31;0;25;0;6;2754;2706;48;0;16;0;2;29
77;B Delfstoffenwinning;1996;37;0;30;0;7;3082;3028;53;0;16;0;2;35
78;B Delfstoffenwinning;1997;38;0;34;0;4;2731;2689;42;0;4;0;2;36
79;B Delfstoffenwinning;1998;47;0;42;0;4;2611;2558;52;0;6;0;3;44
80;B Delfstoffenwinning;1999;43;0;39;0;4;2430;2381;49;0;6;0;3;40
81;B Delfstoffenwinning;2000;51;0;46;1;4;2349;2290;59;0;8;0;2;48
82;B Delfstoffenwinning;2001;53;0;46;1;6;2508;2450;58;0;4;0;1;52
83;B Delfstoffenwinning;2002;55;1;52;1;2;2466;2404;62;0;7;0;2;52
84;B Delfstoffenwinning;2003;56;1;54;1;2;2382;2320;62;0;5;0;3;53
85;B Delfstoffenwinning;2004;58;1;56;1;1;2768;2704;65;0;6;0;3;55
86;B Delfstoffenwinning;2005;56;1;53;1;1;2516;2455;62;0;6;0;3;53
87;B Delfstoffenwinning;2006;51;0;50;0;1;2463;2407;56;0;4;0;2;49
88;B Delfstoffenwinning;2007;48;0;46;0;2;2444;2392;52;0;4;0;3;45
89;B Delfstoffenwinning;2008;47;0;43;0;3;2655;2604;51;0;4;0;3;43
90;B Delfstoffenwinning;2009;44;0;43;0;1;2484;2436;47;0;3;0;3;41
91;B Delfstoffenwinning;2010;48;0;47;0;1;2770;2718;52;0;4;0;2;46
92;B Delfstoffenwinning;2011;48;0;46;0;2;2531;2482;49;0;1;0;1;47
93;B Delfstoffenwinning;2012;42;0;40;0;2;2513;2469;44;0;3;0;1;40
94;B Delfstoffenwinning;2013;43;1;41;0;1;2702;2653;50;0;7;0;1;41
95;C Industrie;1995;1205;80;714;410;0;4536;10;4526;247;2686;6;956;630
96;C Industrie;1996;1192;78;730;384;0;4582;11;4572;248;2731;6;940;646
97;C Industrie;1997;1216;94;707;415;0;4633;11;4622;251;2722;6;989;653
98;C Industrie;1998;1219;105;704;410;0;4686;11;4675;242;2783;6;993;650
99;C Industrie;1999;1243;93;713;437;0;4653;10;4643;221;2639;7;1113;663
100;C Industrie;2000;1273;108;692;472;0;4836;9;4827;205;2665;7;1289;661
101;C Industrie;2001;1280;119;690;471;0;4886;9;4878;215;2680;7;1338;637
102;C Industrie;2002;1278;112;697;468;0;4782;9;4773;212;2495;7;1420;639
103;C Industrie;2003;1331;112;703;517;0;5029;10;5019;221;2595;7;1562;634
104;C Industrie;2004;1372;114;714;544;0;5132;10;5122;229;2693;7;1548;645
105;C Industrie;2005;1422;95;712;614;0;5227;11;5216;227;2711;8;1618;651
106;C Industrie;2006;1351;105;692;554;0;5018;11;5007;214;2654;8;1530;602
107;C Industrie;2007;1491;93;714;684;0;4663;18;4645;232;2601;8;1204;600
108;C Industrie;2008;1398;76;686;635;0;4018;21;3998;223;2563;9;613;590
109;C Industrie;2009;1336;78;634;623;0;3926;21;3905;179;2512;8;663;543
110;C Industrie;2010;1451;83;670;697;0;4077;13;4065;195;2620;9;642;599
111;C Industrie;2011;1386;80;659;646;0;3952;13;3939;216;2534;10;590;589
112;C Industrie;2012;1395;77;662;656;0;3949;15;3934;213;2523;9;625;564
113;C Industrie;2013;1368;88;632;648;0;3868;16;3852;207;2414;9;659;562
114;10-12 Voedings-, genotmiddelenindustrie;1995;94;4;90;0;0;103;1;103;1;0;1;2;98
115;10-12 Voedings-, genotmiddelenindustrie;1996;104;5;99;0;0;114;1;113;1;0;1;1;109
116;10-12 Voedings-, genotmiddelenindustrie;1997;99;5;94;0;0;109;1;108;2;0;1;1;104
117;10-12 Voedings-, genotmiddelenindustrie;1998;102;5;96;0;0;112;1;111;1;0;1;1;107
118;10-12 Voedings-, genotmiddelenindustrie;1999;106;6;100;0;0;117;1;116;1;0;2;1;112
119;10-12 Voedings-, genotmiddelenindustrie;2000;103;6;96;0;0;114;1;113;2;0;2;1;109
120;10-12 Voedings-, genotmiddelenindustrie;2001;101;6;94;0;0;111;1;111;1;0;2;1;107
121;10-12 Voedings-, genotmiddelenindustrie;2002;102;7;95;0;0;112;1;112;1;0;2;0;108
122;10-12 Voedings-, genotmiddelenindustrie;2003;98;5;93;0;0;109;1;108;1;0;2;0;105
123;10-12 Voedings-, genotmiddelenindustrie;2004;98;6;91;0;0;108;1;107;1;0;2;0;104
124;10-12 Voedings-, genotmiddelenindustrie;2005;96;6;90;0;0;106;1;104;1;0;2;1;101
125;10-12 Voedings-, genotmiddelenindustrie;2006;93;4;89;0;0;102;2;101;1;0;2;1;97
126;10-12 Voedings-, genotmiddelenindustrie;2007;94;6;88;0;0;104;2;102;2;0;2;1;98
127;10-12 Voedings-, genotmiddelenindustrie;2008;90;5;85;0;0;100;2;98;1;0;2;0;95
128;10-12 Voedings-, genotmiddelenindustrie;2009;81;6;75;0;0;91;2;89;1;0;2;0;86
129;10-12 Voedings-, genotmiddelenindustrie;2010;86;7;79;0;0;96;2;94;1;0;2;0;91
130;10-12 Voedings-, genotmiddelenindustrie;2011;84;4;80;0;0;93;1;92;1;0;2;0;89
131;10-12 Voedings-, genotmiddelenindustrie;2012;83;3;79;0;0;92;1;91;1;0;2;0;88
132;10-12 Voedings-, genotmiddelenindustrie;2013;83;3;80;0;0;92;2;91;1;0;2;0;88
133;13-15 Textiel-, kleding-, lederindustrie;1995;9;0;9;0;0;9;0;9;0;0;0;0;9
134;13-15 Textiel-, kleding-, lederindustrie;1996;10;0;9;0;0;10;0;10;0;0;0;0;9
135;13-15 Textiel-, kleding-, lederindustrie;1997;10;0;10;0;0;10;0;10;0;0;0;0;9
136;13-15 Textiel-, kleding-, lederindustrie;1998;10;0;10;0;0;10;0;10;0;0;0;0;10
137;13-15 Textiel-, kleding-, lederindustrie;1999;8;0;8;0;0;8;0;8;0;0;0;0;8
138;13-15 Textiel-, kleding-, lederindustrie;2000;9;0;9;0;0;9;0;9;0;0;0;0;8
139;13-15 Textiel-, kleding-, lederindustrie;2001;8;0;8;0;0;8;0;8;0;0;0;0;8
140;13-15 Textiel-, kleding-, lederindustrie;2002;8;0;8;0;0;8;0;8;0;0;0;0;7
141;13-15 Textiel-, kleding-, lederindustrie;2003;7;0;7;0;0;7;0;7;0;0;0;0;7
142;13-15 Textiel-, kleding-, lederindustrie;2004;7;0;6;0;0;7;0;7;0;0;0;0;6
143;13-15 Textiel-, kleding-, lederindustrie;2005;5;0;5;0;0;5;0;5;0;0;0;0;5
144;13-15 Textiel-, kleding-, lederindustrie;2006;5;0;5;0;0;5;0;5;0;0;0;0;5
145;13-15 Textiel-, kleding-, lederindustrie;2007;5;0;5;0;0;5;0;5;0;0;0;0;5
146;13-15 Textiel-, kleding-, lederindustrie;2008;5;0;5;0;0;5;0;5;0;0;0;0;5
147;13-15 Textiel-, kleding-, lederindustrie;2009;5;0;4;0;0;5;0;5;0;0;0;0;4
148;13-15 Textiel-, kleding-, lederindustrie;2010;5;0;5;0;0;5;0;5;0;0;0;0;5
149;13-15 Textiel-, kleding-, lederindustrie;2011;4;0;4;0;0;4;0;4;0;0;0;0;4
150;13-15 Textiel-, kleding-, lederindustrie;2012;5;0;4;0;0;5;0;5;0;0;0;0;4
151;13-15 Textiel-, kleding-, lederindustrie;2013;5;0;5;0;0;5;0;5;0;0;0;0;4
152;16-18 Hout-, papier-, grafische industr.;1995;43;2;41;0;0;43;3;40;0;0;1;0;40
153;16-18 Hout-, papier-, grafische industr.;1996;46;2;44;0;0;46;3;44;0;0;1;0;43
154;16-18 Hout-, papier-, grafische industr.;1997;48;2;45;0;0;48;3;45;0;0;1;0;44
155;16-18 Hout-, papier-, grafische industr.;1998;48;3;45;0;0;48;3;45;0;0;1;0;44
156;16-18 Hout-, papier-, grafische industr.;1999;48;3;45;0;0;48;3;45;0;0;1;0;44
157;16-18 Hout-, papier-, grafische industr.;2000;49;3;46;0;0;49;3;46;0;0;1;0;45
158;16-18 Hout-, papier-, grafische industr.;2001;46;3;43;0;0;46;3;43;0;0;1;0;42
159;16-18 Hout-, papier-, grafische industr.;2002;47;3;44;0;0;47;3;45;0;0;1;0;44
160;16-18 Hout-, papier-, grafische industr.;2003;46;3;43;0;0;46;3;44;0;0;1;0;43
161;16-18 Hout-, papier-, grafische industr.;2004;46;2;43;0;0;46;2;43;0;0;1;0;43
162;16-18 Hout-, papier-, grafische industr.;2005;46;4;43;0;0;46;3;44;0;0;1;0;43
163;16-18 Hout-, papier-, grafische industr.;2006;46;4;42;0;0;46;3;43;0;0;1;0;42
164;16-18 Hout-, papier-, grafische industr.;2007;43;2;41;0;0;43;3;40;0;0;1;0;40
165;16-18 Hout-, papier-, grafische industr.;2008;41;2;39;0;0;41;3;38;0;0;1;0;37
166;16-18 Hout-, papier-, grafische industr.;2009;34;2;32;0;0;34;3;32;0;0;1;0;31
167;16-18 Hout-, papier-, grafische industr.;2010;35;2;33;0;0;35;3;33;0;0;1;0;32
168;16-18 Hout-, papier-, grafische industr.;2011;34;3;31;0;0;34;3;31;0;0;1;0;30
169;16-18 Hout-, papier-, grafische industr.;2012;34;2;31;1;0;34;2;32;0;0;1;1;30
170;16-18 Hout-, papier-, grafische industr.;2013;34;2;31;1;0;34;2;32;0;0;1;1;30
171;16 Houtindustrie;1995;4;0;4;0;0;4;2;2;0;0;0;0;2
172;16 Houtindustrie;1996;4;0;4;0;0;4;2;2;0;0;0;0;2
173;16 Houtindustrie;1997;4;0;4;0;0;4;2;2;0;0;0;0;2
174;16 Houtindustrie;1998;4;0;4;0;0;4;2;2;0;0;0;0;2
175;16 Houtindustrie;1999;5;0;4;0;0;5;2;2;0;0;0;0;2
176;16 Houtindustrie;2000;5;0;5;0;0;5;2;3;0;0;0;0;3
177;16 Houtindustrie;2001;4;0;4;0;0;4;2;2;0;0;0;0;2
178;16 Houtindustrie;2002;4;0;4;0;0;4;2;2;0;0;0;0;2
179;16 Houtindustrie;2003;4;0;4;0;0;4;2;2;0;0;0;0;1
180;16 Houtindustrie;2004;3;0;3;0;0;3;2;2;0;0;0;0;1
181;16 Houtindustrie;2005;4;0;4;0;0;4;2;2;0;0;0;0;2
182;16 Houtindustrie;2006;4;0;3;0;0;4;2;2;0;0;0;0;2
183;16 Houtindustrie;2007;4;0;4;0;0;4;2;2;0;0;0;0;2
184;16 Houtindustrie;2008;4;0;3;0;0;4;2;2;0;0;0;0;2
185;16 Houtindustrie;2009;4;0;4;0;0;4;2;2;0;0;0;0;2
186;16 Houtindustrie;2010;4;0;3;0;0;4;2;2;0;0;0;0;2
187;16 Houtindustrie;2011;4;0;3;0;0;4;2;2;0;0;0;0;2
188;16 Houtindustrie;2012;3;0;3;0;0;3;1;2;0;0;0;0;2
189;16 Houtindustrie;2013;3;0;3;0;0;3;1;2;0;0;0;0;1
190;17 Papierindustrie;1995;31;2;29;0;0;31;1;31;0;0;0;0;31
191;17 Papierindustrie;1996;34;2;32;0;0;34;0;34;0;0;0;0;34
192;17 Papierindustrie;1997;35;2;33;0;0;35;0;35;0;0;0;0;34
193;17 Papierindustrie;1998;35;3;32;0;0;35;0;34;0;0;0;0;34
194;17 Papierindustrie;1999;35;3;32;0;0;35;1;34;0;0;0;0;34
195;17 Papierindustrie;2000;35;3;32;0;0;35;1;35;0;0;0;0;35
196;17 Papierindustrie;2001;33;3;31;0;0;33;1;33;0;0;0;0;33
197;17 Papierindustrie;2002;35;3;32;0;0;35;1;34;0;0;0;0;34
198;17 Papierindustrie;2003;34;3;31;0;0;34;1;33;0;0;0;0;33
199;17 Papierindustrie;2004;34;2;32;0;0;34;1;33;0;0;0;0;33
200;17 Papierindustrie;2005;34;4;30;0;0;34;1;33;0;0;0;0;33
201;17 Papierindustrie;2006;34;4;30;0;0;34;1;33;0;0;0;0;32
202;17 Papierindustrie;2007;31;2;29;0;0;31;1;30;0;0;0;0;30
203;17 Papierindustrie;2008;30;2;27;0;0;30;1;28;0;0;0;0;28
204;17 Papierindustrie;2009;24;2;22;0;0;24;1;23;0;0;0;0;23
205;17 Papierindustrie;2010;26;2;24;0;0;26;1;25;0;0;0;0;24
206;17 Papierindustrie;2011;24;2;22;0;0;24;1;23;0;0;0;0;23
207;17 Papierindustrie;2012;26;2;22;1;0;26;1;24;0;0;0;1;23
208;17 Papierindustrie;2013;26;2;22;1;0;26;1;25;0;0;0;1;23
209;18 Grafische industrie;1995;8;0;8;0;0;8;0;8;0;0;0;0;7
210;18 Grafische industrie;1996;8;0;8;0;0;8;0;8;0;0;0;0;8
211;18 Grafische industrie;1997;8;0;8;0;0;8;0;8;0;0;0;0;8
212;18 Grafische industrie;1998;8;0;8;0;0;8;0;8;0;0;0;0;8
213;18 Grafische industrie;1999;9;0;9;0;0;9;0;9;0;0;0;0;8
214;18 Grafische industrie;2000;9;0;9;0;0;9;0;9;0;0;0;0;8
215;18 Grafische industrie;2001;8;0;8;0;0;8;0;8;0;0;0;0;8
216;18 Grafische industrie;2002;9;0;9;0;0;9;0;9;0;0;0;0;8
217;18 Grafische industrie;2003;8;0;8;0;0;8;0;8;0;0;0;0;8
218;18 Grafische industrie;2004;8;0;8;0;0;8;0;8;0;0;0;0;8
219;18 Grafische industrie;2005;9;0;9;0;0;9;0;9;0;0;0;0;8
220;18 Grafische industrie;2006;9;0;9;0;0;9;0;9;0;0;0;0;8
221;18 Grafische industrie;2007;8;0;8;0;0;8;0;8;0;0;0;0;8
222;18 Grafische industrie;2008;8;0;8;0;0;8;0;8;0;0;0;0;7
223;18 Grafische industrie;2009;6;0;6;0;0;6;0;6;0;0;0;0;6
224;18 Grafische industrie;2010;6;0;6;0;0;6;0;6;0;0;0;0;6
225;18 Grafische industrie;2011;6;0;6;0;0;6;0;6;0;0;0;0;5
226;18 Grafische industrie;2012;6;0;6;0;0;6;0;6;0;0;0;0;5
227;18 Grafische industrie;2013;6;0;6;0;0;6;0;6;0;0;0;0;5
228;19 Aardolie-industrie;1995;172;26;146;0;0;2795;0;2795;0;2501;0;272;22
229;19 Aardolie-industrie;1996;174;29;145;0;0;2873;0;2873;0;2560;0;285;28
230;19 Aardolie-industrie;1997;182;47;135;0;0;2874;0;2874;0;2551;0;288;35
231;19 Aardolie-industrie;1998;191;60;131;0;0;2932;0;2932;0;2615;0;285;32
232;19 Aardolie-industrie;1999;171;48;123;0;0;2873;0;2873;0;2453;0;386;33
233;19 Aardolie-industrie;2000;180;59;121;0;0;2920;0;2920;0;2459;0;428;33
234;19 Aardolie-industrie;2001;191;70;121;0;0;2935;0;2935;0;2465;0;438;32
235;19 Aardolie-industrie;2002;173;59;114;0;0;2867;0;2867;0;2236;0;593;37
236;19 Aardolie-industrie;2003;183;64;118;0;0;3019;0;3019;0;2372;0;609;38
237;19 Aardolie-industrie;2004;188;64;124;0;0;3039;0;3039;0;2459;0;540;40
238;19 Aardolie-industrie;2005;183;54;129;0;0;3010;0;3010;0;2469;0;497;44
239;19 Aardolie-industrie;2006;187;62;125;0;0;2933;0;2933;0;2396;0;490;47
240;19 Aardolie-industrie;2007;196;52;144;0;0;3121;9;3112;0;2369;0;696;47
241;19 Aardolie-industrie;2008;171;39;133;0;0;2569;11;2558;0;2350;0;159;49
242;19 Aardolie-industrie;2009;175;46;129;0;0;2561;11;2550;0;2309;0;187;54
243;19 Aardolie-industrie;2010;177;47;130;0;0;2601;5;2595;0;2412;0;116;66
244;19 Aardolie-industrie;2011;190;45;144;0;0;2563;5;2557;0;2330;0;153;75
245;19 Aardolie-industrie;2012;180;46;134;0;0;2540;7;2533;0;2342;0;125;66
246;19 Aardolie-industrie;2013;171;50;121;0;0;2471;8;2463;0;2225;0;173;66
247;20-21 Chemie en farmaceutische industrie;1995;640;30;293;317;0;1206;5;1201;4;186;0;667;345
248;20-21 Chemie en farmaceutische industrie;1996;607;23;293;290;0;1154;5;1149;5;171;0;637;336
249;20-21 Chemie en farmaceutische industrie;1997;628;23;284;322;0;1210;6;1204;5;172;0;689;337
250;20-21 Chemie en farmaceutische industrie;1998;616;19;286;311;0;1202;5;1197;5;168;0;689;334
251;20-21 Chemie en farmaceutische industrie;1999;661;21;299;341;0;1247;5;1243;10;185;0;709;338
252;20-21 Chemie en farmaceutische industrie;2000;686;26;284;377;0;1396;3;1393;9;206;0;842;336
253;20-21 Chemie en farmaceutische industrie;2001;689;25;286;378;0;1435;3;1431;8;215;0;889;319
254;20-21 Chemie en farmaceutische industrie;2002;707;29;302;376;0;1404;3;1401;8;258;0;818;317
255;20-21 Chemie en farmaceutische industrie;2003;754;25;310;419;0;1498;4;1495;8;222;0;944;320
256;20-21 Chemie en farmaceutische industrie;2004;783;26;315;442;0;1573;3;1570;8;234;0;998;328
257;20-21 Chemie en farmaceutische industrie;2005;837;17;310;511;0;1697;4;1693;8;243;0;1108;334
258;20-21 Chemie en farmaceutische industrie;2006;778;21;298;458;0;1586;3;1582;8;258;0;1025;292
259;20-21 Chemie en farmaceutische industrie;2007;901;18;304;580;0;1029;1;1028;8;232;1;495;292
260;20-21 Chemie en farmaceutische industrie;2008;839;15;291;534;0;946;2;944;9;213;1;439;283
261;20-21 Chemie en farmaceutische industrie;2009;824;10;273;541;0;936;2;934;7;203;0;460;263
262;20-21 Chemie en farmaceutische industrie;2010;914;12;294;608;0;1006;0;1005;7;207;0;499;292
263;20-21 Chemie en farmaceutische industrie;2011;835;13;277;545;0;916;1;915;7;204;0;422;281
264;20-21 Chemie en farmaceutische industrie;2012;875;10;294;571;0;962;2;960;7;181;0;493;279
265;20-21 Chemie en farmaceutische industrie;2013;869;14;281;574;0;960;1;960;5;189;0;486;280
266;22-23 Kunststof- en bouwmateriaalindustr;1995;43;0;41;2;0;44;0;44;2;0;1;5;36
267;22-23 Kunststof- en bouwmateriaalindustr;1996;45;0;44;1;0;46;0;46;2;0;1;4;38
268;22-23 Kunststof- en bouwmateriaalindustr;1997;45;0;44;1;0;46;0;46;2;0;1;3;40
269;22-23 Kunststof- en bouwmateriaalindustr;1998;43;0;42;1;0;44;0;44;2;0;1;3;38
270;22-23 Kunststof- en bouwmateriaalindustr;1999;45;0;44;1;0;45;0;45;2;0;1;2;39
271;22-23 Kunststof- en bouwmateriaalindustr;2000;45;0;44;1;0;46;0;46;2;0;1;2;40
272;22-23 Kunststof- en bouwmateriaalindustr;2001;45;0;45;1;0;46;0;46;2;0;1;2;41
273;22-23 Kunststof- en bouwmateriaalindustr;2002;41;0;40;1;0;42;1;41;2;0;1;1;37
274;22-23 Kunststof- en bouwmateriaalindustr;2003;40;0;40;0;0;41;1;40;2;0;1;1;36
275;22-23 Kunststof- en bouwmateriaalindustr;2004;41;0;40;1;0;42;1;40;2;0;1;1;37
276;22-23 Kunststof- en bouwmateriaalindustr;2005;41;0;41;0;0;42;1;40;1;0;1;1;37
277;22-23 Kunststof- en bouwmateriaalindustr;2006;41;0;41;0;0;41;1;40;1;0;1;1;37
278;22-23 Kunststof- en bouwmateriaalindustr;2007;42;0;42;0;0;42;1;41;2;0;1;1;37
