ID;CPIMetOnderliggendeReeksen;Perioden;Prijsindices_1;Inflatie_2
166;CPI alle huishoudens afgeleid;2008 november;103.99;1.8
167;CPI alle huishoudens afgeleid;2008 december;103.2;1.5
168;CPI alle huishoudens afgeleid;2009 januari;103.32;1.4
169;CPI alle huishoudens afgeleid;2009 februari;104.05;1.5
170;CPI alle huishoudens afgeleid;2009 maart;105.09;1.5
171;CPI alle huishoudens afgeleid;2009 april;105.32;1.4
172;CPI alle huishoudens afgeleid;2009 mei;105.47;1.2
173;CPI alle huishoudens afgeleid;2009 juni;105.13;1.1
174;CPI alle huishoudens afgeleid;2009 juli;104.02;-0.1
175;CPI alle huishoudens afgeleid;2009 augustus;104.3;0.0
176;CPI alle huishoudens afgeleid;2009 september;104.86;0.1
177;CPI alle huishoudens afgeleid;2009 oktober;104.96;0.4
178;CPI alle huishoudens afgeleid;2009 november;104.85;0.8
179;CPI alle huishoudens afgeleid;2009 december;104.25;1.0
180;CPI alle huishoudens afgeleid;2010 januari;104.01;0.7
181;CPI alle huishoudens afgeleid;2010 februari;104.74;0.7
182;CPI alle huishoudens afgeleid;2010 maart;105.98;0.8
183;CPI alle huishoudens afgeleid;2010 april;106.32;0.9
184;CPI alle huishoudens afgeleid;2010 mei;106.26;0.7
185;CPI alle huishoudens afgeleid;2010 juni;105.76;0.6
186;CPI alle huishoudens afgeleid;2010 juli;105.46;1.4
187;CPI alle huishoudens afgeleid;2010 augustus;105.63;1.3
188;CPI alle huishoudens afgeleid;2010 september;106.28;1.4
189;CPI alle huishoudens afgeleid;2010 oktober;106.41;1.4
190;CPI alle huishoudens afgeleid;2010 november;106.28;1.4
191;CPI alle huishoudens afgeleid;2010 december;106.05;1.7
192;CPI alle huishoudens afgeleid;2011 januari voor herberekening;105.99;1.9
193;CPI alle huishoudens afgeleid;2011 februari voor herberekening;106.72;1.9
194;CPI alle huishoudens afgeleid;2011 maart voor herberekening;107.95;1.9
195;CPI alle huishoudens afgeleid;2011 april voor herberekening;108.43;2.0
196;CPI alle huishoudens afgeleid;2011 mei voor herberekening;108.55;2.2
197;CPI alle huishoudens afgeleid;2011 juni voor herberekening;108.02;2.1
198;CPI alle huishoudens afgeleid;2011 juli voor herberekening;108.01;2.4
199;CPI alle huishoudens afgeleid;2011 augustus voor herberekening;108.15;2.4
200;CPI alle huishoudens afgeleid;2011 september voor herberekening;108.91;2.5
201;CPI alle huishoudens afgeleid;2011 oktober voor herberekening;108.89;2.3
202;CPI alle huishoudens afgeleid;2011 november voor herberekening;108.76;2.3
203;CPI alle huishoudens afgeleid;2011 december voor herberekening;108.3;2.1
204;CPI alle huishoudens afgeleid;2011 januari na herberekening;105.87;
205;CPI alle huishoudens afgeleid;2011 februari na herberekening;106.66;
206;CPI alle huishoudens afgeleid;2011 maart na herberekening;107.83;
207;CPI alle huishoudens afgeleid;2011 april na herberekening;108.37;
208;CPI alle huishoudens afgeleid;2011 mei na herberekening;108.41;
209;CPI alle huishoudens afgeleid;2011 juni na herberekening;107.87;
210;CPI alle huishoudens afgeleid;2011 juli na herberekening;108.36;
211;CPI alle huishoudens afgeleid;2011 augustus na herberekening;108.52;
212;CPI alle huishoudens afgeleid;2011 september na herberekening;108.9;
213;CPI alle huishoudens afgeleid;2011 oktober na herberekening;108.94;
214;CPI alle huishoudens afgeleid;2011 november na herberekening;108.61;
215;CPI alle huishoudens afgeleid;2011 december na herberekening;108.33;
216;CPI alle huishoudens afgeleid;2012 januari;108.16;2.2
217;CPI alle huishoudens afgeleid;2012 februari;108.98;2.2
218;CPI alle huishoudens afgeleid;2012 maart;110.22;2.2
219;CPI alle huishoudens afgeleid;2012 april;110.67;2.1
220;CPI alle huishoudens afgeleid;2012 mei;110.51;1.9
221;CPI alle huishoudens afgeleid;2012 juni;109.98;2.0
222;CPI alle huishoudens afgeleid;2012 juli;110.64;2.1
223;CPI alle huishoudens afgeleid;2012 augustus;110.78;2.1
224;CPI alle huishoudens afgeleid;2012 september;111.23;2.1
225;CPI alle huishoudens afgeleid;2012 oktober;111.1;2.0
226;CPI alle huishoudens afgeleid;2012 november;110.64;1.9
227;CPI alle huishoudens afgeleid;2012 december;110.5;2.0
228;CPI alle huishoudens afgeleid;2013 januari;109.88;1.6
229;CPI alle huishoudens afgeleid;2013 februari;110.71;1.6
230;CPI alle huishoudens afgeleid;2013 maart;111.88;1.5
231;CPI alle huishoudens afgeleid;2013 april;111.95;1.2
232;CPI alle huishoudens afgeleid;2013 mei;111.98;1.3
233;CPI alle huishoudens afgeleid;2013 juni;111.56;1.4
234;CPI alle huishoudens afgeleid;2013 juli;112.5;1.7
235;CPI alle huishoudens afgeleid;2013 augustus;112.36;1.4
236;CPI alle huishoudens afgeleid;2013 september;112.43;1.1
237;CPI alle huishoudens afgeleid;2013 oktober;112.1;0.9
238;CPI alle huishoudens afgeleid;2013 november;111.56;0.8
239;CPI alle huishoudens afgeleid;2013 december;111.62;1.0
240;CPI alle huishoudens afgeleid;2014 januari;110.97;1.0
241;CPI alle huishoudens afgeleid;2014 februari;111.44;0.7
242;CPI alle huishoudens afgeleid;2014 maart;112.38;0.4
243;CPI alle huishoudens afgeleid;2014 april;112.9;0.8
244;CPI alle huishoudens afgeleid;2014 mei;112.51;0.5
245;CPI alle huishoudens afgeleid;2014 juni;112.24;0.6
246;CPI alle huishoudens afgeleid;2014 juli;113.16;0.6
247;CPI alle huishoudens afgeleid;2014 augustus;113.09;0.6
248;CPI alle huishoudens afgeleid;2014 september;113.07;0.6
249;CPI alle huishoudens afgeleid;2014 oktober;112.94;0.7
250;CPI alle huishoudens afgeleid;2014 november;112.27;0.6
251;CPI alle huishoudens afgeleid;2014 december;112.04;0.4
252;CPI alle huishoudens afgeleid;2015 januari;110.85;-0.1
253;CPI alle huishoudens afgeleid;2015 februari;111.46;0.0
254;CPI alle huishoudens afgeleid;2015 maart;112.63;0.2
255;CPI alle huishoudens afgeleid;2015 april;113.35;0.4
256;CPI alle huishoudens afgeleid;2015 mei;113.6;1.0
257;CPI alle huishoudens afgeleid;2015 juni;113.16;0.8
258;CPI alle huishoudens afgeleid;2015 juli;114.08;0.8
259;CPI alle huishoudens afgeleid;2015 augustus;113.72;0.6
260;CPI alle huishoudens afgeleid;2015 september;113.51;0.4
261;CPI alle huishoudens afgeleid;2015 oktober;113.4;0.4
262;CPI alle huishoudens afgeleid;2015 november;112.77;0.4
263;CPI alle huishoudens afgeleid;2015 december;112.64;0.5
264;Onderliggende reeks I;2006 januari;98.72;
265;Onderliggende reeks I;2006 februari;99.25;
266;Onderliggende reeks I;2006 maart;99.99;
267;Onderliggende reeks I;2006 april;100.29;
268;Onderliggende reeks I;2006 mei;100.33;
269;Onderliggende reeks I;2006 juni;99.82;
270;Onderliggende reeks I;2006 juli;99.43;
271;Onderliggende reeks I;2006 augustus;99.95;
272;Onderliggende reeks I;2006 september;100.72;
273;Onderliggende reeks I;2006 oktober;100.75;
274;Onderliggende reeks I;2006 november;100.61;
275;Onderliggende reeks I;2006 december;100.14;
276;Onderliggende reeks I;2007 januari;99.91;1.2
277;Onderliggende reeks I;2007 februari;100.41;1.2
278;Onderliggende reeks I;2007 maart;101.5;1.5
279;Onderliggende reeks I;2007 april;101.87;1.6
280;Onderliggende reeks I;2007 mei;101.82;1.5
281;Onderliggende reeks I;2007 juni;101.3;1.5
282;Onderliggende reeks I;2007 juli;100.95;1.5
283;Onderliggende reeks I;2007 augustus;101.21;1.3
284;Onderliggende reeks I;2007 september;101.84;1.1
285;Onderliggende reeks I;2007 oktober;102.01;1.3
286;Onderliggende reeks I;2007 november;101.98;1.4
287;Onderliggende reeks I;2007 december;101.49;1.3
288;Onderliggende reeks I;2008 januari;101.56;1.7
289;Onderliggende reeks I;2008 februari;102.39;2.0
290;Onderliggende reeks I;2008 maart;103.41;1.9
291;Onderliggende reeks I;2008 april;103.62;1.7
292;Onderliggende reeks I;2008 mei;103.79;1.9
293;Onderliggende reeks I;2008 juni;103.33;2.0
294;Onderliggende reeks I;2008 juli;103.13;2.2
295;Onderliggende reeks I;2008 augustus;103.54;2.3
296;Onderliggende reeks I;2008 september;104.15;2.3
297;Onderliggende reeks I;2008 oktober;104.45;2.4
298;Onderliggende reeks I;2008 november;104.54;2.5
299;Onderliggende reeks I;2008 december;104.02;2.5
300;Onderliggende reeks I;2009 januari;103.65;2.1
301;Onderliggende reeks I;2009 februari;104.42;2.0
302;Onderliggende reeks I;2009 maart;105.64;2.2
303;Onderliggende reeks I;2009 april;105.98;2.3
304;Onderliggende reeks I;2009 mei;106.0;2.1
305;Onderliggende reeks I;2009 juni;105.36;2.0
306;Onderliggende reeks I;2009 juli;105.19;2.0
307;Onderliggende reeks I;2009 augustus;105.38;1.8
308;Onderliggende reeks I;2009 september;106.19;2.0
309;Onderliggende reeks I;2009 oktober;106.39;1.9
310;Onderliggende reeks I;2009 november;106.17;1.6
311;Onderliggende reeks I;2009 december;105.46;1.4
312;Onderliggende reeks I;2010 januari;105.17;1.5
313;Onderliggende reeks I;2010 februari;106.02;1.5
314;Onderliggende reeks I;2010 maart;107.23;1.5
315;Onderliggende reeks I;2010 april;107.45;1.4
316;Onderliggende reeks I;2010 mei;107.47;1.4
317;Onderliggende reeks I;2010 juni;106.83;1.4
318;Onderliggende reeks I;2010 juli;106.31;1.1
319;Onderliggende reeks I;2010 augustus;106.43;1.0
320;Onderliggende reeks I;2010 september;107.17;0.9
321;Onderliggende reeks I;2010 oktober;107.41;1.0
322;Onderliggende reeks I;2010 november;107.21;1.0
323;Onderliggende reeks I;2010 december;106.7;1.2
324;Onderliggende reeks I;2011 januari voor herberekening;106.44;1.2
325;Onderliggende reeks I;2011 februari voor herberekening;107.24;1.2
326;Onderliggende reeks I;2011 maart voor herberekening;108.57;1.2
327;Onderliggende reeks I;2011 april voor herberekening;108.9;1.3
328;Onderliggende reeks I;2011 mei voor herberekening;109.09;1.5
329;Onderliggende reeks I;2011 juni voor herberekening;108.58;1.6
330;Onderliggende reeks I;2011 juli voor herberekening;108.35;1.9
331;Onderliggende reeks I;2011 augustus voor herberekening;108.56;2.0
332;Onderliggende reeks I;2011 september voor herberekening;109.41;2.1
333;Onderliggende reeks I;2011 oktober voor herberekening;109.56;2.0
334;Onderliggende reeks I;2011 november voor herberekening;109.42;2.1
335;Onderliggende reeks I;2011 december voor herberekening;108.88;2.0
336;Onderliggende reeks I;2011 januari na herberekening;106.29;
337;Onderliggende reeks I;2011 februari na herberekening;107.18;
338;Onderliggende reeks I;2011 maart na herberekening;108.44;
339;Onderliggende reeks I;2011 april na herberekening;108.83;
340;Onderliggende reeks I;2011 mei na herberekening;108.92;
341;Onderliggende reeks I;2011 juni na herberekening;108.4;
342;Onderliggende reeks I;2011 juli na herberekening;108.77;
343;Onderliggende reeks I;2011 augustus na herberekening;109.01;
344;Onderliggende reeks I;2011 september na herberekening;109.39;
345;Onderliggende reeks I;2011 oktober na herberekening;109.62;
346;Onderliggende reeks I;2011 november na herberekening;109.25;
347;Onderliggende reeks I;2011 december na herberekening;108.93;
348;Onderliggende reeks I;2012 januari;108.43;2.0
349;Onderliggende reeks I;2012 februari;109.2;1.9
350;Onderliggende reeks I;2012 maart;110.45;1.9
351;Onderliggende reeks I;2012 april;110.82;1.8
352;Onderliggende reeks I;2012 mei;110.76;1.7
353;Onderliggende reeks I;2012 juni;110.26;1.7
354;Onderliggende reeks I;2012 juli;111.0;2.1
355;Onderliggende reeks I;2012 augustus;110.97;1.8
356;Onderliggende reeks I;2012 september;111.31;1.8
357;Onderliggende reeks I;2012 oktober;112.01;2.2
358;Onderliggende reeks I;2012 november;111.67;2.2
359;Onderliggende reeks I;2012 december;111.57;2.4
360;Onderliggende reeks I;2013 januari;111.41;2.7
361;Onderliggende reeks I;2013 februari;112.28;2.8
362;Onderliggende reeks I;2013 maart;113.69;2.9
363;Onderliggende reeks I;2013 april;113.87;2.8
364;Onderliggende reeks I;2013 mei;113.95;2.9
365;Onderliggende reeks I;2013 juni;113.42;2.9
366;Onderliggende reeks I;2013 juli;114.61;3.3
367;Onderliggende reeks I;2013 augustus;114.42;3.1
368;Onderliggende reeks I;2013 september;114.53;2.9
369;Onderliggende reeks I;2013 oktober;114.42;2.2
370;Onderliggende reeks I;2013 november;113.9;2.0
371;Onderliggende reeks I;2013 december;113.9;2.1
372;Onderliggende reeks I;2014 januari;113.48;1.9
373;Onderliggende reeks I;2014 februari;114.08;1.6
374;Onderliggende reeks I;2014 maart;115.19;1.3
375;Onderliggende reeks I;2014 april;115.68;1.6
376;Onderliggende reeks I;2014 mei;115.24;1.1
377;Onderliggende reeks I;2014 juni;114.81;1.2
378;Onderliggende reeks I;2014 juli;116.0;1.2
379;Onderliggende reeks I;2014 augustus;116.03;1.4
380;Onderliggende reeks I;2014 september;115.98;1.3
381;Onderliggende reeks I;2014 oktober;116.01;1.4
382;Onderliggende reeks I;2014 november;115.32;1.2
383;Onderliggende reeks I;2014 december;115.37;1.3
384;Onderliggende reeks I;2015 januari;114.53;0.9
385;Onderliggende reeks I;2015 februari;115.16;0.9
386;Onderliggende reeks I;2015 maart;116.35;1.0
387;Onderliggende reeks I;2015 april;117.0;1.1
388;Onderliggende reeks I;2015 mei;117.15;1.7
389;Onderliggende reeks I;2015 juni;116.53;1.5
390;Onderliggende reeks I;2015 juli;117.73;1.5
391;Onderliggende reeks I;2015 augustus;117.42;1.2
392;Onderliggende reeks I;2015 september;117.42;1.2
393;Onderliggende reeks I;2015 oktober;117.45;1.2
394;Onderliggende reeks I;2015 november;116.69;1.2
395;Onderliggende reeks I;2015 december;116.75;1.2
396;Onderliggende reeks II;2006 januari;98.71;
397;Onderliggende reeks II;2006 februari;99.16;
398;Onderliggende reeks II;2006 maart;99.94;
399;Onderliggende reeks II;2006 april;100.41;
400;Onderliggende reeks II;2006 mei;100.42;
401;Onderliggende reeks II;2006 juni;100.01;
402;Onderliggende reeks II;2006 juli;99.8;
403;Onderliggende reeks II;2006 augustus;100.24;
404;Onderliggende reeks II;2006 september;100.6;
405;Onderliggende reeks II;2006 oktober;100.45;
406;Onderliggende reeks II;2006 november;100.31;
407;Onderliggende reeks II;2006 december;99.94;
408;Onderliggende reeks II;2007 januari;99.89;1.2
409;Onderliggende reeks II;2007 februari;100.43;1.3
410;Onderliggende reeks II;2007 maart;101.53;1.6
411;Onderliggende reeks II;2007 april;102.0;1.6
412;Onderliggende reeks II;2007 mei;102.03;1.6
413;Onderliggende reeks II;2007 juni;101.57;1.6
414;Onderliggende reeks II;2007 juli;101.02;1.2
415;Onderliggende reeks II;2007 augustus;101.14;0.9
416;Onderliggende reeks II;2007 september;101.75;1.1
417;Onderliggende reeks II;2007 oktober;101.88;1.4
418;Onderliggende reeks II;2007 november;102.04;1.7
419;Onderliggende reeks II;2007 december;101.56;1.6
420;Onderliggende reeks II;2008 januari;101.67;1.8
421;Onderliggende reeks II;2008 februari;102.41;2.0
422;Onderliggende reeks II;2008 maart;103.42;1.9
423;Onderliggende reeks II;2008 april;103.73;1.7
424;Onderliggende reeks II;2008 mei;104.11;2.0
425;Onderliggende reeks II;2008 juni;103.84;2.2
426;Onderliggende reeks II;2008 juli;103.87;2.8
427;Onderliggende reeks II;2008 augustus;103.99;2.8
428;Onderliggende reeks II;2008 september;104.47;2.7
429;Onderliggende reeks II;2008 oktober;104.33;2.4
430;Onderliggende reeks II;2008 november;103.82;1.7
431;Onderliggende reeks II;2008 december;103.1;1.5
432;Onderliggende reeks II;2009 januari;103.22;1.5
433;Onderliggende reeks II;2009 februari;104.07;1.6
434;Onderliggende reeks II;2009 maart;105.1;1.6
435;Onderliggende reeks II;2009 april;105.36;1.6
436;Onderliggende reeks II;2009 mei;105.47;1.3
437;Onderliggende reeks II;2009 juni;105.1;1.2
438;Onderliggende reeks II;2009 juli;103.88;0.0
439;Onderliggende reeks II;2009 augustus;104.12;0.1
440;Onderliggende reeks II;2009 september;104.65;0.2
441;Onderliggende reeks II;2009 oktober;104.88;0.5
442;Onderliggende reeks II;2009 november;104.79;0.9
443;Onderliggende reeks II;2009 december;104.17;1.0
444;Onderliggende reeks II;2010 januari;103.82;0.6
445;Onderliggende reeks II;2010 februari;104.63;0.5
446;Onderliggende reeks II;2010 maart;105.91;0.8
447;Onderliggende reeks II;2010 april;106.2;0.8
448;Onderliggende reeks II;2010 mei;106.09;0.6
449;Onderliggende reeks II;2010 juni;105.53;0.4
450;Onderliggende reeks II;2010 juli;105.2;1.3
451;Onderliggende reeks II;2010 augustus;105.31;1.1
452;Onderliggende reeks II;2010 september;105.98;1.3
453;Onderliggende reeks II;2010 oktober;106.21;1.3
454;Onderliggende reeks II;2010 november;106.1;1.3
455;Onderliggende reeks II;2010 december;105.87;1.6
456;Onderliggende reeks II;2011 januari voor herberekening;105.67;1.8
457;Onderliggende reeks II;2011 februari voor herberekening;106.47;1.8
458;Onderliggende reeks II;2011 maart voor herberekening;107.72;1.7
459;Onderliggende reeks II;2011 april voor herberekening;108.16;1.8
460;Onderliggende reeks II;2011 mei voor herberekening;108.26;2.0
461;Onderliggende reeks II;2011 juni voor herberekening;107.7;2.1
462;Onderliggende reeks II;2011 juli voor herberekening;107.67;2.3
463;Onderliggende reeks II;2011 augustus voor herberekening;107.73;2.3
464;Onderliggende reeks II;2011 september voor herberekening;108.56;2.4
465;Onderliggende reeks II;2011 oktober voor herberekening;108.57;2.2
466;Onderliggende reeks II;2011 november voor herberekening;108.44;2.2
467;Onderliggende reeks II;2011 december voor herberekening;107.97;2.0
468;Onderliggende reeks II;2011 januari na herberekening;105.53;
469;Onderliggende reeks II;2011 februari na herberekening;106.42;
470;Onderliggende reeks II;2011 maart na herberekening;107.6;
471;Onderliggende reeks II;2011 april na herberekening;108.1;
472;Onderliggende reeks II;2011 mei na herberekening;108.11;
473;Onderliggende reeks II;2011 juni na herberekening;107.54;
474;Onderliggende reeks II;2011 juli na herberekening;108.04;
475;Onderliggende reeks II;2011 augustus na herberekening;108.13;
476;Onderliggende reeks II;2011 september na herberekening;108.54;
477;Onderliggende reeks II;2011 oktober na herberekening;108.62;
478;Onderliggende reeks II;2011 november na herberekening;108.28;
479;Onderliggende reeks II;2011 december na herberekening;108.01;
480;Onderliggende reeks II;2012 januari;107.75;2.1
481;Onderliggende reeks II;2012 februari;108.65;2.1
482;Onderliggende reeks II;2012 maart;109.9;2.1
483;Onderliggende reeks II;2012 april;110.32;2.1
484;Onderliggende reeks II;2012 mei;110.11;1.8
