ID;MunicipalLeviesFrom2017Onwards;Regions;Periods;MunicipalLeviesInMillionOfEuros_1;MunicipalLeviesInEuroInhabitant_2
104;Total property tax;Zuid-Nederland (LD);2020;913.0;248.0
105;Total property tax;Zuid-Nederland (LD);2021;948.0;257.0
106;Total property tax;Zuid-Nederland (LD);2022;986.0;266.0
107;Total property tax;Zuid-Nederland (LD);2023;1027.0;274.0
108;Total property tax;Zuid-Nederland (LD);2024;1094.0;290.0
109;Total property tax;Zuid-Nederland (LD);2025;1167.0;307.0
110;Total property tax;Groningen (PV);2004;121.0;211.0
111;Total property tax;Groningen (PV);2005;129.0;225.0
112;Total property tax;Groningen (PV);2006;96.0;167.0
113;Total property tax;Groningen (PV);2007;98.0;171.0
114;Total property tax;Groningen (PV);2008;103.0;179.0
115;Total property tax;Groningen (PV);2009;109.0;190.0
116;Total property tax;Groningen (PV);2010;113.0;197.0
117;Total property tax;Groningen (PV);2011;119.0;206.0
118;Total property tax;Groningen (PV);2012;131.0;226.0
119;Total property tax;Groningen (PV);2013;138.0;237.0
120;Total property tax;Groningen (PV);2014;143.0;245.0
121;Total property tax;Groningen (PV);2015;148.0;253.0
122;Total property tax;Groningen (PV);2016;153.0;262.0
123;Total property tax;Groningen (PV);2017;158.0;271.0
124;Total property tax;Groningen (PV);2018;163.0;280.0
125;Total property tax;Groningen (PV);2019;177.0;303.0
126;Total property tax;Groningen (PV);2020;192.0;328.0
127;Total property tax;Groningen (PV);2021;206.0;351.0
128;Total property tax;Groningen (PV);2022;218.0;369.0
129;Total property tax;Groningen (PV);2023;231.0;388.0
130;Total property tax;Groningen (PV);2024;246.0;410.0
131;Total property tax;Groningen (PV);2025;257.0;425.0
132;Total property tax;Fryslân (PV);2004;125.0;195.0
133;Total property tax;Fryslân (PV);2005;133.0;207.0
134;Total property tax;Fryslân (PV);2006;96.0;149.0
135;Total property tax;Fryslân (PV);2007;91.0;142.0
136;Total property tax;Fryslân (PV);2008;97.0;151.0
137;Total property tax;Fryslân (PV);2009;103.0;159.0
138;Total property tax;Fryslân (PV);2010;108.0;167.0
139;Total property tax;Fryslân (PV);2011;111.0;172.0
140;Total property tax;Fryslân (PV);2012;117.0;181.0
141;Total property tax;Fryslân (PV);2013;121.0;187.0
142;Total property tax;Fryslân (PV);2014;126.0;195.0
143;Total property tax;Fryslân (PV);2015;131.0;202.0
144;Total property tax;Fryslân (PV);2016;134.0;208.0
145;Total property tax;Fryslân (PV);2017;136.0;210.0
146;Total property tax;Fryslân (PV);2018;137.0;212.0
147;Total property tax;Fryslân (PV);2019;141.0;217.0
148;Total property tax;Fryslân (PV);2020;145.0;223.0
149;Total property tax;Fryslân (PV);2021;151.0;232.0
150;Total property tax;Fryslân (PV);2022;157.0;240.0
151;Total property tax;Fryslân (PV);2023;164.0;248.0
152;Total property tax;Fryslân (PV);2024;174.0;263.0
153;Total property tax;Fryslân (PV);2025;185.0;278.0
154;Total property tax;Drenthe (PV);2004;90.0;187.0
155;Total property tax;Drenthe (PV);2005;94.0;195.0
156;Total property tax;Drenthe (PV);2006;68.0;140.0
157;Total property tax;Drenthe (PV);2007;68.0;141.0
158;Total property tax;Drenthe (PV);2008;71.0;146.0
159;Total property tax;Drenthe (PV);2009;76.0;155.0
160;Total property tax;Drenthe (PV);2010;77.0;157.0
161;Total property tax;Drenthe (PV);2011;80.0;163.0
162;Total property tax;Drenthe (PV);2012;86.0;175.0
163;Total property tax;Drenthe (PV);2013;90.0;184.0
164;Total property tax;Drenthe (PV);2014;94.0;193.0
165;Total property tax;Drenthe (PV);2015;97.0;199.0
166;Total property tax;Drenthe (PV);2016;100.0;205.0
167;Total property tax;Drenthe (PV);2017;102.0;207.0
168;Total property tax;Drenthe (PV);2018;103.0;209.0
169;Total property tax;Drenthe (PV);2019;106.0;215.0
170;Total property tax;Drenthe (PV);2020;109.0;222.0
171;Total property tax;Drenthe (PV);2021;120.0;243.0
172;Total property tax;Drenthe (PV);2022;122.0;246.0
173;Total property tax;Drenthe (PV);2023;126.0;252.0
174;Total property tax;Drenthe (PV);2024;133.0;263.0
175;Total property tax;Drenthe (PV);2025;136.0;269.0
176;Total property tax;Overijssel (PV);2004;211.0;191.0
177;Total property tax;Overijssel (PV);2005;221.0;199.0
178;Total property tax;Overijssel (PV);2006;167.0;150.0
179;Total property tax;Overijssel (PV);2007;169.0;151.0
180;Total property tax;Overijssel (PV);2008;176.0;157.0
181;Total property tax;Overijssel (PV);2009;185.0;165.0
182;Total property tax;Overijssel (PV);2010;195.0;172.0
183;Total property tax;Overijssel (PV);2011;202.0;178.0
184;Total property tax;Overijssel (PV);2012;213.0;187.0
185;Total property tax;Overijssel (PV);2013;224.0;196.0
186;Total property tax;Overijssel (PV);2014;232.0;204.0
187;Total property tax;Overijssel (PV);2015;242.0;212.0
188;Total property tax;Overijssel (PV);2016;249.0;217.0
189;Total property tax;Overijssel (PV);2017;258.0;224.0
190;Total property tax;Overijssel (PV);2018;268.0;233.0
191;Total property tax;Overijssel (PV);2019;282.0;244.0
192;Total property tax;Overijssel (PV);2020;301.0;259.0
193;Total property tax;Overijssel (PV);2021;316.0;271.0
194;Total property tax;Overijssel (PV);2022;327.0;279.0
195;Total property tax;Overijssel (PV);2023;338.0;285.0
196;Total property tax;Overijssel (PV);2024;360.0;302.0
197;Total property tax;Overijssel (PV);2025;387.0;324.0
198;Total property tax;Flevoland (PV);2004;70.0;196.0
199;Total property tax;Flevoland (PV);2005;76.0;208.0
200;Total property tax;Flevoland (PV);2006;56.0;150.0
201;Total property tax;Flevoland (PV);2007;58.0;155.0
202;Total property tax;Flevoland (PV);2008;62.0;164.0
203;Total property tax;Flevoland (PV);2009;67.0;175.0
204;Total property tax;Flevoland (PV);2010;70.0;181.0
205;Total property tax;Flevoland (PV);2011;72.0;183.0
206;Total property tax;Flevoland (PV);2012;78.0;197.0
207;Total property tax;Flevoland (PV);2013;81.0;204.0
208;Total property tax;Flevoland (PV);2014;83.0;207.0
209;Total property tax;Flevoland (PV);2015;87.0;216.0
210;Total property tax;Flevoland (PV);2016;90.0;222.0
211;Total property tax;Flevoland (PV);2017;91.0;224.0
212;Total property tax;Flevoland (PV);2018;94.0;227.0
213;Total property tax;Flevoland (PV);2019;97.0;233.0
214;Total property tax;Flevoland (PV);2020;100.0;237.0
215;Total property tax;Flevoland (PV);2021;106.0;247.0
216;Total property tax;Flevoland (PV);2022;112.0;258.0
217;Total property tax;Flevoland (PV);2023;121.0;272.0
218;Total property tax;Flevoland (PV);2024;132.0;293.0
219;Total property tax;Flevoland (PV);2025;150.0;329.0
220;Total property tax;Gelderland (PV);2004;402.0;205.0
221;Total property tax;Gelderland (PV);2005;415.0;210.0
222;Total property tax;Gelderland (PV);2006;296.0;150.0
223;Total property tax;Gelderland (PV);2007;313.0;158.0
224;Total property tax;Gelderland (PV);2008;332.0;167.0
225;Total property tax;Gelderland (PV);2009;352.0;177.0
226;Total property tax;Gelderland (PV);2010;366.0;183.0
227;Total property tax;Gelderland (PV);2011;380.0;189.0
228;Total property tax;Gelderland (PV);2012;397.0;197.0
229;Total property tax;Gelderland (PV);2013;420.0;208.0
230;Total property tax;Gelderland (PV);2014;435.0;215.0
231;Total property tax;Gelderland (PV);2015;453.0;223.0
232;Total property tax;Gelderland (PV);2016;467.0;230.0
233;Total property tax;Gelderland (PV);2017;482.0;236.0
234;Total property tax;Gelderland (PV);2018;492.0;239.0
235;Total property tax;Gelderland (PV);2019;506.0;244.0
236;Total property tax;Gelderland (PV);2020;533.0;255.0
237;Total property tax;Gelderland (PV);2021;562.0;268.0
238;Total property tax;Gelderland (PV);2022;581.0;275.0
239;Total property tax;Gelderland (PV);2023;609.0;285.0
240;Total property tax;Gelderland (PV);2024;653.0;304.0
241;Total property tax;Gelderland (PV);2025;700.0;324.0
242;Total property tax;Utrecht (PV);2004;252.0;217.0
243;Total property tax;Utrecht (PV);2005;259.0;221.0
244;Total property tax;Utrecht (PV);2006;190.0;161.0
245;Total property tax;Utrecht (PV);2007;195.0;164.0
246;Total property tax;Utrecht (PV);2008;201.0;167.0
247;Total property tax;Utrecht (PV);2009;211.0;174.0
248;Total property tax;Utrecht (PV);2010;213.0;175.0
249;Total property tax;Utrecht (PV);2011;224.0;182.0
250;Total property tax;Utrecht (PV);2012;235.0;190.0
251;Total property tax;Utrecht (PV);2013;256.0;205.0
252;Total property tax;Utrecht (PV);2014;264.0;211.0
253;Total property tax;Utrecht (PV);2015;269.0;213.0
254;Total property tax;Utrecht (PV);2016;287.0;225.0
255;Total property tax;Utrecht (PV);2017;298.0;232.0
256;Total property tax;Utrecht (PV);2018;303.0;234.0
257;Total property tax;Utrecht (PV);2019;322.0;240.0
258;Total property tax;Utrecht (PV);2020;340.0;251.0
259;Total property tax;Utrecht (PV);2021;357.0;262.0
260;Total property tax;Utrecht (PV);2022;387.0;282.0
261;Total property tax;Utrecht (PV);2023;429.0;309.0
262;Total property tax;Utrecht (PV);2024;462.0;330.0
263;Total property tax;Utrecht (PV);2025;511.0;363.0
264;Total property tax;Noord-Holland (PV);2004;546.0;212.0
265;Total property tax;Noord-Holland (PV);2005;563.0;217.0
266;Total property tax;Noord-Holland (PV);2006;423.0;162.0
267;Total property tax;Noord-Holland (PV);2007;433.0;166.0
268;Total property tax;Noord-Holland (PV);2008;444.0;169.0
269;Total property tax;Noord-Holland (PV);2009;462.0;174.0
270;Total property tax;Noord-Holland (PV);2010;478.0;179.0
271;Total property tax;Noord-Holland (PV);2011;493.0;183.0
272;Total property tax;Noord-Holland (PV);2012;528.0;195.0
273;Total property tax;Noord-Holland (PV);2013;543.0;199.0
274;Total property tax;Noord-Holland (PV);2014;554.0;202.0
275;Total property tax;Noord-Holland (PV);2015;566.0;205.0
276;Total property tax;Noord-Holland (PV);2016;578.0;207.0
277;Total property tax;Noord-Holland (PV);2017;593.0;211.0
278;Total property tax;Noord-Holland (PV);2018;606.0;214.0
279;Total property tax;Noord-Holland (PV);2019;628.0;220.0
280;Total property tax;Noord-Holland (PV);2020;654.0;227.0
281;Total property tax;Noord-Holland (PV);2021;720.0;249.0
282;Total property tax;Noord-Holland (PV);2022;744.0;256.0
283;Total property tax;Noord-Holland (PV);2023;840.0;284.0
284;Total property tax;Noord-Holland (PV);2024;904.0;303.0
285;Total property tax;Noord-Holland (PV);2025;1034.0;345.0
286;Total property tax;Zuid-Holland (PV);2004;793.0;230.0
287;Total property tax;Zuid-Holland (PV);2005;813.0;235.0
288;Total property tax;Zuid-Holland (PV);2006;599.0;173.0
289;Total property tax;Zuid-Holland (PV);2007;619.0;179.0
290;Total property tax;Zuid-Holland (PV);2008;635.0;183.0
291;Total property tax;Zuid-Holland (PV);2009;658.0;189.0
292;Total property tax;Zuid-Holland (PV);2010;673.0;192.0
293;Total property tax;Zuid-Holland (PV);2011;688.0;195.0
294;Total property tax;Zuid-Holland (PV);2012;712.0;200.0
295;Total property tax;Zuid-Holland (PV);2013;761.0;213.0
296;Total property tax;Zuid-Holland (PV);2014;794.0;222.0
297;Total property tax;Zuid-Holland (PV);2015;822.0;228.0
298;Total property tax;Zuid-Holland (PV);2016;841.0;232.0
299;Total property tax;Zuid-Holland (PV);2017;850.0;233.0
300;Total property tax;Zuid-Holland (PV);2018;867.0;235.0
301;Total property tax;Zuid-Holland (PV);2019;884.0;241.0
302;Total property tax;Zuid-Holland (PV);2020;920.0;248.0
303;Total property tax;Zuid-Holland (PV);2021;966.0;259.0
304;Total property tax;Zuid-Holland (PV);2022;1013.0;270.0
305;Total property tax;Zuid-Holland (PV);2023;1110.0;292.0
306;Total property tax;Zuid-Holland (PV);2024;1214.0;316.0
307;Total property tax;Zuid-Holland (PV);2025;1309.0;339.0
308;Total property tax;Zeeland (PV);2004;75.0;198.0
309;Total property tax;Zeeland (PV);2005;79.0;208.0
310;Total property tax;Zeeland (PV);2006;58.0;152.0
311;Total property tax;Zeeland (PV);2007;60.0;158.0
312;Total property tax;Zeeland (PV);2008;62.0;163.0
313;Total property tax;Zeeland (PV);2009;66.0;173.0
314;Total property tax;Zeeland (PV);2010;69.0;180.0
315;Total property tax;Zeeland (PV);2011;71.0;187.0
316;Total property tax;Zeeland (PV);2012;75.0;197.0
317;Total property tax;Zeeland (PV);2013;78.0;204.0
318;Total property tax;Zeeland (PV);2014;80.0;211.0
319;Total property tax;Zeeland (PV);2015;83.0;218.0
320;Total property tax;Zeeland (PV);2016;86.0;225.0
321;Total property tax;Zeeland (PV);2017;88.0;230.0
322;Total property tax;Zeeland (PV);2018;92.0;240.0
323;Total property tax;Zeeland (PV);2019;96.0;250.0
324;Total property tax;Zeeland (PV);2020;100.0;261.0
325;Total property tax;Zeeland (PV);2021;105.0;273.0
326;Total property tax;Zeeland (PV);2022;109.0;282.0
327;Total property tax;Zeeland (PV);2023;114.0;291.0
328;Total property tax;Zeeland (PV);2024;120.0;306.0
329;Total property tax;Zeeland (PV);2025;127.0;323.0
330;Total property tax;Noord-Brabant (PV);2004;439.0;183.0
331;Total property tax;Noord-Brabant (PV);2005;465.0;193.0
332;Total property tax;Noord-Brabant (PV);2006;339.0;140.0
333;Total property tax;Noord-Brabant (PV);2007;352.0;145.0
334;Total property tax;Noord-Brabant (PV);2008;367.0;152.0
335;Total property tax;Noord-Brabant (PV);2009;385.0;158.0
336;Total property tax;Noord-Brabant (PV);2010;397.0;162.0
337;Total property tax;Noord-Brabant (PV);2011;414.0;169.0
338;Total property tax;Noord-Brabant (PV);2012;436.0;177.0
339;Total property tax;Noord-Brabant (PV);2013;462.0;187.0
340;Total property tax;Noord-Brabant (PV);2014;483.0;195.0
341;Total property tax;Noord-Brabant (PV);2015;499.0;201.0
342;Total property tax;Noord-Brabant (PV);2016;511.0;204.0
343;Total property tax;Noord-Brabant (PV);2017;525.0;209.0
344;Total property tax;Noord-Brabant (PV);2018;542.0;214.0
345;Total property tax;Noord-Brabant (PV);2019;573.0;225.0
346;Total property tax;Noord-Brabant (PV);2020;603.0;235.0
347;Total property tax;Noord-Brabant (PV);2021;625.0;243.0
348;Total property tax;Noord-Brabant (PV);2022;653.0;252.0
349;Total property tax;Noord-Brabant (PV);2023;680.0;259.0
350;Total property tax;Noord-Brabant (PV);2024;729.0;276.0
351;Total property tax;Noord-Brabant (PV);2025;784.0;294.0
352;Total property tax;Limburg (PV);2004;231.0;203.0
353;Total property tax;Limburg (PV);2005;242.0;213.0
354;Total property tax;Limburg (PV);2006;176.0;155.0
355;Total property tax;Limburg (PV);2007;179.0;158.0
356;Total property tax;Limburg (PV);2008;188.0;168.0
357;Total property tax;Limburg (PV);2009;195.0;174.0
358;Total property tax;Limburg (PV);2010;202.0;180.0
359;Total property tax;Limburg (PV);2011;211.0;188.0
360;Total property tax;Limburg (PV);2012;226.0;201.0
361;Total property tax;Limburg (PV);2013;236.0;210.0
362;Total property tax;Limburg (PV);2014;246.0;220.0
363;Total property tax;Limburg (PV);2015;255.0;228.0
364;Total property tax;Limburg (PV);2016;263.0;236.0
365;Total property tax;Limburg (PV);2017;272.0;244.0
366;Total property tax;Limburg (PV);2018;282.0;253.0
367;Total property tax;Limburg (PV);2019;296.0;265.0
368;Total property tax;Limburg (PV);2020;310.0;278.0
369;Total property tax;Limburg (PV);2021;323.0;289.0
370;Total property tax;Limburg (PV);2022;334.0;298.0
371;Total property tax;Limburg (PV);2023;347.0;307.0
372;Total property tax;Limburg (PV);2024;365.0;322.0
373;Total property tax;Limburg (PV);2025;383.0;337.0
374;Total property tax;Oost-Groningen (CR);2004;28.0;182.0
375;Total property tax;Oost-Groningen (CR);2005;29.0;187.0
376;Total property tax;Oost-Groningen (CR);2006;21.0;134.0
377;Total property tax;Oost-Groningen (CR);2007;21.0;136.0
378;Total property tax;Oost-Groningen (CR);2008;21.0;140.0
379;Total property tax;Oost-Groningen (CR);2009;22.0;144.0
380;Total property tax;Oost-Groningen (CR);2010;23.0;150.0
381;Total property tax;Oost-Groningen (CR);2011;24.0;159.0
382;Total property tax;Oost-Groningen (CR);2012;26.0;173.0
383;Total property tax;Oost-Groningen (CR);2013;27.0;183.0
384;Total property tax;Oost-Groningen (CR);2014;28.0;189.0
385;Total property tax;Oost-Groningen (CR);2015;31.0;207.0
386;Total property tax;Oost-Groningen (CR);2016;32.0;215.0
387;Total property tax;Oost-Groningen (CR);2017;34.0;229.0
388;Total property tax;Oost-Groningen (CR);2018;32.0;239.0
389;Total property tax;Oost-Groningen (CR);2019;34.0;250.0
390;Total property tax;Oost-Groningen (CR);2020;36.0;265.0
391;Total property tax;Oost-Groningen (CR);2021;38.0;280.0
392;Total property tax;Oost-Groningen (CR);2022;40.0;293.0
393;Total property tax;Oost-Groningen (CR);2023;41.0;301.0
394;Total property tax;Oost-Groningen (CR);2024;43.0;310.0
395;Total property tax;Oost-Groningen (CR);2025;44.0;314.0
396;Total property tax;Delfzijl en omgeving (CR);2004;12.0;231.0
397;Total property tax;Delfzijl en omgeving (CR);2005;13.0;243.0
398;Total property tax;Delfzijl en omgeving (CR);2006;10.0;188.0
399;Total property tax;Delfzijl en omgeving (CR);2007;10.0;192.0
400;Total property tax;Delfzijl en omgeving (CR);2008;10.0;204.0
401;Total property tax;Delfzijl en omgeving (CR);2009;11.0;223.0
402;Total property tax;Delfzijl en omgeving (CR);2010;12.0;235.0
403;Total property tax;Delfzijl en omgeving (CR);2011;12.0;246.0
404;Total property tax;Delfzijl en omgeving (CR);2012;13.0;257.0
405;Total property tax;Delfzijl en omgeving (CR);2013;13.0;270.0
406;Total property tax;Delfzijl en omgeving (CR);2014;13.0;280.0
407;Total property tax;Delfzijl en omgeving (CR);2015;14.0;289.0
408;Total property tax;Delfzijl en omgeving (CR);2016;14.0;307.0
409;Total property tax;Delfzijl en omgeving (CR);2017;15.0;322.0
410;Total property tax;Delfzijl en omgeving (CR);2018;15.0;330.0
411;Total property tax;Delfzijl en omgeving (CR);2019;16.0;342.0
412;Total property tax;Delfzijl en omgeving (CR);2020;16.0;355.0
413;Total property tax;Delfzijl en omgeving (CR);2021;17.0;379.0
414;Total property tax;Delfzijl en omgeving (CR);2022;17.0;383.0
415;Total property tax;Delfzijl en omgeving (CR);2023;19.0;427.0
416;Total property tax;Delfzijl en omgeving (CR);2024;20.0;439.0
417;Total property tax;Delfzijl en omgeving (CR);2025;22.0;482.0
418;Total property tax;Overig Groningen (CR);2004;81.0;221.0
419;Total property tax;Overig Groningen (CR);2005;88.0;238.0
420;Total property tax;Overig Groningen (CR);2006;66.0;178.0
421;Total property tax;Overig Groningen (CR);2007;67.0;182.0
422;Total property tax;Overig Groningen (CR);2008;71.0;192.0
423;Total property tax;Overig Groningen (CR);2009;76.0;204.0
424;Total property tax;Overig Groningen (CR);2010;79.0;211.0
425;Total property tax;Overig Groningen (CR);2011;83.0;220.0
426;Total property tax;Overig Groningen (CR);2012;93.0;243.0
427;Total property tax;Overig Groningen (CR);2013;97.0;254.0
428;Total property tax;Overig Groningen (CR);2014;101.0;262.0
429;Total property tax;Overig Groningen (CR);2015;103.0;266.0
430;Total property tax;Overig Groningen (CR);2016;107.0;275.0
431;Total property tax;Overig Groningen (CR);2017;109.0;281.0
432;Total property tax;Overig Groningen (CR);2018;116.0;288.0
433;Total property tax;Overig Groningen (CR);2019;127.0;316.0
434;Total property tax;Overig Groningen (CR);2020;140.0;347.0
435;Total property tax;Overig Groningen (CR);2021;151.0;372.0
436;Total property tax;Overig Groningen (CR);2022;160.0;393.0
437;Total property tax;Overig Groningen (CR);2023;170.0;412.0
438;Total property tax;Overig Groningen (CR);2024;184.0;439.0
439;Total property tax;Overig Groningen (CR);2025;191.0;456.0
440;Total property tax;Noord-Friesland (CR);2004;71.0;215.0
441;Total property tax;Noord-Friesland (CR);2005;75.0;227.0
442;Total property tax;Noord-Friesland (CR);2006;55.0;166.0
443;Total property tax;Noord-Friesland (CR);2007;49.0;147.0
444;Total property tax;Noord-Friesland (CR);2008;52.0;157.0
445;Total property tax;Noord-Friesland (CR);2009;55.0;167.0
446;Total property tax;Noord-Friesland (CR);2010;58.0;176.0
447;Total property tax;Noord-Friesland (CR);2011;61.0;182.0
448;Total property tax;Noord-Friesland (CR);2012;63.0;191.0
449;Total property tax;Noord-Friesland (CR);2013;66.0;197.0
450;Total property tax;Noord-Friesland (CR);2014;66.0;202.0
451;Total property tax;Noord-Friesland (CR);2015;67.0;208.0
452;Total property tax;Noord-Friesland (CR);2016;68.0;211.0
453;Total property tax;Noord-Friesland (CR);2017;69.0;213.0
454;Total property tax;Noord-Friesland (CR);2018;69.0;217.0
455;Total property tax;Noord-Friesland (CR);2019;71.0;222.0
456;Total property tax;Noord-Friesland (CR);2020;74.0;229.0
457;Total property tax;Noord-Friesland (CR);2021;78.0;242.0
458;Total property tax;Noord-Friesland (CR);2022;80.0;247.0
459;Total property tax;Noord-Friesland (CR);2023;84.0;257.0
460;Total property tax;Noord-Friesland (CR);2024;90.0;274.0
461;Total property tax;Noord-Friesland (CR);2025;95.0;289.0
462;Total property tax;Zuidwest-Friesland (CR);2004;18.0;173.0
463;Total property tax;Zuidwest-Friesland (CR);2005;19.0;185.0
464;Total property tax;Zuidwest-Friesland (CR);2006;14.0;134.0
465;Total property tax;Zuidwest-Friesland (CR);2007;15.0;138.0
466;Total property tax;Zuidwest-Friesland (CR);2008;15.0;145.0
467;Total property tax;Zuidwest-Friesland (CR);2009;16.0;150.0
